phenotype cases controls filename
depression 170756 329443 depression.sumstats.txt
FC_Default 1 0 FC_Default.sumstats.txt
FC_Dorsal_Attention 1 0 FC_Dorsal_Attention.sumstats.txt
FC_Frontoparietal 1 0 FC_Frontoparietal.sumstats.txt
FC_global_fc_gmean 1 0 FC_global_fc_gmean.sumstats.txt
FC_Limbic 1 0 FC_Limbic.sumstats.txt
FC_Somatomotor 1 0 FC_Somatomotor.sumstats.txt
FC_Ventral_Attention 1 0 FC_Ventral_Attention.sumstats.txt
FC_Visual 1 0 FC_Visual.sumstats.txt
SC_Default 1 0 SC_Default.sumstats.txt
SC_Dorsal_Attention 1 0 SC_Dorsal_Attention.sumstats.txt
SC_Frontoparietal 1 0 SC_Frontoparietal.sumstats.txt
SC_global_sc_fa 1 0 SC_global_sc_fa.sumstats.txt
SC_Limbic 1 0 SC_Limbic.sumstats.txt
SC_Somatomotor 1 0 SC_Somatomotor.sumstats.txt
SC_Ventral_Attention 1 0 SC_Ventral_Attention.sumstats.txt
SC_Visual 1 0 SC_Visual.sumstats.txt
