phenotype cases controls filename
depression 170756 329443 depression.sumstats.txt
accumbens_area_left 1 0 accumbens_area_left.txt
accumbens_area_right 1 0 accumbens_area_right.txt
amygdala_left 1 0 amygdala_left.txt
amygdala_right 1 0 amygdala_right.txt
basal_forebrain_left 1 0 basal_forebrain_left.txt
basal_forebrain_right 1 0 basal_forebrain_right.txt
Brain_stem 1 0 Brain_stem.txt
caudal_anterior_cingulate_left 1 0 caudal_anterior_cingulate_left.txt
caudal_anterior_cingulate_right 1 0 caudal_anterior_cingulate_right.txt
caudal_middle_frontal_left 1 0 caudal_middle_frontal_left.txt
caudal_middle_frontal_right 1 0 caudal_middle_frontal_right.txt
caudate_left 1 0 caudate_left.txt
caudate_right 1 0 caudate_right.txt
cerebellar_vermal_lobules_I_V 1 0 cerebellar_vermal_lobules_I_V.txt
cerebellar_vermal_lobules_VIII_X 1 0 cerebellar_vermal_lobules_VIII_X.txt
cerebellar_vermal_lobules_VI_VII 1 0 cerebellar_vermal_lobules_VI_VII.txt
cerebellum_exterior_left 1 0 cerebellum_exterior_left.txt
cerebellum_exterior_right 1 0 cerebellum_exterior_right.txt
cerebellum_white_matter_left 1 0 cerebellum_white_matter_left.txt
cerebellum_white_matter_right 1 0 cerebellum_white_matter_right.txt
CSF 1 0 CSF.txt
cuneus_left 1 0 cuneus_left.txt
cuneus_right 1 0 cuneus_right.txt
entorhinal_left 1 0 entorhinal_left.txt
entorhinal_right 1 0 entorhinal_right.txt
fusiform_left 1 0 fusiform_left.txt
fusiform_right 1 0 fusiform_right.txt
gray_matter 1 0 gray_matter.txt
hippocampus_left 1 0 hippocampus_left.txt
hippocampus_right 1 0 hippocampus_right.txt
inferior_lateral_ventricle_left 1 0 inferior_lateral_ventricle_left.txt
inferior_lateral_ventricle_right 1 0 inferior_lateral_ventricle_right.txt
inferior_parietal_left 1 0 inferior_parietal_left.txt
inferior_parietal_right 1 0 inferior_parietal_right.txt
inferior_temporal_left 1 0 inferior_temporal_left.txt
inferior_temporal_right 1 0 inferior_temporal_right.txt
insula_left 1 0 insula_left.txt
insula_right 1 0 insula_right.txt
isthmus_cingulate_left 1 0 isthmus_cingulate_left.txt
isthmus_cingulate_right 1 0 isthmus_cingulate_right.txt
lateral_occipital_left 1 0 lateral_occipital_left.txt
lateral_occipital_right 1 0 lateral_occipital_right.txt
lateral_orbitofrontal_left 1 0 lateral_orbitofrontal_left.txt
lateral_orbitofrontal_right 1 0 lateral_orbitofrontal_right.txt
lateral_ventricle_left 1 0 lateral_ventricle_left.txt
lateral_ventricle_right 1 0 lateral_ventricle_right.txt
lingual_left 1 0 lingual_left.txt
lingual_right 1 0 lingual_right.txt
medial_orbitofrontal_left 1 0 medial_orbitofrontal_left.txt
medial_orbitofrontal_right 1 0 medial_orbitofrontal_right.txt
middle_temporal_left 1 0 middle_temporal_left.txt
middle_temporal_right 1 0 middle_temporal_right.txt
optic_chiasm 1 0 optic_chiasm.txt
pallidum_left 1 0 pallidum_left.txt
pallidum_right 1 0 pallidum_right.txt
paracentral_left 1 0 paracentral_left.txt
paracentral_right 1 0 paracentral_right.txt
parahippocampal_left 1 0 parahippocampal_left.txt
parahippocampal_right 1 0 parahippocampal_right.txt
pars_opercularis_left 1 0 pars_opercularis_left.txt
pars_opercularis_right 1 0 pars_opercularis_right.txt
pars_orbitalis_left 1 0 pars_orbitalis_left.txt
pars_orbitalis_right 1 0 pars_orbitalis_right.txt
pars_triangularis_left 1 0 pars_triangularis_left.txt
pars_triangularis_right 1 0 pars_triangularis_right.txt
pericalcarine_left 1 0 pericalcarine_left.txt
pericalcarine_right 1 0 pericalcarine_right.txt
postcentral_left 1 0 postcentral_left.txt
postcentral_right 1 0 postcentral_right.txt
posterior_cingulate_left 1 0 posterior_cingulate_left.txt
posterior_cingulate_right 1 0 posterior_cingulate_right.txt
precentral_left 1 0 precentral_left.txt
precentral_right 1 0 precentral_right.txt
precuneus_left 1 0 precuneus_left.txt
precuneus_right 1 0 precuneus_right.txt
putamen_left 1 0 putamen_left.txt
putamen_right 1 0 putamen_right.txt
rostral_anterior_cingulate_left 1 0 rostral_anterior_cingulate_left.txt
rostral_anterior_cingulate_right 1 0 rostral_anterior_cingulate_right.txt
rostral_middle_frontal_left 1 0 rostral_middle_frontal_left.txt
rostral_middle_frontal_right 1 0 rostral_middle_frontal_right.txt
superior_frontal_left 1 0 superior_frontal_left.txt
superior_frontal_right 1 0 superior_frontal_right.txt
superior_parietal_left 1 0 superior_parietal_left.txt
superior_parietal_right 1 0 superior_parietal_right.txt
superior_temporal_left 1 0 superior_temporal_left.txt
superior_temporal_right 1 0 superior_temporal_right.txt
supramarginal_left 1 0 supramarginal_left.txt
supramarginal_right 1 0 supramarginal_right.txt
thalamus_proper_left 1 0 thalamus_proper_left.txt
thalamus_proper_right 1 0 thalamus_proper_right.txt
total_brain_volume 1 0 total_brain_volume.txt
transverse_temporal_left 1 0 transverse_temporal_left.txt
transverse_temporal_right 1 0 transverse_temporal_right.txt
ventral_DC_left 1 0 ventral_DC_left.txt
ventral_DC_right 1 0 ventral_DC_right.txt
vessel_left 1 0 vessel_left.txt
vessel_right 1 0 vessel_right.txt
white_matter 1 0 white_matter.txt
X3rd_ventricle 1 0 X3rd_ventricle.txt
X4th_ventricle 1 0 X4th_ventricle.txt
