depression FC_Default FC_Dorsal_Attention FC_Frontoparietal FC_global_fc_gmean FC_Limbic FC_Somatomotor FC_Ventral_Attention FC_Visual SC_Default SC_Dorsal_Attention SC_Frontoparietal SC_global_sc_fa SC_Limbic SC_Somatomotor SC_Ventral_Attention SC_Visual
depression 1 -0.00331 0.00181 -7e-04 0.0021 -0.00161 -0.01238 -0.01003 5e-04 0.00402 -0.00382 0.00282 -3e-04 -0.00242 -0.0073 0.00331 0.0013
FC_Default -0.00331 1 0.30186 0.17019 0.01967 0.29882 0.14993 0.0801 0.27262 3e-04 0.00681 -0.0012 0.03593 0.02508 0.01186 0.0123 0.04829
FC_Dorsal_Attention 0.00181 0.30186 1 -0.22352 0.01346 0.11835 -0.02675 -0.03654 -0.03103 0.0248 -0.03721 0.00781 0.01103 0.01012 -0.0199 0.01378 0.01835
FC_Frontoparietal -7e-04 0.17019 -0.22352 1 0.08756 0.04119 0.24624 0.10396 0.30398 -0.01687 -0.00689 -0.02741 -0.01746 0.0072 -0.00715 0.01455 -0.00485
FC_global_fc_gmean 0.0021 0.01967 0.01346 0.08756 1 0.10213 0.34132 0.27226 -0.0253 -0.02806 -0.04315 0.02501 -0.04168 0.0118 -0.07362 -0.01904 -0.02892
FC_Limbic -0.00161 0.29882 0.11835 0.04119 0.10213 1 0.07868 0.07911 0.1224 0.02795 0.01006 0.01803 0.06076 0.0561 0.02441 0.00221 0.02982
FC_Somatomotor -0.01238 0.14993 -0.02675 0.24624 0.34132 0.07868 1 0.32397 0.1491 -0.01716 -0.00552 0.00251 -0.01646 0.01247 -0.02666 -0.00581 -0.03325
FC_Ventral_Attention -0.01003 0.0801 -0.03654 0.10396 0.27226 0.07911 0.32397 1 0.19669 0.0254 0.01581 0.00962 0.02992 0.02364 0.02896 -0.0034 0.01101
FC_Visual 5e-04 0.27262 -0.03103 0.30398 -0.0253 0.1224 0.1491 0.19669 1 -0.01469 -0.014 0.02013 0.00675 0.01412 -0.00169 0.0018 -0.01507
SC_Default 0.00402 3e-04 0.0248 -0.01687 -0.02806 0.02795 -0.01716 0.0254 -0.01469 1 0.14199 -0.01204 0.41373 0.03462 0.21929 0.06612 0.11646
SC_Dorsal_Attention -0.00382 0.00681 -0.03721 -0.00689 -0.04315 0.01006 -0.00552 0.01581 -0.014 0.14199 1 -0.03544 0.31887 0.04868 0.1375 0.08776 0.03817
SC_Frontoparietal 0.00282 -0.0012 0.00781 -0.02741 0.02501 0.01803 0.00251 0.00962 0.02013 -0.01204 -0.03544 1 0.19829 0.0943 0.06432 -0.03879 0.02987
SC_global_sc_fa -3e-04 0.03593 0.01103 -0.01746 -0.04168 0.06076 -0.01646 0.02992 0.00675 0.41373 0.31887 0.19829 1 0.23354 0.36493 0.31117 0.31571
SC_Limbic -0.00242 0.02508 0.01012 0.0072 0.0118 0.0561 0.01247 0.02364 0.01412 0.03462 0.04868 0.0943 0.23354 1 0.10574 0.02736 0.02887
SC_Somatomotor -0.0073 0.01186 -0.0199 -0.00715 -0.07362 0.02441 -0.02666 0.02896 -0.00169 0.21929 0.1375 0.06432 0.36493 0.10574 1 -0.06132 0.123
SC_Ventral_Attention 0.00331 0.0123 0.01378 0.01455 -0.01904 0.00221 -0.00581 -0.0034 0.0018 0.06612 0.08776 -0.03879 0.31117 0.02736 -0.06132 1 0.07562
SC_Visual 0.0013 0.04829 0.01835 -0.00485 -0.02892 0.02982 -0.03325 0.01101 -0.01507 0.11646 0.03817 0.02987 0.31571 0.02887 0.123 0.07562 1
