accumbens_area_left accumbens_area_right amygdala_left amygdala_right basal_forebrain_left basal_forebrain_right Brain_stem caudal_anterior_cingulate_left caudal_anterior_cingulate_right caudal_middle_frontal_left caudal_middle_frontal_right caudate_left caudate_right cerebellar_vermal_lobules_I_V cerebellar_vermal_lobules_VIII_X cerebellar_vermal_lobules_VI_VII cerebellum_exterior_left cerebellum_exterior_right cerebellum_white_matter_left cerebellum_white_matter_right CSF cuneus_left cuneus_right depression entorhinal_left entorhinal_right fusiform_left fusiform_right gray_matter hippocampus_left hippocampus_right inferior_lateral_ventricle_left inferior_lateral_ventricle_right inferior_parietal_left inferior_parietal_right inferior_temporal_left inferior_temporal_right insula_left insula_right isthmus_cingulate_left isthmus_cingulate_right lateral_occipital_left lateral_occipital_right lateral_orbitofrontal_left lateral_orbitofrontal_right lateral_ventricle_left lateral_ventricle_right lingual_left lingual_right medial_orbitofrontal_left medial_orbitofrontal_right middle_temporal_left middle_temporal_right optic_chiasm pallidum_left pallidum_right paracentral_left paracentral_right parahippocampal_left parahippocampal_right pars_opercularis_left pars_opercularis_right pars_orbitalis_left pars_orbitalis_right pars_triangularis_left pars_triangularis_right pericalcarine_left pericalcarine_right postcentral_left postcentral_right posterior_cingulate_left posterior_cingulate_right precentral_left precentral_right precuneus_left precuneus_right putamen_left putamen_right rostral_anterior_cingulate_left rostral_anterior_cingulate_right rostral_middle_frontal_left rostral_middle_frontal_right superior_frontal_left superior_frontal_right superior_parietal_left superior_parietal_right superior_temporal_left superior_temporal_right supramarginal_left supramarginal_right thalamus_proper_left thalamus_proper_right total_brain_volume transverse_temporal_left transverse_temporal_right ventral_DC_left ventral_DC_right vessel_left vessel_right white_matter X3rd_ventricle X4th_ventricle
accumbens_area_left 1 0.76446 0.16362 0.16929 -0.03521 0.01584 0.23943 0.02251 0.01528 -0.00671 0.00602 0.22368 0.13221 0.02349 0.01303 -0.02792 0.02156 0.02651 0.10703 0.09349 -0.0551 0.0597 0.06329 0.00486 0.03229 0.01786 0.03009 0.03932 0.17359 0.09333 0.11524 -0.19429 -0.15805 0.06997 0.06944 0.02447 0.05164 0.15778 0.17132 0.08651 0.06733 0.04957 0.08804 0.08046 0.05504 -0.35067 -0.32002 0.05259 0.05832 0.15289 0.10104 0.04506 0.0287 NA 0.40662 0.38671 0.00965 0.07541 0.11296 0.06771 0.01322 0.00093 0.00336 0.00569 0.01537 0.00761 0.08037 0.06931 0.03942 0.04348 0.10775 0.08358 0.01869 0.04619 0.03925 0.03886 0.37209 0.3619 0.07061 0.0418 0.06315 0.03996 0.04051 0.02319 0.02449 0.04754 0.05253 0.04131 0.06272 0.03222 0.22348 0.18384 0.00281 -0.00651 -0.02281 0.21866 0.22787 0.03865 0.02257 0.1806 -0.33222 -0.13399
accumbens_area_right 0.76446 1 0.15837 0.17071 -0.03008 0.00243 0.22229 0.01691 0.03526 0.00747 -0.01364 0.2575 0.1407 0.02366 0.02217 -0.02644 0.01955 0.02516 0.10045 0.083 -0.05368 0.07005 0.04934 0.00459 0.02921 0.01645 0.03561 0.0262 0.16051 0.09505 0.11394 -0.16822 -0.15224 0.08124 0.05468 0.01155 0.05138 0.16636 0.15603 0.09389 0.05197 0.08389 0.0335 0.0571 0.09239 -0.31184 -0.3007 0.04956 0.05144 0.10477 0.14187 0.04809 0.05991 NA 0.35675 0.35495 0.03574 0.04669 0.08061 0.0781 0.03143 -0.01145 -0.01298 0.00847 0.03423 -0.00148 0.06521 0.05418 0.02971 0.04858 0.08596 0.09566 0.02483 0.02778 0.07378 0.03726 0.35488 0.34365 0.05467 0.05383 0.04386 0.04711 0.02074 0.05084 0.0254 0.05938 0.03437 0.03218 0.04143 0.06275 0.20158 0.17848 -0.00089 -0.00259 -0.02824 0.19675 0.20785 0.03584 0.01247 0.16749 -0.30236 -0.11663
amygdala_left 0.16362 0.15837 1 0.62357 -0.03402 -0.00707 0.06648 0.053 0.03088 0.04192 0.03189 0.1 0.08961 0.00078 0.02189 0.00556 0.05604 0.05789 0.00817 0.01021 -0.01659 0.04143 0.05397 -0.00297 0.24295 0.17975 0.09709 0.06391 0.113 0.34333 0.30298 0.04585 0.03996 0.03209 0.07995 0.12446 0.11663 0.15741 0.16052 0.07183 0.05845 -0.00463 0.08616 0.1039 0.09618 -0.06051 -0.03559 0.07387 0.07736 0.02522 0.02644 0.12897 0.14394 NA 0.09585 0.0837 0.025 0.03756 0.12694 0.09061 0.04761 0.00068 0.01908 0.02188 0.04207 0.04207 0.04589 0.04075 0.01638 0.00246 0.07892 0.06789 0.02509 0.0313 0.05052 0.05058 0.12344 0.11751 0.08561 0.0613 0.06154 0.05321 0.04799 0.0506 0.01626 0.01846 0.24418 0.20476 0.06258 0.06301 0.10852 0.10069 -0.00217 0.02525 0.00976 0.12947 0.10508 0.00969 0.00279 -0.01102 -0.06946 0.01306
amygdala_right 0.16929 0.17071 0.62357 1 -0.0245 0.02857 0.0929 0.03757 0.04588 0.0281 0.02819 0.11369 0.09311 0.01339 0.03111 0.02665 0.05734 0.0709 0.03109 0.0359 -0.00593 0.05943 0.04803 -0.007 0.18245 0.20686 0.07977 0.07962 0.09452 0.27111 0.34463 0.02332 0.08942 0.06512 0.05235 0.10608 0.11865 0.15811 0.16014 0.06989 0.05661 0.05753 0.01151 0.11132 0.08817 -0.04632 -0.05802 0.07325 0.07824 0.04026 0.03833 0.12475 0.15206 NA 0.10444 0.09808 0.04385 0.03739 0.10362 0.10807 0.03105 0.00475 0.01707 0.02861 0.05547 0.04871 0.02543 0.03306 -0.00645 0.00283 0.06321 0.07032 0.01764 0.01706 0.05341 0.05621 0.1223 0.12369 0.06973 0.06653 0.05654 0.04125 0.04048 0.04595 -0.00544 0.0081 0.20695 0.24062 0.05055 0.06996 0.11726 0.11897 0.00204 0.01983 0.02393 0.1329 0.1534 0.02842 -0.00137 -0.01627 -0.06517 -0.00373
basal_forebrain_left -0.03521 -0.03008 -0.03402 -0.0245 1 0.54308 -0.03459 0.02572 0.02566 -0.00083 0.00129 -0.0045 -0.00129 -0.0342 -0.00951 0.01935 0.00212 -0.01048 0.00448 -0.00282 0.08846 0.00373 0.01046 0.00198 0.09672 0.09158 0.00536 -0.00263 0.03159 -0.03706 -0.05388 -0.02332 -0.03027 0.05954 0.02999 0.07635 0.07252 0.00888 -0.00358 0.03527 0.00392 0.0981 0.06054 0.1459 0.11495 0.02271 0.01832 -0.00117 -0.03447 0.10645 0.12633 0.05071 0.05164 NA -0.03349 -0.03775 -0.03413 -0.01039 0.02042 7e-05 -0.01102 -0.03294 0.04647 0.04196 0.04567 0.04415 -1e-04 -0.00128 -0.02962 -0.01389 -0.01533 -0.00568 -0.03123 -0.03302 0.02724 0.01477 -0.02587 -0.01338 0.08667 0.09902 0.01246 0.00409 0.00934 0.0259 0.0035 -0.00325 0.02725 0.01725 -0.00844 0.02226 -0.04276 -0.04591 0.00468 0.0409 0.01984 -0.06434 -0.07092 0.08676 0.06693 -0.13872 0.04271 -0.06427
basal_forebrain_right 0.01584 0.00243 -0.00707 0.02857 0.54308 1 -0.01343 0.00123 0.0014 -0.01818 -0.01445 0.02385 0.04078 -0.03308 -0.01246 0.02423 0.01597 -0.00534 0.01166 0.00666 0.05716 -0.00982 0.01856 0.00256 0.0768 0.10737 0.01642 0.00971 0.02954 -0.03163 -0.03756 -0.00862 -0.03176 0.05422 0.04932 0.09269 0.06491 0.00533 0.00435 0.01041 -0.00726 0.07087 0.09217 0.10893 0.11233 0.04053 0.06211 -0.0091 -0.01669 0.12215 0.12249 0.06597 0.03014 NA 0.00672 -0.00189 -0.04612 -0.0178 0.00975 -0.00394 -0.02393 -0.04311 0.03693 0.03228 0.04852 0.04132 0.00722 0.01563 -0.01013 -0.01669 -0.02791 -0.0272 -0.03843 -0.02976 0.00369 0.00921 0.04162 0.03078 0.0814 0.07118 0.02346 0.00182 0.01882 0.02477 -0.00931 -0.01211 0.02549 0.02383 0.01288 0.01772 -0.02005 -0.02164 0.00294 0.03883 0.01706 -0.02612 -0.03351 0.07252 0.07708 -0.12669 0.04491 -0.04313
Brain_stem 0.23943 0.22229 0.06648 0.0929 -0.03459 -0.01343 1 -0.07173 -0.03774 -0.10204 -0.1078 0.0689 -0.00479 0.24727 0.25259 0.14669 0.38986 0.40346 0.72821 0.71354 0.01021 0.02288 0.01902 -0.00271 -0.01059 -0.01915 -0.07268 -0.04989 -0.1687 0.1641 0.17664 -0.03696 -0.02374 -0.01467 -0.02358 -0.11922 -0.10298 0.04052 0.0418 0.02395 0.01039 -0.05908 -0.08375 -0.07075 -0.07026 -0.1745 -0.18309 -0.03463 -0.01624 0.04399 0.06077 -0.05075 -0.05884 NA 0.3979 0.41501 -0.01557 0.00289 0.05839 0.05654 -0.04725 -0.05082 -0.00766 -0.00056 0.02228 0.00998 0.03011 0.04134 -0.03956 -0.02611 -0.02095 -0.032 -0.01886 -0.01557 -0.0475 -0.03914 0.19713 0.1887 -0.07386 -0.07526 -0.08452 -0.09285 -0.0858 -0.09961 -0.05692 -0.03734 -0.0572 -0.0705 -0.03452 -0.03014 0.41607 0.38451 0.00831 -0.04073 -0.0448 0.76481 0.75337 0.02676 -0.00952 0.19782 -0.11917 0.01654
caudal_anterior_cingulate_left 0.02251 0.01691 0.053 0.03757 0.02572 0.00123 -0.07173 1 0.36765 0.09878 0.11371 -0.04829 -0.04235 -0.01415 -0.01841 -0.01831 -0.04125 -0.04972 -0.06044 -0.05654 0.05863 0.06827 0.07422 -0.00396 -0.0277 -0.05464 0.11357 0.11368 0.19191 0.05133 0.05809 -0.03483 -0.01139 0.01761 0.02338 0.0094 -0.01639 0.21962 0.21385 0.19547 0.17101 0.02 0.05188 0.10918 0.09913 -0.0772 -0.0872 0.12268 0.16207 0.19525 0.16442 0.02395 0.00617 NA -0.04106 -0.04794 0.23493 0.26104 0.00765 0.0042 0.0772 0.07896 0.04356 0.02339 0.00489 0.01558 0.01451 0.03704 0.02043 0.01396 0.3938 0.30595 0.03578 0.04925 0.25367 0.25223 0.04344 0.04772 0.49294 0.30584 0.12629 0.08772 -0.02104 0.20285 -0.02388 -0.04754 0.06309 0.05012 0.02737 0.01836 0.03938 0.01985 0.00284 0.07415 0.08284 -0.07084 -0.06751 -0.02756 0.01221 -0.04396 0.04426 -0.0212
caudal_anterior_cingulate_right 0.01528 0.03526 0.03088 0.04588 0.02566 0.0014 -0.03774 0.36765 1 0.08011 0.05818 -0.05054 -0.05739 -0.02431 -0.02208 -0.01408 -0.04214 -0.05112 -0.03372 -0.03625 0.09715 0.09404 0.04103 0.00164 -0.02529 -0.04957 0.08508 0.08422 0.11709 0.00137 0.00798 -0.05922 -0.01171 0.05313 0.0266 0.0211 0.01196 0.10114 0.08565 0.08961 0.09955 0.05388 0.03572 0.08836 0.0876 -0.02812 -0.07733 0.1195 0.08298 0.08152 0.12042 0.00516 0.06131 NA -0.02012 -0.03169 0.12026 0.1084 -0.00067 0.00435 0.0601 0.06788 0.02637 0.03492 -0.01158 0.01759 0.0122 0.0061 -0.0128 0.00156 0.1916 0.29255 0.04155 0.02434 0.11941 0.11553 0.00964 0.01427 0.22411 0.36422 0.09965 0.06769 0.08182 -0.1314 -0.0034 -0.03498 0.03307 0.0194 -0.0106 0.01852 0.02855 0.02066 -0.00104 -0.00434 0.00434 -0.04899 -0.05848 0.00751 0.02223 -0.01288 0.02028 -0.04554
caudal_middle_frontal_left -0.00671 0.00747 0.04192 0.0281 -0.00083 -0.01818 -0.10204 0.09878 0.08011 1 0.47311 0.00055 -0.00794 -0.07667 -0.07184 -0.06001 -0.10134 -0.09631 -0.13718 -0.1387 -0.05044 0.05469 0.02996 -0.00792 0.06874 0.05157 0.01044 0.00342 0.14482 -0.00851 -0.01503 -0.00404 0.00231 -0.03596 -0.03099 0.05963 0.06743 0.02561 0.01234 0.03081 0.01752 0.08024 0.05991 0.10636 0.14109 -0.02732 -0.03799 0.03056 0.00618 0.02378 0.04283 -0.03797 0.01435 NA -0.02688 -0.04861 0.16294 0.10134 -0.05455 -0.03068 0.13599 0.12771 -0.01236 0.01736 0.10634 0.09676 0.03522 0.00756 -0.00322 0.00852 0.05846 0.05856 0.25998 0.28649 0.02369 0.02066 0.01093 0.01199 0.08032 0.06771 0.24684 0.29879 0.04804 0.19674 0.1284 0.12724 0.07342 0.07411 -0.07368 -0.04001 0.01717 0.01652 0.00616 0.00034 -0.00779 -0.07832 -0.07946 -0.00626 -0.01822 -0.05768 -0.01504 -0.06102
