new	old
brain_amygdala	Brain_Amygdala
brain_anterior_cingulate_b24	Brain_Anterior_cingulate_cortex_BA24
brain_caudate	Brain_Caudate_basal_ganglia
brain_cerebellar	Brain_Cerebellar_Hemisphere
brain_cerebellum	Brain_Cerebellum
brain_cortex	Brain_Cortex
brain_frontal_cortex_b9	Brain_Frontal_Cortex_BA9
brain_hippocampus	Brain_Hippocampus
brain_hypothalamus	Brain_Hypothalamus
brain_nucleus_accumbens	Brain_Nucleus_accumbens_basal_ganglia
brain_putamen	Brain_Putamen_basal_ganglia
brain_spinal_cord	Brain_Spinal_cord_cervical_c-1
brain_substantia_nigra	Brain_Substantia_nigra
adrenal_gland	Adrenal_Gland
cells_lymphocytes	Cells_EBV-transformed_lymphocytes
pituitary	Pituitary
thyroid	Thyroid
whole_blood	Whole_Blood
