id	or	p	ens.ids	gene.names
GO_bp:go_endocytic_recycling	780.91	0.0025902698563488	ENSG00000111737	RAB35
GO_bp:go_response_to_nerve_growth_factor	532.11	0.0038324062349071	ENSG00000111737	RAB35
GO_cc:go_intercellular_bridge	441.03	0.00455662838029791	ENSG00000111737	RAB35
GO_bp:go_protein_localization_to_vacuole	430.76	0.00466006718902223	ENSG00000111737	RAB35
GO_mf:go_phosphatidylinositol_4_5_bisphosphate_binding	385.84	0.0051771806118075	ENSG00000111737	RAB35
GO_mf:go_gdp_binding	378.24	0.00528058717298441	ENSG00000111737	RAB35
GO_cc:go_clathrin_coated_endocytic_vesicle	305.38	0.00652104668793896	ENSG00000111737	RAB35
GO_cc:go_coated_pit	288.28	0.00693436120716528	ENSG00000111737	RAB35
GO_mf:go_phosphatidylinositol_bisphosphate_binding	268.4	0.00745088342871281	ENSG00000111737	RAB35
GO_bp:go_cytokinesis	229.58	0.00868998855423453	ENSG00000111737	RAB35
GO_cc:go_pigment_granule	191.69	0.0104440626535197	ENSG00000111737	RAB35
GO_mf:go_phosphatidylinositol_phosphate_binding	167.25	0.0118874279843095	ENSG00000111737	RAB35
GO_cc:go_clathrin_coated_vesicle	124.66	0.0159026767972908	ENSG00000111737	RAB35
GO_mf:go_phosphatase_binding	118.33	0.0167253071619626	ENSG00000146112	PPP1R18
GO_bp:go_er_to_golgi_vesicle_mediated_transport	114.65	0.0172392764664292	ENSG00000111737	RAB35
GO_mf:go_phosphatidylinositol_binding	97.67	0.0202176487747325	ENSG00000111737	RAB35
GO_bp:go_antigen_processing_and_presentation	92	0.0214487565535523	ENSG00000111737	RAB35
GO_cc:go_coated_vesicle	83.31	0.0236013328804424	ENSG00000111737	RAB35
GO_mf:go_gtpase_activity	79.49	0.0247279269384274	ENSG00000111737	RAB35
GO_bp:go_vacuolar_transport	76.91	0.0255468596047955	ENSG00000111737	RAB35
GO_cc:go_endocytic_vesicle	75.68	0.0259561969480979	ENSG00000111737	RAB35
GO_cc:go_cell_projection_membrane	64.72	0.0302490472310953	ENSG00000111737	RAB35
GO_bp:go_golgi_vesicle_transport	59.72	0.0326978478831786	ENSG00000111737	RAB35
GO_bp:go_nuclear_transport	54.68	0.0356526849869884	ENSG00000111737	RAB35
GO_bp:go_small_gtpase_mediated_signal_transduction	54.68	0.0356526849869884	ENSG00000111737	RAB35
GO_mf:go_phospholipid_binding	54.04	0.0360598940043824	ENSG00000111737	RAB35
GO_mf:go_guanyl_nucleotide_binding	49.56	0.0392128481896201	ENSG00000111737	RAB35
GO_mf:go_actin_binding	49.3	0.0394160872283654	ENSG00000146112	PPP1R18
GO_cc:go_endosomal_part	44.66	0.0433749515177402	ENSG00000111737	RAB35
GO_bp:go_cell_division	41.12	0.0470220321272744	ENSG00000111737	RAB35
GO_bp:go_response_to_growth_factor	40.31	0.0478315485620765	ENSG00000111737	RAB35
GO_bp:go_neuron_projection_development	34.69	0.0553032691655978	ENSG00000111737	RAB35
GO_bp:go_protein_localization_to_organelle	34	0.0564114177286843	ENSG00000111737	RAB35
GO_cc:go_vacuolar_membrane	32.34	0.0591286615976151	ENSG00000111737	RAB35
GO_mf:go_lipid_binding	29.05	0.0654536604106558	ENSG00000111737	RAB35
GO_bp:go_neuron_development	27.35	0.0693584458639038	ENSG00000111737	RAB35
GO_cc:go_vacuolar_part	27.14	0.0698584681815381	ENSG00000111737	RAB35
