id	or	p	ens.ids	gene.names
GO_bp:go_regulation_of_dna_damage_checkpoint	Inf	0.000673889378505765	ENSG00000198563	DDX39B
GO_bp:go_positive_regulation_of_cardiac_muscle_cell_differentiation	Inf	0.000673889378505765	ENSG00000198563	DDX39B
GO_cc:go_transcription_export_complex	Inf	0.000673889378505765	ENSG00000198563	DDX39B
GO_bp:go_regulation_of_cardiac_muscle_cell_differentiation	Inf	0.000984915245078155	ENSG00000198563	DDX39B
GO_bp:go_positive_regulation_of_muscle_hypertrophy	Inf	0.00114042817912863	ENSG00000198563	DDX39B
GO_bp:go_positive_regulation_of_dna_templated_transcription_elongation	Inf	0.00119226582311205	ENSG00000198563	DDX39B
GO_bp:go_positive_regulation_of_heart_growth	Inf	0.00139961640112085	ENSG00000198563	DDX39B
GO_bp:go_regulation_of_cell_cycle_checkpoint	Inf	0.00150329168988117	ENSG00000198563	DDX39B
GO_bp:go_positive_regulation_of_cardiac_muscle_tissue_development	Inf	0.00150329168988117	ENSG00000198563	DDX39B
GO_mf:go_snrna_binding	Inf	0.00176247991225276	ENSG00000198563	DDX39B
GO_bp:go_regulation_of_muscle_hypertrophy	Inf	0.00191799284584593	ENSG00000198563	DDX39B
GO_bp:go_positive_regulation_of_organ_growth	Inf	0.00196983049098398	ENSG00000198563	DDX39B
GO_bp:go_rna_secondary_structure_unwinding	Inf	0.00217718106835629	ENSG00000198563	DDX39B
GO_bp:go_regulation_of_heart_growth	Inf	0.00217718106835629	ENSG00000198563	DDX39B
GO_bp:go_regulation_of_dna_templated_transcription_elongation	Inf	0.00228085635747355	ENSG00000198563	DDX39B
GO_bp:go_regulation_of_cardiac_muscle_tissue_development	Inf	0.00248820693576912	ENSG00000198563	DDX39B
GO_bp:go_negative_regulation_of_response_to_dna_damage_stimulus	Inf	0.00264371986937306	ENSG00000198563	DDX39B
GO_bp:go_positive_regulation_of_striated_muscle_cell_differentiation	Inf	0.00269555751377526	ENSG00000198563	DDX39B
GO_bp:go_spliceosomal_complex_assembly	Inf	0.00274739515847777	ENSG00000198563	DDX39B
GO_bp:go_positive_regulation_of_muscle_tissue_development	Inf	0.00290290809124472	ENSG00000198563	DDX39B
GO_bp:go_positive_regulation_of_dna_biosynthetic_process	Inf	0.00305842102541776	ENSG00000198563	DDX39B
GO_bp:go_positive_regulation_of_smooth_muscle_cell_proliferation	Inf	0.00305842102541776	ENSG00000198563	DDX39B
GO_cc:go_small_nuclear_ribonucleoprotein_complex	Inf	0.00311025867003134	ENSG00000198563	DDX39B
GO_bp:go_termination_of_rna_polymerase_ii_transcription	Inf	0.00316209631371012	ENSG00000198563	DDX39B
