id	or	p	ens.ids	gene.names
Canonical_pathway:reactome_endosomal_vacuolar_pathway	Inf	0.000414701155283859	ENSG00000204632	HLA-G
GO_cc:go_mhc_class_i_protein_complex	Inf	0.00051837644506636	ENSG00000204632	HLA-G
GO_bp:go_regulation_of_dendritic_cell_differentiation	Inf	0.000622051733893292	ENSG00000204632	HLA-G
GO_bp:go_regulation_of_t_cell_tolerance_induction	Inf	0.000622051733893292	ENSG00000204632	HLA-G
GO_bp:go_regulation_of_regulatory_t_cell_differentiation	Inf	0.000673889378505765	ENSG00000204632	HLA-G
GO_bp:go_regulation_of_tolerance_induction	Inf	0.000933077600735799	ENSG00000204632	HLA-G
Canonical_pathway:reactome_antigen_presentation_folding_assembly_and_peptide_loading_of_class_i_mhc	Inf	0.00103675288969252	ENSG00000204632	HLA-G
GO_cc:go_mhc_protein_complex	Inf	0.00124410346782955	ENSG00000204632	HLA-G
GO_mf:go_peptide_antigen_binding	Inf	0.00134777875671854	ENSG00000204632	HLA-G
GO_cc:go_lumenal_side_of_membrane	Inf	0.00155512933447	ENSG00000204632	HLA-G
GO_bp:go_positive_regulation_of_interleukin_12_production	Inf	0.00171064226830353	ENSG00000204632	HLA-G
Canonical_pathway:kegg_allograft_rejection	Inf	0.0018143175576617	ENSG00000204632	HLA-G
Canonical_pathway:kegg_graft_versus_host_disease	Inf	0.00191799284584593	ENSG00000204632	HLA-G
Canonical_pathway:kegg_type_i_diabetes_mellitus	Inf	0.00212534342447601	ENSG00000204632	HLA-G
Canonical_pathway:kegg_autoimmune_thyroid_disease	Inf	0.00259188222462381	ENSG00000204632	HLA-G
GO_bp:go_negative_regulation_of_t_cell_proliferation	Inf	0.00259188222462381	ENSG00000204632	HLA-G
GO_bp:go_regulation_of_interleukin_12_production	Inf	0.00264371986937306	ENSG00000204632	HLA-G
GO_cc:go_er_to_golgi_transport_vesicle_membrane	Inf	0.00264371986937306	ENSG00000204632	HLA-G
Canonical_pathway:reactome_er_phagosome_pathway	Inf	0.00295474573613741	ENSG00000204632	HLA-G
GO_bp:go_cellular_defense_response	Inf	0.00295474573613741	ENSG00000204632	HLA-G
GO_cc:go_phagocytic_vesicle_membrane	Inf	0.00295474573613741	ENSG00000204632	HLA-G
Canonical_pathway:reactome_interferon_gamma_signaling	Inf	0.00305842102541776	ENSG00000204632	HLA-G
Canonical_pathway:reactome_immunoregulatory_interactions_between_a_lymphoid_and_a_non_lymphoid_cell	Inf	0.00311025867003134	ENSG00000204632	HLA-G
Canonical_pathway:reactome_interferon_alpha_beta_signaling	Inf	0.00321393395816394	ENSG00000204632	HLA-G
GO_bp:go_antigen_processing_and_presentation_of_exogenous_peptide_antigen_via_mhc_class_i	Inf	0.0033176092477113	ENSG00000204632	HLA-G
GO_bp:go_response_to_type_i_interferon	Inf	0.00342128453637103	ENSG00000204632	HLA-G
