id	or	p	ens.ids	gene.names
Canonical_pathway:reactome_endosomal_vacuolar_pathway	2428.82	0.000829251824079891	ENSG00000204632	HLA-G
GO_cc:go_mhc_class_i_protein_complex	2046.94	0.00103651103424396	ENSG00000204632	HLA-G
GO_cc:go_derlin_1_retrotranslocation_complex	1766.94	0.00114013257787027	ENSG00000204308	RNF5
GO_bp:go_regulation_of_dendritic_cell_differentiation	1756.99	0.00124374874681132	ENSG00000204632	HLA-G
GO_bp:go_regulation_of_t_cell_tolerance_induction	1756.99	0.00124374874681132	ENSG00000204632	HLA-G
GO_bp:go_regulation_of_regulatory_t_cell_differentiation	1594.13	0.00134735954118537	ENSG00000204632	HLA-G
GO_bp:go_response_to_misfolded_protein	1380.88	0.00145096496057395	ENSG00000204308	RNF5
GO_bp:go_misfolded_or_incompletely_synthesized_protein_catabolic_process	1233.95	0.00165815967646143	ENSG00000204308	RNF5
GO_bp:go_regulation_of_tolerance_induction	1126.59	0.00186533289379942	ENSG00000204632	HLA-G
Canonical_pathway:reactome_antigen_presentation_folding_assembly_and_peptide_loading_of_class_i_mhc	962.82	0.00207248461298037	ENSG00000204632	HLA-G
GO_cc:go_mhc_protein_complex	815.21	0.00248672355682755	ENSG00000204632	HLA-G
GO_cc:go_nuclear_outer_membrane_endoplasmic_reticulum_membrane_network	Inf	0.00264179040183467	ENSG00000204632;ENSG00000204308	HLA-G;RNF5
GO_mf:go_peptide_antigen_binding	750.79	0.00269381078120445	ENSG00000204632	HLA-G
GO_cc:go_membrane_protein_complex	Inf	0.00273315794527237	ENSG00000204632;ENSG00000204308	HLA-G;RNF5
GO_cc:go_lumenal_side_of_membrane	643.42	0.0031079207351935	ENSG00000204632	HLA-G
GO_bp:go_positive_regulation_of_interleukin_12_production	590.15	0.00341844676831127	ENSG00000204632	HLA-G
GO_bp:go_regulation_of_autophagosome_assembly	590.15	0.00341844676831127	ENSG00000204308	RNF5
GO_bp:go_protein_destabilization	573.49	0.00352194469676559	ENSG00000204308	RNF5
GO_bp:go_protein_k63_linked_ubiquitination	573.49	0.00352194469676559	ENSG00000204308	RNF5
GO_cc:go_endoplasmic_reticulum_part	Inf	0.00353849297137776	ENSG00000204632;ENSG00000204308	HLA-G;RNF5
Canonical_pathway:kegg_allograft_rejection	554.39	0.00362543725051878	ENSG00000204632	HLA-G
Canonical_pathway:kegg_graft_versus_host_disease	532.11	0.0038324062349071	ENSG00000204632	HLA-G
GO_bp:go_regulation_of_vacuole_organization	491.75	0.00414281940167482	ENSG00000204308	RNF5
Canonical_pathway:kegg_type_i_diabetes_mellitus	474.9	0.00424627970800795	ENSG00000204632	HLA-G
GO_bp:go_protein_k48_linked_ubiquitination	420.94	0.00476350062269781	ENSG00000204308	RNF5
Canonical_pathway:kegg_autoimmune_thyroid_disease	385.84	0.0051771806118075	ENSG00000204632	HLA-G
GO_bp:go_negative_regulation_of_t_cell_proliferation	385.84	0.0051771806118075	ENSG00000204632	HLA-G
GO_bp:go_regulation_of_interleukin_12_production	378.24	0.00528058717298441	ENSG00000204632	HLA-G
GO_cc:go_er_to_golgi_transport_vesicle_membrane	378.24	0.00528058717298441	ENSG00000204632	HLA-G
GO_bp:go_negative_regulation_of_autophagy	364.81	0.00548738417073091	ENSG00000204308	RNF5
Canonical_pathway:reactome_er_phagosome_pathway	339.88	0.00590091367253143	ENSG00000204632	HLA-G
GO_bp:go_cellular_defense_response	339.88	0.00590091367253143	ENSG00000204632	HLA-G
GO_cc:go_phagocytic_vesicle_membrane	339.88	0.00590091367253143	ENSG00000204632	HLA-G
Canonical_pathway:reactome_interferon_gamma_signaling	329.99	0.00610764617624737	ENSG00000204632	HLA-G
Canonical_pathway:reactome_immunoregulatory_interactions_between_a_lymphoid_and_a_non_lymphoid_cell	325.21	0.00621100436570643	ENSG00000204632	HLA-G
GO_bp:go_er_associated_ubiquitin_dependent_protein_catabolic_process	320.48	0.0063143571812635	ENSG00000204308	RNF5
Canonical_pathway:reactome_interferon_alpha_beta_signaling	309.82	0.00641770462197111	ENSG00000204632	HLA-G
GO_bp:go_antigen_processing_and_presentation_of_exogenous_peptide_antigen_via_mhc_class_i	300.99	0.0066243833798082	ENSG00000204632	HLA-G
GO_bp:go_response_to_type_i_interferon	292.44	0.00683104063904627	ENSG00000204632	HLA-G
