id	or	p	ens.ids	gene.names
GO_bp:go_positive_regulation_of_striated_muscle_cell_differentiation	40.4	0.00144829432468696	ENSG00000137312;ENSG00000119401	FLOT1;TRIM32
GO_bp:go_reproduction	5.81	0.00169100836474781	ENSG00000122420;ENSG00000168070;ENSG00000188596;ENSG00000100601;ENSG00000118816;ENSG00000119318	PTGFR;MAJIN;CFAP54;ALKBH1;CCNI;RAD23B
GO_bp:go_dna_methylation_or_demethylation	35.42	0.00186024848951784	ENSG00000118058;ENSG00000100601	KMT2A;ALKBH1
GO_bp:go_dna_modification	26.22	0.00330615835166637	ENSG00000118058;ENSG00000100601	KMT2A;ALKBH1
GO_bp:go_positive_regulation_of_muscle_cell_differentiation	24.62	0.00372853209915213	ENSG00000137312;ENSG00000119401	FLOT1;TRIM32
GO_bp:go_regulation_of_striated_muscle_cell_differentiation	24.32	0.00381587788892158	ENSG00000137312;ENSG00000119401	FLOT1;TRIM32
GO_bp:go_regulation_of_type_i_interferon_production	18.66	0.00630395879653327	ENSG00000137312;ENSG00000119401	FLOT1;TRIM32
GO_mf:go_ubiquitin_like_protein_binding	17.37	0.007220896263986	ENSG00000119318;ENSG00000119401	RAD23B;TRIM32
GO_bp:go_dna_metabolic_process	5.99	0.00734973607180338	ENSG00000118058;ENSG00000100601;ENSG00000138496;ENSG00000119318	KMT2A;ALKBH1;PARP9;RAD23B
GO_cc:go_sarcolemma	16.37	0.00806990728571223	ENSG00000137312;ENSG00000128591	FLOT1;FLNC
Canonical_pathway:reactome_prostanoid_ligand_receptors	119.77	0.00975677638217254	ENSG00000122420	PTGFR
GO_bp:go_regulation_of_response_to_cytokine_stimulus	14.59	0.010032872793593	ENSG00000138496;ENSG00000119401	PARP9;TRIM32
GO_bp:go_negative_regulation_of_multi_organism_process	13.79	0.0111581895949557	ENSG00000204516;ENSG00000119401	MICB;TRIM32
GO_bp:go_regulation_of_muscle_cell_differentiation	13.41	0.0117409070213499	ENSG00000137312;ENSG00000119401	FLOT1;TRIM32
GO_bp:go_regulation_of_cell_cell_adhesion_mediated_by_cadherin	95.81	0.0119126027913914	ENSG00000137312	FLOT1
GO_bp:go_chromosome_localization_to_nuclear_envelope_involved_in_homologous_chromosome_segregation	95.81	0.0119126027913914	ENSG00000168070	MAJIN
GO_bp:go_telomere_localization	95.81	0.0119126027913914	ENSG00000168070	MAJIN
GO_bp:go_male_gamete_generation	7.02	0.0122712901756234	ENSG00000188596;ENSG00000118816;ENSG00000119318	CFAP54;CCNI;RAD23B
GO_bp:go_multi_organism_reproductive_process	5.1	0.0124494713945783	ENSG00000122420;ENSG00000188596;ENSG00000118816;ENSG00000119318	PTGFR;CFAP54;CCNI;RAD23B
GO_bp:go_response_to_phenylpropanoid	87.08	0.0129888390643047	ENSG00000167656	LY6D
GO_bp:go_oxidative_demethylation	87.08	0.0129888390643047	ENSG00000100601	ALKBH1
GO_bp:go_cellular_response_to_exogenous_dsrna	87.08	0.0129888390643047	ENSG00000137312	FLOT1
GO_bp:go_peptidyl_lysine_dimethylation	87.08	0.0129888390643047	ENSG00000118058	KMT2A
GO_cc:go_cell_trailing_edge	87.08	0.0129888390643047	ENSG00000137312	FLOT1
GO_bp:go_dna_repair	6.84	0.0130946118686565	ENSG00000100601;ENSG00000138496;ENSG00000119318	ALKBH1;PARP9;RAD23B
GO_bp:go_tissue_homeostasis	12.41	0.0135679154616553	ENSG00000118058;ENSG00000119401	KMT2A;TRIM32
GO_bp:go_cell_projection_organization	4.84	0.0147596076569897	ENSG00000188596;ENSG00000100601;ENSG00000137312;ENSG00000119401	CFAP54;ALKBH1;FLOT1;TRIM32
Canonical_pathway:reactome_cell_extracellular_matrix_interactions	73.82	0.0151379632537019	ENSG00000128591	FLNC
GO_bp:go_regulation_of_short_term_neuronal_synaptic_plasticity	73.82	0.0151379632537019	ENSG00000118058	KMT2A
GO_bp:go_response_to_potassium_ion	73.82	0.0151379632537019	ENSG00000118058	KMT2A
GO_bp:go_histone_h3_k4_trimethylation	73.82	0.0151379632537019	ENSG00000118058	KMT2A
GO_bp:go_regulation_of_histone_h3_k9_acetylation	73.82	0.0151379632537019	ENSG00000118058	KMT2A
GO_cc:go_nucleotide_excision_repair_complex	73.82	0.0151379632537019	ENSG00000119318	RAD23B
GO_mf:go_dna_apurinic_or_apyrimidinic_site_lyase_activity	73.82	0.0151379632537019	ENSG00000100601	ALKBH1
GO_mf:go_cysteine_type_peptidase_activity	11.48	0.015677870266085	ENSG00000174080;ENSG00000138468	CTSF;SENP7
Canonical_pathway:reactome_eicosanoid_ligand_binding_receptors	68.5	0.0162108533700095	ENSG00000122420	PTGFR
GO_bp:go_dna_demethylation	68.5	0.0162108533700095	ENSG00000100601	ALKBH1
GO_bp:go_cilium_or_flagellum_dependent_cell_motility	68.5	0.0162108533700095	ENSG00000188596	CFAP54
GO_cc:go_nuclear_membrane_part	68.5	0.0162108533700095	ENSG00000168070	MAJIN
GO_mf:go_icosanoid_receptor_activity	68.5	0.0162108533700095	ENSG00000122420	PTGFR
GO_bp:go_calcium_mediated_signaling_using_intracellular_calcium_source	64.07	0.0172826302987732	ENSG00000122420	PTGFR
GO_bp:go_positive_regulation_of_histone_h3_k4_methylation	64.07	0.0172826302987732	ENSG00000118058	KMT2A
GO_bp:go_protein_kinase_c_signaling	64.07	0.0172826302987732	ENSG00000137312	FLOT1
