id	or	p	ens.ids	gene.names
GO_bp:go_regulation_of_protein_activation_cascade	99.74	7.11518538053411e-06	ENSG00000149131;ENSG00000244731;ENSG00000224389	SERPING1;C4A;C4B
GO_bp:go_humoral_immune_response_mediated_by_circulating_immunoglobulin	94.18	8.43508652996237e-06	ENSG00000149131;ENSG00000244731;ENSG00000224389	SERPING1;C4A;C4B
GO_bp:go_complement_activation	74.14	1.6375862212607e-05	ENSG00000149131;ENSG00000244731;ENSG00000224389	SERPING1;C4A;C4B
GO_bp:go_regulation_of_humoral_immune_response	65.2	2.3741091242532e-05	ENSG00000149131;ENSG00000244731;ENSG00000224389	SERPING1;C4A;C4B
GO_bp:go_b_cell_mediated_immunity	49.88	5.09248232020741e-05	ENSG00000149131;ENSG00000244731;ENSG00000224389	SERPING1;C4A;C4B
GO_bp:go_protein_activation_cascade	49.12	5.32379249172587e-05	ENSG00000149131;ENSG00000244731;ENSG00000224389	SERPING1;C4A;C4B
Canonical_pathway:kegg_complement_and_coagulation_cascades	48.38	5.56188890510783e-05	ENSG00000149131;ENSG00000244731;ENSG00000224389	SERPING1;C4A;C4B
GO_bp:go_regulation_of_acute_inflammatory_response	45.57	6.58396280492973e-05	ENSG00000149131;ENSG00000244731;ENSG00000224389	SERPING1;C4A;C4B
Canonical_pathway:biocarta_lectin_pathway	202.09	7.40037895604803e-05	ENSG00000244731;ENSG00000224389	C4A;C4B
GO_bp:go_regulation_of_protein_maturation	40.41	9.31594661314759e-05	ENSG00000149131;ENSG00000244731;ENSG00000224389	SERPING1;C4A;C4B
Canonical_pathway:biocarta_classic_pathway	167.79	0.000101901624002302	ENSG00000244731;ENSG00000224389	C4A;C4B
Canonical_pathway:biocarta_comp_pathway	118.63	0.000190857953928253	ENSG00000244731;ENSG00000224389	C4A;C4B
GO_mf:go_complement_binding	118.63	0.000190857953928253	ENSG00000244731;ENSG00000224389	C4A;C4B
