id	or	p	ens.ids	gene.names
GO_bp:go_regulation_of_microtubule_polymerization_or_depolymerization	165.07	7.36617049824005e-06	ENSG00000136122;ENSG00000083535;ENSG00000119541	BORA;PIBF1;VPS4B
GO_bp:go_regulation_of_spindle_organization	693.92	1.01926206843508e-05	ENSG00000136122;ENSG00000119541	BORA;VPS4B
GO_bp:go_regulation_of_protein_complex_disassembly	134.16	1.34291073506094e-05	ENSG00000136122;ENSG00000083535;ENSG00000119541	BORA;PIBF1;VPS4B
GO_bp:go_regulation_of_microtubule_based_process	119.64	1.89041047443189e-05	ENSG00000136122;ENSG00000083535;ENSG00000119541	BORA;PIBF1;VPS4B
GO_bp:go_metaphase_plate_congression	320.28	4.60833416183573e-05	ENSG00000083535;ENSG00000119541	PIBF1;VPS4B
GO_bp:go_mitotic_nuclear_division	79.23	6.26825746317691e-05	ENSG00000136122;ENSG00000083535;ENSG00000119541	BORA;PIBF1;VPS4B
GO_bp:go_chromosome_localization	217.01	9.77541479678129e-05	ENSG00000083535;ENSG00000119541	PIBF1;VPS4B
GO_cc:go_centrosome	58.94	0.000148401770298391	ENSG00000204899;ENSG00000083535;ENSG00000119541	MZT1;PIBF1;VPS4B
GO_bp:go_organelle_fission	57.58	0.00015870177233801	ENSG00000136122;ENSG00000083535;ENSG00000119541	BORA;PIBF1;VPS4B
GO_bp:go_regulation_of_cytoskeleton_organization	57.23	0.000161590196830971	ENSG00000136122;ENSG00000083535;ENSG00000119541	BORA;PIBF1;VPS4B
GO_bp:go_mitotic_sister_chromatid_segregation	143.62	0.000218064242395839	ENSG00000083535;ENSG00000119541	PIBF1;VPS4B
GO_cc:go_microtubule_organizing_center	45.63	0.000308808937678152	ENSG00000204899;ENSG00000083535;ENSG00000119541	MZT1;PIBF1;VPS4B
GO_cc:go_microtubule_organizing_center_part	90.95	0.00053027915357125	ENSG00000204899;ENSG00000083535	MZT1;PIBF1
GO_bp:go_mitotic_cell_cycle	36.58	0.000578311814808606	ENSG00000136122;ENSG00000083535;ENSG00000119541	BORA;PIBF1;VPS4B
GO_bp:go_regulation_of_nuclear_division	79.5	0.000689340571958127	ENSG00000136122;ENSG00000119541	BORA;VPS4B
GO_bp:go_sister_chromatid_segregation	73.06	0.000812850138276866	ENSG00000083535;ENSG00000119541	PIBF1;VPS4B
GO_bp:go_nuclear_chromosome_segregation	56.31	0.00134674548925789	ENSG00000083535;ENSG00000119541	PIBF1;VPS4B
GO_cc:go_microtubule_cytoskeleton	25.98	0.00150071691608282	ENSG00000204899;ENSG00000083535;ENSG00000119541	MZT1;PIBF1;VPS4B
GO_bp:go_cell_cycle_process	25.47	0.00158521186436419	ENSG00000136122;ENSG00000083535;ENSG00000119541	BORA;PIBF1;VPS4B
GO_bp:go_regulation_of_cell_division	47.42	0.00188423415376011	ENSG00000136122;ENSG00000119541	BORA;VPS4B
GO_bp:go_chromosome_segregation	47.06	0.00191201000799662	ENSG00000083535;ENSG00000119541	PIBF1;VPS4B
GO_bp:go_regulation_of_organelle_organization	23.45	0.00198842498257652	ENSG00000136122;ENSG00000083535;ENSG00000119541	BORA;PIBF1;VPS4B
GO_cc:go_spindle	44.39	0.00214130896684353	ENSG00000204899;ENSG00000119541	MZT1;VPS4B
GO_bp:go_cell_cycle	20.68	0.00279715503501222	ENSG00000136122;ENSG00000083535;ENSG00000119541	BORA;PIBF1;VPS4B
Canonical_pathway:reactome_mrna_decay_by_3_to_5_exoribonuclease	477.78	0.00284811581756717	ENSG00000083520	DIS3
GO_mf:go_microtubule_severing_atpase_activity	477.78	0.00284811581756717	ENSG00000119541	VPS4B
GO_bp:go_microtubule_cytoskeleton_organization	36.89	0.00305982238712981	ENSG00000083535;ENSG00000119541	PIBF1;VPS4B
GO_bp:go_regulation_of_centriole_replication	395.75	0.00336525712455404	ENSG00000119541	VPS4B
GO_bp:go_negative_regulation_of_fatty_acid_biosynthetic_process	395.75	0.00336525712455404	ENSG00000083535	PIBF1
GO_cc:go_cytoskeletal_part	18.96	0.0035260202491524	ENSG00000204899;ENSG00000083535;ENSG00000119541	MZT1;PIBF1;VPS4B
GO_bp:go_positive_regulation_of_viral_release_from_host_cell	338.83	0.00388218385010097	ENSG00000119541	VPS4B
GO_bp:go_negative_regulation_of_interleukin_12_production	338.83	0.00388218385010097	ENSG00000083535	PIBF1
GO_bp:go_regulation_of_spindle_assembly	338.83	0.00388218385010097	ENSG00000119541	VPS4B
GO_cc:go_nuclear_exosome_rnase_complex_	338.83	0.00388218385010097	ENSG00000083520	DIS3
GO_cc:go_cytoplasmic_exosome_rnase_complex_	338.83	0.00388218385010097	ENSG00000083520	DIS3
Canonical_pathway:reactome_destabilization_of_mrna_by_brf1	319.73	0.00414056676562191	ENSG00000083520	DIS3
Canonical_pathway:reactome_destabilization_of_mrna_by_tristetraprolin_ttp	319.73	0.00414056676562191	ENSG00000083520	DIS3
GO_bp:go_organelle_localization	30.8	0.00431866688599552	ENSG00000083535;ENSG00000119541	PIBF1;VPS4B
Canonical_pathway:reactome_destabilization_of_mrna_by_ksrp	296.79	0.0043988960608542	ENSG00000083520	DIS3
GO_bp:go_protein_localization_to_centrosome	296.79	0.0043988960608542	ENSG00000083535	PIBF1
GO_bp:go_cell_separation_after_cytokinesis	296.79	0.0043988960608542	ENSG00000119541	VPS4B
GO_bp:go_regulation_of_exosomal_secretion	296.79	0.0043988960608542	ENSG00000119541	VPS4B
GO_bp:go_rrna_catabolic_process	296.79	0.0043988960608542	ENSG00000083520	DIS3
GO_bp:go_ubiquitin_dependent_protein_catabolic_process_via_the_multivesicular_body_sorting_pathway	296.79	0.0043988960608542	ENSG00000119541	VPS4B
GO_bp:go_positive_regulation_of_cell_cycle_g2_m_phase_transition	278.27	0.00465717174415248	ENSG00000119541	VPS4B
GO_cc:go_gamma_tubulin_complex	278.27	0.00465717174415248	ENSG00000204899	MZT1
GO_bp:go_cell_division	27.43	0.00538628453120622	ENSG00000136122;ENSG00000119541	BORA;VPS4B
GO_cc:go_exosome_rnase_complex_	238.59	0.00543167720555249	ENSG00000083520	DIS3
GO_bp:go_regulation_of_mitotic_cell_cycle	27.07	0.00552469914100662	ENSG00000136122;ENSG00000119541	BORA;VPS4B
GO_bp:go_ncrna_catabolic_process	225.72	0.00568973852443277	ENSG00000083520	DIS3
GO_bp:go_cellular_protein_complex_localization	225.72	0.00568973852443277	ENSG00000204899	MZT1
GO_bp:go_nonmotile_primary_cilium_assembly	218.38	0.00594774627313921	ENSG00000083535	PIBF1
GO_bp:go_organelle_assembly	25.6	0.00614369891087114	ENSG00000083535;ENSG00000119541	PIBF1;VPS4B
Canonical_pathway:reactome_activation_of_genes_by_atf4	208.43	0.00620570045980928	ENSG00000083520	DIS3
GO_bp:go_multi_organism_organelle_organization	208.43	0.00620570045980928	ENSG00000119541	VPS4B
GO_bp:go_protein_depolymerization	199.34	0.00646360109278987	ENSG00000119541	VPS4B
GO_cc:go_centriolar_satellite	199.34	0.00646360109278987	ENSG00000083535	PIBF1
Canonical_pathway:reactome_endosomal_sorting_complex_required_for_transport_escrt	191.23	0.00672144818064258	ENSG00000119541	VPS4B
GO_bp:go_microtubule_based_process	24.29	0.00679370136081508	ENSG00000083535;ENSG00000119541	PIBF1;VPS4B
GO_bp:go_protein_localization	14.76	0.00682165043066415	ENSG00000204899;ENSG00000083535;ENSG00000119541	MZT1;PIBF1;VPS4B
Canonical_pathway:reactome_perk_regulated_gene_expression	183.85	0.00697924173171205	ENSG00000083520	DIS3
GO_bp:go_negative_regulation_of_exocytosis	183.85	0.00697924173171205	ENSG00000119541	VPS4B
GO_bp:go_regulation_of_natural_killer_cell_activation	183.85	0.00697924173171205	ENSG00000083535	PIBF1
GO_bp:go_positive_regulation_of_interleukin_10_production	170.31	0.00749466825624912	ENSG00000083535	PIBF1
GO_bp:go_negative_regulation_of_fatty_acid_metabolic_process	170.31	0.00749466825624912	ENSG00000083535	PIBF1
GO_bp:go_regulation_of_cell_cycle_process	22.69	0.00771718466888024	ENSG00000136122;ENSG00000119541	BORA;VPS4B
GO_bp:go_protein_localization_to_cytoskeleton	164.81	0.00775230124640436	ENSG00000083535	PIBF1
GO_bp:go_nuclear_transcribed_mrna_catabolic_process_exonucleolytic	164.81	0.00775230124640436	ENSG00000083520	DIS3
GO_bp:go_multivesicular_body_organization	159.74	0.00800988073315301	ENSG00000119541	VPS4B
GO_bp:go_multi_organism_membrane_organization	159.74	0.00800988073315301	ENSG00000119541	VPS4B
GO_bp:go_regulation_of_viral_release_from_host_cell	159.74	0.00800988073315301	ENSG00000119541	VPS4B
GO_bp:go_regulation_of_centrosome_duplication	154.21	0.00826740672462456	ENSG00000119541	VPS4B
GO_cc:go_cytoskeleton	13.44	0.0086751194945666	ENSG00000204899;ENSG00000083535;ENSG00000119541	MZT1;PIBF1;VPS4B
GO_bp:go_regulation_of_fatty_acid_biosynthetic_process	141.02	0.00903966381120347	ENSG00000083535	PIBF1
GO_bp:go_rna_phosphodiester_bond_hydrolysis_exonucleolytic	141.02	0.00903966381120347	ENSG00000083520	DIS3
GO_bp:go_virion_assembly	132.97	0.00955423454556614	ENSG00000119541	VPS4B
GO_bp:go_negative_regulation_of_peptidyl_tyrosine_phosphorylation	129.4	0.00981143974070875	ENSG00000083535	PIBF1
GO_bp:go_regulation_of_centrosome_cycle	126.01	0.0100685914989392	ENSG00000119541	VPS4B
GO_bp:go_mitotic_spindle_assembly	122.8	0.0103256898285914	ENSG00000083535	PIBF1
GO_bp:go_cytoplasmic_microtubule_organization	119.74	0.0105827347379981	ENSG00000119541	VPS4B
Canonical_pathway:reactome_deadenylation_dependent_mrna_decay	113.95	0.0110966643291914	ENSG00000083520	DIS3
GO_bp:go_endosome_to_lysosome_transport	113.95	0.0110966643291914	ENSG00000119541	VPS4B
GO_bp:go_negative_regulation_of_stat_cascade	113.95	0.0110966643291914	ENSG00000083535	PIBF1
GO_bp:go_regulation_of_interleukin_10_production	111.31	0.011353549027851	ENSG00000083535	PIBF1
GO_bp:go_negative_regulation_of_lipid_biosynthetic_process	111.31	0.011353549027851	ENSG00000083535	PIBF1
Canonical_pathway:pid_plk1_pathway	106.39	0.0118671582725189	ENSG00000136122	BORA
GO_bp:go_positive_regulation_of_organelle_assembly	106.39	0.0118671582725189	ENSG00000119541	VPS4B
GO_mf:go_exonuclease_activity_active_with_either_ribo_or_deoxyribonucleic_acids_and_producing_5_phosphomonoesters	106.39	0.0118671582725189	ENSG00000083520	DIS3
GO_bp:go_sterol_transport	97.86	0.0128937363844092	ENSG00000119541	VPS4B
GO_mf:go_3_5_exonuclease_activity	97.86	0.0128937363844092	ENSG00000083520	DIS3
GO_bp:go_regulation_of_interleukin_12_production	95.87	0.0131502475490483	ENSG00000083535	PIBF1
GO_bp:go_protein_complex_localization	93.96	0.0134067053850417	ENSG00000204899	MZT1
Canonical_pathway:kegg_rna_degradation	87.13	0.0144320036075076	ENSG00000083520	DIS3
GO_bp:go_nuclear_transcribed_mrna_catabolic_process_deadenylation_dependent_decay	87.13	0.0144320036075076	ENSG00000083520	DIS3
GO_bp:go_regulation_of_cell_cycle_g2_m_phase_transition	82.54	0.0152004177302484	ENSG00000119541	VPS4B
