id	or	p	ens.ids	gene.names
GO_mf:go_g_protein_coupled_receptor_activity	70.37	0.000265335752639804	ENSG00000163873;ENSG00000112486;ENSG00000120436	GRIK3;CCR6;GPR31
GO_bp:go_g_protein_coupled_receptor_signaling_pathway	50.22	0.000687403305705764	ENSG00000163873;ENSG00000112486;ENSG00000120436	GRIK3;CCR6;GPR31
GO_mf:go_signaling_receptor_activity	41.78	0.00114417108917612	ENSG00000163873;ENSG00000112486;ENSG00000120436	GRIK3;CCR6;GPR31
GO_mf:go_receptor_activity	34.48	0.0019318666759164	ENSG00000163873;ENSG00000112486;ENSG00000120436	GRIK3;CCR6;GPR31
GO_cc:go_intrinsic_component_of_plasma_membrane	32.88	0.00219614464842362	ENSG00000163873;ENSG00000112486;ENSG00000120436	GRIK3;CCR6;GPR31
GO_mf:go_signal_transducer_activity	32.61	0.00224437655963418	ENSG00000163873;ENSG00000112486;ENSG00000120436	GRIK3;CCR6;GPR31
Canonical_pathway:reactome_ionotropic_activity_of_kainate_receptors	625.99	0.00227908330433835	ENSG00000163873	GRIK3
GO_mf:go_c_c_chemokine_receptor_activity	566.52	0.00248607934526823	ENSG00000112486	CCR6
GO_bp:go_g_protein_coupled_glutamate_receptor_signaling_pathway	517.16	0.00269304317532715	ENSG00000163873	GRIK3
GO_bp:go_dendritic_cell_chemotaxis	452.66	0.00310687421746136	ENSG00000112486	CCR6
GO_cc:go_dendrite_cytoplasm	421.84	0.00331374143592	ENSG00000163873	GRIK3
GO_bp:go_dendritic_cell_migration	328.91	0.0041408883707007	ENSG00000112486	CCR6
GO_mf:go_extracellular_glutamate_gated_ion_channel_activity	328.91	0.0041408883707007	ENSG00000163873	GRIK3
GO_bp:go_ionotropic_glutamate_receptor_signaling_pathway	277.58	0.00496752036387549	ENSG00000163873	GRIK3
GO_mf:go_g_protein_coupled_chemoattractant_receptor_activity	265.16	0.00517409792751	ENSG00000112486	CCR6
GO_mf:go_transmitter_gated_channel_activity	254.41	0.00538064332386967	ENSG00000163873	GRIK3
GO_mf:go_glutamate_receptor_activity	246.13	0.00558715655641007	ENSG00000163873	GRIK3
Canonical_pathway:reactome_activation_of_kainate_receptors_upon_glutamate_binding	212.45	0.00641288791557604	ENSG00000163873	GRIK3
Canonical_pathway:reactome_beta_defensins	163.35	0.00826890319130247	ENSG00000112486	CCR6
