id	or	p	ens.ids	gene.names
GO_cc:go_t_tubule	293.23	5.29713163038108e-05	ENSG00000162989;ENSG00000075142	KCNJ3;SRI
GO_cc:go_sarcolemma	103.51	0.000411241517413795	ENSG00000162989;ENSG00000075142	KCNJ3;SRI
GO_bp:go_sequestering_of_metal_ion	477.78	0.00284811581756717	ENSG00000075142	SRI
GO_mf:go_endodeoxyribonuclease_activity_producing_5_phosphomonoesters	477.78	0.00284811581756717	ENSG00000173818	ENDOV
GO_bp:go_negative_regulation_of_ryanodine_sensitive_calcium_release_channel_activity	433.16	0.00310671329781287	ENSG00000075142	SRI
GO_bp:go_regulation_of_cell_communication_by_electrical_coupling	395.75	0.00336525712455404	ENSG00000075142	SRI
GO_mf:go_ral_gtpase_binding	395.75	0.00336525712455404	ENSG00000131558	EXOC4
GO_bp:go_positive_regulation_of_sequestering_of_calcium_ion	319.73	0.00414056676562191	ENSG00000075142	SRI
GO_bp:go_paraxial_mesoderm_development	319.73	0.00414056676562191	ENSG00000131558	EXOC4
GO_bp:go_negative_regulation_of_transcription_regulatory_region_dna_binding	296.79	0.0043988960608542	ENSG00000075142	SRI
GO_cc:go_exocyst	296.79	0.0043988960608542	ENSG00000131558	EXOC4
GO_bp:go_regulation_of_transmembrane_transport	29.98	0.00454855284278666	ENSG00000162989;ENSG00000075142	KCNJ3;SRI
GO_bp:go_negative_regulation_of_calcium_ion_transport_into_cytosol	265.96	0.00491539382387129	ENSG00000075142	SRI
GO_bp:go_cytoplasmic_sequestering_of_transcription_factor	265.96	0.00491539382387129	ENSG00000075142	SRI
GO_bp:go_negative_regulation_of_calcium_mediated_signaling	265.96	0.00491539382387129	ENSG00000075142	SRI
Canonical_pathway:reactome_insulin_synthesis_and_processing	251.02	0.00517356230814925	ENSG00000131558	EXOC4
GO_mf:go_inward_rectifier_potassium_channel_activity	238.59	0.00543167720555249	ENSG00000162989	KCNJ3
GO_mf:go_calcium_dependent_cysteine_type_endopeptidase_activity	238.59	0.00543167720555249	ENSG00000075142	SRI
GO_bp:go_negative_regulation_of_heart_contraction	225.72	0.00568973852443277	ENSG00000075142	SRI
Canonical_pathway:reactome_inhibition_of_voltage_gated_ca2_channels_via_gbeta_gamma_subunits	199.34	0.00646360109278987	ENSG00000162989	KCNJ3
GO_bp:go_regulation_of_voltage_gated_calcium_channel_activity	199.34	0.00646360109278987	ENSG00000075142	SRI
GO_bp:go_negative_regulation_of_calcium_ion_import	199.34	0.00646360109278987	ENSG00000075142	SRI
GO_bp:go_regulation_of_release_of_sequestered_calcium_ion_into_cytosol_by_sarcoplasmic_reticulum	199.34	0.00646360109278987	ENSG00000075142	SRI
GO_bp:go_regulation_of_cardiac_muscle_cell_contraction	191.23	0.00672144818064258	ENSG00000075142	SRI
Canonical_pathway:st_myocyte_ad_pathway	183.85	0.00697924173171205	ENSG00000162989	KCNJ3
GO_bp:go_regulation_of_ryanodine_sensitive_calcium_release_channel_activity	183.85	0.00697924173171205	ENSG00000075142	SRI
GO_bp:go_positive_regulation_of_insulin_secretion_involved_in_cellular_response_to_glucose_stimulus	183.85	0.00697924173171205	ENSG00000075142	SRI
GO_mf:go_endoribonuclease_activity_producing_5_phosphomonoesters	183.85	0.00697924173171205	ENSG00000173818	ENDOV
GO_bp:go_potassium_ion_import	177.73	0.00723698175392118	ENSG00000162989	KCNJ3
GO_bp:go_negative_regulation_of_receptor_activity	170.31	0.00749466825624912	ENSG00000075142	SRI
