id	or	p	ens.ids	gene.names
GO_mf:go_death_receptor_activity	429.24	2.21830924514425e-05	ENSG00000111321;ENSG00000139193	LTBR;CD27
GO_bp:go_tumor_necrosis_factor_mediated_signaling_pathway	83.11	0.000538436543616031	ENSG00000111321;ENSG00000139193	LTBR;CD27
GO_bp:go_positive_regulation_of_stress_activated_protein_kinase_signaling_cascade	71.83	0.000715888792181239	ENSG00000111321;ENSG00000139193	LTBR;CD27
GO_cc:go_cell_surface	25.73	0.000967095518701519	ENSG00000008323;ENSG00000139193;ENSG00000139190	PLEKHG6;CD27;VAMP1
GO_bp:go_regulation_of_jnk_cascade	60.79	0.00099086764802283	ENSG00000111321;ENSG00000139193	LTBR;CD27
GO_bp:go_positive_regulation_of_i_kappab_kinase_nf_kappab_signaling	54.47	0.00122563940178477	ENSG00000111321;ENSG00000139193	LTBR;CD27
GO_bp:go_regulation_of_stress_activated_protein_kinase_signaling_cascade	48.85	0.00151493294989611	ENSG00000111321;ENSG00000139193	LTBR;CD27
GO_bp:go_response_to_tumor_necrosis_factor	43.47	0.00190124720194191	ENSG00000111321;ENSG00000139193	LTBR;CD27
GO_mf:go_ras_guanyl_nucleotide_exchange_factor_activity	41.92	0.00203944174240429	ENSG00000008323;ENSG00000174485	PLEKHG6;DENND4A
GO_bp:go_regulation_of_i_kappab_kinase_nf_kappab_signaling	41.73	0.00205704576937809	ENSG00000111321;ENSG00000139193	LTBR;CD27
Canonical_pathway:kegg_cytokine_cytokine_receptor_interaction	37.27	0.00255990652720957	ENSG00000111321;ENSG00000139193	LTBR;CD27
GO_mf:go_guanyl_nucleotide_exchange_factor_activity	31.39	0.00356064149330329	ENSG00000008323;ENSG00000174485	PLEKHG6;DENND4A
GO_bp:go_response_to_molecule_of_bacterial_origin	30.28	0.00381757330122304	ENSG00000111321;ENSG00000139193	LTBR;CD27
GO_bp:go_positive_regulation_of_b_cell_differentiation	292.59	0.00434703194416508	ENSG00000139193	CD27
GO_cc:go_specific_granule	292.59	0.00434703194416508	ENSG00000139190	VAMP1
GO_bp:go_negative_regulation_of_t_cell_apoptotic_process	270.51	0.00465693067374795	ENSG00000139193	CD27
Canonical_pathway:reactome_proteolytic_cleavage_of_snare_complex_proteins	255.02	0.00496674901853567	ENSG00000139190	VAMP1
GO_bp:go_regulation_of_hydrolase_activity	13.91	0.00518649820944727	ENSG00000008323;ENSG00000139193;ENSG00000174485	PLEKHG6;CD27;DENND4A
GO_mf:go_molecular_function_regulator	13.56	0.00554693742926356	ENSG00000008323;ENSG00000139193;ENSG00000174485	PLEKHG6;CD27;DENND4A
Canonical_pathway:reactome_botulinum_neurotoxicity	223.31	0.00558614462126106	ENSG00000139190	VAMP1
GO_cc:go_primary_lysosome	211.01	0.00589572191243082	ENSG00000139190	VAMP1
GO_mf:go_translation_elongation_factor_activity	211.01	0.00589572191243082	ENSG00000114942	EEF1B2
GO_bp:go_myeloid_dendritic_cell_differentiation	202.28	0.00620521888562242	ENSG00000111321	LTBR
GO_bp:go_regulation_of_b_cell_differentiation	182.18	0.00682397194521223	ENSG00000139193	CD27
GO_mf:go_cysteine_type_endopeptidase_inhibitor_activity_involved_in_apoptotic_process	173.87	0.00713322806481975	ENSG00000139193	CD27
GO_bp:go_cytokine_mediated_signaling_pathway	21.55	0.00729424488799651	ENSG00000111321;ENSG00000139193	LTBR;CD27
GO_bp:go_inflammatory_response	21.5	0.00732652941205885	ENSG00000111321;ENSG00000139193	LTBR;CD27
GO_bp:go_positive_regulation_of_mapk_cascade	20.91	0.00771913574249282	ENSG00000111321;ENSG00000139193	LTBR;CD27
GO_bp:go_negative_regulation_of_lymphocyte_apoptotic_process	153.39	0.00806051498281035	ENSG00000139193	CD27
GO_bp:go_myeloid_dendritic_cell_activation	153.39	0.00806051498281035	ENSG00000111321	LTBR
GO_bp:go_positive_regulation_of_nf_kappab_import_into_nucleus	147.09	0.00836945019753654	ENSG00000139193	CD27
GO_bp:go_response_to_bacterium	19.13	0.00913227645985121	ENSG00000111321;ENSG00000139193	LTBR;CD27
GO_mf:go_rab_guanyl_nucleotide_exchange_factor_activity	132.07	0.00929577480034227	ENSG00000174485	DENND4A
GO_cc:go_intrinsic_component_of_plasma_membrane	10.96	0.0096558840052698	ENSG00000111321;ENSG00000139193;ENSG00000139190	LTBR;CD27;VAMP1
GO_bp:go_regulation_of_intracellular_signal_transduction	10.88	0.00984130195502514	ENSG00000008323;ENSG00000111321;ENSG00000139193	PLEKHG6;LTBR;CD27
GO_bp:go_regulation_of_t_cell_apoptotic_process	123.6	0.00991292383472941	ENSG00000139193	CD27
GO_bp:go_dendritic_cell_differentiation	119.76	0.0102213781915594	ENSG00000111321	LTBR
Canonical_pathway:kegg_snare_interactions_in_vesicular_transport	103.53	0.0117624490369055	ENSG00000139190	VAMP1
