id	or	p	ens.ids	gene.names
GO_bp:go_negative_regulation_of_intracellular_estrogen_receptor_signaling_pathway	566.52	0.00248607934526823	ENSG00000172817	CYP7B1
GO_mf:go_monovalent_cation_proton_antiporter_activity	566.52	0.00248607934526823	ENSG00000197818	SLC9A8
Canonical_pathway:reactome_endogenous_sterols	452.66	0.00310687421746136	ENSG00000172817	CYP7B1
GO_bp:go_dentate_gyrus_development	452.66	0.00310687421746136	ENSG00000162761	LMX1A
Canonical_pathway:kegg_primary_bile_acid_biosynthesis	421.84	0.00331374143592	ENSG00000172817	CYP7B1
Canonical_pathway:reactome_synthesis_of_bile_acids_and_bile_salts	351.24	0.00393414992126984	ENSG00000172817	CYP7B1
GO_mf:go_solute_proton_antiporter_activity	351.24	0.00393414992126984	ENSG00000197818	SLC9A8
GO_bp:go_bile_acid_biosynthetic_process	328.91	0.0041408883707007	ENSG00000172817	CYP7B1
GO_bp:go_prostate_gland_morphogenesis	286.18	0.00476091062951345	ENSG00000172817	CYP7B1
GO_mf:go_cation_cation_antiporter_activity	265.16	0.00517409792751	ENSG00000197818	SLC9A8
Canonical_pathway:reactome_bile_acid_and_bile_salt_metabolism	246.13	0.00558715655641007	ENSG00000172817	CYP7B1
GO_bp:go_regulation_of_intracellular_estrogen_receptor_signaling_pathway	246.13	0.00558715655641007	ENSG00000172817	CYP7B1
GO_bp:go_dopaminergic_neuron_differentiation	236.98	0.00579363762858287	ENSG00000162761	LMX1A
GO_bp:go_negative_regulation_of_intracellular_steroid_hormone_receptor_signaling_pathway	219.97	0.00620650330484662	ENSG00000172817	CYP7B1
GO_mf:go_solute_cation_antiporter_activity	212.45	0.00641288791557604	ENSG00000197818	SLC9A8
GO_mf:go_steroid_hydroxylase_activity	212.45	0.00641288791557604	ENSG00000172817	CYP7B1
GO_bp:go_bile_acid_metabolic_process	186.48	0.0072381049203013	ENSG00000172817	CYP7B1
GO_mf:go_oxidoreductase_activity_acting_on_paired_donors_with_incorporation_or_reduction_of_molecular_oxygen_nad_p_h_as_one_donor_and_incorporation_of_one_atom_of_oxygen	176.92	0.00765052060666338	ENSG00000172817	CYP7B1
GO_bp:go_prostate_gland_development	159.1	0.00847496648091761	ENSG00000172817	CYP7B1
GO_mf:go_ion_antiporter_activity	138.7	0.00971067194605824	ENSG00000197818	SLC9A8
Canonical_pathway:reactome_cytochrome_p450_arranged_by_substrate_type	130.24	0.0103280913680456	ENSG00000172817	CYP7B1
Canonical_pathway:kegg_steroid_hormone_biosynthesis	120.26	0.0111508681075246	ENSG00000172817	CYP7B1
GO_bp:go_regulation_of_intracellular_steroid_hormone_receptor_signaling_pathway	111.59	0.0119731317202555	ENSG00000172817	CYP7B1
Canonical_pathway:reactome_phase1_functionalization_of_compounds	93.9	0.0142317125901226	ENSG00000172817	CYP7B1
GO_bp:go_hippocampus_development	90.96	0.0146419472622314	ENSG00000162761	LMX1A
GO_mf:go_antiporter_activity	87.41	0.0152570591758903	ENSG00000197818	SLC9A8
GO_bp:go_regulation_of_cellular_ph	86.25	0.015462032468374	ENSG00000197818	SLC9A8
GO_bp:go_regulation_of_ph	72.53	0.0183283000365237	ENSG00000197818	SLC9A8
GO_bp:go_sodium_ion_transmembrane_transport	71.71	0.0185327936726543	ENSG00000197818	SLC9A8
GO_bp:go_midbrain_development	71.71	0.0185327936726543	ENSG00000162761	LMX1A
