id	or	p	ens.ids	gene.names
GO_bp:go_negative_regulation_of_intracellular_estrogen_receptor_signaling_pathway	566.52	0.00248607934526823	ENSG00000172817	CYP7B1
Canonical_pathway:reactome_endogenous_sterols	452.66	0.00310687421746136	ENSG00000172817	CYP7B1
Canonical_pathway:kegg_primary_bile_acid_biosynthesis	421.84	0.00331374143592	ENSG00000172817	CYP7B1
Canonical_pathway:reactome_synthesis_of_bile_acids_and_bile_salts	351.24	0.00393414992126984	ENSG00000172817	CYP7B1
GO_bp:go_bile_acid_biosynthetic_process	328.91	0.0041408883707007	ENSG00000172817	CYP7B1
GO_bp:go_prostate_gland_morphogenesis	286.18	0.00476091062951345	ENSG00000172817	CYP7B1
Canonical_pathway:reactome_bile_acid_and_bile_salt_metabolism	246.13	0.00558715655641007	ENSG00000172817	CYP7B1
GO_bp:go_regulation_of_intracellular_estrogen_receptor_signaling_pathway	246.13	0.00558715655641007	ENSG00000172817	CYP7B1
GO_bp:go_negative_regulation_of_intracellular_steroid_hormone_receptor_signaling_pathway	219.97	0.00620650330484662	ENSG00000172817	CYP7B1
GO_mf:go_steroid_hydroxylase_activity	212.45	0.00641288791557604	ENSG00000172817	CYP7B1
GO_bp:go_bile_acid_metabolic_process	186.48	0.0072381049203013	ENSG00000172817	CYP7B1
GO_mf:go_oxidoreductase_activity_acting_on_paired_donors_with_incorporation_or_reduction_of_molecular_oxygen_nad_p_h_as_one_donor_and_incorporation_of_one_atom_of_oxygen	176.92	0.00765052060666338	ENSG00000172817	CYP7B1
GO_bp:go_prostate_gland_development	159.1	0.00847496648091761	ENSG00000172817	CYP7B1
Canonical_pathway:reactome_cytochrome_p450_arranged_by_substrate_type	130.24	0.0103280913680456	ENSG00000172817	CYP7B1
Canonical_pathway:kegg_steroid_hormone_biosynthesis	120.26	0.0111508681075246	ENSG00000172817	CYP7B1
GO_bp:go_regulation_of_intracellular_steroid_hormone_receptor_signaling_pathway	111.59	0.0119731317202555	ENSG00000172817	CYP7B1
Canonical_pathway:reactome_phase1_functionalization_of_compounds	93.9	0.0142317125901226	ENSG00000172817	CYP7B1
GO_mf:go_monooxygenase_activity	70.13	0.0189416850966332	ENSG00000172817	CYP7B1
GO_bp:go_gland_morphogenesis	66.48	0.0199633546983172	ENSG00000172817	CYP7B1
Canonical_pathway:reactome_signaling_by_rho_gtpases	59.04	0.0224121059625594	ENSG00000138640	FAM13A
GO_bp:go_steroid_biosynthetic_process	56.93	0.0232273357080036	ENSG00000172817	CYP7B1
GO_bp:go_sterol_metabolic_process	52.3	0.0252631793591375	ENSG00000172817	CYP7B1
GO_mf:go_tetrapyrrole_binding	48.97	0.0268895615878955	ENSG00000172817	CYP7B1
Canonical_pathway:reactome_biological_oxidations	46.84	0.0281080119720285	ENSG00000172817	CYP7B1
GO_mf:go_oxidoreductase_activity_acting_on_paired_donors_with_incorporation_or_reduction_of_molecular_oxygen	43.03	0.0305414796805538	ENSG00000172817	CYP7B1
GO_bp:go_positive_regulation_of_epithelial_cell_proliferation	42.53	0.0309466129155708	ENSG00000172817	CYP7B1
GO_mf:go_iron_ion_binding	40.52	0.0323635793573358	ENSG00000172817	CYP7B1
GO_bp:go_monocarboxylic_acid_biosynthetic_process	38.57	0.0339810661702072	ENSG00000172817	CYP7B1
GO_bp:go_organic_hydroxy_compound_biosynthetic_process	36.57	0.0357983140205819	ENSG00000172817	CYP7B1
GO_bp:go_steroid_metabolic_process	26.99	0.0480477270530447	ENSG00000172817	CYP7B1
GO_bp:go_organic_acid_biosynthetic_process	24.38	0.0530341092765487	ENSG00000172817	CYP7B1
GO_bp:go_regulation_of_small_gtpase_mediated_signal_transduction	23.1	0.0558179122220381	ENSG00000138640	FAM13A
GO_bp:go_regulation_of_epithelial_cell_proliferation	22.52	0.0572075098077578	ENSG00000172817	CYP7B1
GO_bp:go_urogenital_system_development	21.58	0.0595861078553247	ENSG00000172817	CYP7B1
GO_mf:go_nucleoside_triphosphatase_regulator_activity	19.87	0.0645270623130052	ENSG00000138640	FAM13A
GO_bp:go_alcohol_metabolic_process	18.18	0.0702341489150999	ENSG00000172817	CYP7B1
GO_bp:go_gland_development	16.1	0.0788432605374569	ENSG00000172817	CYP7B1
GO_bp:go_morphogenesis_of_an_epithelium	15.98	0.0794280600594844	ENSG00000172817	CYP7B1
GO_bp:go_reproductive_system_development	15.98	0.0794280600594844	ENSG00000172817	CYP7B1
GO_bp:go_small_molecule_biosynthetic_process	14.53	0.0868114455073637	ENSG00000172817	CYP7B1
GO_mf:go_enzyme_activator_activity	13.79	0.0912587056449029	ENSG00000138640	FAM13A
Canonical_pathway:reactome_metabolism_of_lipids_and_lipoproteins	13.51	0.0929945085513831	ENSG00000172817	CYP7B1
GO_bp:go_organic_hydroxy_compound_metabolic_process	13.03	0.0962664613797553	ENSG00000172817	CYP7B1
GO_bp:go_monocarboxylic_acid_metabolic_process	12.65	0.0989543570334649	ENSG00000172817	CYP7B1
GO_bp:go_tissue_morphogenesis	11.91	0.104693939998501	ENSG00000172817	CYP7B1
GO_bp:go_lipid_biosynthetic_process	11.88	0.104884785947662	ENSG00000172817	CYP7B1
GO_bp:go_developmental_process_involved_in_reproduction	10.73	0.115334413900296	ENSG00000172817	CYP7B1
GO_mf:go_rna_polymerase_ii_transcription_factor_activity_sequence_specific_dna_binding	10.07	0.122312502066403	ENSG00000180828	BHLHE22
GO_bp:go_regulation_of_gtpase_activity	9.54	0.128501300064498	ENSG00000138640	FAM13A
GO_mf:go_oxidoreductase_activity	8.89	0.137073429715824	ENSG00000172817	CYP7B1
GO_bp:go_positive_regulation_of_cell_proliferation	7.66	0.156768255291618	ENSG00000172817	CYP7B1
GO_bp:go_organ_morphogenesis	7.39	0.161865909208069	ENSG00000172817	CYP7B1
GO_bp:go_oxidation_reduction_process	7	0.170010101530474	ENSG00000172817	CYP7B1
GO_bp:go_positive_regulation_of_hydrolase_activity	6.97	0.170550928989624	ENSG00000138640	FAM13A
GO_bp:go_epithelium_development	6.56	0.180062038192017	ENSG00000172817	CYP7B1
