id	or	p	ens.ids	gene.names
Canonical_pathway:reactome_integration_of_provirus	693.02	0.00207200137070207	ENSG00000152422	XRCC4
GO_bp:go_negative_regulation_of_cytosolic_calcium_ion_concentration	518.45	0.00258946467524279	ENSG00000149295	DRD2
GO_bp:go_response_to_metal_ion	38.49	0.00281961254700479	ENSG00000149295;ENSG00000152422	DRD2;XRCC4
GO_bp:go_regulation_of_growth_hormone_secretion	477.78	0.00284811581756717	ENSG00000149295	DRD2
GO_bp:go_viral_latency	477.78	0.00284811581756717	ENSG00000152422	XRCC4
GO_bp:go_response_to_histamine	477.78	0.00284811581756717	ENSG00000149295	DRD2
GO_mf:go_dopamine_binding	477.78	0.00284811581756717	ENSG00000149295	DRD2
GO_bp:go_dna_ligation_involved_in_dna_repair	433.16	0.00310671329781287	ENSG00000152422	XRCC4
GO_bp:go_prepulse_inhibition	433.16	0.00310671329781287	ENSG00000149295	DRD2
GO_bp:go_cerebral_cortex_gabaergic_interneuron_differentiation	433.16	0.00310671329781287	ENSG00000149295	DRD2
GO_bp:go_behavioral_response_to_cocaine	433.16	0.00310671329781287	ENSG00000149295	DRD2
GO_bp:go_mechanosensory_behavior	433.16	0.00310671329781287	ENSG00000149295	DRD2
Canonical_pathway:kegg_non_homologous_end_joining	395.75	0.00336525712455404	ENSG00000152422	XRCC4
Canonical_pathway:reactome_early_phase_of_hiv_life_cycle	395.75	0.00336525712455404	ENSG00000152422	XRCC4
GO_bp:go_g_protein_coupled_receptor_internalization	395.75	0.00336525712455404	ENSG00000149295	DRD2
GO_bp:go_substrate_independent_telencephalic_tangential_migration	395.75	0.00336525712455404	ENSG00000149295	DRD2
GO_bp:go_response_to_inactivity	395.75	0.00336525712455404	ENSG00000149295	DRD2
GO_bp:go_positive_regulation_of_urine_volume	368.98	0.00362374730572146	ENSG00000149295	DRD2
GO_bp:go_positive_regulation_of_long_term_synaptic_potentiation	368.98	0.00362374730572146	ENSG00000149295	DRD2
GO_bp:go_neurological_system_process_involved_in_regulation_of_systemic_arterial_blood_pressure	368.98	0.00362374730572146	ENSG00000149295	DRD2
GO_bp:go_positive_regulation_of_renal_sodium_excretion	368.98	0.00362374730572146	ENSG00000149295	DRD2
GO_bp:go_grooming_behavior	368.98	0.00362374730572146	ENSG00000149295	DRD2
GO_bp:go_arachidonate_transport	368.98	0.00362374730572146	ENSG00000149295	DRD2
GO_bp:go_adenohypophysis_development	368.98	0.00362374730572146	ENSG00000149295	DRD2
GO_bp:go_positive_regulation_of_cytosolic_calcium_ion_concentration_involved_in_phospholipase_c_activating_g_protein_coupled_signaling_pathway	368.98	0.00362374730572146	ENSG00000149295	DRD2
GO_mf:go_g_protein_coupled_neurotransmitter_receptor_activity	368.98	0.00362374730572146	ENSG00000149295	DRD2
GO_bp:go_gabaergic_neuron_differentiation	338.83	0.00388218385010097	ENSG00000149295	DRD2
GO_bp:go_negative_regulation_of_catecholamine_secretion	338.83	0.00388218385010097	ENSG00000149295	DRD2
GO_bp:go_regulation_of_neurotransmitter_uptake	338.83	0.00388218385010097	ENSG00000149295	DRD2
GO_mf:go_adrenergic_receptor_activity	338.83	0.00388218385010097	ENSG00000149295	DRD2
GO_mf:go_catecholamine_binding	338.83	0.00388218385010097	ENSG00000149295	DRD2
Canonical_pathway:pid_dna_pk_pathway	319.73	0.00414056676562191	ENSG00000152422	XRCC4
GO_bp:go_phasic_smooth_muscle_contraction	319.73	0.00414056676562191	ENSG00000149295	DRD2
GO_bp:go_positive_regulation_of_neurotransmitter_transport	319.73	0.00414056676562191	ENSG00000149295	DRD2
GO_bp:go_striatum_development	319.73	0.00414056676562191	ENSG00000149295	DRD2
GO_bp:go_dna_ligation	319.73	0.00414056676562191	ENSG00000152422	XRCC4
GO_bp:go_response_to_radiation	30.88	0.00429805058659001	ENSG00000149295;ENSG00000152422	DRD2;XRCC4
Canonical_pathway:biocarta_ck1_pathway	296.79	0.0043988960608542	ENSG00000149295	DRD2
GO_bp:go_cellular_response_to_lithium_ion	296.79	0.0043988960608542	ENSG00000152422	XRCC4
GO_bp:go_synaptic_transmission_dopaminergic	296.79	0.0043988960608542	ENSG00000149295	DRD2
GO_bp:go_negative_regulation_of_behavior	296.79	0.0043988960608542	ENSG00000149295	DRD2
GO_bp:go_negative_regulation_of_circadian_rhythm	296.79	0.0043988960608542	ENSG00000149295	DRD2
GO_bp:go_regulation_of_synaptic_transmission_dopaminergic	296.79	0.0043988960608542	ENSG00000149295	DRD2
GO_bp:go_regulation_of_long_term_synaptic_potentiation	265.96	0.00491539382387129	ENSG00000149295	DRD2
GO_bp:go_positive_regulation_of_neuroblast_proliferation	251.02	0.00517356230814925	ENSG00000149295	DRD2
