id	or	p	ens.ids	gene.names
GO_bp:go_regulation_of_receptor_biosynthetic_process	2026.39	3.38375017332634e-06	ENSG00000118454;ENSG00000078401	ANKRD13C;EDN1
GO_bp:go_positive_regulation_of_receptor_biosynthetic_process	916.82	0.00170975560386932	ENSG00000078401	EDN1
GO_bp:go_vascular_smooth_muscle_contraction	847.98	0.00186509122293232	ENSG00000078401	EDN1
GO_bp:go_nitrogen_compound_transport	76.45	0.00192226431033707	ENSG00000116754;ENSG00000078401	SRSF11;EDN1
GO_bp:go_regulation_of_prostaglandin_secretion	767.48	0.00202041072714443	ENSG00000078401	EDN1
GO_bp:go_superoxide_anion_generation	767.48	0.00202041072714443	ENSG00000078401	EDN1
GO_bp:go_positive_regulation_of_urine_volume	731.53	0.00217571411799022	ENSG00000078401	EDN1
GO_bp:go_positive_regulation_of_renal_sodium_excretion	731.53	0.00217571411799022	ENSG00000078401	EDN1
GO_bp:go_positive_regulation_of_cell_size	731.53	0.00217571411799022	ENSG00000078401	EDN1
GO_bp:go_regulation_of_smooth_muscle_cell_apoptotic_process	731.53	0.00217571411799022	ENSG00000078401	EDN1
GO_bp:go_positive_regulation_of_cytosolic_calcium_ion_concentration_involved_in_phospholipase_c_activating_g_protein_coupled_signaling_pathway	731.53	0.00217571411799022	ENSG00000078401	EDN1
Canonical_pathway:biocarta_hif_pathway	669.57	0.0023310013958896	ENSG00000078401	EDN1
GO_bp:go_response_to_salt	669.57	0.0023310013958896	ENSG00000078401	EDN1
GO_bp:go_azole_transport	669.57	0.0023310013958896	ENSG00000078401	EDN1
GO_bp:go_phasic_smooth_muscle_contraction	623.29	0.00248627256197054	ENSG00000078401	EDN1
Canonical_pathway:biocarta_cardiacegf_pathway	548.09	0.00279676656142069	ENSG00000078401	EDN1
GO_bp:go_inositol_phosphate_mediated_signaling	548.09	0.00279676656142069	ENSG00000078401	EDN1
GO_bp:go_response_to_muscle_stretch	527.4	0.00295198939633823	ENSG00000078401	EDN1
GO_bp:go_regulation_of_nitric_oxide_synthase_biosynthetic_process	527.4	0.00295198939633823	ENSG00000078401	EDN1
GO_bp:go_prostanoid_biosynthetic_process	527.4	0.00295198939633823	ENSG00000078401	EDN1
GO_bp:go_regulation_of_icosanoid_secretion	495.73	0.00310719612288701	ENSG00000078401	EDN1
GO_bp:go_middle_ear_morphogenesis	495.73	0.00310719612288701	ENSG00000078401	EDN1
GO_bp:go_regulation_of_urine_volume	495.73	0.00310719612288701	ENSG00000078401	EDN1
GO_bp:go_parturition	495.73	0.00310719612288701	ENSG00000078401	EDN1
GO_bp:go_response_to_leptin	495.73	0.00310719612288701	ENSG00000078401	EDN1
GO_bp:go_positive_regulation_of_heart_rate	446.23	0.00341756125326642	ENSG00000078401	EDN1
GO_bp:go_positive_regulation_of_muscle_hypertrophy	446.23	0.00341756125326642	ENSG00000078401	EDN1
GO_bp:go_regulation_of_renal_sodium_excretion	412.14	0.0037278619591028	ENSG00000078401	EDN1
GO_bp:go_regulation_of_odontogenesis	412.14	0.0037278619591028	ENSG00000078401	EDN1
GO_bp:go_regulation_of_anoikis	412.14	0.0037278619591028	ENSG00000118454	ANKRD13C
GO_bp:go_phosphatidylinositol_3_kinase_signaling	402.04	0.00388298815470645	ENSG00000078401	EDN1
GO_bp:go_fluid_transport	383.48	0.00403809824693768	ENSG00000078401	EDN1
GO_bp:go_regulation_of_fatty_acid_transport	365.52	0.00419319223621439	ENSG00000078401	EDN1
GO_bp:go_prostanoid_metabolic_process	365.52	0.00419319223621439	ENSG00000078401	EDN1
GO_bp:go_vasoconstriction	351.58	0.00434827012366679	ENSG00000078401	EDN1
GO_bp:go_regulation_of_excretion	338.49	0.00450333191006502	ENSG00000078401	EDN1
GO_bp:go_maintenance_of_protein_localization_in_organelle	338.49	0.00450333191006502	ENSG00000118454	ANKRD13C
GO_mf:go_neuropeptide_receptor_binding	338.49	0.00450333191006502	ENSG00000078401	EDN1
GO_bp:go_negative_regulation_of_muscle_cell_apoptotic_process	326.25	0.00465837759618315	ENSG00000078401	EDN1
GO_bp:go_positive_regulation_of_smooth_muscle_contraction	326.25	0.00465837759618315	ENSG00000078401	EDN1
GO_bp:go_positive_regulation_of_organic_acid_transport	326.25	0.00465837759618315	ENSG00000078401	EDN1
GO_bp:go_multicellular_organism_aging	314.83	0.00481340718279355	ENSG00000078401	EDN1
GO_bp:go_patterning_of_blood_vessels	314.83	0.00481340718279355	ENSG00000078401	EDN1
GO_bp:go_protein_kinase_c_activating_g_protein_coupled_receptor_signaling_pathway	314.83	0.00481340718279355	ENSG00000078401	EDN1
GO_bp:go_positive_regulation_of_response_to_cytokine_stimulus	309.94	0.00496842067066938	ENSG00000078401	EDN1
Canonical_pathway:reactome_mrna_3_end_processing	299.65	0.00512341806093841	ENSG00000116754	SRSF11
GO_bp:go_superoxide_metabolic_process	299.65	0.00512341806093841	ENSG00000078401	EDN1
GO_bp:go_response_to_prostaglandin	299.65	0.00512341806093841	ENSG00000078401	EDN1
GO_bp:go_response_to_dexamethasone	299.65	0.00512341806093841	ENSG00000078401	EDN1
GO_bp:go_response_to_mineralocorticoid	290.07	0.00527839935401764	ENSG00000078401	EDN1
