id	or	p	ens.ids	gene.names
Canonical_pathway:reactome_abacavir_transport_and_metabolism	682.31	0.00207205504961239	ENSG00000076685	NT5C2
Canonical_pathway:reactome_purine_catabolism	682.31	0.00207205504961239	ENSG00000076685	NT5C2
GO_bp:go_induction_of_positive_chemotaxis	517.16	0.00269304317532715	ENSG00000171951	SCG2
GO_cc:go_dense_core_granule	517.16	0.00269304317532715	ENSG00000171951	SCG2
GO_bp:go_imp_metabolic_process	488.05	0.00289997479823889	ENSG00000076685	NT5C2
GO_mf:go_nucleotidase_activity	452.66	0.00310687421746136	ENSG00000076685	NT5C2
GO_mf:go_chemoattractant_activity	286.18	0.00476091062951345	ENSG00000171951	SCG2
Canonical_pathway:kegg_nicotinate_and_nicotinamide_metabolism	277.58	0.00496752036387549	ENSG00000076685	NT5C2
GO_bp:go_regulation_of_positive_chemotaxis	277.58	0.00496752036387549	ENSG00000171951	SCG2
GO_bp:go_negative_regulation_of_endothelial_cell_apoptotic_process	246.13	0.00558715655641007	ENSG00000171951	SCG2
GO_bp:go_negative_regulation_of_endothelial_cell_proliferation	212.45	0.00641288791557604	ENSG00000171951	SCG2
GO_bp:go_positive_chemotaxis	205.53	0.00661924037922079	ENSG00000171951	SCG2
Canonical_pathway:reactome_purine_metabolism	198.77	0.00682556069896678	ENSG00000076685	NT5C2
GO_bp:go_negative_regulation_of_epithelial_cell_apoptotic_process	186.48	0.0072381049203013	ENSG00000171951	SCG2
GO_bp:go_drug_metabolic_process	173.41	0.00785668025762487	ENSG00000076685	NT5C2
GO_bp:go_regulation_of_endothelial_cell_apoptotic_process	155.01	0.00868099765663088	ENSG00000171951	SCG2
GO_mf:go_nucleobase_containing_compound_kinase_activity	138.7	0.00971067194605824	ENSG00000076685	NT5C2
GO_bp:go_purine_containing_compound_catabolic_process	132.95	0.0101223169823071	ENSG00000076685	NT5C2
GO_bp:go_endothelial_cell_migration	115.86	0.0115620640414451	ENSG00000171951	SCG2
GO_bp:go_regulation_of_epithelial_cell_apoptotic_process	110.31	0.0121786174726071	ENSG00000171951	SCG2
GO_bp:go_granulocyte_migration	101.09	0.0132055654947325	ENSG00000171951	SCG2
GO_bp:go_positive_regulation_of_endothelial_cell_proliferation	96.65	0.0138213498364226	ENSG00000171951	SCG2
GO_bp:go_nucleoside_phosphate_catabolic_process	95.23	0.0140265472251602	ENSG00000076685	NT5C2
Canonical_pathway:reactome_metabolism_of_nucleotides	90.96	0.0146419472622314	ENSG00000076685	NT5C2
GO_bp:go_tissue_migration	77.95	0.0171006670739341	ENSG00000171951	SCG2
GO_bp:go_myeloid_leukocyte_migration	73.36	0.0181237744467339	ENSG00000171951	SCG2
Canonical_pathway:kegg_pyrimidine_metabolism	66.48	0.0199633546983172	ENSG00000076685	NT5C2
GO_bp:go_regulation_of_endothelial_cell_proliferation	66.48	0.0199633546983172	ENSG00000171951	SCG2
GO_bp:go_negative_regulation_of_extrinsic_apoptotic_signaling_pathway	65.79	0.0201675928238595	ENSG00000171951	SCG2
GO_bp:go_phosphorylation	14.98	0.0216295667287293	ENSG00000076685;ENSG00000171951	NT5C2;SCG2
GO_bp:go_leukocyte_chemotaxis	60.73	0.0218003488491938	ENSG00000171951	SCG2
GO_bp:go_organophosphate_catabolic_process	57.96	0.0228197845965262	ENSG00000076685	NT5C2
GO_bp:go_negative_regulation_of_epithelial_cell_proliferation	56.42	0.0234310634510551	ENSG00000171951	SCG2
GO_bp:go_protein_secretion	55.93	0.0236347593233801	ENSG00000171951	SCG2
GO_bp:go_positive_regulation_of_chemotaxis	54.93	0.0240420554698263	ENSG00000171951	SCG2
GO_bp:go_cell_chemotaxis	42.53	0.0309466129155708	ENSG00000171951	SCG2
