id	or	p	ens.ids	gene.names
GO_bp:go_regulation_of_autophagy	38.65	0.00238639847824167	ENSG00000116678;ENSG00000168502	LEPR;MTCL1
Canonical_pathway:biocarta_leptin_pathway	423.89	0.00310663284644552	ENSG00000116678	LEPR
GO_bp:go_energy_homeostasis	316.88	0.00403705281351874	ENSG00000116678	LEPR
GO_bp:go_negative_regulation_of_gluconeogenesis	316.88	0.00403705281351874	ENSG00000116678	LEPR
GO_bp:go_cellular_response_to_leptin_stimulus	255.02	0.00496674901853567	ENSG00000116678	LEPR
GO_cc:go_apicolateral_plasma_membrane	255.02	0.00496674901853567	ENSG00000168502	MTCL1
GO_bp:go_regulation_of_energy_homeostasis	238.55	0.00527648699550098	ENSG00000116678	LEPR
GO_bp:go_bone_growth	202.28	0.00620521888562242	ENSG00000116678	LEPR
GO_bp:go_response_to_leptin	202.28	0.00620521888562242	ENSG00000116678	LEPR
GO_bp:go_regulation_of_feeding_behavior	182.18	0.00682397194521223	ENSG00000116678	LEPR
GO_bp:go_positive_regulation_of_protein_targeting_to_membrane	165.58	0.0074424039332236	ENSG00000168502	MTCL1
GO_bp:go_establishment_or_maintenance_of_epithelial_cell_apical_basal_polarity	132.07	0.00929577480034227	ENSG00000168502	MTCL1
GO_bp:go_positive_regulation_of_bmp_signaling_pathway	127.7	0.00960438937651609	ENSG00000128791	TWSG1
GO_bp:go_salivary_gland_development	123.6	0.00991292383472941	ENSG00000128791	TWSG1
GO_bp:go_regulation_of_protein_targeting_to_membrane	123.6	0.00991292383472941	ENSG00000168502	MTCL1
GO_bp:go_establishment_or_maintenance_of_bipolar_cell_polarity	106.39	0.0114543949375487	ENSG00000168502	MTCL1
GO_bp:go_regulation_of_gluconeogenesis	106.39	0.0114543949375487	ENSG00000116678	LEPR
GO_bp:go_negative_regulation_of_osteoblast_differentiation	100.82	0.0120704231348143	ENSG00000128791	TWSG1
GO_bp:go_immune_system_development	16.2	0.0124494593827868	ENSG00000116678;ENSG00000128791	LEPR;TWSG1
GO_bp:go_negative_regulation_of_bmp_signaling_pathway	93.62	0.0129938655850753	ENSG00000128791	TWSG1
GO_bp:go_regulation_of_bone_remodeling	93.62	0.0129938655850753	ENSG00000116678	LEPR
GO_bp:go_exocrine_system_development	89.19	0.0136090941819217	ENSG00000128791	TWSG1
GO_cc:go_lateral_plasma_membrane	78.23	0.0154528628585406	ENSG00000168502	MTCL1
Canonical_pathway:pid_ptp1b_pathway	75.17	0.0160668138220385	ENSG00000116678	LEPR
GO_bp:go_negative_regulation_of_autophagy	73.68	0.0163736696418624	ENSG00000116678	LEPR
GO_bp:go_negative_regulation_of_carbohydrate_metabolic_process	73.68	0.0163736696418624	ENSG00000116678	LEPR
GO_bp:go_sexual_reproduction	13.47	0.0175085903303299	ENSG00000116678;ENSG00000168594	LEPR;ADAM29
GO_mf:go_lysine_n_methyltransferase_activity	68.48	0.0176002955616286	ENSG00000150456	EEF1AKMT1
GO_bp:go_regulation_of_tissue_remodeling	62.87	0.0191317851458822	ENSG00000116678	LEPR
GO_bp:go_regulation_of_catabolic_process	12.81	0.0191809133368995	ENSG00000116678;ENSG00000168502	LEPR;MTCL1
GO_bp:go_regulation_of_behavior	59.93	0.0200497235233577	ENSG00000116678	LEPR
GO_bp:go_mesoderm_morphogenesis	59.93	0.0200497235233577	ENSG00000128791	TWSG1
Canonical_pathway:kegg_adipocytokine_signaling_pathway	59.01	0.0203555438529721	ENSG00000116678	LEPR
GO_bp:go_negative_regulation_of_ossification	59.01	0.0203555438529721	ENSG00000128791	TWSG1
GO_bp:go_organ_growth	57.25	0.0209669459175069	ENSG00000116678	LEPR
GO_bp:go_microtubule_bundle_formation	57.25	0.0209669459175069	ENSG00000168502	MTCL1
GO_bp:go_energy_reserve_metabolic_process	54.73	0.021883452775323	ENSG00000116678	LEPR
GO_bp:go_peptidyl_lysine_methylation	52.49	0.0227992445432377	ENSG00000150456	EEF1AKMT1
GO_bp:go_regulation_of_bmp_signaling_pathway	51.09	0.0234093753368635	ENSG00000128791	TWSG1
GO_mf:go_protein_methyltransferase_activity	47.27	0.0252378633239174	ENSG00000150456	EEF1AKMT1
GO_bp:go_multi_organism_reproductive_process	10.83	0.0260153301856636	ENSG00000116678;ENSG00000168594	LEPR;ADAM29
GO_bp:go_regulation_of_carbohydrate_biosynthetic_process	45.11	0.0264552696416394	ENSG00000116678	LEPR
GO_mf:go_n_methyltransferase_activity	44.58	0.0267594231633776	ENSG00000150456	EEF1AKMT1
GO_bp:go_response_to_bmp	44.06	0.0270634974947164	ENSG00000128791	TWSG1
GO_mf:go_cytokine_receptor_activity	42.09	0.0282790032489353	ENSG00000116678	LEPR
GO_bp:go_gland_morphogenesis	39.96	0.0297966056420093	ENSG00000128791	TWSG1
GO_bp:go_positive_regulation_of_transmembrane_receptor_protein_serine_threonine_kinase_signaling_pathway	39.96	0.0297966056420093	ENSG00000128791	TWSG1
GO_cc:go_plasma_membrane_region	10.02	0.0298590703459652	ENSG00000116678;ENSG00000168502	LEPR;MTCL1
GO_bp:go_negative_regulation_of_transmembrane_receptor_protein_serine_threonine_kinase_signaling_pathway	37.93	0.0313122324020146	ENSG00000128791	TWSG1
