id	or	p	ens.ids	gene.names
Canonical_pathway:reactome_purine_salvage	395.75	0.00336525712455404	ENSG00000114956	DGUOK
GO_bp:go_purine_deoxyribonucleotide_metabolic_process	368.98	0.00362374730572146	ENSG00000114956	DGUOK
GO_mf:go_nucleoside_kinase_activity	368.98	0.00362374730572146	ENSG00000114956	DGUOK
GO_bp:go_purine_containing_compound_salvage	319.73	0.00414056676562191	ENSG00000114956	DGUOK
GO_bp:go_deoxyribonucleoside_triphosphate_metabolic_process	296.79	0.0043988960608542	ENSG00000114956	DGUOK
Canonical_pathway:reactome_purine_metabolism	149.18	0.00852487922937173	ENSG00000114956	DGUOK
GO_bp:go_deoxyribonucleotide_metabolic_process	149.18	0.00852487922937173	ENSG00000114956	DGUOK
GO_bp:go_cellular_metabolic_compound_salvage	129.4	0.00981143974070875	ENSG00000114956	DGUOK
GO_mf:go_protein_tyrosine_serine_threonine_phosphatase_activity	116.72	0.0108397262354909	ENSG00000144048	DUSP11
GO_bp:go_guanosine_containing_compound_metabolic_process	111.31	0.011353549027851	ENSG00000114956	DGUOK
Canonical_pathway:st_differentiation_pathway_in_pc12_cells	108.79	0.0116103803393761	ENSG00000135625	EGR4
Canonical_pathway:pid_nfat_tfpathway	103.92	0.0121238828351835	ENSG00000135625	EGR4
GO_mf:go_nucleobase_containing_compound_kinase_activity	103.92	0.0121238828351835	ENSG00000114956	DGUOK
Canonical_pathway:reactome_loss_of_nlp_from_mitotic_centrosomes	87.13	0.0144320036075076	ENSG00000116127	ALMS1
Canonical_pathway:reactome_recruitment_of_mitotic_centrosome_proteins_and_complexes	78.53	0.0159683524928288	ENSG00000116127	ALMS1
GO_bp:go_rna_processing	15.15	0.0163717905160135	ENSG00000144034;ENSG00000144048	TPRKB;DUSP11
Canonical_pathway:pid_cd8_tcr_downstream_pathway	74.7	0.0167358081199127	ENSG00000135625	EGR4
Canonical_pathway:reactome_metabolism_of_nucleotides	68.44	0.0182692828637466	ENSG00000114956	DGUOK
GO_bp:go_regulation_of_actin_filament_bundle_assembly	63.88	0.0195457164366529	ENSG00000116127	ALMS1
Canonical_pathway:reactome_mitotic_g2_g2_m_phases	63.04	0.0198008437547753	ENSG00000116127	ALMS1
GO_bp:go_nucleoside_monophosphate_biosynthetic_process	58.43	0.0213304925849972	ENSG00000114956	DGUOK
GO_cc:go_centriole	48.4	0.0256541297162455	ENSG00000116127	ALMS1
GO_mf:go_protein_tyrosine_phosphatase_activity	48.4	0.0256541297162455	ENSG00000144048	DUSP11
GO_bp:go_trna_processing	42.72	0.028950118466494	ENSG00000144034	TPRKB
GO_cc:go_spindle_pole	38.88	0.0317320597444467	ENSG00000116127	ALMS1
GO_bp:go_purine_containing_compound_biosynthetic_process	35.15	0.0350115844489213	ENSG00000114956	DGUOK
GO_bp:go_cell_cycle_g2_m_phase_transition	34.9	0.0352634870319826	ENSG00000116127	ALMS1
