id	or	p	ens.ids	gene.names
GO_bp:go_regulation_of_circadian_sleep_wake_cycle	552.72	1.60852655983907e-05	ENSG00000049246;ENSG00000049247	PER3;UTS2
GO_bp:go_regulation_of_multicellular_organismal_metabolic_process	360.69	3.56648515058005e-05	ENSG00000049247;ENSG00000116285	UTS2;ERRFI1
GO_bp:go_regulation_of_interleukin_12_production	259.93	6.81781544186236e-05	ENSG00000049249;ENSG00000125657	TNFRSF9;TNFSF9
GO_bp:go_regulation_of_behavior	202	0.000111062393030178	ENSG00000049246;ENSG00000049247	PER3;UTS2
GO_bp:go_regulation_of_cell_proliferation	48.58	0.00015858490786864	ENSG00000049247;ENSG00000049249;ENSG00000116285;ENSG00000125657	UTS2;TNFRSF9;ERRFI1;TNFSF9
GO_bp:go_regulation_of_cytokine_production	51.02	0.000225620626328496	ENSG00000049249;ENSG00000116285;ENSG00000125657	TNFRSF9;ERRFI1;TNFSF9
GO_bp:go_regulation_of_circadian_rhythm	127.31	0.000273984209481814	ENSG00000049246;ENSG00000049247	PER3;UTS2
GO_bp:go_negative_regulation_of_protein_secretion	121.54	0.000301486501570492	ENSG00000049247;ENSG00000049249	UTS2;TNFRSF9
GO_bp:go_response_to_ketone	72.64	0.000822054224576901	ENSG00000049247;ENSG00000116285	UTS2;ERRFI1
GO_bp:go_response_to_lipid	31.7	0.000865273056602962	ENSG00000049247;ENSG00000049249;ENSG00000116285	UTS2;TNFRSF9;ERRFI1
GO_bp:go_negative_regulation_of_secretion	65.05	0.00101679139281188	ENSG00000049247;ENSG00000049249	UTS2;TNFRSF9
GO_bp:go_negative_regulation_of_cytokine_production	62.21	0.00111102352990933	ENSG00000049249;ENSG00000116285	TNFRSF9;ERRFI1
GO_bp:go_negative_regulation_of_establishment_of_protein_localization	61.61	0.00113251851844933	ENSG00000049247;ENSG00000049249	UTS2;TNFRSF9
GO_bp:go_negative_regulation_of_multicellular_organismal_process	28.69	0.00113910126994808	ENSG00000049247;ENSG00000049249;ENSG00000116285	UTS2;TNFRSF9;ERRFI1
Canonical_pathway:kegg_cytokine_cytokine_receptor_interaction	49.63	0.00172172956117469	ENSG00000049249;ENSG00000125657	TNFRSF9;TNFSF9
GO_bp:go_regulation_of_interleukin_10_secretion	518.45	0.00258946467524279	ENSG00000049249	TNFRSF9
GO_cc:go_extracellular_space	20.73	0.0027786035401417	ENSG00000049247;ENSG00000049249;ENSG00000125657	UTS2;TNFRSF9;TNFSF9
GO_bp:go_negative_regulation_of_protein_autophosphorylation	477.78	0.00284811581756717	ENSG00000116285	ERRFI1
GO_bp:go_positive_regulation_of_fibroblast_migration	477.78	0.00284811581756717	ENSG00000049247	UTS2
GO_bp:go_regulation_of_glomerular_filtration	477.78	0.00284811581756717	ENSG00000049247	UTS2
GO_bp:go_negative_regulation_of_multicellular_organismal_metabolic_process	433.16	0.00310671329781287	ENSG00000116285	ERRFI1
GO_bp:go_response_to_oxygen_containing_compound	19.77	0.0031581393216951	ENSG00000049247;ENSG00000049249;ENSG00000116285	UTS2;TNFRSF9;ERRFI1
GO_bp:go_response_to_alcohol	35.62	0.00327323156228359	ENSG00000049247;ENSG00000116285	UTS2;ERRFI1
Canonical_pathway:kegg_circadian_rhythm_mammal	395.75	0.00336525712455404	ENSG00000049246	PER3
GO_bp:go_negative_regulation_of_muscle_hypertrophy	368.98	0.00362374730572146	ENSG00000116285	ERRFI1
GO_bp:go_regulation_of_protein_secretion	33.05	0.00377861832253346	ENSG00000049247;ENSG00000049249	UTS2;TNFRSF9
GO_bp:go_regulation_of_cell_differentiation	18.3	0.00387421115409035	ENSG00000049247;ENSG00000116285;ENSG00000125657	UTS2;ERRFI1;TNFSF9
GO_bp:go_negative_regulation_of_interleukin_12_production	338.83	0.00388218385010097	ENSG00000049249	TNFRSF9
GO_bp:go_negative_regulation_of_interleukin_1_beta_production	338.83	0.00388218385010097	ENSG00000116285	ERRFI1
GO_cc:go_side_of_membrane	31.74	0.00407438588652503	ENSG00000049249;ENSG00000116285	TNFRSF9;ERRFI1
GO_bp:go_renal_system_process_involved_in_regulation_of_blood_volume	319.73	0.00414056676562191	ENSG00000049247	UTS2
GO_bp:go_negative_regulation_of_interleukin_10_production	319.73	0.00414056676562191	ENSG00000049249	TNFRSF9
Canonical_pathway:biocarta_41bb_pathway	296.79	0.0043988960608542	ENSG00000049249	TNFRSF9
GO_bp:go_response_to_platelet_derived_growth_factor	278.27	0.00465717174415248	ENSG00000116285	ERRFI1
GO_bp:go_regulation_of_tumor_necrosis_factor_biosynthetic_process	278.27	0.00465717174415248	ENSG00000116285	ERRFI1
GO_bp:go_negative_regulation_of_interleukin_1_production	265.96	0.00491539382387129	ENSG00000116285	ERRFI1
GO_bp:go_negative_regulation_of_protein_tyrosine_kinase_activity	265.96	0.00491539382387129	ENSG00000116285	ERRFI1
GO_bp:go_hyperosmotic_response	251.02	0.00517356230814925	ENSG00000116285	ERRFI1
GO_bp:go_regulation_of_urine_volume	251.02	0.00517356230814925	ENSG00000049247	UTS2
GO_bp:go_protein_homotrimerization	251.02	0.00517356230814925	ENSG00000049249	TNFRSF9
GO_bp:go_myeloid_dendritic_cell_differentiation	251.02	0.00517356230814925	ENSG00000125657	TNFSF9
GO_bp:go_negative_regulation_of_transport	27.77	0.00527221372657998	ENSG00000049247;ENSG00000049249	UTS2;TNFRSF9
GO_bp:go_regulation_of_multicellular_organismal_development	16.16	0.00538895441693709	ENSG00000049247;ENSG00000116285;ENSG00000125657	UTS2;ERRFI1;TNFSF9
GO_bp:go_positive_regulation_of_circadian_rhythm	238.59	0.00543167720555249	ENSG00000049247	UTS2
GO_bp:go_cellular_response_to_osmotic_stress	238.59	0.00543167720555249	ENSG00000116285	ERRFI1
GO_bp:go_regulation_of_epidermal_growth_factor_activated_receptor_activity	225.72	0.00568973852443277	ENSG00000116285	ERRFI1
GO_bp:go_positive_regulation_of_multicellular_organismal_metabolic_process	225.72	0.00568973852443277	ENSG00000049247	UTS2
GO_bp:go_positive_regulation_of_heart_rate	225.72	0.00568973852443277	ENSG00000049247	UTS2
GO_bp:go_negative_regulation_of_heart_contraction	225.72	0.00568973852443277	ENSG00000049247	UTS2
GO_bp:go_renal_system_process_involved_in_regulation_of_systemic_arterial_blood_pressure	225.72	0.00568973852443277	ENSG00000049247	UTS2
GO_bp:go_response_to_steroid_hormone	25.71	0.0060949793922754	ENSG00000049247;ENSG00000116285	UTS2;ERRFI1
GO_bp:go_regulation_of_renal_sodium_excretion	208.43	0.00620570045980928	ENSG00000049247	UTS2
GO_mf:go_death_receptor_activity	208.43	0.00620570045980928	ENSG00000049249	TNFRSF9
GO_bp:go_regulation_of_system_process	24.97	0.00643986408610536	ENSG00000049247;ENSG00000116285	UTS2;ERRFI1
GO_bp:go_cellular_response_to_epidermal_growth_factor_stimulus	199.34	0.00646360109278987	ENSG00000116285	ERRFI1
GO_bp:go_positive_regulation_of_behavior	191.23	0.00672144818064258	ENSG00000049247	UTS2
GO_bp:go_myeloid_dendritic_cell_activation	191.23	0.00672144818064258	ENSG00000125657	TNFSF9
GO_bp:go_positive_regulation_of_activated_t_cell_proliferation	183.85	0.00697924173171205	ENSG00000125657	TNFSF9
GO_bp:go_regulation_of_keratinocyte_differentiation	183.85	0.00697924173171205	ENSG00000116285	ERRFI1
GO_bp:go_cellular_response_to_dexamethasone_stimulus	183.85	0.00697924173171205	ENSG00000116285	ERRFI1
GO_bp:go_regulation_of_fibroblast_migration	177.73	0.00723698175392118	ENSG00000049247	UTS2
GO_bp:go_negative_regulation_of_cytokine_biosynthetic_process	177.73	0.00723698175392118	ENSG00000116285	ERRFI1
GO_bp:go_negative_regulation_of_receptor_activity	170.31	0.00749466825624912	ENSG00000116285	ERRFI1
GO_bp:go_regulation_of_excretion	170.31	0.00749466825624912	ENSG00000049247	UTS2
GO_bp:go_response_to_epidermal_growth_factor	164.81	0.00775230124640436	ENSG00000116285	ERRFI1
GO_mf:go_tumor_necrosis_factor_receptor_binding	164.81	0.00775230124640436	ENSG00000125657	TNFSF9
GO_bp:go_positive_regulation_of_vasodilation	159.74	0.00800988073315301	ENSG00000049247	UTS2
GO_bp:go_dendritic_cell_differentiation	149.18	0.00852487922937173	ENSG00000125657	TNFSF9
