id	or	p	ens.ids	gene.names
GO_bp:go_regulation_of_signal_transduction_by_p53_class_mediator	26.68	0.00362359292213266	ENSG00000165119;ENSG00000178966	HNRNPK;RMI1
GO_bp:go_response_to_carbohydrate	26.02	0.00380172707242697	ENSG00000165119;ENSG00000178966	HNRNPK;RMI1
GO_bp:go_monocarboxylic_acid_biosynthetic_process	25.86	0.00384689272450269	ENSG00000166796;ENSG00000100031	LDHC;GGT1
GO_bp:go_carbohydrate_homeostasis	25.25	0.00403007632714898	ENSG00000165119;ENSG00000178966	HNRNPK;RMI1
GO_bp:go_carbohydrate_metabolic_process	10.78	0.00515342700648986	ENSG00000166796;ENSG00000089057;ENSG00000106648	LDHC;SLC23A2;GALNTL5
Canonical_pathway:kegg_taurine_and_hypotaurine_metabolism	212.26	0.00568885539412134	ENSG00000100031	GGT1
Canonical_pathway:biocarta_sars_pathway	212.26	0.00568885539412134	ENSG00000166796	LDHC
Canonical_pathway:biocarta_vitcb_pathway	190.39	0.00625611967453732	ENSG00000089057	SLC23A2
GO_bp:go_negative_regulation_of_bone_resorption	190.39	0.00625611967453732	ENSG00000164761	TNFRSF11B
GO_bp:go_positive_regulation_of_protein_localization_to_cell_surface	190.39	0.00625611967453732	ENSG00000165119	HNRNPK
GO_bp:go_l_ascorbic_acid_metabolic_process	190.39	0.00625611967453732	ENSG00000089057	SLC23A2
GO_bp:go_positive_regulation_of_synapse_maturation	190.39	0.00625611967453732	ENSG00000165119	HNRNPK
GO_bp:go_positive_regulation_of_receptor_biosynthetic_process	190.39	0.00625611967453732	ENSG00000165119	HNRNPK
GO_bp:go_response_to_ether	190.39	0.00625611967453732	ENSG00000165119	HNRNPK
GO_bp:go_regulation_of_odontogenesis_of_dentin_containing_tooth	190.39	0.00625611967453732	ENSG00000164761	TNFRSF11B
Canonical_pathway:reactome_gaba_a_receptor_activation	174.27	0.00682308973076451	ENSG00000182256	GABRG3
GO_mf:go_poly_a_specific_ribonuclease_activity	174.27	0.00682308973076451	ENSG00000138767	CNOT6L
GO_bp:go_multicellular_organism_reproduction	9.55	0.00711815334478797	ENSG00000100031;ENSG00000106648;ENSG00000165119	GGT1;GALNTL5;HNRNPK
GO_bp:go_negative_regulation_of_bone_remodeling	159.47	0.00738976570012528	ENSG00000164761	TNFRSF11B
GO_bp:go_transepithelial_transport	159.47	0.00738976570012528	ENSG00000089057	SLC23A2
