id	or	p	ens.ids	gene.names
GO_bp:go_membrane_protein_intracellular_domain_proteolysis	296.79	0.0043988960608542	ENSG00000185294	SPPL2C
GO_bp:go_membrane_protein_ectodomain_proteolysis	225.72	0.00568973852443277	ENSG00000185294	SPPL2C
GO_bp:go_signal_peptide_processing	208.43	0.00620570045980928	ENSG00000185294	SPPL2C
GO_mf:go_aspartic_type_peptidase_activity	199.34	0.00646360109278987	ENSG00000185294	SPPL2C
GO_cc:go_lumenal_side_of_membrane	164.81	0.00775230124640436	ENSG00000185294	SPPL2C
Canonical_pathway:reactome_elongation_arrest_and_recovery	159.74	0.00800988073315301	ENSG00000011007	ELOA
GO_mf:go_thiolester_hydrolase_activity	154.21	0.00826740672462456	ENSG00000011009	LYPLA2
GO_bp:go_membrane_protein_proteolysis	141.02	0.00903966381120347	ENSG00000185294	SPPL2C
Canonical_pathway:reactome_formation_of_rna_pol_ii_elongation_complex_	116.72	0.0108397262354909	ENSG00000011007	ELOA
GO_cc:go_transcription_elongation_factor_complex	103.92	0.0121238828351835	ENSG00000011007	ELOA
GO_cc:go_golgi_associated_vesicle_membrane	99.97	0.0126371718828031	ENSG00000185294	SPPL2C
Canonical_pathway:reactome_rna_pol_ii_pre_transcription_events	85.74	0.0146881949244496	ENSG00000011007	ELOA
GO_bp:go_macromolecule_deacylation	74.7	0.0167358081199127	ENSG00000011009	LYPLA2
Canonical_pathway:kegg_glycerophospholipid_metabolism	63.88	0.0195457164366529	ENSG00000011009	LYPLA2
GO_bp:go_regulation_of_actin_filament_bundle_assembly	63.88	0.0195457164366529	ENSG00000088280	ASAP3
GO_bp:go_transcription_elongation_from_rna_polymerase_ii_promoter	61.43	0.0203109390609059	ENSG00000011007	ELOA
GO_cc:go_golgi_associated_vesicle	59.89	0.0208208219821957	ENSG00000185294	SPPL2C
Canonical_pathway:kegg_fc_gamma_r_mediated_phagocytosis	52.03	0.0238756631418375	ENSG00000088280	ASAP3
GO_bp:go_dna_templated_transcription_elongation	51.48	0.0241298886696144	ENSG00000011007	ELOA
Canonical_pathway:reactome_rna_pol_ii_transcription	48.91	0.0254002218958026	ENSG00000011007	ELOA
Canonical_pathway:reactome_late_phase_of_hiv_life_cycle	48.91	0.0254002218958026	ENSG00000011007	ELOA
Canonical_pathway:reactome_hiv_life_cycle	43.1	0.0286968979903076	ENSG00000011007	ELOA
GO_bp:go_lipoprotein_metabolic_process	39.53	0.0312267270769606	ENSG00000011009	LYPLA2
GO_mf:go_carboxylic_ester_hydrolase_activity	36.78	0.0334990637101018	ENSG00000011009	LYPLA2
GO_cc:go_intrinsic_component_of_endoplasmic_reticulum_membrane	36.22	0.0340034478665036	ENSG00000185294	SPPL2C
GO_cc:go_ruffle	31.03	0.0395377885691071	ENSG00000088280	ASAP3
