id	or	p	ens.ids	gene.names
Canonical_pathway:biocarta_il5_pathway	351.96	0.00362355966376637	ENSG00000113520	IL4
GO_bp:go_regulation_of_chronic_inflammatory_response	351.96	0.00362355966376637	ENSG00000113520	IL4
Canonical_pathway:biocarta_il4_pathway	316.27	0.00398529583318885	ENSG00000113520	IL4
GO_bp:go_cd4_positive_or_cd8_positive_alpha_beta_t_cell_lineage_commitment	316.27	0.00398529583318885	ENSG00000113520	IL4
Canonical_pathway:biocarta_asbcell_pathway	288.32	0.00434691942906884	ENSG00000113520	IL4
GO_bp:go_negative_regulation_of_acute_inflammatory_response	288.32	0.00434691942906884	ENSG00000113520	IL4
GO_bp:go_negative_regulation_of_nitric_oxide_metabolic_process	288.32	0.00434691942906884	ENSG00000113520	IL4
GO_bp:go_negative_regulation_of_cd4_positive_alpha_beta_t_cell_differentiation	288.32	0.00434691942906884	ENSG00000113520	IL4
GO_bp:go_microglial_cell_activation	288.32	0.00434691942906884	ENSG00000113520	IL4
GO_bp:go_regulation_of_chemokine_biosynthetic_process	288.32	0.00434691942906884	ENSG00000113520	IL4
GO_bp:go_positive_regulation_of_interleukin_13_production	262.99	0.00470843048064251	ENSG00000113520	IL4
GO_bp:go_regulation_of_mhc_class_ii_biosynthetic_process	262.99	0.00470843048064251	ENSG00000113520	IL4
GO_bp:go_positive_regulation_of_mast_cell_activation_involved_in_immune_response	244.77	0.00506982901713848	ENSG00000113520	IL4
GO_bp:go_regulation_of_proton_transport	244.77	0.00506982901713848	ENSG00000113520	IL4
GO_bp:go_response_to_mercury_ion	244.77	0.00506982901713848	ENSG00000113520	IL4
Canonical_pathway:biocarta_stem_pathway	227.29	0.00543111506778171	ENSG00000113520	IL4
GO_bp:go_regulation_of_mononuclear_cell_migration	227.29	0.00543111506778171	ENSG00000113520	IL4
GO_bp:go_t_cell_lineage_commitment	227.29	0.00543111506778171	ENSG00000113520	IL4
GO_bp:go_negative_regulation_of_alpha_beta_t_cell_differentiation	227.29	0.00543111506778171	ENSG00000113520	IL4
GO_bp:go_negative_regulation_of_cd4_positive_alpha_beta_t_cell_activation	227.29	0.00543111506778171	ENSG00000113520	IL4
Canonical_pathway:biocarta_gata3_pathway	211.19	0.0057922886616355	ENSG00000113520	IL4
GO_bp:go_positive_regulation_of_tyrosine_phosphorylation_of_stat5_protein	211.19	0.0057922886616355	ENSG00000113520	IL4
GO_bp:go_negative_regulation_of_reactive_oxygen_species_biosynthetic_process	211.19	0.0057922886616355	ENSG00000113520	IL4
Canonical_pathway:biocarta_41bb_pathway	197.98	0.00615334982791105	ENSG00000113520	IL4
GO_bp:go_cytokine_metabolic_process	197.98	0.00615334982791105	ENSG00000113520	IL4
GO_bp:go_positive_regulation_of_mast_cell_activation	197.98	0.00615334982791105	ENSG00000113520	IL4
GO_bp:go_cytokine_production_involved_in_immune_response	197.98	0.00615334982791105	ENSG00000113520	IL4
GO_bp:go_regulation_of_interleukin_13_production	187.91	0.00651429859566266	ENSG00000113520	IL4
GO_bp:go_positive_regulation_of_dna_recombination	187.91	0.00651429859566266	ENSG00000113520	IL4
GO_bp:go_negative_regulation_of_cell_killing	187.91	0.00651429859566266	ENSG00000113520	IL4
GO_cc:go_transcriptionally_active_chromatin	187.91	0.00651429859566266	ENSG00000072364	AFF4
