id	or	p	ens.ids	gene.names
GO_bp:go_ear_development	28.21	0.00349264518369105	ENSG00000181965;ENSG00000145824	NEUROG1;CXCL14
GO_bp:go_mitochondrial_calcium_ion_transport	238.75	0.00512129675213036	ENSG00000213585	VDAC1
Canonical_pathway:kegg_cytokine_cytokine_receptor_interaction	21.3	0.00598362163624117	ENSG00000196083;ENSG00000145824	IL1RAP;CXCL14
GO_mf:go_cytokine_receptor_binding	21.3	0.00598362163624117	ENSG00000196083;ENSG00000145824	IL1RAP;CXCL14
GO_bp:go_transepithelial_transport	198.23	0.0060499327039506	ENSG00000113946	CLDN16
GO_bp:go_regulation_of_exit_from_mitosis	159.55	0.00744144198359076	ENSG00000181965	NEUROG1
GO_bp:go_regulation_of_lymphocyte_chemotaxis	159.55	0.00744144198359076	ENSG00000145824	CXCL14
GO_bp:go_magnesium_ion_transmembrane_transport	159.55	0.00744144198359076	ENSG00000113946	CLDN16
GO_mf:go_interleukin_1_receptor_binding	159.55	0.00744144198359076	ENSG00000196083	IL1RAP
GO_cc:go_pore_complex	149.37	0.00790489345031542	ENSG00000213585	VDAC1
GO_mf:go_voltage_gated_anion_channel_activity	149.37	0.00790489345031542	ENSG00000213585	VDAC1
GO_bp:go_calcium_independent_cell_cell_adhesion_via_plasma_membrane_cell_adhesion_molecules	126.04	0.009294093949898	ENSG00000113946	CLDN16
GO_mf:go_wide_pore_channel_activity	114.11	0.0102192667305896	ENSG00000213585	VDAC1
GO_bp:go_positive_regulation_of_lymphocyte_migration	108.95	0.0106815650646328	ENSG00000145824	CXCL14
GO_bp:go_negative_regulation_of_myoblast_differentiation	104.09	0.0111436714541954	ENSG00000145824	CXCL14
GO_bp:go_transmembrane_transport	8.48	0.0112791542856793	ENSG00000113946;ENSG00000213585;ENSG00000145832	CLDN16;VDAC1;SLC25A48
Canonical_pathway:reactome_tight_junction_interactions	89.02	0.0129901789619578	ENSG00000113946	CLDN16
GO_bp:go_fear_response	85.71	0.0134513266746102	ENSG00000213585	VDAC1
GO_bp:go_regulation_of_anion_transmembrane_transport	82.71	0.0139122828608524	ENSG00000213585	VDAC1
Canonical_pathway:biocarta_il1r_pathway	74.85	0.0152940029571439	ENSG00000196083	IL1RAP
Canonical_pathway:pid_il1_pathway	74.85	0.0152940029571439	ENSG00000196083	IL1RAP
GO_mf:go_e_box_binding	74.85	0.0152940029571439	ENSG00000181965	NEUROG1
GO_bp:go_regulation_of_lymphocyte_migration	72.67	0.0157541937336637	ENSG00000145824	CXCL14
Canonical_pathway:reactome_il1_signaling	66.67	0.0171336192694741	ENSG00000196083	IL1RAP
GO_mf:go_chemokine_activity	66.67	0.0171336192694741	ENSG00000145824	CXCL14
GO_bp:go_negative_regulation_of_reactive_oxygen_species_metabolic_process	59.98	0.0189701800587204	ENSG00000213585	VDAC1
GO_bp:go_regulation_of_mitophagy	58.52	0.0194288433511374	ENSG00000213585	VDAC1
GO_bp:go_excretion	55.81	0.0203455981356885	ENSG00000113946	CLDN16
GO_bp:go_sensory_organ_development	11	0.020593971482164	ENSG00000181965;ENSG00000145824	NEUROG1;CXCL14
GO_cc:go_nucleoid	54.55	0.0208036897664418	ENSG00000213585	VDAC1
GO_mf:go_chemokine_receptor_binding	53.34	0.0212615909818115	ENSG00000145824	CXCL14
GO_bp:go_regulation_of_myoblast_differentiation	50.99	0.0221768224437461	ENSG00000145824	CXCL14
GO_cc:go_organelle_inner_membrane	10.39	0.0228613511213113	ENSG00000213585;ENSG00000145832	VDAC1;SLC25A48
Canonical_pathway:reactome_mitochondrial_protein_import	47.94	0.0235482432526293	ENSG00000213585	VDAC1
GO_bp:go_positive_regulation_of_mitotic_nuclear_division	47.94	0.0235482432526293	ENSG00000181965	NEUROG1
Canonical_pathway:reactome_cell_cell_junction_organization	44.41	0.0253741446525653	ENSG00000113946	CLDN16
GO_bp:go_negative_regulation_of_muscle_cell_differentiation	44.41	0.0253741446525653	ENSG00000145824	CXCL14
GO_bp:go_neuron_neuron_synaptic_transmission	43.57	0.025830145520633	ENSG00000213585	VDAC1
GO_bp:go_positive_regulation_of_nuclear_division	39.32	0.0285621703966298	ENSG00000181965	NEUROG1
GO_bp:go_regulation_of_ion_transport	9.18	0.0286021637381307	ENSG00000113946;ENSG00000213585	CLDN16;VDAC1
GO_bp:go_positive_regulation_of_cell_cycle_phase_transition	36.33	0.03083365303757	ENSG00000181965	NEUROG1
GO_bp:go_multicellular_organismal_response_to_stress	35.72	0.0312873826007763	ENSG00000213585	VDAC1
Canonical_pathway:reactome_cell_junction_organization	31.97	0.0349104270795167	ENSG00000113946	CLDN16
GO_bp:go_positive_regulation_of_leukocyte_chemotaxis	31.14	0.0358143040436125	ENSG00000145824	CXCL14
Canonical_pathway:pid_p73pathway	30.74	0.036265960279576	ENSG00000196083	IL1RAP
Canonical_pathway:pid_beta_catenin_nuc_pathway	30.74	0.036265960279576	ENSG00000181965	NEUROG1
GO_cc:go_mitochondrial_envelope	7.85	0.0377909584925149	ENSG00000213585;ENSG00000145832	VDAC1;SLC25A48
Canonical_pathway:kegg_apoptosis	27.88	0.0398724453099623	ENSG00000196083	IL1RAP
GO_mf:go_anion_channel_activity	27.24	0.0407721899501181	ENSG00000213585	VDAC1
GO_mf:go_structural_molecule_activity	7.5	0.040907195350315	ENSG00000113946;ENSG00000145832	CLDN16;SLC25A48
GO_bp:go_regulation_of_leukocyte_chemotaxis	26.64	0.041671185037305	ENSG00000145824	CXCL14
GO_bp:go_inner_ear_morphogenesis	26.35	0.0421204016692743	ENSG00000181965	NEUROG1
GO_mf:go_cytokine_receptor_activity	26.35	0.0421204016692743	ENSG00000196083	IL1RAP
GO_bp:go_cell_cell_signaling	7.09	0.0452145794509649	ENSG00000213585;ENSG00000145824	VDAC1;CXCL14
GO_bp:go_positive_regulation_of_calcium_ion_transport	23.7	0.0466022841597868	ENSG00000113946	CLDN16
Canonical_pathway:reactome_signaling_by_ils	22.8	0.0483898112912615	ENSG00000196083	IL1RAP
