id	or	p	ens.ids	gene.names
Canonical_pathway:reactome_membrane_binding_and_targetting_of_gag_proteins	263.72	0.00465668963666255	ENSG00000176428	VPS37D
Canonical_pathway:reactome_acetylcholine_neurotransmitter_release_cycle	235.77	0.00517289299226098	ENSG00000106089	STX1A
Canonical_pathway:reactome_norepinephrine_neurotransmitter_release_cycle	235.77	0.00517289299226098	ENSG00000106089	STX1A
Canonical_pathway:reactome_dopamine_neurotransmitter_release_cycle	212.26	0.00568885539414143	ENSG00000106089	STX1A
GO_bp:go_response_to_gravity	212.26	0.00568885539414143	ENSG00000106089	STX1A
GO_bp:go_vesicle_fusion_to_plasma_membrane	192.27	0.00620457694218945	ENSG00000106089	STX1A
GO_bp:go_positive_regulation_of_neurotransmitter_secretion	192.27	0.00620457694218945	ENSG00000106089	STX1A
GO_bp:go_negative_regulation_of_b_cell_apoptotic_process	192.27	0.00620457694218945	ENSG00000196950	SLC39A10
GO_mf:go_myosin_heavy_chain_binding	192.27	0.00620457694218945	ENSG00000106089	STX1A
GO_bp:go_positive_regulation_of_keratinocyte_differentiation	177.55	0.0067200577363562	ENSG00000113648	H2AFY
GO_bp:go_establishment_of_protein_localization_to_chromosome	177.55	0.0067200577363562	ENSG00000113648	H2AFY
GO_bp:go_protein_localization_to_chromatin	177.55	0.0067200577363562	ENSG00000113648	H2AFY
GO_bp:go_regulation_of_histone_phosphorylation	177.55	0.0067200577363562	ENSG00000113648	H2AFY
GO_bp:go_positive_regulation_of_catecholamine_secretion	163.56	0.00723529787656096	ENSG00000106089	STX1A
GO_bp:go_regulation_of_protein_localization_to_chromosome_telomeric_region	163.56	0.00723529787656096	ENSG00000113648	H2AFY
Canonical_pathway:reactome_glutamate_neurotransmitter_release_cycle	151.36	0.00775029746257883	ENSG00000106089	STX1A
Canonical_pathway:reactome_zinc_transporters	151.36	0.00775029746257883	ENSG00000196950	SLC39A10
GO_bp:go_regulation_of_b_cell_receptor_signaling_pathway	151.36	0.00775029746257883	ENSG00000196950	SLC39A10
GO_bp:go_positive_regulation_of_antigen_receptor_mediated_signaling_pathway	151.36	0.00775029746257883	ENSG00000196950	SLC39A10
GO_cc:go_pericentric_heterochromatin	151.36	0.00775029746257883	ENSG00000113648	H2AFY
GO_mf:go_chloride_channel_regulator_activity	151.36	0.00775029746257883	ENSG00000106089	STX1A
Canonical_pathway:reactome_proteolytic_cleavage_of_snare_complex_proteins	142.1	0.00826505659446519	ENSG00000106089	STX1A
GO_bp:go_regulation_of_norepinephrine_secretion	142.1	0.00826505659446519	ENSG00000106089	STX1A
GO_bp:go_negative_regulation_of_histone_methylation	142.1	0.00826505659446519	ENSG00000113648	H2AFY
GO_bp:go_positive_regulation_of_phosphoprotein_phosphatase_activity	142.1	0.00826505659446519	ENSG00000196950	SLC39A10
GO_bp:go_positive_regulation_of_neurotransmitter_transport	142.1	0.00826505659446519	ENSG00000106089	STX1A
GO_cc:go_apicolateral_plasma_membrane	142.1	0.00826505659446519	ENSG00000165215	CLDN3
GO_cc:go_esc_e_z_complex	142.1	0.00826505659446519	ENSG00000113648	H2AFY
GO_bp:go_vesicle_organization	17.14	0.00868740366608397	ENSG00000176428;ENSG00000106089	VPS37D;STX1A
Canonical_pathway:reactome_gaba_synthesis_release_reuptake_and_degradation	132.65	0.0087795753718195	ENSG00000106089	STX1A
GO_bp:go_regulation_of_sister_chromatid_cohesion	132.65	0.0087795753718195	ENSG00000113648	H2AFY
GO_bp:go_rrna_methylation	132.65	0.0087795753718195	ENSG00000071462	WBSCR22
Canonical_pathway:reactome_botulinum_neurotoxicity	125.22	0.00929385389451687	ENSG00000106089	STX1A
GO_bp:go_regulation_of_b_cell_apoptotic_process	125.22	0.00929385389451687	ENSG00000196950	SLC39A10
Canonical_pathway:reactome_insulin_synthesis_and_processing	112.12	0.0103216905747459	ENSG00000106089	STX1A
GO_bp:go_positive_regulation_of_epidermal_cell_differentiation	112.12	0.0103216905747459	ENSG00000113648	H2AFY
GO_bp:go_regulation_of_chromatin_silencing	112.12	0.0103216905747459	ENSG00000113648	H2AFY
GO_bp:go_regulation_of_synaptic_vesicle_exocytosis	112.12	0.0103216905747459	ENSG00000106089	STX1A
GO_bp:go_calcium_independent_cell_cell_adhesion_via_plasma_membrane_cell_adhesion_molecules	112.12	0.0103216905747459	ENSG00000165215	CLDN3
GO_bp:go_positive_regulation_of_excitatory_postsynaptic_potential	106.55	0.0108352489315342	ENSG00000106089	STX1A
GO_bp:go_zinc_ion_homeostasis	106.55	0.0108352489315342	ENSG00000196950	SLC39A10
Canonical_pathway:reactome_metal_ion_slc_transporters	101.35	0.0113485674322855	ENSG00000196950	SLC39A10
GO_bp:go_regulation_of_transcription_from_rna_polymerase_i_promoter	96.77	0.0118616461766977	ENSG00000113648	H2AFY
GO_bp:go_multi_organism_organelle_organization	92.59	0.0123744852642182	ENSG00000176428	VPS37D
GO_bp:go_negative_regulation_of_cell_cycle_g2_m_phase_transition	88.64	0.0128870847943654	ENSG00000113648	H2AFY
GO_bp:go_rrna_modification	88.64	0.0128870847943654	ENSG00000071462	WBSCR22
GO_bp:go_positive_regulation_of_chromosome_segregation	88.64	0.0128870847943654	ENSG00000113648	H2AFY
Canonical_pathway:kegg_selenoamino_acid_metabolism	85.37	0.0133994448666218	ENSG00000071462	WBSCR22
Canonical_pathway:reactome_endosomal_sorting_complex_required_for_transport_escrt	85.37	0.0133994448666218	ENSG00000176428	VPS37D
GO_bp:go_positive_regulation_of_calcium_ion_dependent_exocytosis	85.37	0.0133994448666218	ENSG00000106089	STX1A
GO_bp:go_negative_regulation_of_lymphocyte_apoptotic_process	85.37	0.0133994448666218	ENSG00000196950	SLC39A10
GO_bp:go_zinc_ii_ion_transport	85.37	0.0133994448666218	ENSG00000196950	SLC39A10
GO_bp:go_plasma_membrane_fusion	85.37	0.0133994448666218	ENSG00000106089	STX1A
GO_cc:go_sex_chromosome	85.37	0.0133994448666218	ENSG00000113648	H2AFY
GO_cc:go_escrt_complex	85.37	0.0133994448666218	ENSG00000176428	VPS37D
GO_bp:go_regulation_of_histone_h3_k4_methylation	82.02	0.0139115655804325	ENSG00000113648	H2AFY
GO_bp:go_regulation_of_keratinocyte_differentiation	82.02	0.0139115655804325	ENSG00000113648	H2AFY
Canonical_pathway:reactome_tight_junction_interactions	78.96	0.0144234470352059	ENSG00000165215	CLDN3
GO_bp:go_glutamate_secretion	78.96	0.0144234470352059	ENSG00000106089	STX1A
GO_bp:go_positive_regulation_of_phosphatase_activity	78.96	0.0144234470352059	ENSG00000196950	SLC39A10
Canonical_pathway:kegg_histidine_metabolism	76.18	0.0149350893302114	ENSG00000071462	WBSCR22
GO_bp:go_modulation_of_excitatory_postsynaptic_potential	73.45	0.0154464925648904	ENSG00000106089	STX1A
GO_bp:go_regulation_of_synaptic_vesicle_transport	73.45	0.0154464925648904	ENSG00000106089	STX1A
GO_cc:go_nuclear_heterochromatin	73.45	0.0154464925648904	ENSG00000113648	H2AFY
GO_mf:go_protein_serine_threonine_kinase_inhibitor_activity	73.45	0.0154464925648904	ENSG00000113648	H2AFY
GO_mf:go_nucleosomal_dna_binding	73.45	0.0154464925648904	ENSG00000113648	H2AFY
GO_bp:go_multivesicular_body_organization	71	0.015957656838544	ENSG00000176428	VPS37D
GO_bp:go_bicellular_tight_junction_assembly	71	0.015957656838544	ENSG00000165215	CLDN3
GO_bp:go_multi_organism_membrane_organization	71	0.015957656838544	ENSG00000176428	VPS37D
GO_bp:go_positive_regulation_of_epidermis_development	68.74	0.0164685822503314	ENSG00000113648	H2AFY
GO_bp:go_positive_regulation_of_amine_transport	68.74	0.0164685822503314	ENSG00000106089	STX1A
Canonical_pathway:reactome_neurotransmitter_release_cycle	64.62	0.0174897168853966	ENSG00000106089	STX1A
GO_bp:go_vesicle_docking_involved_in_exocytosis	62.72	0.0179999263070217	ENSG00000106089	STX1A
GO_bp:go_negative_regulation_of_histone_modification	60.94	0.0185098972634781	ENSG00000113648	H2AFY
GO_bp:go_positive_regulation_of_b_cell_proliferation	59.25	0.0190196298537438	ENSG00000196950	SLC39A10
GO_bp:go_virion_assembly	59.25	0.0190196298537438	ENSG00000176428	VPS37D
GO_mf:go_channel_inhibitor_activity	59.25	0.0190196298537438	ENSG00000106089	STX1A
GO_mf:go_calcium_channel_regulator_activity	59.25	0.0190196298537438	ENSG00000106089	STX1A
GO_mf:go_protein_heterodimerization_activity	11.22	0.019126761079743	ENSG00000113648;ENSG00000106089	H2AFY;STX1A
Canonical_pathway:kegg_snare_interactions_in_vesicular_transport	57.65	0.0195291241770781	ENSG00000106089	STX1A
GO_mf:go_snap_receptor_activity	57.65	0.0195291241770781	ENSG00000106089	STX1A
GO_bp:go_apical_junction_assembly	56.14	0.0200383803323859	ENSG00000165215	CLDN3
GO_mf:go_transition_metal_ion_transmembrane_transporter_activity	56.14	0.0200383803323859	ENSG00000196950	SLC39A10
GO_bp:go_regulation_of_antigen_receptor_mediated_signaling_pathway	53.35	0.0210561785347904	ENSG00000196950	SLC39A10
Canonical_pathway:kegg_tyrosine_metabolism	51.96	0.0215647207797297	ENSG00000071462	WBSCR22
GO_bp:go_negative_regulation_of_leukocyte_apoptotic_process	51.96	0.0215647207797297	ENSG00000196950	SLC39A10
GO_bp:go_regulation_of_catecholamine_secretion	51.96	0.0215647207797297	ENSG00000106089	STX1A
GO_bp:go_epithelial_cell_morphogenesis	51.96	0.0215647207797297	ENSG00000165215	CLDN3
GO_bp:go_regulation_of_gene_silencing	51.96	0.0215647207797297	ENSG00000113648	H2AFY
GO_cc:go_pcg_protein_complex	51.96	0.0215647207797297	ENSG00000113648	H2AFY
GO_mf:go_nucleosome_binding	49.55	0.0225810920513159	ENSG00000113648	H2AFY
GO_bp:go_protein_localization_to_chromosome	48.43	0.023088921275589	ENSG00000113648	H2AFY
GO_bp:go_regulation_of_epidermal_cell_differentiation	48.43	0.023088921275589	ENSG00000113648	H2AFY
GO_bp:go_negative_regulation_of_chromatin_modification	48.43	0.023088921275589	ENSG00000113648	H2AFY
GO_bp:go_positive_regulation_of_dephosphorylation	46.33	0.0241038673948936	ENSG00000196950	SLC39A10
GO_bp:go_regulation_of_neurotransmitter_secretion	43.52	0.0256245072307385	ENSG00000106089	STX1A
GO_bp:go_positive_regulation_of_regulated_secretory_pathway	43.52	0.0256245072307385	ENSG00000106089	STX1A
GO_cc:go_lateral_plasma_membrane	43.52	0.0256245072307385	ENSG00000165215	CLDN3
GO_bp:go_positive_regulation_of_mitotic_nuclear_division	42.61	0.026130913079105	ENSG00000113648	H2AFY
GO_bp:go_regulation_of_lymphocyte_apoptotic_process	41.03	0.0271430142215711	ENSG00000196950	SLC39A10
GO_cc:go_snare_complex	41.03	0.0271430142215711	ENSG00000106089	STX1A
GO_mf:go_rna_polymerase_ii_core_promoter_sequence_specific_dna_binding	41.03	0.0271430142215711	ENSG00000113648	H2AFY
GO_bp:go_positive_regulation_of_epithelial_cell_differentiation	40.25	0.0276487097126495	ENSG00000113648	H2AFY
GO_bp:go_chromatin_modification	9.14	0.0277736027198379	ENSG00000113648;ENSG00000071462	H2AFY;WBSCR22
Canonical_pathway:reactome_cell_cell_junction_organization	39.5	0.0281541686149879	ENSG00000165215	CLDN3
GO_bp:go_rna_methylation	39.5	0.0281541686149879	ENSG00000071462	WBSCR22
GO_bp:go_regulation_of_b_cell_proliferation	39.5	0.0281541686149879	ENSG00000196950	SLC39A10
GO_bp:go_regulation_of_histone_methylation	38.77	0.0286593910267788	ENSG00000113648	H2AFY
