id	or	p	ens.ids	gene.names
GO_bp:go_protein_autophosphorylation	50.37	0.00142501631403883	ENSG00000152332;ENSG00000162733	UHMK1;DDR2
GO_mf:go_transferase_activity_transferring_phosphorus_containing_groups	18.86	0.00228071386023052	ENSG00000152332;ENSG00000117143;ENSG00000162733	UHMK1;UAP1;DDR2
GO_bp:go_amino_sugar_biosynthetic_process	380.13	0.00341685328128793	ENSG00000117143	UAP1
GO_bp:go_positive_regulation_of_fibroblast_migration	380.13	0.00341685328128793	ENSG00000162733	DDR2
GO_bp:go_udp_n_acetylglucosamine_metabolic_process	292.59	0.00434703194416508	ENSG00000117143	UAP1
GO_bp:go_regulation_of_extracellular_matrix_disassembly	292.59	0.00434703194416508	ENSG00000162733	DDR2
GO_cc:go_dendrite_cytoplasm	255.02	0.00496674901853567	ENSG00000152332	UHMK1
GO_bp:go_positive_regulation_of_extracellular_matrix_organization	238.55	0.00527648699550098	ENSG00000162733	DDR2
GO_bp:go_nucleotide_sugar_biosynthetic_process	211.01	0.00589572191243082	ENSG00000117143	UAP1
GO_bp:go_bone_growth	202.28	0.00620521888562242	ENSG00000162733	DDR2
GO_bp:go_positive_regulation_of_translational_initiation	202.28	0.00620521888562242	ENSG00000152332	UHMK1
GO_bp:go_positive_regulation_of_natural_killer_cell_mediated_immunity	202.28	0.00620521888562242	ENSG00000198574	SH2D1B
GO_cc:go_exon_exon_junction_complex	182.18	0.00682397194521223	ENSG00000152332	UHMK1
GO_bp:go_regulation_of_fibroblast_migration	141.35	0.00867830522743551	ENSG00000162733	DDR2
GO_bp:go_regulation_of_extracellular_matrix_organization	137.07	0.00898708008962723	ENSG00000162733	DDR2
GO_bp:go_regulation_of_alternative_mrna_splicing_via_spliceosome	123.6	0.00991292383472941	ENSG00000152332	UHMK1
GO_bp:go_regulation_of_protein_export_from_nucleus	119.76	0.0102213781915594	ENSG00000152332	UHMK1
GO_bp:go_nucleotide_sugar_metabolic_process	119.76	0.0102213781915594	ENSG00000117143	UAP1
GO_bp:go_regulation_of_natural_killer_cell_mediated_immunity	119.76	0.0102213781915594	ENSG00000198574	SH2D1B
GO_bp:go_collagen_fibril_organization	109.42	0.011146260820006	ENSG00000162733	DDR2
GO_bp:go_amino_sugar_metabolic_process	98.09	0.0123783172476585	ENSG00000117143	UAP1
Canonical_pathway:kegg_amino_sugar_and_nucleotide_sugar_metabolism	89.19	0.0136090941819217	ENSG00000117143	UAP1
GO_mf:go_protein_kinase_activity	14.73	0.014859391044425	ENSG00000152332;ENSG00000162733	UHMK1;DDR2
GO_cc:go_cell_projection_cytoplasm	76.6	0.0157598782332232	ENSG00000152332	UHMK1
GO_bp:go_positive_regulation_of_fibroblast_proliferation	73.68	0.0163736696418624	ENSG00000162733	DDR2
GO_bp:go_regulation_of_mrna_splicing_via_spliceosome	66.12	0.0182131303380422	ENSG00000152332	UHMK1
GO_bp:go_positive_regulation_of_osteoblast_differentiation	66.12	0.0182131303380422	ENSG00000162733	DDR2
GO_mf:go_transmembrane_receptor_protein_tyrosine_kinase_activity	60.88	0.0197438236400233	ENSG00000162733	DDR2
GO_mf:go_collagen_binding	59.93	0.0200497235233577	ENSG00000162733	DDR2
GO_bp:go_positive_regulation_of_lymphocyte_mediated_immunity	57.25	0.0209669459175069	ENSG00000198574	SH2D1B
GO_bp:go_organ_growth	57.25	0.0209669459175069	ENSG00000162733	DDR2
GO_bp:go_regulation_of_biomineral_tissue_development	53.21	0.0224940600474651	ENSG00000162733	DDR2
GO_bp:go_biomineral_tissue_development	52.49	0.0227992445432377	ENSG00000162733	DDR2
