id	or	p	ens.ids	gene.names
GO_bp:go_regulation_of_circadian_sleep_wake_cycle	330.33	3.37253867638324e-05	ENSG00000049246;ENSG00000049247	PER3;UTS2
GO_bp:go_negative_regulation_of_secretion	73.73	3.56191322032697e-05	ENSG00000049245;ENSG00000049247;ENSG00000049249	VAMP3;UTS2;TNFRSF9
GO_bp:go_regulation_of_behavior	121.14	0.00023221728402097	ENSG00000049246;ENSG00000049247	PER3;UTS2
GO_bp:go_regulation_of_protein_secretion	37.27	0.000256115528616817	ENSG00000049245;ENSG00000049247;ENSG00000049249	VAMP3;UTS2;TNFRSF9
GO_bp:go_negative_regulation_of_transport	31.28	0.000422359808876492	ENSG00000049245;ENSG00000049247;ENSG00000049249	VAMP3;UTS2;TNFRSF9
GO_bp:go_regulation_of_circadian_rhythm	76.53	0.000571402027727584	ENSG00000049246;ENSG00000049247	PER3;UTS2
GO_bp:go_negative_regulation_of_protein_secretion	72.88	0.000628541462302502	ENSG00000049247;ENSG00000049249	UTS2;TNFRSF9
GO_bp:go_regulation_of_secretion	20.29	0.00143159235505176	ENSG00000049245;ENSG00000049247;ENSG00000049249	VAMP3;UTS2;TNFRSF9
GO_bp:go_negative_regulation_of_establishment_of_protein_localization	37	0.00234464483236216	ENSG00000049247;ENSG00000049249	UTS2;TNFRSF9
GO_bp:go_regulation_of_protein_localization	14.61	0.00352450614069689	ENSG00000049245;ENSG00000049247;ENSG00000049249	VAMP3;UTS2;TNFRSF9
GO_bp:go_regulation_of_hormone_secretion	29.69	0.00357955121191668	ENSG00000049245;ENSG00000049247	VAMP3;UTS2
GO_bp:go_regulation_of_interleukin_10_secretion	351.96	0.00362355966376637	ENSG00000049249	TNFRSF9
GO_bp:go_positive_regulation_of_fibroblast_migration	316.27	0.00398529583318885	ENSG00000049247	UTS2
GO_bp:go_regulation_of_glomerular_filtration	316.27	0.00398529583318885	ENSG00000049247	UTS2
GO_bp:go_positive_regulation_of_immunoglobulin_secretion	316.27	0.00398529583318885	ENSG00000049245	VAMP3
GO_bp:go_positive_regulation_of_receptor_recycling	316.27	0.00398529583318885	ENSG00000049245	VAMP3
Canonical_pathway:kegg_circadian_rhythm_mammal	262.99	0.00470843048064251	ENSG00000049246	PER3
GO_bp:go_negative_regulation_of_interleukin_12_production	227.29	0.00543111506778171	ENSG00000049249	TNFRSF9
GO_bp:go_renal_system_process_involved_in_regulation_of_blood_volume	211.19	0.0057922886616355	ENSG00000049247	UTS2
GO_bp:go_negative_regulation_of_interleukin_10_production	211.19	0.0057922886616355	ENSG00000049249	TNFRSF9
GO_mf:go_phospholipid_translocating_atpase_activity	211.19	0.0057922886616355	ENSG00000104043	ATP8B4
Canonical_pathway:biocarta_41bb_pathway	197.98	0.00615334982791105	ENSG00000049249	TNFRSF9
GO_bp:go_regulation_of_immunoglobulin_secretion	197.98	0.00615334982791105	ENSG00000049245	VAMP3
GO_mf:go_syntaxin_1_binding	187.91	0.00651429859566266	ENSG00000049245	VAMP3
GO_bp:go_regulation_of_urine_volume	167.8	0.00723585905268509	ENSG00000049247	UTS2
GO_bp:go_protein_homotrimerization	167.8	0.00723585905268509	ENSG00000049249	TNFRSF9
GO_bp:go_regulation_of_receptor_recycling	167.8	0.00723585905268509	ENSG00000049245	VAMP3
GO_bp:go_lipid_translocation	158.94	0.00759647080033488	ENSG00000104043	ATP8B4
GO_bp:go_positive_regulation_of_circadian_rhythm	158.94	0.00759647080033488	ENSG00000049247	UTS2
GO_bp:go_positive_regulation_of_multicellular_organismal_metabolic_process	151.86	0.0079569702660669	ENSG00000049247	UTS2
GO_bp:go_positive_regulation_of_heart_rate	151.86	0.0079569702660669	ENSG00000049247	UTS2
GO_bp:go_negative_regulation_of_heart_contraction	151.86	0.0079569702660669	ENSG00000049247	UTS2
GO_bp:go_renal_system_process_involved_in_regulation_of_systemic_arterial_blood_pressure	151.86	0.0079569702660669	ENSG00000049247	UTS2
GO_bp:go_regulation_of_cellular_localization	10.69	0.00809622970439905	ENSG00000049245;ENSG00000049247;ENSG00000049249	VAMP3;UTS2;TNFRSF9
GO_bp:go_regulation_of_renal_sodium_excretion	138.34	0.00867763246846909	ENSG00000049247	UTS2
GO_mf:go_death_receptor_activity	138.34	0.00867763246846909	ENSG00000049249	TNFRSF9
GO_bp:go_positive_regulation_of_behavior	127.7	0.00939784589336146	ENSG00000049247	UTS2
GO_bp:go_golgi_to_plasma_membrane_protein_transport	122.82	0.00975778438699382	ENSG00000049245	VAMP3
GO_bp:go_regulation_of_fibroblast_migration	118.3	0.0101176107735111	ENSG00000049247	UTS2
GO_bp:go_regulation_of_excretion	114.1	0.0104773250818979	ENSG00000049247	UTS2
GO_bp:go_endomembrane_system_organization	16.36	0.0110972171839728	ENSG00000049245;ENSG00000104043	VAMP3;ATP8B4
GO_bp:go_positive_regulation_of_vasodilation	106.4	0.0111964175814048	ENSG00000049247	UTS2
GO_bp:go_positive_regulation_of_immunoglobulin_production	106.4	0.0111964175814048	ENSG00000049245	VAMP3
GO_bp:go_regulation_of_mast_cell_activation_involved_in_immune_response	102.98	0.0115557958304661	ENSG00000049245	VAMP3
GO_bp:go_regulation_of_hormone_levels	15.97	0.0116102670875027	ENSG00000049245;ENSG00000049247	VAMP3;UTS2
Canonical_pathway:reactome_ion_transport_by_p_type_atpases	99.78	0.0119150621177335	ENSG00000104043	ATP8B4
GO_bp:go_regulation_of_body_fluid_levels	15.33	0.0125212597912447	ENSG00000049245;ENSG00000049247	VAMP3;UTS2
GO_bp:go_vesicle_docking_involved_in_exocytosis	93.75	0.012633258923915	ENSG00000049245	VAMP3
GO_bp:go_positive_regulation_of_heart_contraction	93.75	0.012633258923915	ENSG00000049247	UTS2
GO_bp:go_negative_regulation_of_blood_circulation	91.45	0.0129921895007203	ENSG00000049247	UTS2
GO_bp:go_substrate_adhesion_dependent_cell_spreading	91.45	0.0129921895007203	ENSG00000049245	VAMP3
GO_bp:go_regulation_of_membrane_lipid_distribution	88.84	0.0133510082321227	ENSG00000104043	ATP8B4
GO_bp:go_response_to_testosterone	88.84	0.0133510082321227	ENSG00000049247	UTS2
GO_bp:go_positive_regulation_of_blood_pressure	88.84	0.0133510082321227	ENSG00000049247	UTS2
GO_bp:go_regulation_of_renal_system_process	88.84	0.0133510082321227	ENSG00000049247	UTS2
GO_bp:go_regulation_of_multicellular_organismal_metabolic_process	88.84	0.0133510082321227	ENSG00000049247	UTS2
Canonical_pathway:kegg_snare_interactions_in_vesicular_transport	86.4	0.0137097151472031	ENSG00000049245	VAMP3
GO_mf:go_snap_receptor_activity	86.4	0.0137097151472031	ENSG00000049245	VAMP3
GO_bp:go_extrinsic_apoptotic_signaling_pathway_via_death_domain_receptors	84.12	0.0140683102748871	ENSG00000049249	TNFRSF9
GO_bp:go_protein_trimerization	81.96	0.0144267936443945	ENSG00000049249	TNFRSF9
GO_bp:go_regulation_of_mast_cell_activation	81.96	0.0144267936443945	ENSG00000049245	VAMP3
GO_bp:go_golgi_to_plasma_membrane_transport	77.85	0.0151434252243789	ENSG00000049245	VAMP3
GO_bp:go_negative_regulation_of_blood_pressure	77.85	0.0151434252243789	ENSG00000049247	UTS2
GO_bp:go_regulation_of_leukocyte_degranulation	77.85	0.0151434252243789	ENSG00000049245	VAMP3
GO_bp:go_regulation_of_interleukin_10_production	74.5	0.0158596101194398	ENSG00000049249	TNFRSF9
GO_bp:go_negative_regulation_of_cytokine_secretion	70.94	0.0165753485616138	ENSG00000049249	TNFRSF9
GO_bp:go_regulation_of_vasodilation	69.6	0.0169330504353724	ENSG00000049247	UTS2
GO_bp:go_regulation_of_immunoglobulin_production	69.6	0.0169330504353724	ENSG00000049245	VAMP3
GO_mf:go_phospholipid_transporter_activity	68.02	0.0172906407828409	ENSG00000104043	ATP8B4
Canonical_pathway:pid_arf6_trafficking_pathway	66.6	0.0176481196331855	ENSG00000049245	VAMP3
GO_bp:go_negative_regulation_of_peptide_secretion	66.6	0.0176481196331855	ENSG00000049247	UTS2
GO_mf:go_kinase_binding	12.54	0.0181655384735484	ENSG00000049246;ENSG00000144034	PER3;TPRKB
GO_bp:go_regulation_of_interleukin_12_production	63.94	0.0183627429576257	ENSG00000049249	TNFRSF9
GO_bp:go_positive_regulation_of_fibroblast_proliferation	61.49	0.0190769206405375	ENSG00000049247	UTS2
GO_cc:go_snare_complex	61.49	0.0190769206405375	ENSG00000049245	VAMP3
