id	or	p	ens.ids	gene.names
GO_cc:go_external_encapsulating_structure	301.88	0.00414024522711987	ENSG00000180488	MIGA1
GO_bp:go_erythrose_4_phosphate_phosphoenolpyruvate_family_amino_acid_metabolic_process	271.43	0.00455344361090371	ENSG00000171759	PAH
GO_bp:go_neurotransmitter_biosynthetic_process	208.99	0.00579213882817153	ENSG00000171759	PAH
GO_mf:go_organic_cation_transmembrane_transporter_activity	194.06	0.00620473741134331	ENSG00000197119	SLC25A29
GO_bp:go_quaternary_ammonium_group_transport	170.84	0.00702948512410595	ENSG00000197119	SLC25A29
Canonical_pathway:kegg_phenylalanine_metabolism	161.16	0.00744163434679812	ENSG00000171759	PAH
GO_bp:go_catecholamine_biosynthetic_process	161.16	0.00744163434679812	ENSG00000171759	PAH
GO_bp:go_protein_hydroxylation	161.16	0.00744163434679812	ENSG00000171759	PAH
GO_cc:go_h4_histone_acetyltransferase_complex	161.16	0.00744163434679812	ENSG00000101189	MRGBP
GO_bp:go_mitochondrial_fusion	151.73	0.00785363387592275	ENSG00000180488	MIGA1
GO_bp:go_aromatic_amino_acid_family_catabolic_process	143.92	0.00826548375806635	ENSG00000171759	PAH
GO_mf:go_protein_dimerization_activity	9.94	0.00833866405566217	ENSG00000180488;ENSG00000162618;ENSG00000171759	MIGA1;ADGRL4;PAH
GO_bp:go_neurotransmitter_metabolic_process	114.1	0.0103224900944091	ENSG00000171759	PAH
GO_bp:go_cofactor_transport	109.57	0.010733443072701	ENSG00000197119	SLC25A29
GO_bp:go_aromatic_amino_acid_family_metabolic_process	101.35	0.0115549011125279	ENSG00000171759	PAH
GO_bp:go_phenol_containing_compound_biosynthetic_process	85.67	0.0136059355335245	ENSG00000171759	PAH
GO_bp:go_pteridine_containing_compound_metabolic_process	80.6	0.0144253060063863	ENSG00000171759	PAH
GO_bp:go_catecholamine_metabolic_process	66.85	0.0172884146530248	ENSG00000171759	PAH
GO_bp:go_cell_fate_determination	65.26	0.0176968354894641	ENSG00000143032	BARHL2
GO_bp:go_regulation_of_growth	9.96	0.0258526570168338	ENSG00000143032;ENSG00000101189	BARHL2;MRGBP
GO_cc:go_golgi_cisterna_membrane	38.59	0.0294766159467572	ENSG00000215252	GOLGA8B
GO_cc:go_mitochondrial_envelope	9.16	0.0300842559015653	ENSG00000180488;ENSG00000197119	MIGA1;SLC25A29
GO_bp:go_alpha_amino_acid_biosynthetic_process	37.02	0.0306881294476795	ENSG00000171759	PAH
GO_bp:go_phenol_containing_compound_metabolic_process	34.24	0.0331071871671698	ENSG00000171759	PAH
GO_mf:go_protein_homodimerization_activity	8.67	0.0331969803434241	ENSG00000180488;ENSG00000171759	MIGA1;PAH
GO_bp:go_cellular_amino_acid_biosynthetic_process	30.77	0.036725869118153	ENSG00000171759	PAH
GO_cc:go_golgi_cisterna	30.43	0.0371272124359671	ENSG00000215252	GOLGA8B
GO_mf:go_monooxygenase_activity	30.09	0.0375284094307824	ENSG00000171759	PAH
GO_bp:go_alpha_amino_acid_catabolic_process	29.45	0.0383303646340993	ENSG00000171759	PAH
GO_cc:go_acetyltransferase_complex	29.45	0.0383303646340993	ENSG00000101189	MRGBP
GO_bp:go_regulation_of_extent_of_cell_growth	27.38	0.0411326053867024	ENSG00000143032	BARHL2
GO_mf:go_amino_acid_binding	26.08	0.0431298290206145	ENSG00000171759	PAH
GO_bp:go_positive_regulation_of_cellular_amide_metabolic_process	25.59	0.0439276986863854	ENSG00000143032	BARHL2
