id	or	p	ens.ids	gene.names
GO_bp:go_regulation_of_organelle_assembly	37.92	0.00197785864202576	ENSG00000166851;ENSG00000197226	PLK1;TBC1D9B
GO_bp:go_regulation_of_protein_localization_to_nucleus	25.43	0.00426579420205036	ENSG00000166851;ENSG00000018408	PLK1;WWTR1
GO_bp:go_negative_regulation_of_kinase_activity	22.18	0.00553957010699143	ENSG00000166851;ENSG00000018408	PLK1;WWTR1
GO_cc:go_condensed_chromosome_outer_kinetochore	217.04	0.00558571108456218	ENSG00000166851	PLK1
GO_bp:go_regulation_of_epithelial_cell_differentiation_involved_in_kidney_development	198.23	0.0060499327039506	ENSG00000018408	WWTR1
GO_bp:go_protein_localization_to_chromatin	198.23	0.0060499327039506	ENSG00000166851	PLK1
GO_bp:go_positive_regulation_of_mitotic_sister_chromatid_separation	184.68	0.0065139616803267	ENSG00000166851	PLK1
GO_bp:go_activation_of_anaphase_promoting_complex_activity	184.68	0.0065139616803267	ENSG00000166851	PLK1
GO_bp:go_proteasomal_protein_catabolic_process	20.33	0.00653754125924832	ENSG00000166851;ENSG00000018408	PLK1;WWTR1
Canonical_pathway:reactome_cyclin_a_b1_associated_events_during_g2_m_transition	170.89	0.00697779808346566	ENSG00000166851	PLK1
GO_bp:go_regulation_of_spindle_assembly	170.89	0.00697779808346566	ENSG00000166851	PLK1
GO_bp:go_regulation_of_smad_protein_import_into_nucleus	159.55	0.00744144198359076	ENSG00000018408	WWTR1
Canonical_pathway:reactome_phosphorylation_of_the_apc_c	149.37	0.00790489345031542	ENSG00000166851	PLK1
GO_bp:go_regulation_of_ubiquitin_protein_ligase_activity	140.74	0.00836815255370305	ENSG00000166851	PLK1
GO_cc:go_condensed_nuclear_chromosome_centromeric_region	140.74	0.00836815255370305	ENSG00000166851	PLK1
Canonical_pathway:reactome_signaling_by_hippo	126.04	0.009294093949898	ENSG00000018408	WWTR1
GO_bp:go_regulation_of_spindle_organization	126.04	0.009294093949898	ENSG00000166851	PLK1
GO_bp:go_developmental_growth	16.55	0.00964444134107199	ENSG00000169903;ENSG00000018408	TM4SF4;WWTR1
GO_bp:go_synaptonemal_complex_organization	119.77	0.00975677638224981	ENSG00000166851	PLK1
Canonical_pathway:reactome_generic_transcription_pathway	16.15	0.0101002850404475	ENSG00000198342;ENSG00000018408	ZNF442;WWTR1
GO_bp:go_regulation_of_metanephros_development	114.11	0.0102192667305896	ENSG00000018408	WWTR1
GO_bp:go_scf_dependent_proteasomal_ubiquitin_dependent_protein_catabolic_process	108.95	0.0106815650646328	ENSG00000018408	WWTR1
GO_bp:go_negative_regulation_of_transferase_activity	15.68	0.010683568863025	ENSG00000166851;ENSG00000018408	PLK1;WWTR1
Canonical_pathway:biocarta_g2_pathway	104.09	0.0111436714541954	ENSG00000166851	PLK1
Canonical_pathway:reactome_yap1_and_wwtr1_taz_stimulated_gene_expression	104.09	0.0111436714541954	ENSG00000018408	WWTR1
Canonical_pathway:reactome_smad2_smad3_smad4_heterotrimer_regulates_transcription	99.78	0.011605585969067	ENSG00000018408	WWTR1
GO_bp:go_spindle_checkpoint	99.78	0.011605585969067	ENSG00000166851	PLK1
GO_bp:go_positive_regulation_of_peptidyl_threonine_phosphorylation	99.78	0.011605585969067	ENSG00000166851	PLK1
GO_bp:go_positive_regulation_of_chromosome_segregation	99.78	0.011605585969067	ENSG00000166851	PLK1
GO_bp:go_female_meiotic_division	95.81	0.0120673086787837	ENSG00000166851	PLK1
GO_bp:go_hippo_signaling	92.16	0.0125288396532106	ENSG00000018408	WWTR1
GO_bp:go_negative_regulation_of_chromosome_segregation	92.16	0.0125288396532106	ENSG00000166851	PLK1
GO_bp:go_regulation_of_catenin_import_into_nucleus	92.16	0.0125288396532106	ENSG00000018408	WWTR1
GO_cc:go_spindle_midzone	92.16	0.0125288396532106	ENSG00000166851	PLK1
GO_bp:go_stem_cell_division	85.71	0.0134513266746102	ENSG00000018408	WWTR1
GO_bp:go_growth	13.37	0.0143560309433541	ENSG00000169903;ENSG00000018408	TM4SF4;WWTR1
GO_bp:go_mitotic_cytokinesis	79.94	0.0143730475903435	ENSG00000166851	PLK1
GO_bp:go_negative_regulation_of_cyclin_dependent_protein_kinase_activity	77.38	0.0148336209326079	ENSG00000166851	PLK1
GO_bp:go_negative_regulation_of_mitotic_nuclear_division	74.85	0.0152940029571439	ENSG00000166851	PLK1
GO_bp:go_g2_dna_damage_checkpoint	74.85	0.0152940029571439	ENSG00000166851	PLK1
GO_bp:go_negative_regulation_of_phosphorylation	12.92	0.0153148387767425	ENSG00000166851;ENSG00000018408	PLK1;WWTR1
GO_bp:go_positive_regulation_of_epithelial_to_mesenchymal_transition	72.67	0.0157541937336637	ENSG00000018408	WWTR1
GO_bp:go_protein_destabilization	72.67	0.0157541937336637	ENSG00000166851	PLK1
GO_cc:go_synaptonemal_complex	72.67	0.0157541937336637	ENSG00000166851	PLK1
Canonical_pathway:reactome_transcriptional_activity_of_smad2_smad3_smad4_heterotrimer	68.43	0.0166740018203466	ENSG00000018408	WWTR1
GO_bp:go_regulation_of_peptidyl_threonine_phosphorylation	66.67	0.0171336192694741	ENSG00000166851	PLK1
Canonical_pathway:pid_atr_pathway	63.13	0.0180522813267265	ENSG00000166851	PLK1
GO_bp:go_cytoskeleton_dependent_cytokinesis	63.13	0.0180522813267265	ENSG00000166851	PLK1
GO_bp:go_cell_division	11.77	0.0182046664299621	ENSG00000166851;ENSG00000018408	PLK1;WWTR1
Canonical_pathway:pid_foxm1_pathway	61.51	0.018511326073686	ENSG00000166851	PLK1
GO_bp:go_negative_regulation_of_fat_cell_differentiation	59.98	0.0189701800587204	ENSG00000018408	WWTR1
GO_bp:go_protein_localization_to_chromosome	54.55	0.0208036897664418	ENSG00000166851	PLK1
GO_bp:go_negative_regulation_of_nuclear_division	54.55	0.0208036897664418	ENSG00000166851	PLK1
Canonical_pathway:pid_plk1_pathway	53.34	0.0212615909818115	ENSG00000166851	PLK1
GO_bp:go_membrane_disassembly	53.34	0.0212615909818115	ENSG00000166851	PLK1
GO_bp:go_glomerulus_development	53.34	0.0212615909818115	ENSG00000018408	WWTR1
GO_bp:go_homologous_chromosome_segregation	52.1	0.0217193018512268	ENSG00000166851	PLK1
Canonical_pathway:pid_foxo_pathway	49.93	0.0226341528287546	ENSG00000166851	PLK1
GO_bp:go_positive_regulation_of_stem_cell_differentiation	48.92	0.0230912930752685	ENSG00000018408	WWTR1
GO_bp:go_regulation_of_cilium_assembly	48.92	0.0230912930752685	ENSG00000197226	TBC1D9B
GO_bp:go_positive_regulation_of_mitotic_nuclear_division	47.94	0.0235482432526293	ENSG00000166851	PLK1
GO_bp:go_regulation_of_kidney_development	47.01	0.0240050034299254	ENSG00000018408	WWTR1
GO_bp:go_tissue_regeneration	47.01	0.0240050034299254	ENSG00000169903	TM4SF4
GO_bp:go_negative_regulation_of_phosphorus_metabolic_process	9.99	0.0245430270523312	ENSG00000166851;ENSG00000018408	PLK1;WWTR1
Canonical_pathway:pid_tap63_pathway	45.25	0.0249179540608011	ENSG00000166851	PLK1
GO_bp:go_regulation_of_cell_morphogenesis	9.84	0.0252299635694968	ENSG00000018408;ENSG00000197226	WWTR1;TBC1D9B
