id	or	p	ens.ids	gene.names
GO_bp:go_microtubule_based_process	27.36	0.000618041048602552	ENSG00000011523;ENSG00000138069;ENSG00000138071	CEP68;RAB1A;ACTR2
GO_bp:go_cilium_organization	41.25	0.00190098808159083	ENSG00000138069;ENSG00000138071	RAB1A;ACTR2
GO_bp:go_microtubule_based_movement	37.74	0.00225668459052606	ENSG00000138069;ENSG00000138071	RAB1A;ACTR2
GO_bp:go_cilium_morphogenesis	37.18	0.00232250293046016	ENSG00000138069;ENSG00000138071	RAB1A;ACTR2
GO_bp:go_cellular_component_assembly_involved_in_morphogenesis	31.17	0.0032604794222001	ENSG00000138069;ENSG00000138071	RAB1A;ACTR2
GO_bp:go_cell_projection_assembly	29.23	0.00368906240510533	ENSG00000138069;ENSG00000138071	RAB1A;ACTR2
GO_bp:go_establishment_of_endothelial_intestinal_barrier	316.27	0.00398529583318885	ENSG00000138069	RAB1A
GO_cc:go_arp2_3_protein_complex	316.27	0.00398529583318885	ENSG00000138071	ACTR2
Canonical_pathway:biocarta_rab_pathway	288.32	0.00434691942906884	ENSG00000138069	RAB1A
Canonical_pathway:biocarta_salmonella_pathway	262.99	0.00470843048064251	ENSG00000138071	ACTR2
GO_bp:go_positive_regulation_of_dna_damage_response_signal_transduction_by_p53_class_mediator	262.99	0.00470843048064251	ENSG00000198369	SPRED2
GO_bp:go_asymmetric_cell_division	262.99	0.00470843048064251	ENSG00000138071	ACTR2
GO_bp:go_positive_regulation_of_mitotic_sister_chromatid_separation	244.77	0.00506982901713848	ENSG00000138069	RAB1A
GO_bp:go_activation_of_anaphase_promoting_complex_activity	244.77	0.00506982901713848	ENSG00000138069	RAB1A
GO_bp:go_negative_regulation_of_peptidyl_threonine_phosphorylation	227.29	0.00543111506778171	ENSG00000198369	SPRED2
Canonical_pathway:biocarta_cdc42rac_pathway	211.19	0.0057922886616355	ENSG00000138071	ACTR2
GO_bp:go_arp2_3_complex_mediated_actin_nucleation	211.19	0.0057922886616355	ENSG00000138071	ACTR2
GO_bp:go_positive_regulation_of_signal_transduction_by_p53_class_mediator	197.98	0.00615334982791105	ENSG00000198369	SPRED2
GO_bp:go_regulation_of_ubiquitin_protein_ligase_activity	187.91	0.00651429859566266	ENSG00000138069	RAB1A
Canonical_pathway:biocarta_actiny_pathway	167.8	0.00723585905268509	ENSG00000138071	ACTR2
GO_bp:go_positive_regulation_of_glycoprotein_metabolic_process	167.8	0.00723585905268509	ENSG00000138069	RAB1A
GO_bp:go_actin_nucleation	151.86	0.0079569702660669	ENSG00000138071	ACTR2
GO_bp:go_organelle_localization	18.49	0.00881677879588921	ENSG00000138069;ENSG00000138071	RAB1A;ACTR2
GO_bp:go_pigment_granule_localization	133.22	0.00903779526361914	ENSG00000138069	RAB1A
GO_bp:go_inactivation_of_mapk_activity	133.22	0.00903779526361914	ENSG00000198369	SPRED2
GO_bp:go_positive_regulation_of_chromosome_segregation	133.22	0.00903779526361914	ENSG00000138069	RAB1A
GO_bp:go_regulation_of_dna_damage_response_signal_transduction_by_p53_class_mediator	118.3	0.0101176107735111	ENSG00000198369	SPRED2
GO_bp:go_establishment_of_endothelial_barrier	110.19	0.0108369273415883	ENSG00000138069	RAB1A
GO_mf:go_protein_serine_threonine_kinase_inhibitor_activity	110.19	0.0108369273415883	ENSG00000198369	SPRED2
Canonical_pathway:biocarta_rho_pathway	102.98	0.0115557958304661	ENSG00000138071	ACTR2
GO_bp:go_endocytosis	15.87	0.011752023939326	ENSG00000138069;ENSG00000138071	RAB1A;ACTR2
Canonical_pathway:biocarta_mpr_pathway	96.78	0.0122742164726174	ENSG00000138071	ACTR2
GO_bp:go_regulation_of_protein_deacetylation	96.78	0.0122742164726174	ENSG00000198369	SPRED2
GO_bp:go_organelle_assembly	15.36	0.012472533526757	ENSG00000138069;ENSG00000138071	RAB1A;ACTR2
GO_bp:go_organelle_fission	15.33	0.0125212597912447	ENSG00000138069;ENSG00000138071	RAB1A;ACTR2
Canonical_pathway:sig_regulation_of_the_actin_cytoskeleton_by_rho_gtpases	93.75	0.012633258923915	ENSG00000138071	ACTR2
GO_bp:go_transmembrane_receptor_protein_tyrosine_kinase_signaling_pathway	15.23	0.0126679559004273	ENSG00000138071;ENSG00000198369	ACTR2;SPRED2
GO_bp:go_substrate_adhesion_dependent_cell_spreading	91.45	0.0129921895007203	ENSG00000138069	RAB1A
GO_bp:go_virion_assembly	88.84	0.0133510082321227	ENSG00000138069	RAB1A
GO_bp:go_regulation_of_peptidyl_threonine_phosphorylation	88.84	0.0133510082321227	ENSG00000198369	SPRED2
GO_bp:go_spindle_localization	86.4	0.0137097151472031	ENSG00000138071	ACTR2
GO_bp:go_cytokine_secretion	86.4	0.0137097151472031	ENSG00000138069	RAB1A
GO_bp:go_cytoskeleton_dependent_cytokinesis	84.12	0.0140683102748871	ENSG00000138071	ACTR2
GO_bp:go_vesicle_cytoskeletal_trafficking	81.96	0.0144267936443945	ENSG00000138069	RAB1A
GO_bp:go_regulation_of_glycoprotein_metabolic_process	77.85	0.0151434252243789	ENSG00000138069	RAB1A
GO_bp:go_autophagosome_organization	76.08	0.0155015734931134	ENSG00000138069	RAB1A
Canonical_pathway:sig_chemotaxis	72.62	0.0162175351326955	ENSG00000138071	ACTR2
GO_bp:go_endothelial_cell_development	72.62	0.0162175351326955	ENSG00000138069	RAB1A
GO_bp:go_positive_regulation_of_organelle_organization	13.25	0.0164180541697658	ENSG00000138069;ENSG00000138071	RAB1A;ACTR2
Canonical_pathway:pid_plk1_pathway	70.94	0.0165753485616138	ENSG00000138069	RAB1A
GO_bp:go_cellular_pigmentation	69.6	0.0169330504353724	ENSG00000138069	RAB1A
GO_mf:go_kinase_binding	12.54	0.0181655384735484	ENSG00000011523;ENSG00000198369	CEP68;SPRED2
GO_bp:go_positive_regulation_of_mitotic_nuclear_division	63.94	0.0183627429576257	ENSG00000138069	RAB1A
Canonical_pathway:pid_kit_pathway	62.69	0.0187198874897209	ENSG00000198369	SPRED2
Canonical_pathway:pid_rac1_pathway	60.33	0.0194338424387611	ENSG00000138071	ACTR2
GO_bp:go_cell_part_morphogenesis	11.9	0.0199909044901761	ENSG00000138069;ENSG00000138071	RAB1A;ACTR2
GO_bp:go_peptide_secretion	57.11	0.0205039400082194	ENSG00000138069	RAB1A
GO_cc:go_cortical_actin_cytoskeleton	56.11	0.0208604166859367	ENSG00000138071	ACTR2
GO_bp:go_organelle_transport_along_microtubule	55.14	0.0212167821558887	ENSG00000138069	RAB1A
GO_bp:go_chromosome_localization	53.23	0.0219291795879821	ENSG00000138071	ACTR2
GO_bp:go_positive_regulation_of_nuclear_division	52.36	0.0222852116078492	ENSG00000138069	RAB1A
GO_bp:go_meiotic_chromosome_segregation	50.7	0.0229969424000213	ENSG00000138071	ACTR2
GO_bp:go_positive_regulation_of_response_to_dna_damage_stimulus	50.7	0.0229969424000213	ENSG00000198369	SPRED2
GO_bp:go_enzyme_linked_receptor_protein_signaling_pathway	10.97	0.0231596065108341	ENSG00000138071;ENSG00000198369	ACTR2;SPRED2
GO_bp:go_regulation_of_sister_chromatid_segregation	49.15	0.0237082290543	ENSG00000138069	RAB1A
GO_bp:go_positive_regulation_of_actin_filament_polymerization	48.4	0.0240637059019285	ENSG00000138071	ACTR2
GO_bp:go_positive_regulation_of_cell_cycle_phase_transition	48.4	0.0240637059019285	ENSG00000138069	RAB1A
Canonical_pathway:pid_cdc42_pathway	46.31	0.0251294708733797	ENSG00000138071	ACTR2
GO_bp:go_single_organism_membrane_budding	45.61	0.0254845041028576	ENSG00000138069	RAB1A
GO_bp:go_peptide_transport	45.61	0.0254845041028576	ENSG00000138069	RAB1A
GO_bp:go_negative_regulation_of_map_kinase_activity	45.07	0.0258394264999618	ENSG00000198369	SPRED2
GO_bp:go_endothelial_cell_differentiation	45.07	0.0258394264999618	ENSG00000138069	RAB1A
GO_bp:go_fc_gamma_receptor_signaling_pathway	44.43	0.0261942380934103	ENSG00000138071	ACTR2
GO_bp:go_vesicle_coating	43.8	0.026548938912066	ENSG00000138069	RAB1A
GO_bp:go_vesicle_targeting	42.62	0.0272580083404128	ENSG00000138069	RAB1A
GO_bp:go_retrograde_vesicle_mediated_transport_golgi_to_er	42.62	0.0272580083404128	ENSG00000138069	RAB1A
GO_bp:go_hormone_transport	42.05	0.0276123770076494	ENSG00000138069	RAB1A
GO_cc:go_cortical_cytoskeleton	39.93	0.0290287453694701	ENSG00000138071	ACTR2
Canonical_pathway:st_integrin_signaling_pathway	39.44	0.0293825610271807	ENSG00000138071	ACTR2
GO_bp:go_microtubule_organizing_center_organization	38.99	0.0297362661691357	ENSG00000011523	CEP68
GO_bp:go_regulation_of_chromosome_segregation	38.46	0.030089860824283	ENSG00000138069	RAB1A
GO_bp:go_fibroblast_growth_factor_receptor_signaling_pathway	38.46	0.030089860824283	ENSG00000198369	SPRED2
GO_bp:go_cytokinesis	38.46	0.030089860824283	ENSG00000138071	ACTR2
GO_bp:go_golgi_organization	38.46	0.030089860824283	ENSG00000138069	RAB1A
GO_bp:go_pigmentation	38.02	0.0304433450214182	ENSG00000138069	RAB1A
GO_bp:go_ephrin_receptor_signaling_pathway	38.02	0.0304433450214182	ENSG00000138071	ACTR2
GO_bp:go_positive_regulation_of_protein_polymerization	37.58	0.0307967187893284	ENSG00000138071	ACTR2
GO_bp:go_endothelium_development	36.71	0.0315031351520122	ENSG00000138069	RAB1A
GO_mf:go_kinase_inhibitor_activity	36.71	0.0315031351520122	ENSG00000198369	SPRED2
GO_bp:go_cytoskeleton_organization	8.95	0.0333938726664408	ENSG00000011523;ENSG00000138071	CEP68;ACTR2
GO_bp:go_amide_transport	33.98	0.0339721181228184	ENSG00000138069	RAB1A
GO_bp:go_establishment_of_localization_by_movement_along_microtubule	33.62	0.0343243891778695	ENSG00000138069	RAB1A
GO_mf:go_structural_constituent_of_cytoskeleton	33.27	0.0346765501196753	ENSG00000138071	ACTR2
GO_bp:go_positive_regulation_of_proteasomal_protein_catabolic_process	32.92	0.0350286009766569	ENSG00000138069	RAB1A
