id	or	p	ens.ids	gene.names
GO_bp:go_positive_regulation_of_interferon_gamma_production	123.13	0.000225111079833052	ENSG00000162594;ENSG00000081985	IL23R;IL12RB2
GO_mf:go_cytokine_receptor_activity	84.96	0.000465158799526571	ENSG00000162594;ENSG00000081985	IL23R;IL12RB2
GO_bp:go_regulation_of_interferon_gamma_production	83.03	0.000485548342434694	ENSG00000162594;ENSG00000081985	IL23R;IL12RB2
Canonical_pathway:kegg_jak_stat_signaling_pathway	48.64	0.00137970675820244	ENSG00000162594;ENSG00000081985	IL23R;IL12RB2
GO_bp:go_positive_regulation_of_cell_proliferation	17.28	0.00223346583750797	ENSG00000162594;ENSG00000081985;ENSG00000014123	IL23R;IL12RB2;UFL1
Canonical_pathway:kegg_cytokine_cytokine_receptor_interaction	29.81	0.00355241931934714	ENSG00000162594;ENSG00000081985	IL23R;IL12RB2
GO_bp:go_positive_regulation_of_cell_fate_commitment	316.27	0.00398529583318885	ENSG00000162594	IL23R
GO_bp:go_positive_regulation_of_interleukin_17_production	262.99	0.00470843048064251	ENSG00000162594	IL23R
GO_bp:go_response_to_molecule_of_bacterial_origin	24.22	0.00528709350779192	ENSG00000162594;ENSG00000081985	IL23R;IL12RB2
GO_bp:go_positive_regulation_of_t_helper_1_type_immune_response	227.29	0.00543111506778171	ENSG00000162594	IL23R
GO_bp:go_interferon_gamma_production	227.29	0.00543111506778171	ENSG00000081985	IL12RB2
GO_bp:go_regulation_of_granulocyte_macrophage_colony_stimulating_factor_production	227.29	0.00543111506778171	ENSG00000162594	IL23R
GO_bp:go_positive_regulation_of_t_cell_mediated_cytotoxicity	211.19	0.0057922886616355	ENSG00000162594	IL23R
GO_bp:go_negative_regulation_of_interleukin_10_production	211.19	0.0057922886616355	ENSG00000162594	IL23R
GO_bp:go_positive_regulation_of_tyrosine_phosphorylation_of_stat5_protein	211.19	0.0057922886616355	ENSG00000162594	IL23R
GO_bp:go_regulation_of_tyrosine_phosphorylation_of_stat1_protein	211.19	0.0057922886616355	ENSG00000162594	IL23R
Canonical_pathway:biocarta_no2il12_pathway	197.98	0.00615334982791105	ENSG00000081985	IL12RB2
GO_bp:go_positive_regulation_of_t_helper_cell_differentiation	187.91	0.00651429859566266	ENSG00000162594	IL23R
GO_bp:go_positive_regulation_of_natural_killer_cell_activation	187.91	0.00651429859566266	ENSG00000162594	IL23R
Canonical_pathway:biocarta_th1th2_pathway	177.16	0.00687513499423997	ENSG00000081985	IL12RB2
GO_bp:go_positive_regulation_of_cytokine_production	20.78	0.0070778415172474	ENSG00000162594;ENSG00000081985	IL23R;IL12RB2
GO_bp:go_regulation_of_tyrosine_phosphorylation_of_stat5_protein	167.8	0.00723585905268509	ENSG00000162594	IL23R
Canonical_pathway:biocarta_il12_pathway	158.94	0.00759647080033488	ENSG00000081985	IL12RB2
GO_bp:go_regulation_of_glial_cell_proliferation	158.94	0.00759647080033488	ENSG00000014123	UFL1
GO_bp:go_regulation_of_interleukin_17_production	151.86	0.0079569702660669	ENSG00000162594	IL23R
GO_bp:go_regulation_of_t_helper_1_type_immune_response	151.86	0.0079569702660669	ENSG00000162594	IL23R
GO_bp:go_regulation_of_t_cell_mediated_cytotoxicity	144.95	0.00831735747905504	ENSG00000162594	IL23R
GO_bp:go_positive_regulation_of_osteoclast_differentiation	144.95	0.00831735747905504	ENSG00000162594	IL23R
GO_bp:go_regulation_of_cell_fate_commitment	133.22	0.00903779526361914	ENSG00000162594	IL23R
Canonical_pathway:pid_il27_pathway	127.7	0.00939784589336146	ENSG00000081985	IL12RB2
GO_bp:go_regulation_of_t_helper_cell_differentiation	127.7	0.00939784589336146	ENSG00000162594	IL23R
Canonical_pathway:biocarta_nkt_pathway	122.82	0.00975778438699382	ENSG00000081985	IL12RB2
GO_bp:go_regulation_of_intracellular_estrogen_receptor_signaling_pathway	122.82	0.00975778438699382	ENSG00000014123	UFL1
GO_bp:go_regulation_of_natural_killer_cell_activation	122.82	0.00975778438699382	ENSG00000162594	IL23R
GO_bp:go_positive_regulation_of_cd4_positive_alpha_beta_t_cell_activation	122.82	0.00975778438699382	ENSG00000162594	IL23R
GO_bp:go_positive_regulation_of_activated_t_cell_proliferation	122.82	0.00975778438699382	ENSG00000162594	IL23R
GO_bp:go_response_to_oxygen_containing_compound	9.88	0.00992561911082203	ENSG00000162594;ENSG00000081985;ENSG00000014123	IL23R;IL12RB2;UFL1
GO_bp:go_cytokine_mediated_signaling_pathway	17.24	0.0100588702160728	ENSG00000162594;ENSG00000081985	IL23R;IL12RB2
GO_bp:go_positive_regulation_of_multicellular_organismal_process	9.77	0.0102322406362787	ENSG00000162594;ENSG00000081985;ENSG00000014123	IL23R;IL12RB2;UFL1
GO_bp:go_positive_regulation_of_t_cell_mediated_immunity	102.98	0.0115557958304661	ENSG00000162594	IL23R
GO_bp:go_positive_regulation_of_interleukin_12_production	99.78	0.0119150621177335	ENSG00000162594	IL23R
GO_bp:go_regulation_of_cell_proliferation	9.09	0.0122848423544762	ENSG00000162594;ENSG00000081985;ENSG00000014123	IL23R;IL12RB2;UFL1
GO_bp:go_response_to_bacterium	15.3	0.0125700723083625	ENSG00000162594;ENSG00000081985	IL23R;IL12RB2
Canonical_pathway:pid_il23_pathway	88.84	0.0133510082321227	ENSG00000162594	IL23R
GO_bp:go_positive_regulation_of_tyrosine_phosphorylation_of_stat3_protein	88.84	0.0133510082321227	ENSG00000162594	IL23R
GO_bp:go_positive_regulation_of_alpha_beta_t_cell_differentiation	88.84	0.0133510082321227	ENSG00000162594	IL23R
GO_bp:go_regulation_of_cd4_positive_alpha_beta_t_cell_activation	86.4	0.0137097151472031	ENSG00000162594	IL23R
GO_bp:go_positive_regulation_of_cell_killing	86.4	0.0137097151472031	ENSG00000162594	IL23R
GO_bp:go_regulation_of_activated_t_cell_proliferation	84.12	0.0140683102748871	ENSG00000162594	IL23R
GO_bp:go_defense_response_to_gram_negative_bacterium	77.85	0.0151434252243789	ENSG00000162594	IL23R
GO_bp:go_regulation_of_cytokine_production	13.57	0.0157087629621425	ENSG00000162594;ENSG00000081985	IL23R;IL12RB2
GO_bp:go_regulation_of_interleukin_10_production	74.5	0.0158596101194398	ENSG00000162594	IL23R
GO_bp:go_regulation_of_tyrosine_phosphorylation_of_stat3_protein	74.5	0.0158596101194398	ENSG00000162594	IL23R
GO_bp:go_positive_regulation_of_gliogenesis	72.62	0.0162175351326955	ENSG00000014123	UFL1
GO_bp:go_regulation_of_alpha_beta_t_cell_differentiation	70.94	0.0165753485616138	ENSG00000162594	IL23R
GO_mf:go_mrna_3_utr_binding	68.02	0.0172906407828409	ENSG00000142864	SERBP1
GO_bp:go_positive_regulation_of_myeloid_leukocyte_differentiation	66.6	0.0176481196331855	ENSG00000162594	IL23R
GO_bp:go_cellular_response_to_cytokine_stimulus	12.67	0.0178211928194589	ENSG00000162594;ENSG00000081985	IL23R;IL12RB2
GO_bp:go_regulation_of_leukocyte_mediated_cytotoxicity	63.94	0.0183627429576257	ENSG00000162594	IL23R
GO_bp:go_regulation_of_interleukin_12_production	63.94	0.0183627429576257	ENSG00000162594	IL23R
GO_bp:go_positive_regulation_of_alpha_beta_t_cell_activation	63.94	0.0183627429576257	ENSG00000162594	IL23R
GO_bp:go_regulation_of_t_cell_mediated_immunity	62.69	0.0187198874897209	ENSG00000162594	IL23R
GO_bp:go_mitochondrial_respiratory_chain_complex_i_biogenesis	58.14	0.0201473520937833	ENSG00000123545	NDUFAF4
GO_bp:go_regulation_of_intracellular_steroid_hormone_receptor_signaling_pathway	56.11	0.0208604166859367	ENSG00000014123	UFL1
Canonical_pathway:pid_il12_2pathway	53.23	0.0219291795879821	ENSG00000081985	IL12RB2
GO_bp:go_regulation_of_osteoclast_differentiation	53.23	0.0219291795879821	ENSG00000162594	IL23R
GO_bp:go_regulation_of_cell_killing	53.23	0.0219291795879821	ENSG00000162594	IL23R
GO_bp:go_regulation_of_tyrosine_phosphorylation_of_stat_protein	48.4	0.0240637059019285	ENSG00000162594	IL23R
GO_bp:go_response_to_cytokine	10.68	0.0243261944700285	ENSG00000162594;ENSG00000081985	IL23R;IL12RB2
GO_bp:go_regulation_of_alpha_beta_t_cell_activation	47.69	0.0244190718017983	ENSG00000162594	IL23R
GO_bp:go_negative_regulation_of_nf_kappab_transcription_factor_activity	47.69	0.0244190718017983	ENSG00000014123	UFL1
GO_bp:go_positive_regulation_of_lymphocyte_mediated_immunity	47.69	0.0244190718017983	ENSG00000162594	IL23R
GO_bp:go_positive_regulation_of_stat_cascade	45.07	0.0258394264999618	ENSG00000162594	IL23R
GO_bp:go_positive_regulation_of_adaptive_immune_response	44.43	0.0261942380934103	ENSG00000162594	IL23R
GO_bp:go_mitochondrial_respiratory_chain_complex_assembly	42.62	0.0272580083404128	ENSG00000123545	NDUFAF4
GO_bp:go_positive_regulation_of_myeloid_cell_differentiation	40.97	0.0283207823924351	ENSG00000162594	IL23R
GO_bp:go_positive_regulation_of_lymphocyte_differentiation	40.97	0.0283207823924351	ENSG00000162594	IL23R
GO_bp:go_positive_regulation_of_leukocyte_mediated_immunity	38.02	0.0304433450214182	ENSG00000162594	IL23R
GO_bp:go_regulation_of_gliogenesis	36.71	0.0315031351520122	ENSG00000014123	UFL1
GO_bp:go_positive_regulation_of_cell_differentiation	9.12	0.0322774502603509	ENSG00000162594;ENSG00000014123	IL23R;UFL1
GO_bp:go_positive_regulation_of_t_cell_proliferation	34.72	0.0332672455577909	ENSG00000162594	IL23R
GO_mf:go_cytokine_binding	34.72	0.0332672455577909	ENSG00000162594	IL23R
GO_bp:go_response_to_biotic_stimulus	8.82	0.0342226570345419	ENSG00000162594;ENSG00000081985	IL23R;IL12RB2
GO_bp:go_response_to_lipid	8.44	0.0369938652945914	ENSG00000162594;ENSG00000081985	IL23R;IL12RB2
GO_bp:go_regulation_of_t_cell_differentiation	30.41	0.0378410482237422	ENSG00000162594	IL23R
GO_bp:go_regulation_of_myeloid_leukocyte_differentiation	30.41	0.0378410482237422	ENSG00000162594	IL23R
GO_bp:go_response_to_amino_acid	29.02	0.0395952574507928	ENSG00000014123	UFL1
GO_bp:go_regulation_of_lymphocyte_mediated_immunity	28.76	0.0399457701305141	ENSG00000162594	IL23R
GO_bp:go_cytokine_production	26.83	0.04274592638398	ENSG00000081985	IL12RB2
GO_bp:go_regulation_of_adaptive_immune_response	26.13	0.0437941786547394	ENSG00000162594	IL23R
GO_bp:go_osteoblast_differentiation	26.13	0.0437941786547394	ENSG00000014123	UFL1
GO_bp:go_regulation_of_defense_response_to_virus_by_host	25.5	0.0448414468564943	ENSG00000162594	IL23R
GO_bp:go_positive_regulation_of_leukocyte_differentiation	24.9	0.0458877317591095	ENSG00000162594	IL23R
GO_bp:go_response_to_interferon_gamma	24.9	0.0458877317591095	ENSG00000162594	IL23R
GO_mf:go_growth_factor_receptor_binding	24.9	0.0458877317591095	ENSG00000162594	IL23R
GO_bp:go_regulation_of_lymphocyte_differentiation	24.52	0.0465847091302569	ENSG00000162594	IL23R
GO_bp:go_positive_regulation_of_leukocyte_proliferation	23.96	0.0476293569108978	ENSG00000162594	IL23R
GO_bp:go_negative_regulation_of_sequence_specific_dna_binding_transcription_factor_activity	23.61	0.0483252435793099	ENSG00000014123	UFL1
GO_bp:go_regulation_of_rna_stability	23.44	0.0486730234432807	ENSG00000142864	SERBP1
GO_bp:go_negative_regulation_of_protein_modification_by_small_protein_conjugation_or_removal	23.44	0.0486730234432807	ENSG00000014123	UFL1
GO_bp:go_regulation_of_stat_cascade	22.6	0.0504102891988119	ENSG00000162594	IL23R
GO_bp:go_regulation_of_t_cell_proliferation	22.44	0.0507574158359515	ENSG00000162594	IL23R
GO_bp:go_regulation_of_proteasomal_ubiquitin_dependent_protein_catabolic_process	21.84	0.0521448349521451	ENSG00000014123	UFL1
GO_mf:go_mrna_binding	21.25	0.0535305155388361	ENSG00000142864	SERBP1
GO_bp:go_regulation_of_leukocyte_mediated_immunity	20.69	0.0549144594119148	ENSG00000162594	IL23R
GO_bp:go_positive_regulation_of_immune_effector_process	20.55	0.0552601742312866	ENSG00000162594	IL23R
GO_bp:go_positive_regulation_of_peptidyl_tyrosine_phosphorylation	20.29	0.055951278689915	ENSG00000162594	IL23R
GO_bp:go_positive_regulation_of_hemopoiesis	20.02	0.0566419497635181	ENSG00000162594	IL23R
GO_bp:go_positive_regulation_of_developmental_process	6.44	0.0590410259111941	ENSG00000162594;ENSG00000014123	IL23R;UFL1
GO_bp:go_regulation_of_myeloid_cell_differentiation	18.83	0.0600888122825078	ENSG00000162594	IL23R
GO_cc:go_plasma_membrane_receptor_complex	18.29	0.0618081915191714	ENSG00000162594	IL23R
GO_mf:go_calmodulin_binding	18.18	0.062151743656635	ENSG00000123545	NDUFAF4
GO_bp:go_regulation_of_proteasomal_protein_catabolic_process	17.78	0.0635248741138867	ENSG00000014123	UFL1
GO_bp:go_regulation_of_defense_response_to_virus	17.68	0.0638678873461678	ENSG00000162594	IL23R
GO_bp:go_peptidyl_tyrosine_modification	17.1	0.0659237060999747	ENSG00000081985	IL12RB2
GO_bp:go_regulation_of_leukocyte_proliferation	15.81	0.0710463306936422	ENSG00000162594	IL23R
GO_bp:go_negative_regulation_of_cytokine_production	15.5	0.0724082899803118	ENSG00000162594	IL23R
GO_bp:go_regulation_of_peptidyl_tyrosine_phosphorylation	15.28	0.0734286359129376	ENSG00000162594	IL23R
GO_bp:go_defense_response_to_bacterium	15.28	0.0734286359129376	ENSG00000162594	IL23R
GO_cc:go_external_side_of_plasma_membrane	15.2	0.073768537367174	ENSG00000081985	IL12RB2
GO_mf:go_signaling_receptor_activity	5.57	0.0753453898365619	ENSG00000162594;ENSG00000081985	IL23R;IL12RB2
GO_bp:go_regulation_of_response_to_biotic_stimulus	14.05	0.0795305320332459	ENSG00000162594	IL23R
GO_bp:go_regulation_of_leukocyte_differentiation	13.92	0.0802063893849512	ENSG00000162594	IL23R
GO_bp:go_response_to_endoplasmic_reticulum_stress	13.73	0.081219377853749	ENSG00000014123	UFL1
GO_bp:go_positive_regulation_of_cell_cell_adhesion	13.61	0.0818941721191151	ENSG00000162594	IL23R
GO_bp:go_ossification	12.89	0.0862699892225286	ENSG00000014123	UFL1
GO_mf:go_cytokine_receptor_binding	12.38	0.089623826514093	ENSG00000162594	IL23R
GO_bp:go_regulation_of_cell_differentiation	4.88	0.0934869881578935	ENSG00000162594;ENSG00000014123	IL23R;UFL1
GO_bp:go_regulation_of_cellular_protein_catabolic_process	11.68	0.0946347964344074	ENSG00000014123	UFL1
GO_bp:go_regulation_of_protein_modification_by_small_protein_conjugation_or_removal	11.51	0.0959670552894993	ENSG00000014123	UFL1
GO_mf:go_transferase_activity_transferring_glycosyl_groups	11.47	0.0962998573201939	ENSG00000121964	GTDC1
GO_bp:go_positive_regulation_of_cell_activation	11.22	0.0982944650926699	ENSG00000162594	IL23R
GO_mf:go_transcription_coactivator_activity	10.87	0.101279301075704	ENSG00000112214	FHL5
GO_mf:go_receptor_activity	4.6	0.102877156433134	ENSG00000162594;ENSG00000081985	IL23R;IL12RB2
GO_bp:go_regulation_of_homotypic_cell_cell_adhesion	10.65	0.103264483295221	ENSG00000162594	IL23R
GO_bp:go_regulation_of_hemopoiesis	10.58	0.103925374894339	ENSG00000162594	IL23R
GO_bp:go_response_to_acid_chemical	10.07	0.108868768068032	ENSG00000014123	UFL1
GO_cc:go_intrinsic_component_of_plasma_membrane	4.38	0.110904417163387	ENSG00000162594;ENSG00000081985	IL23R;IL12RB2
GO_cc:go_receptor_complex	9.75	0.112151361221991	ENSG00000162594	IL23R
GO_mf:go_signal_transducer_activity	4.35	0.112320028270497	ENSG00000162594;ENSG00000081985	IL23R;IL12RB2
GO_bp:go_regulation_of_multicellular_organismal_development	4.31	0.11397870673784	ENSG00000162594;ENSG00000014123	IL23R;UFL1
GO_bp:go_cellular_protein_complex_assembly	9.23	0.118033915121289	ENSG00000123545	NDUFAF4
GO_bp:go_regulation_of_protein_modification_process	4.21	0.118158423934652	ENSG00000162594;ENSG00000014123	IL23R;UFL1
GO_bp:go_regulation_of_sequence_specific_dna_binding_transcription_factor_activity	8.76	0.123883029685765	ENSG00000014123	UFL1
GO_bp:go_positive_regulation_of_cell_adhesion	8.64	0.125501870660748	ENSG00000162594	IL23R
GO_bp:go_regulation_of_cell_cell_adhesion	8.52	0.127118147068154	ENSG00000162594	IL23R
GO_bp:go_response_to_external_stimulus	4.01	0.127391014425558	ENSG00000162594;ENSG00000081985	IL23R;IL12RB2
GO_bp:go_regulation_of_protein_catabolic_process	8.09	0.133236668226145	ENSG00000014123	UFL1
GO_bp:go_cellular_response_to_organic_substance	3.85	0.135573849803832	ENSG00000162594;ENSG00000081985	IL23R;IL12RB2
GO_cc:go_side_of_membrane	7.93	0.135801868118594	ENSG00000081985	IL12RB2
GO_mf:go_ligase_activity	7.85	0.137082025965672	ENSG00000014123	UFL1
GO_bp:go_regulation_of_immune_effector_process	7.61	0.140912751774842	ENSG00000162594	IL23R
GO_mf:go_ubiquitin_like_protein_transferase_activity	7.61	0.140912751774842	ENSG00000014123	UFL1
GO_bp:go_positive_regulation_of_nervous_system_development	7.32	0.145997705631758	ENSG00000014123	UFL1
GO_bp:go_posttranscriptional_regulation_of_gene_expression	7.15	0.149162683084542	ENSG00000142864	SERBP1
GO_bp:go_inflammatory_response	7.15	0.149162683084542	ENSG00000162594	IL23R
GO_bp:go_regulation_of_cell_activation	6.9	0.154205734865989	ENSG00000162594	IL23R
GO_bp:go_regulation_of_multi_organism_process	6.86	0.154834311111382	ENSG00000162594	IL23R
GO_bp:go_positive_regulation_of_cell_development	6.74	0.157344613698466	ENSG00000014123	UFL1
GO_bp:go_defense_response_to_other_organism	6.71	0.157971189808997	ENSG00000162594	IL23R
GO_cc:go_plasma_membrane_protein_complex	6.22	0.169181469379767	ENSG00000162594	IL23R
GO_cc:go_organelle_inner_membrane	6.05	0.17350634117116	ENSG00000123545	NDUFAF4
GO_bp:go_positive_regulation_of_immune_response	5.99	0.175046254409468	ENSG00000162594	IL23R
GO_bp:go_innate_immune_response	5.47	0.18970473731626	ENSG00000162594	IL23R
GO_mf:go_transcription_factor_activity_protein_binding	5.44	0.190613431055624	ENSG00000112214	FHL5
GO_bp:go_mitochondrion_organization	5.32	0.194541017931791	ENSG00000123545	NDUFAF4
GO_mf:go_kinase_binding	5.22	0.197851589973089	ENSG00000081985	IL12RB2
GO_bp:go_negative_regulation_of_protein_modification_process	5.1	0.201749041258773	ENSG00000014123	UFL1
GO_bp:go_regulation_of_cell_adhesion	5.03	0.204139395861863	ENSG00000162594	IL23R
GO_cc:go_perinuclear_region_of_cytoplasm	4.85	0.210681261655324	ENSG00000142864	SERBP1
GO_cc:go_mitochondrial_envelope	4.57	0.221872313134175	ENSG00000123545	NDUFAF4
GO_bp:go_cellular_macromolecular_complex_assembly	4.55	0.222749994942866	ENSG00000123545	NDUFAF4
GO_bp:go_regulation_of_proteolysis	4.42	0.22857955137634	ENSG00000014123	UFL1
GO_cc:go_cell_surface	4.28	0.234948738950068	ENSG00000081985	IL12RB2
GO_bp:go_regulation_of_catabolic_process	4.27	0.235525514247911	ENSG00000014123	UFL1
GO_bp:go_regulation_of_defense_response	4.22	0.237541293667125	ENSG00000162594	IL23R
GO_bp:go_regulation_of_nervous_system_development	4.18	0.239552515447656	ENSG00000014123	UFL1
GO_bp:go_regulation_of_kinase_activity	4.06	0.245843922824176	ENSG00000162594	IL23R
GO_bp:go_regulation_of_immune_response	3.81	0.259415946635673	ENSG00000162594	IL23R
GO_bp:go_positive_regulation_of_immune_system_process	3.75	0.262776050148455	ENSG00000162594	IL23R
GO_bp:go_peptidyl_amino_acid_modification	3.74	0.263334795001994	ENSG00000081985	IL12RB2
GO_bp:go_regulation_of_cell_development	3.73	0.263614031284831	ENSG00000014123	UFL1
GO_bp:go_response_to_nitrogen_compound	3.62	0.270565514946619	ENSG00000014123	UFL1
GO_bp:go_protein_modification_by_small_protein_conjugation_or_removal	3.59	0.272225475705557	ENSG00000014123	UFL1
GO_bp:go_positive_regulation_of_intracellular_signal_transduction	3.59	0.272501820792098	ENSG00000162594	IL23R
GO_bp:go_regulation_of_response_to_external_stimulus	3.4	0.284844624742771	ENSG00000162594	IL23R
GO_bp:go_regulation_of_transferase_activity	3.3	0.292163799803857	ENSG00000162594	IL23R
GO_cc:go_neuron_projection	3.28	0.293242642005084	ENSG00000014123	UFL1
GO_bp:go_protein_phosphorylation	3.27	0.293781534367094	ENSG00000081985	IL12RB2
GO_cc:go_mitochondrial_part	3.25	0.295396098802254	ENSG00000123545	NDUFAF4
GO_bp:go_regulation_of_protein_localization	3.24	0.296202193840358	ENSG00000014123	UFL1
GO_bp:go_negative_regulation_of_multicellular_organismal_process	3.18	0.300488030936716	ENSG00000162594	IL23R
GO_bp:go_positive_regulation_of_transcription_from_rna_polymerase_ii_promoter	3.08	0.308463704048801	ENSG00000112214	FHL5
GO_cc:go_nuclear_outer_membrane_endoplasmic_reticulum_membrane_network	3.08	0.308992632577912	ENSG00000014123	UFL1
GO_cc:go_membrane_protein_complex	3.02	0.313474542121171	ENSG00000162594	IL23R
GO_bp:go_positive_regulation_of_phosphorus_metabolic_process	3.01	0.314262875084562	ENSG00000162594	IL23R
GO_bp:go_immune_response	2.96	0.318976598180282	ENSG00000162594	IL23R
GO_bp:go_negative_regulation_of_molecular_function	2.86	0.327804557533877	ENSG00000014123	UFL1
GO_cc:go_envelope	2.84	0.329609849814358	ENSG00000123545	NDUFAF4
GO_bp:go_negative_regulation_of_protein_metabolic_process	2.83	0.330382273373947	ENSG00000014123	UFL1
GO_bp:go_protein_complex_biogenesis	2.8	0.333464344180216	ENSG00000123545	NDUFAF4
GO_bp:go_positive_regulation_of_protein_modification_process	2.74	0.338574110007092	ENSG00000162594	IL23R
