id	or	p	ens.ids	gene.names
GO_cc:go_virion	1491.95	0.00103643044987223	ENSG00000244476	ERVFRD-1
Canonical_pathway:reactome_regulation_of_insulin_like_growth_factor_igf_activity_by_insulin_like_growth_factor_binding_proteins_igfbps	421.84	0.00331374143592	ENSG00000182752	PAPPA
GO_bp:go_negative_regulation_of_viral_release_from_host_cell	421.84	0.00331374143592	ENSG00000119401	TRIM32
GO_bp:go_muscle_cell_cellular_homeostasis	351.24	0.00393414992126984	ENSG00000119401	TRIM32
GO_cc:go_muscle_myosin_complex	351.24	0.00393414992126984	ENSG00000119401	TRIM32
GO_bp:go_negative_regulation_of_viral_transcription	316.56	0.0043475946363809	ENSG00000119401	TRIM32
GO_cc:go_myosin_filament	300.7	0.0045542687217659	ENSG00000119401	TRIM32
Canonical_pathway:sa_b_cell_receptor_complexes	277.58	0.00496752036387549	ENSG00000182752	PAPPA
GO_cc:go_myofilament	277.58	0.00496752036387549	ENSG00000119401	TRIM32
GO_cc:go_myosin_ii_complex	265.16	0.00517409792751	ENSG00000119401	TRIM32
GO_bp:go_negative_regulation_of_intrinsic_apoptotic_signaling_pathway_in_response_to_dna_damage	254.41	0.00538064332386967	ENSG00000119401	TRIM32
GO_bp:go_negative_regulation_of_fibroblast_proliferation	254.41	0.00538064332386967	ENSG00000119401	TRIM32
GO_bp:go_syncytium_formation	246.13	0.00558715655641007	ENSG00000244476	ERVFRD-1
GO_mf:go_translation_initiation_factor_binding	228.26	0.00600008654357775	ENSG00000119401	TRIM32
GO_bp:go_regulation_of_viral_release_from_host_cell	212.45	0.00641288791557604	ENSG00000119401	TRIM32
GO_bp:go_positive_regulation_of_response_to_cytokine_stimulus	205.53	0.00661924037922079	ENSG00000119401	TRIM32
GO_bp:go_regulation_of_intrinsic_apoptotic_signaling_pathway_in_response_to_dna_damage	198.77	0.00682556069896678	ENSG00000119401	TRIM32
Canonical_pathway:st_jnk_mapk_pathway	163.35	0.00826890319130247	ENSG00000182752	PAPPA
GO_mf:go_protein_self_association	152.49	0.00888699672215543	ENSG00000119401	TRIM32
GO_bp:go_positive_regulation_of_chemokine_production	132.95	0.0101223169823071	ENSG00000119401	TRIM32
GO_bp:go_regulation_of_tumor_necrosis_factor_mediated_signaling_pathway	132.95	0.0101223169823071	ENSG00000119401	TRIM32
GO_bp:go_negative_regulation_of_response_to_dna_damage_stimulus	127.65	0.0105338336701214	ENSG00000119401	TRIM32
GO_bp:go_positive_regulation_of_striated_muscle_cell_differentiation	125.15	0.0107395438919828	ENSG00000119401	TRIM32
GO_bp:go_regulation_of_viral_transcription	111.59	0.0119731317202555	ENSG00000119401	TRIM32
GO_mf:go_myosin_binding	111.59	0.0119731317202555	ENSG00000119401	TRIM32
GO_bp:go_regulation_of_chemokine_production	99.58	0.0134108589746512	ENSG00000119401	TRIM32
GO_cc:go_myosin_complex	99.58	0.0134108589746512	ENSG00000119401	TRIM32
GO_bp:go_regulation_of_fibroblast_proliferation	80.7	0.0164864189916405	ENSG00000119401	TRIM32
GO_bp:go_positive_regulation_of_muscle_cell_differentiation	76.95	0.0173053524827798	ENSG00000119401	TRIM32
GO_bp:go_regulation_of_striated_muscle_cell_differentiation	75.98	0.0175100059210457	ENSG00000119401	TRIM32
GO_bp:go_negative_regulation_of_viral_process	75.09	0.0177146273921692	ENSG00000119401	TRIM32
GO_bp:go_negative_regulation_of_intrinsic_apoptotic_signaling_pathway	72.53	0.0183283000365237	ENSG00000119401	TRIM32
GO_mf:go_zinc_ion_binding	16.19	0.0188080993181838	ENSG00000182752;ENSG00000119401	PAPPA;TRIM32
GO_bp:go_proteolysis	15.76	0.0197177048861912	ENSG00000182752;ENSG00000119401	PAPPA;TRIM32
GO_bp:go_fat_cell_differentiation	61.95	0.0213923512925925	ENSG00000119401	TRIM32
GO_mf:go_metalloendopeptidase_activity	59.04	0.0224121059625594	ENSG00000182752	PAPPA
GO_bp:go_regulation_of_type_i_interferon_production	58.49	0.022615961221505	ENSG00000119401	TRIM32
GO_mf:go_ubiquitin_like_protein_binding	54.44	0.0242456557502824	ENSG00000119401	TRIM32
GO_bp:go_response_to_uv	51.02	0.0258733114090138	ENSG00000119401	TRIM32
Canonical_pathway:reactome_diabetes_pathways	50.24	0.0262799069496625	ENSG00000182752	PAPPA
GO_bp:go_positive_regulation_of_nf_kappab_transcription_factor_activity	49.34	0.0266863751935835	ENSG00000119401	TRIM32
GO_bp:go_protein_ubiquitination_involved_in_ubiquitin_dependent_protein_catabolic_process	48.61	0.027092716167909	ENSG00000119401	TRIM32
GO_mf:go_transition_metal_ion_binding	13.17	0.0271906148236649	ENSG00000182752;ENSG00000119401	PAPPA;TRIM32
Canonical_pathway:kegg_ubiquitin_mediated_proteolysis	48.24	0.02729583893705	ENSG00000119401	TRIM32
GO_bp:go_regulation_of_response_to_cytokine_stimulus	45.83	0.0287168078973278	ENSG00000119401	TRIM32
GO_bp:go_regulation_of_intrinsic_apoptotic_signaling_pathway	44.49	0.0295280908330985	ENSG00000119401	TRIM32
GO_bp:go_regulation_of_response_to_dna_damage_stimulus	44.49	0.0295280908330985	ENSG00000119401	TRIM32
GO_bp:go_positive_regulation_of_cell_growth	44.2	0.0297308321314347	ENSG00000119401	TRIM32
GO_bp:go_negative_regulation_of_multi_organism_process	43.32	0.0303388654332241	ENSG00000119401	TRIM32
GO_bp:go_regulation_of_muscle_cell_differentiation	42.17	0.0311491319098353	ENSG00000119401	TRIM32
GO_bp:go_tissue_homeostasis	39.05	0.0335768847215133	ENSG00000119401	TRIM32
GO_bp:go_positive_regulation_of_i_kappab_kinase_nf_kappab_signaling	36.15	0.0362017984412365	ENSG00000119401	TRIM32
GO_mf:go_metallopeptidase_activity	35.34	0.0370083873699312	ENSG00000182752	PAPPA
GO_mf:go_ubiquitin_like_protein_ligase_activity	32.6	0.0400285876982622	ENSG00000119401	TRIM32
Canonical_pathway:reactome_antigen_processing_ubiquitination_proteasome_degradation	32.43	0.0402296814741134	ENSG00000119401	TRIM32
GO_bp:go_negative_regulation_of_apoptotic_signaling_pathway	32.27	0.0404307436545894	ENSG00000119401	TRIM32
GO_bp:go_regulation_of_symbiosis_encompassing_mutualism_through_parasitism	31.62	0.0412346764895533	ENSG00000119401	TRIM32
GO_cc:go_contractile_fiber	30.38	0.0428410265887357	ENSG00000119401	TRIM32
GO_bp:go_multi_multicellular_organism_process	29.95	0.0434428871719089	ENSG00000182752	PAPPA
GO_bp:go_response_to_tumor_necrosis_factor	28.85	0.0450464611031689	ENSG00000119401	TRIM32
GO_bp:go_positive_regulation_of_sequence_specific_dna_binding_transcription_factor_activity	28.33	0.0458474915803648	ENSG00000119401	TRIM32
GO_bp:go_regulation_of_i_kappab_kinase_nf_kappab_signaling	27.71	0.0468480708898775	ENSG00000119401	TRIM32
Canonical_pathway:reactome_class_i_mhc_mediated_antigen_processing_presentation	27.35	0.047448040614722	ENSG00000119401	TRIM32
Canonical_pathway:naba_ecm_regulators	27.23	0.0476479675660852	ENSG00000182752	PAPPA
GO_bp:go_positive_regulation_of_growth	27.11	0.0478478630443112	ENSG00000119401	TRIM32
GO_bp:go_protein_polyubiquitination	26.53	0.0488468684564043	ENSG00000119401	TRIM32
GO_bp:go_positive_regulation_of_protein_catabolic_process	24.38	0.0530341092765487	ENSG00000119401	TRIM32
GO_bp:go_multicellular_organismal_homeostasis	24.01	0.0538301088283858	ENSG00000119401	TRIM32
GO_bp:go_anatomical_structure_homeostasis	23.71	0.0544267790885163	ENSG00000119401	TRIM32
GO_bp:go_response_to_light_stimulus	23.02	0.0560165201494193	ENSG00000119401	TRIM32
GO_mf:go_transcription_coactivator_activity	21.73	0.0591899877521943	ENSG00000119401	TRIM32
GO_bp:go_positive_regulation_of_neuron_differentiation	21	0.0611693375271245	ENSG00000119401	TRIM32
GO_bp:go_positive_regulation_of_cell_cycle	19.31	0.0663010307286783	ENSG00000119401	TRIM32
GO_bp:go_regulation_of_apoptotic_signaling_pathway	17.56	0.0725880474161856	ENSG00000119401	TRIM32
GO_bp:go_positive_regulation_of_proteolysis	17.51	0.0727840036682215	ENSG00000119401	TRIM32
GO_bp:go_regulation_of_sequence_specific_dna_binding_transcription_factor_activity	17.51	0.0727840036682215	ENSG00000119401	TRIM32
GO_bp:go_positive_regulation_of_cytokine_production	17.27	0.0737633191717455	ENSG00000119401	TRIM32
GO_bp:go_regulation_of_cell_growth	16.36	0.0776728256677285	ENSG00000119401	TRIM32
GO_bp:go_regulation_of_protein_catabolic_process	16.19	0.0784532394289713	ENSG00000119401	TRIM32
GO_bp:go_positive_regulation_of_catabolic_process	16.1	0.0788432605374569	ENSG00000119401	TRIM32
GO_mf:go_ligase_activity	15.69	0.0807915094108206	ENSG00000119401	TRIM32
GO_mf:go_endopeptidase_activity	15.54	0.0815699430033058	ENSG00000182752	PAPPA
GO_bp:go_response_to_radiation	15.42	0.0821534436583411	ENSG00000119401	TRIM32
GO_mf:go_ubiquitin_like_protein_transferase_activity	15.23	0.0831253268425227	ENSG00000119401	TRIM32
GO_bp:go_positive_regulation_of_locomotion	15.11	0.0837080861524326	ENSG00000119401	TRIM32
GO_bp:go_positive_regulation_of_nervous_system_development	14.64	0.086230167003986	ENSG00000119401	TRIM32
GO_bp:go_negative_regulation_of_intracellular_signal_transduction	14.53	0.0868114455073637	ENSG00000119401	TRIM32
GO_cc:go_actin_cytoskeleton	14.4	0.0875860520600628	ENSG00000119401	TRIM32
GO_bp:go_actin_filament_based_process	14.2	0.088747037774586	ENSG00000119401	TRIM32
GO_bp:go_regulation_of_multi_organism_process	13.72	0.0916446547477318	ENSG00000119401	TRIM32
GO_bp:go_positive_regulation_of_cell_development	13.48	0.0931872219244707	ENSG00000119401	TRIM32
Canonical_pathway:reactome_adaptive_immune_system	12.42	0.100679120896161	ENSG00000119401	TRIM32
GO_mf:go_transcription_factor_binding	12.12	0.102974952851754	ENSG00000119401	TRIM32
GO_bp:go_neuron_projection_development	11.57	0.107553426898752	ENSG00000119401	TRIM32
GO_bp:go_regulation_of_neuron_differentiation	11.39	0.10907568291253	ENSG00000119401	TRIM32
GO_bp:go_regulation_of_cytokine_production	11.29	0.110026103481158	ENSG00000119401	TRIM32
GO_bp:go_protein_catabolic_process	10.98	0.112872803088217	ENSG00000119401	TRIM32
GO_bp:go_innate_immune_response	10.94	0.113251846402729	ENSG00000119401	TRIM32
GO_mf:go_transcription_factor_activity_protein_binding	10.88	0.113820183610356	ENSG00000119401	TRIM32
GO_mf:go_peptidase_activity	10.22	0.120618942498723	ENSG00000182752	PAPPA
GO_bp:go_protein_ubiquitination	10.07	0.122312502066403	ENSG00000119401	TRIM32
GO_bp:go_regulation_of_growth	9.95	0.123628022954661	ENSG00000119401	TRIM32
GO_bp:go_negative_regulation_of_cell_proliferation	9.88	0.124379084894113	ENSG00000119401	TRIM32
GO_bp:go_cellular_homeostasis	9.36	0.130743636967095	ENSG00000119401	TRIM32
