id	or	p	ens.ids	gene.names
GO_bp:go_synaptic_transmission_glutamatergic	238.61	5.55604144077622e-05	ENSG00000141837;ENSG00000115902	CACNA1A;SLC1A4
GO_bp:go_neuron_neuron_synaptic_transmission	88.65	0.000366935964595904	ENSG00000141837;ENSG00000115902	CACNA1A;SLC1A4
GO_bp:go_organelle_localization	19.86	0.00102331078818252	ENSG00000141837;ENSG00000138069;ENSG00000138071	CACNA1A;RAB1A;ACTR2
GO_cc:go_pigment_granule	48.39	0.00118837873048843	ENSG00000115902;ENSG00000138069	SLC1A4;RAB1A
GO_bp:go_amino_acid_transport	40.53	0.00167139408683915	ENSG00000141837;ENSG00000115902	CACNA1A;SLC1A4
GO_bp:go_localization_within_membrane	40.53	0.00167139408683915	ENSG00000141837;ENSG00000138069	CACNA1A;RAB1A
GO_bp:go_nitrogen_compound_transport	16.43	0.00174108407097755	ENSG00000141837;ENSG00000115902;ENSG00000138069	CACNA1A;SLC1A4;RAB1A
GO_bp:go_monocarboxylic_acid_transport	39.52	0.00175491114648454	ENSG00000141837;ENSG00000115902	CACNA1A;SLC1A4
GO_bp:go_microtubule_based_process	15.63	0.00199527869947035	ENSG00000011523;ENSG00000138069;ENSG00000138071	CEP68;RAB1A;ACTR2
GO_bp:go_regulation_of_response_to_dna_damage_stimulus	33.65	0.00239422722145593	ENSG00000136104;ENSG00000198369	RNASEH2B;SPRED2
GO_bp:go_signal_release	28.22	0.00335480494849628	ENSG00000141837;ENSG00000138069	CACNA1A;RAB1A
GO_bp:go_cell_part_morphogenesis	12.77	0.00348754384129924	ENSG00000141837;ENSG00000138069;ENSG00000138071	CACNA1A;RAB1A;ACTR2
GO_mf:go_rna_dna_hybrid_ribonuclease_activity	351.96	0.00362355966385097	ENSG00000136104	RNASEH2B
GO_bp:go_cilium_organization	25.77	0.00399626179035234	ENSG00000138069;ENSG00000138071	RAB1A;ACTR2
GO_bp:go_microtubule_based_movement	23.6	0.00473568089246385	ENSG00000138069;ENSG00000138071	RAB1A;ACTR2
GO_bp:go_cilium_morphogenesis	23.25	0.00487229103858423	ENSG00000138069;ENSG00000138071	RAB1A;ACTR2
GO_bp:go_cytosolic_transport	22.8	0.00505727585067757	ENSG00000141837;ENSG00000138071	CACNA1A;ACTR2
GO_bp:go_cerebellar_purkinje_cell_layer_formation	235.77	0.00517289299226098	ENSG00000141837	CACNA1A
GO_bp:go_vesicle_localization	21.63	0.00558261926292604	ENSG00000141837;ENSG00000138069	CACNA1A;RAB1A
Canonical_pathway:biocarta_egfr_smrte_pathway	212.26	0.00568885539414143	ENSG00000196498	NCOR2
GO_bp:go_establishment_of_endothelial_intestinal_barrier	212.26	0.00568885539414143	ENSG00000138069	RAB1A
GO_bp:go_pons_development	212.26	0.00568885539414143	ENSG00000141837	CACNA1A
GO_cc:go_arp2_3_protein_complex	212.26	0.00568885539414143	ENSG00000138071	ACTR2
GO_mf:go_high_voltage_gated_calcium_channel_activity	212.26	0.00568885539414143	ENSG00000141837	CACNA1A
GO_bp:go_cell_cell_signaling	10.65	0.0057008108421791	ENSG00000141837;ENSG00000115902;ENSG00000138069	CACNA1A;SLC1A4;RAB1A
Canonical_pathway:biocarta_rab_pathway	192.27	0.00620457694218945	ENSG00000138069	RAB1A
Canonical_pathway:biocarta_salmonella_pathway	177.55	0.0067200577363562	ENSG00000138071	ACTR2
GO_bp:go_positive_regulation_of_dna_damage_response_signal_transduction_by_p53_class_mediator	177.55	0.0067200577363562	ENSG00000198369	SPRED2
GO_bp:go_asymmetric_cell_division	177.55	0.0067200577363562	ENSG00000138071	ACTR2
GO_bp:go_behavioral_response_to_pain	177.55	0.0067200577363562	ENSG00000141837	CACNA1A
GO_bp:go_regulation_of_dna_damage_checkpoint	177.55	0.0067200577363562	ENSG00000136104	RNASEH2B
GO_bp:go_cerebellar_purkinje_cell_layer_morphogenesis	177.55	0.0067200577363562	ENSG00000141837	CACNA1A
GO_bp:go_cellular_component_assembly_involved_in_morphogenesis	19.49	0.00681254125102966	ENSG00000138069;ENSG00000138071	RAB1A;ACTR2
GO_bp:go_positive_regulation_of_mitotic_sister_chromatid_separation	163.56	0.00723529787656096	ENSG00000138069	RAB1A
GO_bp:go_activation_of_anaphase_promoting_complex_activity	163.56	0.00723529787656096	ENSG00000138069	RAB1A
GO_bp:go_organic_acid_transport	18.71	0.00735844475448505	ENSG00000141837;ENSG00000115902	CACNA1A;SLC1A4
GO_bp:go_cell_projection_assembly	18.28	0.0076953154971334	ENSG00000138069;ENSG00000138071	RAB1A;ACTR2
Canonical_pathway:biocarta_rarrxr_pathway	151.36	0.00775029746257883	ENSG00000196498	NCOR2
GO_bp:go_cellular_anion_homeostasis	151.36	0.00775029746257883	ENSG00000141837	CACNA1A
GO_bp:go_negative_regulation_of_peptidyl_threonine_phosphorylation	151.36	0.00775029746257883	ENSG00000198369	SPRED2
GO_bp:go_macroautophagy	17.72	0.00815528194984466	ENSG00000115902;ENSG00000138069	SLC1A4;RAB1A
Canonical_pathway:biocarta_cdc42rac_pathway	142.1	0.00826505659446519	ENSG00000138071	ACTR2
GO_bp:go_arp2_3_complex_mediated_actin_nucleation	142.1	0.00826505659446519	ENSG00000138071	ACTR2
GO_mf:go_modified_amino_acid_transmembrane_transporter_activity	142.1	0.00826505659446519	ENSG00000115902	SLC1A4
GO_bp:go_positive_regulation_of_signal_transduction_by_p53_class_mediator	132.65	0.0087795753718195	ENSG00000198369	SPRED2
GO_bp:go_single_organism_cellular_localization	8.9	0.0091751363341102	ENSG00000141837;ENSG00000138069;ENSG00000138071	CACNA1A;RAB1A;ACTR2
Canonical_pathway:biocarta_ets_pathway	125.22	0.00929385389451687	ENSG00000196498	NCOR2
GO_bp:go_regulation_of_hormone_biosynthetic_process	125.22	0.00929385389451687	ENSG00000141837	CACNA1A
GO_bp:go_regulation_of_ubiquitin_protein_ligase_activity	125.22	0.00929385389451687	ENSG00000138069	RAB1A
GO_bp:go_negative_regulation_of_gene_silencing	125.22	0.00929385389451687	ENSG00000196498	NCOR2
GO_mf:go_notch_binding	125.22	0.00929385389451687	ENSG00000196498	NCOR2
GO_bp:go_cellular_component_morphogenesis	8.83	0.0093467913924446	ENSG00000141837;ENSG00000138069;ENSG00000138071	CACNA1A;RAB1A;ACTR2
GO_bp:go_cell_projection_organization	8.81	0.00940443675248792	ENSG00000141837;ENSG00000138069;ENSG00000138071	CACNA1A;RAB1A;ACTR2
Canonical_pathway:reactome_downregulation_of_smad2_3_smad4_transcriptional_activity	118.3	0.00980789226229484	ENSG00000196498	NCOR2
GO_bp:go_monovalent_inorganic_anion_homeostasis	118.3	0.00980789226229484	ENSG00000141837	CACNA1A
Canonical_pathway:biocarta_actiny_pathway	112.12	0.0103216905747459	ENSG00000138071	ACTR2
GO_bp:go_reflex	112.12	0.0103216905747459	ENSG00000141837	CACNA1A
