id	or	p	ens.ids	gene.names
GO_bp:go_regulation_of_sister_chromatid_segregation	99.57	0.000318538213351656	ENSG00000147601;ENSG00000119408	TERF1;NEK6
GO_bp:go_regulation_of_chromosome_segregation	77.94	0.000515749548922619	ENSG00000147601;ENSG00000119408	TERF1;NEK6
GO_bp:go_protein_complex_subunit_organization	12.13	0.00184073645129776	ENSG00000135972;ENSG00000145451;ENSG00000147601;ENSG00000119408	MRPS9;GLRA3;TERF1;NEK6
GO_bp:go_regulation_of_nuclear_division	39.81	0.00189839286585188	ENSG00000147601;ENSG00000119408	TERF1;NEK6
GO_bp:go_regulation_of_microtubule_polymerization_or_depolymerization	36.56	0.00223528172886072	ENSG00000147601;ENSG00000119408	TERF1;NEK6
GO_bp:go_cell_cycle_checkpoint	33.11	0.00270717027709207	ENSG00000147601;ENSG00000119408	TERF1;NEK6
GO_mf:go_rna_directed_dna_polymerase_activity	454.56	0.00289974948770511	ENSG00000147601	TERF1
GO_bp:go_skin_development	30.52	0.00316284093126244	ENSG00000116285;ENSG00000106689	ERRFI1;LHX2
GO_bp:go_regulation_of_nuclear_cell_cycle_dna_replication	301.88	0.00414024522711987	ENSG00000147601	TERF1
GO_bp:go_regulation_of_microtubule_based_process	26.53	0.00414133164668694	ENSG00000147601;ENSG00000119408	TERF1;NEK6
GO_bp:go_protein_homooligomerization	26.07	0.00427667515874968	ENSG00000145451;ENSG00000147601	GLRA3;TERF1
GO_bp:go_negative_regulation_of_protein_autophosphorylation	271.43	0.00455344361090371	ENSG00000116285	ERRFI1
GO_bp:go_chromosome_localization_to_nuclear_envelope_involved_in_homologous_chromosome_segregation	271.43	0.00455344361090371	ENSG00000147601	TERF1
GO_bp:go_regulation_of_establishment_of_protein_localization_to_chromosome	271.43	0.00455344361090371	ENSG00000147601	TERF1
GO_bp:go_telomere_localization	271.43	0.00455344361090371	ENSG00000147601	TERF1
GO_bp:go_negative_regulation_of_telomere_maintenance_via_telomerase	248.68	0.00496649197453902	ENSG00000147601	TERF1
GO_bp:go_maintenance_of_cell_polarity	248.68	0.00496649197453902	ENSG00000106689	LHX2
GO_bp:go_negative_regulation_of_multicellular_organismal_metabolic_process	248.68	0.00496649197453902	ENSG00000116285	ERRFI1
GO_bp:go_regulation_of_cell_division	23.71	0.00513178927909087	ENSG00000147601;ENSG00000119408	TERF1;NEK6
GO_bp:go_chromosome_segregation	23.53	0.00520635826369614	ENSG00000147601;ENSG00000119408	TERF1;NEK6
GO_bp:go_regulation_of_chromosome_organization	23.18	0.00535701355820612	ENSG00000147601;ENSG00000119408	TERF1;NEK6
GO_bp:go_telencephalon_regionalization	227.27	0.00537939036469715	ENSG00000106689	LHX2
GO_cc:go_telomere_cap_complex	227.27	0.00537939036469715	ENSG00000147601	TERF1
GO_bp:go_regulation_of_protein_localization_to_chromosome_telomeric_region	208.99	0.00579213882817153	ENSG00000147601	TERF1
GO_bp:go_negative_regulation_of_muscle_hypertrophy	208.99	0.00579213882817153	ENSG00000116285	ERRFI1
GO_mf:go_glycine_binding	208.99	0.00579213882817153	ENSG00000145451	GLRA3
GO_cc:go_spindle	22.2	0.00582106965081511	ENSG00000147601;ENSG00000119408	TERF1;NEK6
GO_bp:go_negative_regulation_of_telomerase_activity	194.06	0.00620473741134331	ENSG00000147601	TERF1
GO_bp:go_negative_regulation_of_interleukin_1_beta_production	194.06	0.00620473741134331	ENSG00000116285	ERRFI1
GO_bp:go_negative_regulation_of_dna_dependent_dna_replication	182.53	0.00661718616111329	ENSG00000147601	TERF1
Canonical_pathway:pid_smad2_3pathway	170.84	0.00702948512410595	ENSG00000135966	TGFBRAP1
GO_bp:go_negative_regulation_of_transcription_regulatory_region_dna_binding	170.84	0.00702948512410595	ENSG00000106689	LHX2
GO_bp:go_negative_regulation_of_telomere_maintenance_via_telomere_lengthening	170.84	0.00702948512410595	ENSG00000147601	TERF1
GO_bp:go_telomere_maintenance_via_telomerase	170.84	0.00702948512410595	ENSG00000147601	TERF1
GO_bp:go_positive_regulation_of_microtubule_polymerization	170.84	0.00702948512410595	ENSG00000147601	TERF1
GO_bp:go_regulation_of_cell_cycle_phase_transition	19.93	0.00714627247597652	ENSG00000147601;ENSG00000119408	TERF1;NEK6
Canonical_pathway:biocarta_tel_pathway	161.16	0.00744163434679812	ENSG00000147601	TERF1
GO_bp:go_response_to_platelet_derived_growth_factor	161.16	0.00744163434679812	ENSG00000116285	ERRFI1
