id	or	p	ens.ids	gene.names
GO_cc:go_inner_mitochondrial_membrane_protein_complex	73.58	0.00061689982089424	ENSG00000183648;ENSG00000156411	NDUFB1;C14orf2
GO_cc:go_mitochondrial_protein_complex	57.13	0.00101236206530099	ENSG00000183648;ENSG00000156411	NDUFB1;C14orf2
GO_cc:go_mitochondrial_membrane_part	45.16	0.00159321511793921	ENSG00000183648;ENSG00000156411	NDUFB1;C14orf2
Canonical_pathway:kegg_huntingtons_disease	44.64	0.00163024691453972	ENSG00000183648;ENSG00000028839	NDUFB1;TBPL1
GO_bp:go_nucleoside_triphosphate_metabolic_process	34.46	0.00268887903582272	ENSG00000183648;ENSG00000028839	NDUFB1;TBPL1
Canonical_pathway:biocarta_eif2_pathway	316.27	0.00398529583318885	ENSG00000100664	EIF5
GO_bp:go_deoxyribonucleotide_biosynthetic_process	288.32	0.00434691942906884	ENSG00000028839	TBPL1
GO_bp:go_acrosome_assembly	262.99	0.00470843048064251	ENSG00000028839	TBPL1
Canonical_pathway:reactome_class_c_3_metabotropic_glutamate_pheromone_receptors	244.77	0.00506982901713848	ENSG00000173612	GPRC6A
GO_mf:go_sodium_ion_binding	244.77	0.00506982901713848	ENSG00000140090	SLC24A4
GO_mf:go_potassium_ion_binding	227.29	0.00543111506778171	ENSG00000140090	SLC24A4
Canonical_pathway:biocarta_eif_pathway	211.19	0.0057922886616355	ENSG00000100664	EIF5
GO_bp:go_pyrimidine_deoxyribonucleotide_metabolic_process	211.19	0.0057922886616355	ENSG00000028839	TBPL1
GO_bp:go_deoxyribonucleoside_triphosphate_metabolic_process	197.98	0.00615334982791105	ENSG00000028839	TBPL1
GO_bp:go_spermatid_nucleus_differentiation	187.91	0.00651429859566266	ENSG00000028839	TBPL1
GO_bp:go_pyrimidine_nucleoside_triphosphate_biosynthetic_process	177.16	0.00687513499423997	ENSG00000028839	TBPL1
GO_bp:go_amelogenesis	167.8	0.00723585905268509	ENSG00000140090	SLC24A4
GO_bp:go_pyrimidine_nucleoside_triphosphate_metabolic_process	158.94	0.00759647080033488	ENSG00000028839	TBPL1
GO_mf:go_alkali_metal_ion_binding	158.94	0.00759647080033488	ENSG00000140090	SLC24A4
GO_cc:go_proton_transporting_atp_synthase_complex	151.86	0.0079569702660669	ENSG00000156411	C14orf2
GO_mf:go_cation_cation_antiporter_activity	133.22	0.00903779526361914	ENSG00000140090	SLC24A4
GO_bp:go_secretory_granule_organization	122.82	0.00975778438699382	ENSG00000028839	TBPL1
GO_bp:go_pyrimidine_nucleotide_biosynthetic_process	110.19	0.0108369273415883	ENSG00000028839	TBPL1
GO_mf:go_solute_cation_antiporter_activity	106.4	0.0111964175814048	ENSG00000140090	SLC24A4
Canonical_pathway:kegg_basal_transcription_factors	99.78	0.0119150621177335	ENSG00000028839	TBPL1
GO_bp:go_deoxyribonucleotide_metabolic_process	99.78	0.0119150621177335	ENSG00000028839	TBPL1
GO_cc:go_organelle_inner_membrane	14.54	0.0138182713191095	ENSG00000183648;ENSG00000156411	NDUFB1;C14orf2
GO_bp:go_nucleobase_containing_small_molecule_metabolic_process	14.28	0.0142806620246203	ENSG00000183648;ENSG00000028839	NDUFB1;TBPL1
GO_bp:go_pyrimidine_containing_compound_biosynthetic_process	80	0.0147851652844898	ENSG00000028839	TBPL1
GO_cc:go_nadh_dehydrogenase_complex	77.85	0.0151434252243789	ENSG00000183648	NDUFB1
GO_bp:go_pyrimidine_nucleotide_metabolic_process	72.62	0.0162175351326955	ENSG00000028839	TBPL1
GO_cc:go_proton_transporting_two_sector_atpase_complex	69.6	0.0169330504353724	ENSG00000156411	C14orf2
GO_mf:go_ion_antiporter_activity	69.6	0.0169330504353724	ENSG00000140090	SLC24A4
GO_mf:go_translation_initiation_factor_activity	65.24	0.0180054870149623	ENSG00000100664	EIF5
GO_mf:go_oxidoreductase_activity_acting_on_nad_p_h_quinone_or_similar_compound_as_acceptor	63.94	0.0183627429576257	ENSG00000183648	NDUFB1
GO_bp:go_mitochondrial_respiratory_chain_complex_i_biogenesis	58.14	0.0201473520937833	ENSG00000183648	NDUFB1
GO_bp:go_organonitrogen_compound_metabolic_process	7.46	0.0201935977952928	ENSG00000183648;ENSG00000100664;ENSG00000028839	NDUFB1;EIF5;TBPL1
GO_bp:go_nucleoside_triphosphate_biosynthetic_process	51.52	0.0226411325355551	ENSG00000028839	TBPL1
Canonical_pathway:reactome_respiratory_electron_transport	50.7	0.0229969424000213	ENSG00000183648	NDUFB1
GO_cc:go_mitochondrial_envelope	10.99	0.0230955263087621	ENSG00000183648;ENSG00000156411	NDUFB1;C14orf2
GO_bp:go_phosphate_containing_compound_metabolic_process	6.7	0.0262377182552251	ENSG00000183648;ENSG00000075413;ENSG00000028839	NDUFB1;MARK3;TBPL1
GO_mf:go_antiporter_activity	43.8	0.026548938912066	ENSG00000140090	SLC24A4
GO_bp:go_odontogenesis_of_dentin_containing_tooth	43.2	0.0269035289847838	ENSG00000140090	SLC24A4
GO_bp:go_mitochondrial_respiratory_chain_complex_assembly	42.62	0.0272580083404128	ENSG00000183648	NDUFB1
GO_bp:go_pyrimidine_containing_compound_metabolic_process	42.62	0.0272580083404128	ENSG00000028839	TBPL1
GO_cc:go_respiratory_chain	41.5	0.0279666350154782	ENSG00000183648	NDUFB1
Canonical_pathway:reactome_respiratory_electron_transport_atp_synthesis_by_chemiosmotic_coupling_and_heat_production_by_uncoupling_proteins_	40.43	0.028674819167493	ENSG00000183648	NDUFB1
GO_bp:go_regulation_of_translational_initiation	40.43	0.028674819167493	ENSG00000100664	EIF5
GO_bp:go_oxidative_phosphorylation	38.99	0.0297362661691357	ENSG00000183648	NDUFB1
GO_mf:go_translation_factor_activity_rna_binding	37.16	0.0311499821565026	ENSG00000100664	EIF5
GO_bp:go_calcium_mediated_signaling	36.29	0.0318561778043309	ENSG00000173612	GPRC6A
GO_bp:go_sodium_ion_transmembrane_transport	35.86	0.0322091101425203	ENSG00000140090	SLC24A4
GO_mf:go_oxidoreductase_activity_acting_on_nad_p_h	35.86	0.0322091101425203	ENSG00000183648	NDUFB1
Canonical_pathway:reactome_transport_of_inorganic_cations_anions_and_amino_acids_oligopeptides	35.1	0.0329146439905014	ENSG00000140090	SLC24A4
GO_bp:go_electron_transport_chain	34.72	0.0332672455577909	ENSG00000183648	NDUFB1
GO_cc:go_oxidoreductase_complex	34.72	0.0332672455577909	ENSG00000183648	NDUFB1
GO_cc:go_dna_directed_rna_polymerase_ii_holoenzyme	33.98	0.0339721181228184	ENSG00000028839	TBPL1
