id	or	p	ens.ids	gene.names
GO_bp:go_axo_dendritic_transport	160.7	0.000120896224069306	ENSG00000189114;ENSG00000104892	BLOC1S3;KLC3
GO_bp:go_establishment_of_localization_by_movement_along_microtubule	58.16	0.000862439473321101	ENSG00000189114;ENSG00000104892	BLOC1S3;KLC3
GO_bp:go_cytoskeleton_dependent_intracellular_transport	48.39	0.00123406535881349	ENSG00000189114;ENSG00000104892	BLOC1S3;KLC3
GO_bp:go_microtubule_based_process	18.25	0.00142494680741474	ENSG00000007047;ENSG00000189114;ENSG00000104892	MARK4;BLOC1S3;KLC3
GO_mf:go_microtubule_binding	27.78	0.00359860176444232	ENSG00000007047;ENSG00000104892	MARK4;KLC3
GO_bp:go_microtubule_based_movement	26.95	0.00381502199247693	ENSG00000189114;ENSG00000104892	BLOC1S3;KLC3
Canonical_pathway:biocarta_sars_pathway	263.72	0.00465668963671817	ENSG00000104879	CKM
GO_bp:go_creatine_metabolic_process	238.75	0.00512129675213036	ENSG00000104879	CKM
GO_cc:go_gemini_of_coiled_bodies	238.75	0.00512129675213036	ENSG00000142252	GEMIN7
GO_bp:go_pigment_accumulation	217.04	0.00558571108456218	ENSG00000189114	BLOC1S3
GO_mf:go_tau_protein_kinase_activity	217.04	0.00558571108456218	ENSG00000007047	MARK4
GO_cc:go_smn_complex	198.23	0.0060499327039506	ENSG00000142252	GEMIN7
GO_mf:go_phosphotransferase_activity_nitrogenous_group_as_acceptor	198.23	0.0060499327039506	ENSG00000104879	CKM
GO_mf:go_tubulin_binding	20.49	0.00644363431712209	ENSG00000007047;ENSG00000104892	MARK4;KLC3
GO_bp:go_synaptic_vesicle_cytoskeletal_transport	170.89	0.00697779808346566	ENSG00000189114	BLOC1S3
GO_cc:go_bloc_1_complex	170.89	0.00697779808346566	ENSG00000189114	BLOC1S3
GO_cc:go_neuron_projection	9.86	0.00760608423889931	ENSG00000007047;ENSG00000189114;ENSG00000104892	MARK4;BLOC1S3;KLC3
GO_cc:go_cell_projection_part	9.83	0.00767426812251644	ENSG00000007047;ENSG00000189114;ENSG00000104892	MARK4;BLOC1S3;KLC3
GO_cc:go_smn_sm_protein_complex	149.37	0.00790489345031542	ENSG00000142252	GEMIN7
GO_cc:go_ciliary_part	18.07	0.00817758630819945	ENSG00000007047;ENSG00000104892	MARK4;KLC3
GO_bp:go_positive_regulation_of_natural_killer_cell_activation	140.74	0.00836815255370305	ENSG00000189114	BLOC1S3
GO_cc:go_bloc_complex	126.04	0.009294093949898	ENSG00000189114	BLOC1S3
GO_mf:go_macromolecule_transmembrane_transporter_activity	126.04	0.009294093949898	ENSG00000189114	BLOC1S3
