id	or	p	ens.ids	gene.names
GO_bp:go_defense_response_to_virus	47.2	0.00146685682059473	ENSG00000116031;ENSG00000187796	CD207;CARD9
GO_bp:go_response_to_virus	31.56	0.00318293678615333	ENSG00000116031;ENSG00000187796	CD207;CARD9
GO_bp:go_positive_regulation_of_triglyceride_biosynthetic_process	262.99	0.00470843048064251	ENSG00000205423	CNEP1R1
GO_bp:go_ubiquinone_metabolic_process	262.99	0.00470843048064251	ENSG00000167186	COQ7
GO_bp:go_protein_import_into_mitochondrial_matrix	244.77	0.00506982901713848	ENSG00000213221	DNLZ
GO_bp:go_response_to_muramyl_dipeptide	227.29	0.00543111506778171	ENSG00000187796	CARD9
GO_bp:go_regulation_of_interleukin_6_biosynthetic_process	211.19	0.0057922886616355	ENSG00000187796	CARD9
GO_mf:go_mannose_binding	197.98	0.00615334982791105	ENSG00000116031	CD207
GO_bp:go_regulation_of_interleukin_2_biosynthetic_process	187.91	0.00651429859566266	ENSG00000187796	CARD9
GO_bp:go_regulation_of_tumor_necrosis_factor_biosynthetic_process	187.91	0.00651429859566266	ENSG00000187796	CARD9
GO_bp:go_regulation_of_triglyceride_biosynthetic_process	187.91	0.00651429859566266	ENSG00000205423	CNEP1R1
GO_bp:go_positive_regulation_of_triglyceride_metabolic_process	158.94	0.00759647080033488	ENSG00000205423	CNEP1R1
GO_bp:go_ketone_biosynthetic_process	133.22	0.00903779526361914	ENSG00000167186	COQ7
GO_bp:go_response_to_drug	17.96	0.00932159723397025	ENSG00000167186;ENSG00000187796	COQ7;CARD9
Canonical_pathway:reactome_rna_pol_iii_transcription_initiation_from_type_3_promoter	127.7	0.00939784589336146	ENSG00000165684	SNAPC4
Canonical_pathway:reactome_nod1_2_signaling_pathway	118.3	0.0101176107735111	ENSG00000187796	CARD9
GO_bp:go_quinone_metabolic_process	114.1	0.0104773250818979	ENSG00000167186	COQ7
GO_bp:go_immune_effector_process	16.73	0.0106400213220492	ENSG00000116031;ENSG00000187796	CD207;CARD9
GO_bp:go_defense_response_to_other_organism	16.15	0.0113757504623545	ENSG00000116031;ENSG00000187796	CD207;CARD9
Canonical_pathway:reactome_rna_pol_iii_transcription	99.78	0.0119150621177335	ENSG00000165684	SNAPC4
GO_bp:go_regulation_of_triglyceride_metabolic_process	96.78	0.0122742164726174	ENSG00000205423	CNEP1R1
GO_bp:go_transcription_from_rna_polymerase_iii_promoter	81.96	0.0144267936443945	ENSG00000165684	SNAPC4
Canonical_pathway:reactome_nucleotide_binding_domain_leucine_rich_repeat_containing_receptor_nlr_signaling_pathways	77.85	0.0151434252243789	ENSG00000187796	CARD9
GO_bp:go_protein_localization_to_organelle	13.62	0.0156008862786368	ENSG00000205423;ENSG00000213221	CNEP1R1;DNLZ
Canonical_pathway:reactome_cross_presentation_of_soluble_exogenous_antigens_endosomes	72.62	0.0162175351326955	ENSG00000116031	CD207
GO_bp:go_response_to_exogenous_dsrna	72.62	0.0162175351326955	ENSG00000187796	CARD9
GO_bp:go_membrane_disassembly	70.94	0.0165753485616138	ENSG00000205423	CNEP1R1
GO_cc:go_clathrin_coated_endocytic_vesicle_membrane	70.94	0.0165753485616138	ENSG00000116031	CD207
GO_bp:go_positive_regulation_of_dephosphorylation	69.6	0.0169330504353724	ENSG00000205423	CNEP1R1
GO_cc:go_phosphatase_complex	69.6	0.0169330504353724	ENSG00000205423	CNEP1R1
GO_bp:go_regulation_of_interleukin_2_production	68.02	0.0172906407828409	ENSG00000187796	CARD9
GO_bp:go_protein_transmembrane_transport	63.94	0.0183627429576257	ENSG00000213221	DNLZ
GO_bp:go_response_to_fungus	62.69	0.0187198874897209	ENSG00000187796	CARD9
GO_bp:go_protein_targeting_to_mitochondrion	62.69	0.0187198874897209	ENSG00000213221	DNLZ
GO_bp:go_positive_regulation_of_tumor_necrosis_factor_superfamily_cytokine_production	58.14	0.0201473520937833	ENSG00000187796	CARD9
GO_bp:go_mitochondrial_transmembrane_transport	58.14	0.0201473520937833	ENSG00000213221	DNLZ
Canonical_pathway:kegg_nod_like_receptor_signaling_pathway	54.14	0.0215730364468741	ENSG00000187796	CARD9
GO_cc:go_clathrin_coated_endocytic_vesicle	51.52	0.0226411325355551	ENSG00000116031	CD207
GO_bp:go_antigen_processing_and_presentation_of_exogenous_peptide_antigen_via_mhc_class_i	50.7	0.0229969424000213	ENSG00000116031	CD207
GO_bp:go_positive_regulation_of_lipid_biosynthetic_process	49.15	0.0237082290543	ENSG00000205423	CNEP1R1
GO_bp:go_defense_response_to_gram_positive_bacterium	48.4	0.0240637059019285	ENSG00000187796	CARD9
GO_bp:go_positive_regulation_of_interleukin_6_production	48.4	0.0240637059019285	ENSG00000187796	CARD9
GO_bp:go_i_kappab_kinase_nf_kappab_signaling	47.69	0.0244190718017983	ENSG00000187796	CARD9
GO_bp:go_cellular_ketone_metabolic_process	47.69	0.0244190718017983	ENSG00000167186	COQ7
GO_mf:go_monosaccharide_binding	46.99	0.024774326782653	ENSG00000116031	CD207
Canonical_pathway:reactome_antigen_processing_cross_presentation	46.31	0.0251294708733797	ENSG00000116031	CD207
GO_bp:go_protein_localization_to_mitochondrion	46.31	0.0251294708733797	ENSG00000213221	DNLZ
GO_bp:go_response_to_dsrna	45.07	0.0258394264999618	ENSG00000187796	CARD9
GO_cc:go_clathrin_coated_vesicle_membrane	41.5	0.0279666350154782	ENSG00000116031	CD207
GO_bp:go_nuclear_envelope_organization	40.43	0.028674819167493	ENSG00000205423	CNEP1R1
GO_bp:go_snrna_metabolic_process	39.93	0.0290287453694701	ENSG00000165684	SNAPC4
GO_mf:go_chaperone_binding	39.93	0.0290287453694701	ENSG00000213221	DNLZ
Canonical_pathway:reactome_rna_pol_i_rna_pol_iii_and_mitochondrial_transcription	37.58	0.0307967187893284	ENSG00000165684	SNAPC4
GO_bp:go_ncrna_transcription	37.16	0.0311499821565026	ENSG00000165684	SNAPC4
GO_bp:go_antigen_processing_and_presentation_of_peptide_antigen_via_mhc_class_i	36.29	0.0318561778043309	ENSG00000116031	CD207
GO_mf:go_monooxygenase_activity	35.1	0.0329146439905014	ENSG00000167186	COQ7
GO_bp:go_regulation_of_cytokine_biosynthetic_process	34.34	0.0336197369257996	ENSG00000187796	CARD9
GO_bp:go_response_to_biotic_stimulus	8.82	0.0342226570345419	ENSG00000116031;ENSG00000187796	CD207;CARD9
