id	or	p	ens.ids	gene.names
GO_bp:go_protein_targeting_to_membrane	31.02	0.00280208385882076	ENSG00000163531;ENSG00000025796	NFASC;SEC63
GO_cc:go_myelin_sheath	28.91	0.00320278290544964	ENSG00000163531;ENSG00000140740	NFASC;UQCRC2
GO_mf:go_protein_binding_involved_in_cell_cell_adhesion	212.26	0.00568885539414143	ENSG00000163531	NFASC
GO_bp:go_apical_protein_localization	192.27	0.00620457694218945	ENSG00000138771	SHROOM3
GO_bp:go_neuronal_ion_channel_clustering	192.27	0.00620457694218945	ENSG00000163531	NFASC
GO_bp:go_pigment_accumulation	192.27	0.00620457694218945	ENSG00000138771	SHROOM3
GO_cc:go_axon_initial_segment	192.27	0.00620457694218945	ENSG00000163531	NFASC
GO_cc:go_paranode_region_of_axon	192.27	0.00620457694218945	ENSG00000163531	NFASC
GO_bp:go_mitochondrial_electron_transport_ubiquinol_to_cytochrome_c	163.56	0.00723529787656096	ENSG00000140740	UQCRC2
GO_bp:go_cdp_diacylglycerol_metabolic_process	163.56	0.00723529787656096	ENSG00000163624	CDS1
GO_cc:go_node_of_ranvier	151.36	0.00775029746257883	ENSG00000163531	NFASC
GO_cc:go_glial_cell_projection	151.36	0.00775029746257883	ENSG00000163531	NFASC
GO_bp:go_establishment_of_protein_localization_to_membrane	18.21	0.00775213737990356	ENSG00000163531;ENSG00000025796	NFASC;SEC63
GO_bp:go_myelin_assembly	132.65	0.0087795753718195	ENSG00000163531	NFASC
GO_mf:go_protein_binding_involved_in_cell_adhesion	132.65	0.0087795753718195	ENSG00000163531	NFASC
GO_bp:go_asymmetric_protein_localization	118.3	0.00980789226229484	ENSG00000138771	SHROOM3
GO_mf:go_phosphotransferase_activity_for_other_substituted_phosphate_groups	118.3	0.00980789226229484	ENSG00000163624	CDS1
GO_mf:go_1_phosphatidylinositol_binding	118.3	0.00980789226229484	ENSG00000163625	WDFY3
GO_cc:go_cytochrome_complex	106.55	0.0108352489315342	ENSG00000140740	UQCRC2
Canonical_pathway:kegg_protein_export	96.77	0.0118616461766977	ENSG00000025796	SEC63
GO_bp:go_protein_targeting_to_plasma_membrane	96.77	0.0118616461766977	ENSG00000163531	NFASC
GO_cc:go_extrinsic_component_of_organelle_membrane	85.37	0.0133994448666218	ENSG00000163625	WDFY3
GO_bp:go_phosphatidylcholine_biosynthetic_process	82.02	0.0139115655804325	ENSG00000163624	CDS1
GO_bp:go_heterotypic_cell_cell_adhesion	82.02	0.0139115655804325	ENSG00000163531	NFASC
GO_cc:go_autophagosome_membrane	82.02	0.0139115655804325	ENSG00000163625	WDFY3
GO_mf:go_udp_galactosyltransferase_activity	78.96	0.0144234470352059	ENSG00000163625	WDFY3
GO_bp:go_protein_localization_to_membrane	12.7	0.0152194665795326	ENSG00000163531;ENSG00000025796	NFASC;SEC63
GO_bp:go_neuron_maturation	73.45	0.0154464925648904	ENSG00000163531	NFASC
GO_bp:go_osteoclast_differentiation	73.45	0.0154464925648904	ENSG00000081087	OSTM1
GO_cc:go_cell_cell_junction	12.46	0.0157647047562878	ENSG00000163531;ENSG00000138771	NFASC;SHROOM3
GO_bp:go_multicellular_organism_aging	71	0.015957656838544	ENSG00000025796	SEC63
GO_bp:go_phosphatidylglycerol_metabolic_process	71	0.015957656838544	ENSG00000163624	CDS1
GO_mf:go_galactosyltransferase_activity	68.74	0.0164685822503314	ENSG00000163625	WDFY3
GO_bp:go_protein_targeting	11.76	0.0175332672048445	ENSG00000163531;ENSG00000025796	NFASC;SEC63
GO_bp:go_phototransduction	54.71	0.0205473984186425	ENSG00000163624	CDS1
GO_bp:go_cellular_pigmentation	46.33	0.0241038673948936	ENSG00000138771	SHROOM3
GO_bp:go_positive_regulation_of_response_to_extracellular_stimulus	46.33	0.0241038673948936	ENSG00000163625	WDFY3
GO_cc:go_anchoring_junction	9.71	0.0249303212648546	ENSG00000163531;ENSG00000138771	NFASC;SHROOM3
GO_bp:go_aerobic_respiration	41.03	0.0271430142215711	ENSG00000140740	UQCRC2
GO_bp:go_transmission_of_nerve_impulse	40.25	0.0276487097126495	ENSG00000163531	NFASC
GO_bp:go_ire1_mediated_unfolded_protein_response	38.77	0.0286593910267788	ENSG00000025796	SEC63
GO_bp:go_detection_of_light_stimulus	38.77	0.0286593910267788	ENSG00000163624	CDS1
GO_cc:go_main_axon	37.41	0.0296691267724497	ENSG00000163531	NFASC
Canonical_pathway:reactome_respiratory_electron_transport	33.86	0.0326926684609499	ENSG00000140740	UQCRC2
GO_bp:go_phosphatidylcholine_metabolic_process	33.86	0.0326926684609499	ENSG00000163624	CDS1
GO_cc:go_vacuolar_membrane	8.1	0.0344961084798792	ENSG00000163625;ENSG00000081087	WDFY3;OSTM1
GO_bp:go_peripheral_nervous_system_development	31.82	0.0347036494809535	ENSG00000163531	NFASC
GO_cc:go_inclusion_body	30.9	0.0357077283115718	ENSG00000163625	WDFY3
GO_bp:go_cell_cell_junction_assembly	30.03	0.0367108670669506	ENSG00000163531	NFASC
Canonical_pathway:kegg_cardiac_muscle_contraction	29.61	0.0372120841609951	ENSG00000140740	UQCRC2
GO_bp:go_positive_regulation_of_autophagy	29.2	0.0377130665295606	ENSG00000163625	WDFY3
Canonical_pathway:kegg_phosphatidylinositol_signaling_system	28.81	0.0382138142702642	ENSG00000163624	CDS1
GO_cc:go_autophagosome	28.81	0.0382138142702642	ENSG00000163625	WDFY3
GO_cc:go_microvillus	28.81	0.0382138142702642	ENSG00000163531	NFASC
Canonical_pathway:kegg_glycerophospholipid_metabolism	28.43	0.0387143274809941	ENSG00000163624	CDS1
GO_cc:go_respiratory_chain	27.69	0.039714650702785	ENSG00000140740	UQCRC2
Canonical_pathway:reactome_respiratory_electron_transport_atp_synthesis_by_chemiosmotic_coupling_and_heat_production_by_uncoupling_proteins_	26.99	0.0407140369756928	ENSG00000140740	UQCRC2
Canonical_pathway:reactome_glycerophospholipid_biosynthesis	26.32	0.0417124870796987	ENSG00000163624	CDS1
GO_bp:go_oxidative_phosphorylation	26	0.0422113613120548	ENSG00000140740	UQCRC2
GO_bp:go_fibroblast_growth_factor_receptor_signaling_pathway	25.68	0.0427100017945233	ENSG00000104413	ESRP1
GO_bp:go_pigmentation	25.38	0.0432084086243663	ENSG00000138771	SHROOM3
GO_bp:go_ethanolamine_containing_compound_metabolic_process	25.38	0.0432084086243663	ENSG00000163624	CDS1
GO_bp:go_ensheathment_of_neurons	23.68	0.0461939483481807	ENSG00000163531	NFASC
GO_bp:go_establishment_of_protein_localization_to_plasma_membrane	23.68	0.0461939483481807	ENSG00000163531	NFASC
GO_cc:go_vacuolar_part	6.8	0.0470226214667115	ENSG00000163625;ENSG00000081087	WDFY3;OSTM1
GO_bp:go_electron_transport_chain	23.14	0.0471872634436976	ENSG00000140740	UQCRC2
GO_cc:go_oxidoreductase_complex	23.14	0.0471872634436976	ENSG00000140740	UQCRC2
