id	or	p	ens.ids	gene.names
Canonical_pathway:pid_mtor_4pathway	114.4	0.000261733102234506	ENSG00000167658;ENSG00000126934	EEF2;MAP2K2
GO_bp:go_amide_biosynthetic_process	28.67	0.000540987254966525	ENSG00000197119;ENSG00000140107;ENSG00000167658	SLC25A29;SLC25A47;EEF2
GO_bp:go_peptide_metabolic_process	25.59	0.000748375239613692	ENSG00000197119;ENSG00000140107;ENSG00000167658	SLC25A29;SLC25A47;EEF2
GO_bp:go_cellular_amide_metabolic_process	19.84	0.001523506377917	ENSG00000197119;ENSG00000140107;ENSG00000167658	SLC25A29;SLC25A47;EEF2
GO_mf:go_structural_molecule_activity	19.73	0.00154863789447225	ENSG00000197119;ENSG00000140107;ENSG00000126934	SLC25A29;SLC25A47;MAP2K2
GO_mf:go_structural_constituent_of_ribosome	37.74	0.00225668459052606	ENSG00000197119;ENSG00000140107	SLC25A29;SLC25A47
Canonical_pathway:reactome_raf_map_kinase_cascade	351.96	0.00362355966376637	ENSG00000126934	MAP2K2
Canonical_pathway:biocarta_cdk5_pathway	316.27	0.00398529583318885	ENSG00000126934	MAP2K2
GO_bp:go_response_to_ether	316.27	0.00398529583318885	ENSG00000167658	EEF2
GO_bp:go_organonitrogen_compound_biosynthetic_process	13.65	0.00423614207806786	ENSG00000197119;ENSG00000140107;ENSG00000167658	SLC25A29;SLC25A47;EEF2
Canonical_pathway:biocarta_barr_mapk_pathway	288.32	0.00434691942906884	ENSG00000126934	MAP2K2
GO_bp:go_regulation_of_golgi_organization	288.32	0.00434691942906884	ENSG00000126934	MAP2K2
GO_bp:go_trachea_morphogenesis	288.32	0.00434691942906884	ENSG00000126934	MAP2K2
GO_mf:go_map_kinase_kinase_activity	288.32	0.00434691942906884	ENSG00000126934	MAP2K2
GO_bp:go_regulation_of_cytoplasmic_translation	262.99	0.00470843048064251	ENSG00000167658	EEF2
Canonical_pathway:reactome_sos_mediated_signalling	244.77	0.00506982901713848	ENSG00000126934	MAP2K2
Canonical_pathway:biocarta_barrestin_src_pathway	227.29	0.00543111506778171	ENSG00000126934	MAP2K2
Canonical_pathway:reactome_signalling_to_p38_via_rit_and_rin	227.29	0.00543111506778171	ENSG00000126934	MAP2K2
Canonical_pathway:reactome_shc1_events_in_egfr_signaling	227.29	0.00543111506778171	ENSG00000126934	MAP2K2
Canonical_pathway:reactome_shc_mediated_signalling	227.29	0.00543111506778171	ENSG00000126934	MAP2K2
GO_bp:go_response_to_folic_acid	227.29	0.00543111506778171	ENSG00000167658	EEF2
