id	or	p	ens.ids	gene.names
GO_mf:go_cation_channel_activity	39.39	0.000181702311752229	ENSG00000177098;ENSG00000165125;ENSG00000127412	SCN4B;TRPV6;TRPV5
GO_mf:go_metal_ion_transmembrane_transporter_activity	27.8	0.000492936061503955	ENSG00000177098;ENSG00000165125;ENSG00000127412	SCN4B;TRPV6;TRPV5
GO_mf:go_passive_transmembrane_transporter_activity	25.09	0.000659721932464268	ENSG00000177098;ENSG00000165125;ENSG00000127412	SCN4B;TRPV6;TRPV5
GO_mf:go_inorganic_cation_transmembrane_transporter_activity	21.89	0.000969206677653133	ENSG00000177098;ENSG00000165125;ENSG00000127412	SCN4B;TRPV6;TRPV5
GO_mf:go_calcium_ion_transmembrane_transporter_activity	52.29	0.00111892452419175	ENSG00000165125;ENSG00000127412	TRPV6;TRPV5
GO_bp:go_inorganic_ion_transmembrane_transport	19.76	0.00129259268354226	ENSG00000177098;ENSG00000165125;ENSG00000127412	SCN4B;TRPV6;TRPV5
GO_bp:go_metal_ion_transport	19.72	0.00129915102392538	ENSG00000177098;ENSG00000165125;ENSG00000127412	SCN4B;TRPV6;TRPV5
GO_mf:go_cation_transmembrane_transporter_activity	18.42	0.00157178189163423	ENSG00000177098;ENSG00000165125;ENSG00000127412	SCN4B;TRPV6;TRPV5
GO_bp:go_calcium_ion_transmembrane_transport	41.88	0.00171782667068418	ENSG00000165125;ENSG00000127412	TRPV6;TRPV5
GO_mf:go_divalent_inorganic_cation_transmembrane_transporter_activity	39.54	0.00192157600969098	ENSG00000165125;ENSG00000127412	TRPV6;TRPV5
GO_mf:go_calmodulin_binding	36.56	0.00223528172886072	ENSG00000165125;ENSG00000127412	TRPV6;TRPV5
GO_cc:go_intrinsic_component_of_plasma_membrane	10.97	0.00260196524328914	ENSG00000177098;ENSG00000106123;ENSG00000165125;ENSG00000127412	SCN4B;EPHB6;TRPV6;TRPV5
GO_bp:go_cation_transport	14.27	0.00317721876899674	ENSG00000177098;ENSG00000165125;ENSG00000127412	SCN4B;TRPV6;TRPV5
GO_bp:go_calcium_ion_transport	29.52	0.00337281934656618	ENSG00000165125;ENSG00000127412	TRPV6;TRPV5
GO_bp:go_ion_transmembrane_transport	13.85	0.00343864041618882	ENSG00000177098;ENSG00000165125;ENSG00000127412	SCN4B;TRPV6;TRPV5
GO_bp:go_divalent_inorganic_cation_transport	24.37	0.00487479230888355	ENSG00000165125;ENSG00000127412	TRPV6;TRPV5
GO_bp:go_membrane_depolarization_during_cardiac_muscle_cell_action_potential	208.99	0.00579213882817153	ENSG00000177098	SCN4B
GO_cc:go_voltage_gated_sodium_channel_complex	208.99	0.00579213882817153	ENSG00000177098	SCN4B
GO_mf:go_transmembrane_transporter_activity	11.27	0.00598614452228433	ENSG00000177098;ENSG00000165125;ENSG00000127412	SCN4B;TRPV6;TRPV5
GO_cc:go_sodium_channel_complex	170.84	0.00702948512410595	ENSG00000177098	SCN4B
GO_bp:go_transmembrane_transport	10.18	0.00784184717723895	ENSG00000177098;ENSG00000165125;ENSG00000127412	SCN4B;TRPV6;TRPV5
GO_mf:go_ephrin_receptor_activity	151.73	0.00785363387592275	ENSG00000106123	EPHB6
GO_bp:go_regulation_of_cardiac_muscle_cell_membrane_repolarization	143.92	0.00826548375806635	ENSG00000177098	SCN4B
GO_mf:go_voltage_gated_sodium_channel_activity	143.92	0.00826548375806635	ENSG00000177098	SCN4B
GO_bp:go_cell_cell_signaling_involved_in_cardiac_conduction	136.43	0.00867718403993556	ENSG00000177098	SCN4B
GO_bp:go_cardiac_muscle_cell_contraction	101.35	0.0115549011125279	ENSG00000177098	SCN4B
GO_bp:go_ion_transport	8.75	0.0116171681170955	ENSG00000177098;ENSG00000165125;ENSG00000127412	SCN4B;TRPV6;TRPV5
GO_mf:go_transporter_activity	8.65	0.0119553554416646	ENSG00000177098;ENSG00000165125;ENSG00000127412	SCN4B;TRPV6;TRPV5
GO_bp:go_regulation_of_heart_rate_by_cardiac_conduction	97.76	0.0119654062670294	ENSG00000177098	SCN4B
GO_bp:go_regulation_of_membrane_repolarization	97.76	0.0119654062670294	ENSG00000177098	SCN4B
GO_mf:go_sodium_channel_regulator_activity	91.09	0.012785969077665	ENSG00000177098	SCN4B
GO_bp:go_positive_regulation_of_sodium_ion_transport	85.67	0.0136059355335245	ENSG00000177098	SCN4B
GO_bp:go_regulation_of_vesicle_mediated_transport	13.75	0.0143239813781913	ENSG00000167037;ENSG00000165125	SGSM1;TRPV6
GO_bp:go_cell_communication_involved_in_cardiac_conduction	78.36	0.0148347678650813	ENSG00000177098	SCN4B
GO_bp:go_cardiac_muscle_cell_action_potential	78.36	0.0148347678650813	ENSG00000177098	SCN4B
GO_mf:go_sodium_channel_activity	76.02	0.0152440808673047	ENSG00000177098	SCN4B
GO_bp:go_regulation_of_sodium_ion_transmembrane_transporter_activity	74.06	0.0156532450592936	ENSG00000177098	SCN4B
GO_bp:go_membrane_depolarization_during_action_potential	72.11	0.0160622604875353	ENSG00000177098	SCN4B
GO_mf:go_scavenger_receptor_activity	62.3	0.0185132316125716	ENSG00000137648	TMPRSS4
GO_bp:go_regulation_of_sodium_ion_transmembrane_transport	58.33	0.0197367126166115	ENSG00000177098	SCN4B
Canonical_pathway:pid_cd8_tcr_pathway	55.96	0.020551625038655	ENSG00000165125	TRPV6
GO_cc:go_intercalated_disc	55.96	0.020551625038655	ENSG00000177098	SCN4B
Canonical_pathway:pid_ptp1b_pathway	53.69	0.0213659446277895	ENSG00000165125	TRPV6
GO_bp:go_regulation_of_postsynaptic_membrane_potential	50.72	0.022586313258333	ENSG00000177098	SCN4B
GO_bp:go_regulation_of_vesicle_fusion	47.23	0.0242113999661541	ENSG00000167037	SGSM1
GO_bp:go_membrane_depolarization	45.67	0.025023056379295	ENSG00000177098	SCN4B
Canonical_pathway:pid_tcr_pathway	44.15	0.0258341219905194	ENSG00000165125	TRPV6
GO_cc:go_cell_cell_contact_zone	44.15	0.0258341219905194	ENSG00000177098	SCN4B
GO_mf:go_transmembrane_receptor_protein_tyrosine_kinase_activity	43.54	0.0262394333605867	ENSG00000106123	EPHB6
GO_mf:go_cargo_receptor_activity	42.18	0.0270496134600948	ENSG00000137648	TMPRSS4
GO_bp:go_activation_of_gtpase_activity	38.59	0.0294766159467572	ENSG00000167037	SGSM1
