id	or	p	ens.ids	gene.names
GO_bp:go_negative_regulation_of_cellular_catabolic_process	49.91	0.00131185556783997	ENSG00000116678;ENSG00000117724	LEPR;CENPF
GO_bp:go_regulation_of_catabolic_process	19.24	0.00165840246397466	ENSG00000116678;ENSG00000117724;ENSG00000131507	LEPR;CENPF;NDFIP1
GO_bp:go_regulation_of_transporter_activity	39.1	0.00210665847697297	ENSG00000184588;ENSG00000131507	PDE4B;NDFIP1
GO_bp:go_negative_regulation_of_catabolic_process	38.12	0.00221331238419808	ENSG00000116678;ENSG00000117724	LEPR;CENPF
Canonical_pathway:biocarta_leptin_pathway	351.96	0.00362355966376637	ENSG00000116678	LEPR
GO_bp:go_negative_regulation_of_type_2_immune_response	316.27	0.00398529583318885	ENSG00000131507	NDFIP1
GO_bp:go_cellular_response_to_epinephrine_stimulus	288.32	0.00434691942906884	ENSG00000184588	PDE4B
GO_bp:go_kinetochore_organization	288.32	0.00434691942906884	ENSG00000117724	CENPF
GO_cc:go_condensed_chromosome_outer_kinetochore	288.32	0.00434691942906884	ENSG00000117724	CENPF
GO_bp:go_energy_homeostasis	262.99	0.00470843048064251	ENSG00000116678	LEPR
GO_bp:go_negative_regulation_of_gluconeogenesis	262.99	0.00470843048064251	ENSG00000116678	LEPR
GO_cc:go_pronucleus	227.29	0.00543111506778171	ENSG00000117724	CENPF
GO_mf:go_3_5_cyclic_amp_phosphodiesterase_activity	227.29	0.00543111506778171	ENSG00000184588	PDE4B
GO_bp:go_negative_regulation_of_dna_recombination	211.19	0.0057922886616355	ENSG00000131507	NDFIP1
GO_bp:go_response_to_epinephrine	211.19	0.0057922886616355	ENSG00000184588	PDE4B
GO_bp:go_cellular_response_to_leptin_stimulus	211.19	0.0057922886616355	ENSG00000116678	LEPR
GO_bp:go_cyclic_nucleotide_catabolic_process	197.98	0.00615334982791105	ENSG00000184588	PDE4B
GO_bp:go_regulation_of_energy_homeostasis	197.98	0.00615334982791105	ENSG00000116678	LEPR
GO_bp:go_ubiquitin_dependent_protein_catabolic_process_via_the_multivesicular_body_sorting_pathway	197.98	0.00615334982791105	ENSG00000131507	NDFIP1
GO_cc:go_gamma_tubulin_complex	187.91	0.00651429859566266	ENSG00000184588	PDE4B
GO_bp:go_bone_growth	167.8	0.00723585905268509	ENSG00000116678	LEPR
GO_bp:go_response_to_leptin	167.8	0.00723585905268509	ENSG00000116678	LEPR
GO_bp:go_regulation_of_feeding_behavior	151.86	0.0079569702660669	ENSG00000116678	LEPR
GO_bp:go_regulation_of_protein_catabolic_process	19.47	0.00800439007095014	ENSG00000117724;ENSG00000131507	CENPF;NDFIP1
GO_mf:go_camp_binding	144.95	0.00831735747905504	ENSG00000184588	PDE4B
GO_mf:go_gamma_tubulin_binding	144.95	0.00831735747905504	ENSG00000184588	PDE4B
Canonical_pathway:reactome_darpp_32_events	138.34	0.00867763246846909	ENSG00000184588	PDE4B
GO_bp:go_regulation_of_isotype_switching	138.34	0.00867763246846909	ENSG00000131507	NDFIP1
GO_bp:go_homeostatic_process	10.35	0.00881193495447768	ENSG00000116678;ENSG00000184588;ENSG00000131507	LEPR;PDE4B;NDFIP1
GO_bp:go_regulation_of_voltage_gated_calcium_channel_activity	133.22	0.00903779526361914	ENSG00000184588	PDE4B
GO_bp:go_spindle_checkpoint	133.22	0.00903779526361914	ENSG00000117724	CENPF
GO_mf:go_cyclic_nucleotide_phosphodiesterase_activity	133.22	0.00903779526361914	ENSG00000184588	PDE4B
GO_bp:go_response_to_drug	17.96	0.00932159723397025	ENSG00000184588;ENSG00000117724	PDE4B;CENPF
GO_bp:go_regulation_of_type_2_immune_response	127.7	0.00939784589336146	ENSG00000131507	NDFIP1
GO_bp:go_regulation_of_cardiac_muscle_cell_contraction	127.7	0.00939784589336146	ENSG00000184588	PDE4B
GO_bp:go_ventricular_system_development	127.7	0.00939784589336146	ENSG00000117724	CENPF
GO_mf:go_dynein_binding	127.7	0.00939784589336146	ENSG00000117724	CENPF
GO_bp:go_ribonucleotide_catabolic_process	122.82	0.00975778438699382	ENSG00000184588	PDE4B
GO_bp:go_negative_regulation_of_chromosome_segregation	122.82	0.00975778438699382	ENSG00000117724	CENPF
GO_bp:go_regulation_of_interleukin_4_production	114.1	0.0104773250818979	ENSG00000131507	NDFIP1
GO_bp:go_negative_regulation_of_production_of_molecular_mediator_of_immune_response	114.1	0.0104773250818979	ENSG00000131507	NDFIP1
GO_bp:go_negative_regulation_of_b_cell_activation	110.19	0.0108369273415883	ENSG00000131507	NDFIP1
GO_bp:go_regulation_of_actin_filament_based_movement	106.4	0.0111964175814048	ENSG00000184588	PDE4B
GO_bp:go_positive_regulation_of_interleukin_2_production	106.4	0.0111964175814048	ENSG00000184588	PDE4B
