id	or	p	ens.ids	gene.names
GO_bp:go_oxaloacetate_metabolic_process	212.26	0.00568885539414143	ENSG00000173599	PC
GO_bp:go_positive_regulation_by_host_of_viral_process	212.26	0.00568885539414143	ENSG00000173599	PC
GO_bp:go_biotin_metabolic_process	177.55	0.0067200577363562	ENSG00000173599	PC
GO_cc:go_rna_cap_binding_complex	177.55	0.0067200577363562	ENSG00000169612	FAM103A1
GO_cc:go_transcription_factor_tftc_complex	177.55	0.0067200577363562	ENSG00000120656	TAF12
GO_cc:go_staga_complex	177.55	0.0067200577363562	ENSG00000120656	TAF12
GO_bp:go_positive_regulation_of_viral_release_from_host_cell	151.36	0.00775029746257883	ENSG00000173599	PC
GO_bp:go_modulation_by_host_of_viral_process	125.22	0.00929385389451687	ENSG00000173599	PC
GO_mf:go_transcription_coactivator_activity	16.36	0.00948318015934001	ENSG00000120656;ENSG00000162419	TAF12;GMEB1
GO_cc:go_endoribonuclease_complex	106.55	0.0108352489315342	ENSG00000128191	DGCR8
Canonical_pathway:reactome_microrna_mirna_biogenesis	101.35	0.0113485674322855	ENSG00000128191	DGCR8
GO_bp:go_dsrna_fragmentation	101.35	0.0113485674322855	ENSG00000128191	DGCR8
GO_cc:go_transcription_factor_tfiid_complex	101.35	0.0113485674322855	ENSG00000120656	TAF12
Canonical_pathway:pid_myc_pathway	92.59	0.0123744852642182	ENSG00000120656	TAF12
Canonical_pathway:reactome_regulatory_rna_pathways	88.64	0.0128870847943654	ENSG00000128191	DGCR8
GO_cc:go_catalytic_complex	7.7	0.0133682843863179	ENSG00000120656;ENSG00000197653;ENSG00000128191	TAF12;DNAH10;DGCR8
GO_mf:go_endoribonuclease_activity_producing_5_phosphomonoesters	82.02	0.0139115655804325	ENSG00000128191	DGCR8
GO_cc:go_saga_type_complex	76.18	0.0149350893302114	ENSG00000120656	TAF12
Canonical_pathway:kegg_citrate_cycle_tca_cycle	73.45	0.0154464925648904	ENSG00000173599	PC
Canonical_pathway:reactome_gluconeogenesis	73.45	0.0154464925648904	ENSG00000173599	PC
GO_bp:go_regulation_of_viral_release_from_host_cell	71	0.015957656838544	ENSG00000173599	PC
GO_mf:go_protein_dimerization_activity	7.1	0.0164007302348227	ENSG00000120656;ENSG00000103460;ENSG00000128191	TAF12;TOX3;DGCR8
Canonical_pathway:kegg_basal_transcription_factors	66.74	0.0169792688995863	ENSG00000120656	TAF12
GO_mf:go_endonuclease_activity_active_with_either_ribo_or_deoxyribonucleic_acids_and_producing_5_phosphomonoesters	62.72	0.0179999263070217	ENSG00000128191	DGCR8
GO_bp:go_rna_capping	59.25	0.0190196298537438	ENSG00000169612	FAM103A1
GO_bp:go_virion_assembly	59.25	0.0190196298537438	ENSG00000173599	PC
Canonical_pathway:reactome_rna_pol_ii_transcription_pre_initiation_and_promoter_opening	57.65	0.0195291241770781	ENSG00000120656	TAF12
GO_bp:go_cellular_response_to_dsrna	57.65	0.0195291241770781	ENSG00000128191	DGCR8
Canonical_pathway:kegg_pyruvate_metabolism	56.14	0.0200383803323859	ENSG00000173599	PC
GO_bp:go_posttranscriptional_gene_silencing	51.96	0.0215647207797297	ENSG00000128191	DGCR8
GO_cc:go_dynein_complex	50.73	0.0220730252523292	ENSG00000197653	DNAH10
GO_bp:go_histone_h3_acetylation	49.55	0.0225810920513159	ENSG00000120656	TAF12
GO_bp:go_interaction_with_symbiont	44.42	0.0251178643996754	ENSG00000173599	PC
GO_mf:go_endoribonuclease_activity	44.42	0.0251178643996754	ENSG00000128191	DGCR8
GO_bp:go_monosaccharide_biosynthetic_process	41.03	0.0271430142215711	ENSG00000173599	PC
GO_mf:go_ligase_activity_forming_carbon_nitrogen_bonds	39.5	0.0281541686149879	ENSG00000173599	PC
GO_bp:go_rna_phosphodiester_bond_hydrolysis_endonucleolytic	38.77	0.0286593910267788	ENSG00000128191	DGCR8
Canonical_pathway:reactome_rna_pol_ii_pre_transcription_events	38.08	0.0291643770464903	ENSG00000120656	TAF12
