id	or	p	ens.ids	gene.names
GO_bp:go_mesenchyme_development	30.29	0.00305095831330372	ENSG00000143632;ENSG00000069248	ACTA1;NUP133
GO_mf:go_structural_molecule_activity	13.15	0.00351712951697175	ENSG00000143632;ENSG00000069248;ENSG00000114638	ACTA1;NUP133;UPK1B
Canonical_pathway:biocarta_epha4_pathway	263.72	0.00465668963671817	ENSG00000143632	ACTA1
Canonical_pathway:reactome_metabolism_of_carbohydrates	23.34	0.00502795262582863	ENSG00000069248;ENSG00000121578	NUP133;B4GALT4
GO_bp:go_skeletal_muscle_adaptation	238.75	0.00512129675213036	ENSG00000143632	ACTA1
Canonical_pathway:biocarta_rab_pathway	217.04	0.00558571108456218	ENSG00000143632	ACTA1
GO_cc:go_condensed_chromosome_outer_kinetochore	217.04	0.00558571108456218	ENSG00000069248	NUP133
Canonical_pathway:biocarta_salmonella_pathway	198.23	0.0060499327039506	ENSG00000143632	ACTA1
GO_bp:go_regulation_of_histone_phosphorylation	198.23	0.0060499327039506	ENSG00000100784	RPS6KA5
GO_bp:go_interleukin_1_mediated_signaling_pathway	198.23	0.0060499327039506	ENSG00000100784	RPS6KA5
Canonical_pathway:reactome_n_glycan_antennae_elongation	184.68	0.0065139616803267	ENSG00000121578	B4GALT4
GO_bp:go_positive_regulation_of_creb_transcription_factor_activity	184.68	0.0065139616803267	ENSG00000100784	RPS6KA5
GO_mf:go_structural_constituent_of_nuclear_pore	184.68	0.0065139616803267	ENSG00000069248	NUP133
GO_cc:go_nuclear_membrane	19.8	0.00687118992491197	ENSG00000069248;ENSG00000052749	NUP133;RRP12
Canonical_pathway:kegg_glycosaminoglycan_biosynthesis_keratan_sulfate	170.89	0.00697779808346566	ENSG00000121578	B4GALT4
Canonical_pathway:biocarta_hsp27_pathway	170.89	0.00697779808346566	ENSG00000143632	ACTA1
Canonical_pathway:pid_lpa4_pathway	170.89	0.00697779808346566	ENSG00000100784	RPS6KA5
GO_bp:go_nuclear_pore_organization	170.89	0.00697779808346566	ENSG00000069248	NUP133
GO_bp:go_paraxial_mesoderm_development	159.55	0.00744144198359076	ENSG00000069248	NUP133
Canonical_pathway:biocarta_ucalpain_pathway	140.74	0.00836815255370305	ENSG00000143632	ACTA1
Canonical_pathway:reactome_n_glycan_antennae_elongation_in_the_medial_trans_golgi	140.74	0.00836815255370305	ENSG00000121578	B4GALT4
Canonical_pathway:biocarta_mal_pathway	132.53	0.00883121936355791	ENSG00000143632	ACTA1
GO_mf:go_histone_kinase_activity	132.53	0.00883121936355791	ENSG00000100784	RPS6KA5
Canonical_pathway:biocarta_actiny_pathway	126.04	0.009294093949898	ENSG00000143632	ACTA1
Canonical_pathway:reactome_erk_mapk_targets	119.77	0.00975677638224981	ENSG00000100784	RPS6KA5
GO_bp:go_striated_muscle_adaptation	108.95	0.0106815650646328	ENSG00000143632	ACTA1
Canonical_pathway:reactome_nuclear_events_kinase_and_transcription_factor_activation	104.09	0.0111436714541954	ENSG00000100784	RPS6KA5
GO_cc:go_myofilament	104.09	0.0111436714541954	ENSG00000143632	ACTA1
GO_mf:go_nucleocytoplasmic_transporter_activity	104.09	0.0111436714541954	ENSG00000069248	NUP133
Canonical_pathway:biocarta_mcalpain_pathway	99.78	0.011605585969067	ENSG00000143632	ACTA1
GO_bp:go_histone_phosphorylation	99.78	0.011605585969067	ENSG00000100784	RPS6KA5
Canonical_pathway:kegg_glycosphingolipid_biosynthesis_lacto_and_neolacto_series	95.81	0.0120673086787837	ENSG00000121578	B4GALT4
Canonical_pathway:reactome_keratan_sulfate_biosynthesis	95.81	0.0120673086787837	ENSG00000121578	B4GALT4
Canonical_pathway:biocarta_creb_pathway	92.16	0.0125288396532106	ENSG00000100784	RPS6KA5
