id	or	p	ens.ids	gene.names
Canonical_pathway:reactome_transmembrane_transport_of_small_molecules	23.29	0.000717477229254603	ENSG00000135776;ENSG00000101187;ENSG00000093000	ABCB10;SLCO4A1;NUP50
GO_cc:go_rna_polymerase_ii_transcription_factor_complex	55.78	0.000935294347101794	ENSG00000135801;ENSG00000186350	TAF5L;RXRA
GO_cc:go_nuclear_transcription_factor_complex	44.42	0.00145551034631817	ENSG00000135801;ENSG00000186350	TAF5L;RXRA
Canonical_pathway:reactome_metabolism_of_carbohydrates	23.34	0.00502795262582863	ENSG00000169764;ENSG00000093000	UGP2;NUP50
Canonical_pathway:biocarta_egfr_smrte_pathway	238.75	0.00512129675213036	ENSG00000186350	RXRA
Canonical_pathway:reactome_transport_of_organic_anions	238.75	0.00512129675213036	ENSG00000101187	SLCO4A1
GO_bp:go_epithelial_cell_differentiation_involved_in_prostate_gland_development	238.75	0.00512129675213036	ENSG00000186350	RXRA
GO_bp:go_prostate_glandular_acinus_development	238.75	0.00512129675213036	ENSG00000186350	RXRA
Canonical_pathway:reactome_slc_mediated_transmembrane_transport	22.95	0.0051959046975878	ENSG00000101187;ENSG00000093000	SLCO4A1;NUP50
Canonical_pathway:biocarta_vdr_pathway	217.04	0.00558571108456218	ENSG00000186350	RXRA
GO_mf:go_glucose_binding	217.04	0.00558571108456218	ENSG00000169764	UGP2
Canonical_pathway:biocarta_carm1_pathway	198.23	0.0060499327039506	ENSG00000186350	RXRA
GO_cc:go_transcription_factor_tftc_complex	198.23	0.0060499327039506	ENSG00000135801	TAF5L
GO_cc:go_staga_complex	198.23	0.0060499327039506	ENSG00000135801	TAF5L
GO_bp:go_midgut_development	184.68	0.0065139616803267	ENSG00000186350	RXRA
Canonical_pathway:biocarta_rarrxr_pathway	170.89	0.00697779808346566	ENSG00000186350	RXRA
GO_bp:go_striated_muscle_cell_proliferation	170.89	0.00697779808346566	ENSG00000186350	RXRA
GO_bp:go_thyroid_hormone_metabolic_process	159.55	0.00744144198359076	ENSG00000101187	SLCO4A1
GO_mf:go_modified_amino_acid_transmembrane_transporter_activity	159.55	0.00744144198359076	ENSG00000101187	SLCO4A1
GO_cc:go_transcription_factor_complex	18.7	0.00766268305212078	ENSG00000135801;ENSG00000186350	TAF5L;RXRA
GO_mf:go_transcription_coactivator_activity	18.7	0.00766268305212078	ENSG00000135801;ENSG00000186350	TAF5L;RXRA
GO_mf:go_vitamin_d_receptor_binding	149.37	0.00790489345031542	ENSG00000186350	RXRA
GO_bp:go_peptidyl_lysine_modification	18.01	0.00822992604610362	ENSG00000135801;ENSG00000093000	TAF5L;NUP50
Canonical_pathway:reactome_glucuronidation	140.74	0.00836815255370305	ENSG00000169764	UGP2
GO_bp:go_retinoic_acid_receptor_signaling_pathway	140.74	0.00836815255370305	ENSG00000186350	RXRA
GO_bp:go_ventricular_cardiac_muscle_cell_differentiation	132.53	0.00883121936355791	ENSG00000186350	RXRA
GO_bp:go_muscle_cell_proliferation	132.53	0.00883121936355791	ENSG00000186350	RXRA
GO_bp:go_response_to_vitamin_a	132.53	0.00883121936355791	ENSG00000186350	RXRA
GO_bp:go_nucleotide_sugar_biosynthetic_process	132.53	0.00883121936355791	ENSG00000169764	UGP2
GO_bp:go_positive_regulation_of_translational_initiation	126.04	0.009294093949898	ENSG00000186350	RXRA
GO_mf:go_sodium_independent_organic_anion_transmembrane_transporter_activity	126.04	0.009294093949898	ENSG00000101187	SLCO4A1
GO_bp:go_sodium_independent_organic_anion_transport	114.11	0.0102192667305896	ENSG00000101187	SLCO4A1
GO_bp:go_axon_regeneration	114.11	0.0102192667305896	ENSG00000186350	RXRA
Canonical_pathway:reactome_circadian_repression_of_expression_by_rev_erba	108.95	0.0106815650646328	ENSG00000186350	RXRA
GO_mf:go_active_transmembrane_transporter_activity	15.45	0.0109807927695052	ENSG00000135776;ENSG00000101187	ABCB10;SLCO4A1
Canonical_pathway:reactome_rora_activates_circadian_expression	104.09	0.0111436714541954	ENSG00000186350	RXRA
Canonical_pathway:reactome_yap1_and_wwtr1_taz_stimulated_gene_expression	104.09	0.0111436714541954	ENSG00000186350	RXRA
GO_bp:go_glucan_biosynthetic_process	99.78	0.011605585969067	ENSG00000169764	UGP2
Canonical_pathway:kegg_galactose_metabolism	95.81	0.0120673086787837	ENSG00000169764	UGP2
Canonical_pathway:pid_rxr_vdr_pathway	95.81	0.0120673086787837	ENSG00000186350	RXRA
GO_bp:go_modified_amino_acid_transport	95.81	0.0120673086787837	ENSG00000101187	SLCO4A1
GO_bp:go_heart_growth	95.81	0.0120673086787837	ENSG00000186350	RXRA
Canonical_pathway:reactome_nep_ns2_interacts_with_the_cellular_export_machinery	92.16	0.0125288396532106	ENSG00000093000	NUP50
Canonical_pathway:reactome_transport_of_ribonucleoproteins_into_the_host_nucleus	92.16	0.0125288396532106	ENSG00000093000	NUP50
Canonical_pathway:reactome_regulation_of_glucokinase_by_glucokinase_regulatory_protein	92.16	0.0125288396532106	ENSG00000093000	NUP50
GO_bp:go_golgi_to_vacuole_transport	92.16	0.0125288396532106	ENSG00000143952	VPS54
