id	or	p	ens.ids	gene.names
GO_bp:go_cell_activation	33.5	0.000458202233666804	ENSG00000106003;ENSG00000146535;ENSG00000198286	LFNG;GNA12;CARD11
GO_bp:go_t_cell_differentiation	78.98	0.000594832156885366	ENSG00000106003;ENSG00000198286	LFNG;CARD11
GO_bp:go_lymphocyte_differentiation	45.99	0.00170277430397279	ENSG00000106003;ENSG00000198286	LFNG;CARD11
GO_bp:go_leukocyte_cell_cell_adhesion	37.72	0.00250141858298137	ENSG00000106003;ENSG00000198286	LFNG;CARD11
GO_cc:go_membrane_protein_complex	18.16	0.00253260476849852	ENSG00000136295;ENSG00000146535;ENSG00000198286	TTYH3;GNA12;CARD11
GO_bp:go_leukocyte_differentiation	32.71	0.00329012951349737	ENSG00000106003;ENSG00000198286	LFNG;CARD11
Canonical_pathway:biocarta_akap13_pathway	342.03	0.00372699326464954	ENSG00000146535	GNA12
GO_bp:go_gdp_metabolic_process	342.03	0.00372699326464954	ENSG00000198286	CARD11
GO_bp:go_positive_regulation_of_interleukin_2_biosynthetic_process	342.03	0.00372699326464954	ENSG00000198286	CARD11
GO_bp:go_mature_b_cell_differentiation_involved_in_immune_response	316.88	0.00403705281351874	ENSG00000106003	LFNG
Canonical_pathway:pid_s1p_s1p4_pathway	292.59	0.00434703194416508	ENSG00000146535	GNA12
GO_bp:go_lymphocyte_activation	27.85	0.00448430449391966	ENSG00000106003;ENSG00000198286	LFNG;CARD11
Canonical_pathway:reactome_pre_notch_processing_in_golgi	255.02	0.00496674901853567	ENSG00000106003	LFNG
GO_mf:go_intracellular_calcium_activated_chloride_channel_activity	255.02	0.00496674901853567	ENSG00000136295	TTYH3
GO_bp:go_mature_b_cell_differentiation	238.55	0.00527648699550098	ENSG00000106003	LFNG
GO_mf:go_dopamine_receptor_binding	238.55	0.00527648699550098	ENSG00000146535	GNA12
GO_bp:go_regulation_of_interleukin_2_biosynthetic_process	223.31	0.00558614462126106	ENSG00000198286	CARD11
GO_bp:go_thymic_t_cell_selection	211.01	0.00589572191243082	ENSG00000198286	CARD11
GO_cc:go_t_cell_receptor_complex	211.01	0.00589572191243082	ENSG00000198286	CARD11
GO_bp:go_gmp_metabolic_process	202.28	0.00620521888562242	ENSG00000198286	CARD11
GO_mf:go_g_protein_beta_gamma_subunit_complex_binding	202.28	0.00620521888562242	ENSG00000146535	GNA12
GO_bp:go_leukocyte_activation	23	0.006447876122303	ENSG00000106003;ENSG00000198286	LFNG;CARD11
Canonical_pathway:pid_s1p_meta_pathway	191.49	0.00651463555779919	ENSG00000146535	GNA12
GO_bp:go_regulation_of_b_cell_differentiation	182.18	0.00682397194521223	ENSG00000198286	CARD11
Canonical_pathway:pid_s1p_s1p2_pathway	165.58	0.0074424039332236	ENSG00000146535	GNA12
GO_mf:go_nucleotide_kinase_activity	165.58	0.0074424039332236	ENSG00000198286	CARD11
GO_bp:go_single_organism_cell_adhesion	20.87	0.0077522846945955	ENSG00000106003;ENSG00000198286	LFNG;CARD11
GO_bp:go_negative_regulation_of_embryonic_development	153.39	0.00806051498281035	ENSG00000106003	LFNG
GO_bp:go_female_meiotic_division	153.39	0.00806051498281035	ENSG00000106003	LFNG
GO_bp:go_regulation_of_fibroblast_migration	141.35	0.00867830522743551	ENSG00000146535	GNA12
GO_bp:go_negative_regulation_of_notch_signaling_pathway	141.35	0.00867830522743551	ENSG00000106003	LFNG
Canonical_pathway:pid_s1p_s1p3_pathway	137.07	0.00898708008962723	ENSG00000146535	GNA12
GO_cc:go_plasma_membrane_protein_complex	18.7	0.00953011249753214	ENSG00000146535;ENSG00000198286	GNA12;CARD11
Canonical_pathway:biocarta_myosin_pathway	127.7	0.00960438937651609	ENSG00000146535	GNA12
GO_bp:go_positive_regulation_of_interleukin_2_production	127.7	0.00960438937651609	ENSG00000198286	CARD11
GO_cc:go_heterotrimeric_g_protein_complex	127.7	0.00960438937651609	ENSG00000146535	GNA12
Canonical_pathway:reactome_downstream_tcr_signaling	123.6	0.00991292383472941	ENSG00000198286	CARD11
Canonical_pathway:reactome_thrombin_signalling_through_proteinase_activated_receptors_pars	123.6	0.00991292383472941	ENSG00000146535	GNA12
GO_cc:go_immunological_synapse	119.76	0.0102213781915594	ENSG00000198286	CARD11
GO_bp:go_positive_regulation_of_notch_signaling_pathway	116.15	0.0105297524635795	ENSG00000106003	LFNG
GO_bp:go_b_cell_activation_involved_in_immune_response	112.75	0.0108380466673622	ENSG00000106003	LFNG
GO_bp:go_t_cell_selection	109.42	0.011146260820006	ENSG00000198286	CARD11
GO_bp:go_embryo_development_ending_in_birth_or_egg_hatching	17.12	0.0112388020615779	ENSG00000106003;ENSG00000146535	LFNG;GNA12
Canonical_pathway:biocarta_par1_pathway	106.39	0.0114543949375487	ENSG00000146535	GNA12
GO_bp:go_positive_regulation_of_b_cell_proliferation	106.39	0.0114543949375487	ENSG00000198286	CARD11
GO_mf:go_phosphotransferase_activity_phosphate_group_as_acceptor	100.82	0.0120704231348143	ENSG00000198286	CARD11
GO_bp:go_immune_system_development	16.2	0.0124494593827868	ENSG00000106003;ENSG00000198286	LFNG;CARD11
Canonical_pathway:reactome_pre_notch_expression_and_processing	93.62	0.0129938655850753	ENSG00000106003	LFNG
GO_bp:go_cell_cell_adhesion	15.67	0.0132453801101113	ENSG00000106003;ENSG00000198286	LFNG;CARD11
Canonical_pathway:pid_thrombin_par1_pathway	91.34	0.0133015198427513	ENSG00000146535	GNA12
GO_mf:go_ion_gated_channel_activity	91.34	0.0133015198427513	ENSG00000136295	TTYH3
GO_bp:go_guanosine_containing_compound_metabolic_process	89.19	0.0136090941819217	ENSG00000198286	CARD11
GO_bp:go_thymocyte_aggregation	87.15	0.0139165886193076	ENSG00000198286	CARD11
Canonical_pathway:kegg_notch_signaling_pathway	83.35	0.0145313378547174	ENSG00000106003	LFNG
GO_mf:go_nucleobase_containing_compound_kinase_activity	83.35	0.0145313378547174	ENSG00000198286	CARD11
Canonical_pathway:pid_ajdiss_2pathway	81.77	0.0148385926859939	ENSG00000146535	GNA12
GO_bp:go_regulation_of_interleukin_2_production	81.77	0.0148385926859939	ENSG00000198286	CARD11
GO_cc:go_chloride_channel_complex	81.77	0.0148385926859939	ENSG00000136295	TTYH3
