id	or	p	ens.ids	gene.names
GO_bp:go_cellular_component_assembly_involved_in_morphogenesis	47	0.000109418692902135	ENSG00000107954;ENSG00000028839;ENSG00000135541	NEURL1;TBPL1;AHI1
GO_bp:go_anatomical_structure_formation_involved_in_morphogenesis	19.4	0.000347411137798025	ENSG00000107954;ENSG00000107957;ENSG00000028839;ENSG00000135541	NEURL1;SH3PXD2A;TBPL1;AHI1
GO_bp:go_organelle_assembly	23.09	0.000834223309412363	ENSG00000107954;ENSG00000028839;ENSG00000135541	NEURL1;TBPL1;AHI1
GO_bp:go_nucleobase_containing_small_molecule_metabolic_process	21.47	0.00102463131838252	ENSG00000076685;ENSG00000235376;ENSG00000028839	NT5C2;RPEL1;TBPL1
GO_bp:go_spermatid_differentiation	52.29	0.00111892452419175	ENSG00000107954;ENSG00000028839	NEURL1;TBPL1
GO_bp:go_cilium_organization	34.37	0.00251850651922922	ENSG00000107954;ENSG00000135541	NEURL1;AHI1
GO_bp:go_germ_cell_development	31.46	0.00298799451008516	ENSG00000107954;ENSG00000028839	NEURL1;TBPL1
GO_bp:go_cilium_morphogenesis	30.99	0.00307482391777305	ENSG00000107954;ENSG00000135541	NEURL1;AHI1
GO_bp:go_positive_regulation_of_cell_differentiation	13.69	0.00354934938407733	ENSG00000107954;ENSG00000118513;ENSG00000135541	NEURL1;MYB;AHI1
Canonical_pathway:reactome_abacavir_transport_and_metabolism	301.88	0.00414024522711987	ENSG00000076685	NT5C2
Canonical_pathway:reactome_purine_catabolism	301.88	0.00414024522711987	ENSG00000076685	NT5C2
GO_bp:go_positive_regulation_of_epidermal_growth_factor_activated_receptor_activity	301.88	0.00414024522711987	ENSG00000107954	NEURL1
GO_bp:go_nephric_duct_morphogenesis	301.88	0.00414024522711987	ENSG00000135541	AHI1
GO_bp:go_organophosphate_metabolic_process	12.77	0.0042884611066817	ENSG00000076685;ENSG00000235376;ENSG00000028839	NT5C2;RPEL1;TBPL1
GO_bp:go_cellular_process_involved_in_reproduction_in_multicellular_organism	25.9	0.00434511945314918	ENSG00000107954;ENSG00000028839	NEURL1;TBPL1
GO_bp:go_positive_regulation_of_synapse_maturation	271.43	0.00455344361090371	ENSG00000107954	NEURL1
GO_bp:go_cellular_component_morphogenesis	12.37	0.00467648431180932	ENSG00000107954;ENSG00000028839;ENSG00000135541	NEURL1;TBPL1;AHI1
GO_bp:go_cell_projection_assembly	24.37	0.00487479230888355	ENSG00000107954;ENSG00000135541	NEURL1;AHI1
GO_bp:go_deoxyribonucleotide_biosynthetic_process	248.68	0.00496649197453902	ENSG00000028839	TBPL1
GO_cc:go_tctn_b9d_complex	248.68	0.00496649197453902	ENSG00000135541	AHI1
GO_bp:go_pentose_phosphate_shunt	227.27	0.00537939036469715	ENSG00000235376	RPEL1
GO_bp:go_nephric_duct_development	227.27	0.00537939036469715	ENSG00000135541	AHI1
GO_bp:go_left_right_axis_specification	227.27	0.00537939036469715	ENSG00000135541	AHI1
GO_bp:go_acrosome_assembly	227.27	0.00537939036469715	ENSG00000028839	TBPL1
GO_bp:go_pentose_metabolic_process	227.27	0.00537939036469715	ENSG00000235376	RPEL1
GO_bp:go_imp_metabolic_process	208.99	0.00579213882817153	ENSG00000076685	NT5C2
GO_bp:go_regulation_of_synapse_maturation	208.99	0.00579213882817153	ENSG00000107954	NEURL1
GO_bp:go_otic_vesicle_development	194.06	0.00620473741134331	ENSG00000135541	AHI1
GO_cc:go_apical_dendrite	194.06	0.00620473741134331	ENSG00000107954	NEURL1
GO_mf:go_nucleotidase_activity	194.06	0.00620473741134331	ENSG00000076685	NT5C2
