id	or	p	ens.ids	gene.names
GO_mf:go_oxidoreductase_activity_acting_on_the_ch_oh_group_of_donors_nad_or_nadp_as_acceptor	49.74	0.00117109470084744	ENSG00000108602;ENSG00000106348	ALDH3A1;IMPDH1
GO_bp:go_retina_development_in_camera_type_eye	43.39	0.00152539286730986	ENSG00000113520;ENSG00000106348	IL4;IMPDH1
GO_mf:go_oxidoreductase_activity_acting_on_ch_oh_group_of_donors	41.69	0.001645385297783	ENSG00000108602;ENSG00000106348	ALDH3A1;IMPDH1
GO_bp:go_response_to_nutrient	29.13	0.00328525637883918	ENSG00000108602;ENSG00000113520	ALDH3A1;IL4
Canonical_pathway:biocarta_il5_pathway	263.72	0.00465668963671817	ENSG00000113520	IL4
GO_bp:go_regulation_of_chronic_inflammatory_response	263.72	0.00465668963671817	ENSG00000113520	IL4
Canonical_pathway:biocarta_il4_pathway	238.75	0.00512129675213036	ENSG00000113520	IL4
Canonical_pathway:reactome_purine_ribonucleoside_monophosphate_biosynthesis	238.75	0.00512129675213036	ENSG00000106348	IMPDH1
GO_bp:go_cd4_positive_or_cd8_positive_alpha_beta_t_cell_lineage_commitment	238.75	0.00512129675213036	ENSG00000113520	IL4
Canonical_pathway:biocarta_asbcell_pathway	217.04	0.00558571108456218	ENSG00000113520	IL4
GO_bp:go_negative_regulation_of_acute_inflammatory_response	217.04	0.00558571108456218	ENSG00000113520	IL4
GO_bp:go_negative_regulation_of_nitric_oxide_metabolic_process	217.04	0.00558571108456218	ENSG00000113520	IL4
GO_bp:go_negative_regulation_of_cd4_positive_alpha_beta_t_cell_differentiation	217.04	0.00558571108456218	ENSG00000113520	IL4
GO_bp:go_microglial_cell_activation	217.04	0.00558571108456218	ENSG00000113520	IL4
GO_bp:go_regulation_of_chemokine_biosynthetic_process	217.04	0.00558571108456218	ENSG00000113520	IL4
GO_bp:go_dicarboxylic_acid_biosynthetic_process	198.23	0.0060499327039506	ENSG00000135423	GLS2
GO_bp:go_positive_regulation_of_interleukin_13_production	198.23	0.0060499327039506	ENSG00000113520	IL4
GO_bp:go_regulation_of_mhc_class_ii_biosynthetic_process	198.23	0.0060499327039506	ENSG00000113520	IL4
GO_bp:go_positive_regulation_of_mast_cell_activation_involved_in_immune_response	184.68	0.0065139616803267	ENSG00000113520	IL4
GO_bp:go_regulation_of_proton_transport	184.68	0.0065139616803267	ENSG00000113520	IL4
GO_bp:go_response_to_mercury_ion	184.68	0.0065139616803267	ENSG00000113520	IL4
GO_bp:go_response_to_organic_cyclic_compound	10.2	0.00696601303819966	ENSG00000108602;ENSG00000113520;ENSG00000170915	ALDH3A1;IL4;PAQR8
Canonical_pathway:biocarta_stem_pathway	170.89	0.00697779808346566	ENSG00000113520	IL4
Canonical_pathway:reactome_glutamate_neurotransmitter_release_cycle	170.89	0.00697779808346566	ENSG00000135423	GLS2
GO_bp:go_regulation_of_mononuclear_cell_migration	170.89	0.00697779808346566	ENSG00000113520	IL4
GO_bp:go_guanosine_containing_compound_biosynthetic_process	170.89	0.00697779808346566	ENSG00000106348	IMPDH1
GO_bp:go_t_cell_lineage_commitment	170.89	0.00697779808346566	ENSG00000113520	IL4
GO_bp:go_negative_regulation_of_alpha_beta_t_cell_differentiation	170.89	0.00697779808346566	ENSG00000113520	IL4
GO_bp:go_negative_regulation_of_cd4_positive_alpha_beta_t_cell_activation	170.89	0.00697779808346566	ENSG00000113520	IL4
Canonical_pathway:biocarta_gata3_pathway	159.55	0.00744144198359076	ENSG00000113520	IL4
Canonical_pathway:reactome_amino_acid_synthesis_and_interconversion_transamination	159.55	0.00744144198359076	ENSG00000135423	GLS2
GO_bp:go_positive_regulation_of_tyrosine_phosphorylation_of_stat5_protein	159.55	0.00744144198359076	ENSG00000113520	IL4
GO_bp:go_negative_regulation_of_reactive_oxygen_species_biosynthetic_process	159.55	0.00744144198359076	ENSG00000113520	IL4
GO_mf:go_alcohol_dehydrogenase_nadp_activity	159.55	0.00744144198359076	ENSG00000108602	ALDH3A1
Canonical_pathway:biocarta_41bb_pathway	149.37	0.00790489345031542	ENSG00000113520	IL4
GO_bp:go_cytokine_metabolic_process	149.37	0.00790489345031542	ENSG00000113520	IL4
GO_bp:go_positive_regulation_of_mast_cell_activation	149.37	0.00790489345031542	ENSG00000113520	IL4
GO_bp:go_cytokine_production_involved_in_immune_response	149.37	0.00790489345031542	ENSG00000113520	IL4
Canonical_pathway:kegg_phenylalanine_metabolism	140.74	0.00836815255370305	ENSG00000108602	ALDH3A1
GO_bp:go_regulation_of_interleukin_13_production	140.74	0.00836815255370305	ENSG00000113520	IL4
GO_bp:go_positive_regulation_of_dna_recombination	140.74	0.00836815255370305	ENSG00000113520	IL4
GO_bp:go_negative_regulation_of_cell_killing	140.74	0.00836815255370305	ENSG00000113520	IL4
Canonical_pathway:biocarta_tob1_pathway	132.53	0.00883121936355791	ENSG00000113520	IL4
Canonical_pathway:biocarta_th1th2_pathway	132.53	0.00883121936355791	ENSG00000113520	IL4
GO_bp:go_positive_regulation_of_leukocyte_degranulation	132.53	0.00883121936355791	ENSG00000113520	IL4
GO_bp:go_t_helper_1_type_immune_response	132.53	0.00883121936355791	ENSG00000113520	IL4
GO_bp:go_innate_immune_response_in_mucosa	132.53	0.00883121936355791	ENSG00000113520	IL4
GO_bp:go_regulation_of_myoblast_fusion	132.53	0.00883121936355791	ENSG00000113520	IL4
GO_bp:go_positive_regulation_of_myeloid_leukocyte_mediated_immunity	132.53	0.00883121936355791	ENSG00000113520	IL4
GO_mf:go_aldehyde_dehydrogenase_nad_activity	132.53	0.00883121936355791	ENSG00000108602	ALDH3A1
GO_bp:go_glutamine_family_amino_acid_biosynthetic_process	126.04	0.009294093949898	ENSG00000135423	GLS2
GO_bp:go_response_to_protozoan	126.04	0.009294093949898	ENSG00000113520	IL4
GO_bp:go_regulation_of_tyrosine_phosphorylation_of_stat5_protein	126.04	0.009294093949898	ENSG00000113520	IL4
GO_bp:go_gmp_metabolic_process	126.04	0.009294093949898	ENSG00000106348	IMPDH1
GO_bp:go_myeloid_dendritic_cell_differentiation	126.04	0.009294093949898	ENSG00000113520	IL4
GO_bp:go_eye_development	16.87	0.00930888913103577	ENSG00000113520;ENSG00000106348	IL4;IMPDH1
Canonical_pathway:biocarta_cytokine_pathway	119.77	0.00975677638224981	ENSG00000113520	IL4
Canonical_pathway:pid_ecadherin_keratinocyte_pathway	119.77	0.00975677638224981	ENSG00000198561	CTNND1
GO_bp:go_positive_t_cell_selection	119.77	0.00975677638224981	ENSG00000113520	IL4
Canonical_pathway:biocarta_dc_pathway	114.11	0.0102192667305896	ENSG00000113520	IL4
GO_bp:go_lymphocyte_activation	15.91	0.0103900613181054	ENSG00000113520;ENSG00000106348	IL4;IMPDH1
Canonical_pathway:kegg_nitrogen_metabolism	108.95	0.0106815650646328	ENSG00000135423	GLS2
Canonical_pathway:kegg_proximal_tubule_bicarbonate_reclamation	108.95	0.0106815650646328	ENSG00000135423	GLS2
GO_bp:go_glutamine_metabolic_process	108.95	0.0106815650646328	ENSG00000135423	GLS2
GO_bp:go_negative_regulation_of_alpha_beta_t_cell_activation	108.95	0.0106815650646328	ENSG00000113520	IL4
GO_bp:go_glutamine_family_amino_acid_catabolic_process	104.09	0.0111436714541954	ENSG00000135423	GLS2
GO_bp:go_regulation_of_isotype_switching	104.09	0.0111436714541954	ENSG00000113520	IL4
GO_bp:go_negative_regulation_of_osteoclast_differentiation	104.09	0.0111436714541954	ENSG00000113520	IL4
GO_bp:go_regulation_of_syncytium_formation_by_plasma_membrane_fusion	99.78	0.011605585969067	ENSG00000113520	IL4
GO_mf:go_aldo_keto_reductase_nadp_activity	99.78	0.011605585969067	ENSG00000108602	ALDH3A1
Canonical_pathway:st_interleukin_4_pathway	95.81	0.0120673086787837	ENSG00000113520	IL4
GO_bp:go_regulation_of_macrophage_activation	95.81	0.0120673086787837	ENSG00000113520	IL4
GO_bp:go_regulation_of_t_helper_cell_differentiation	95.81	0.0120673086787837	ENSG00000113520	IL4
GO_bp:go_positive_regulation_of_b_cell_mediated_immunity	95.81	0.0120673086787837	ENSG00000113520	IL4
GO_bp:go_myeloid_dendritic_cell_activation	95.81	0.0120673086787837	ENSG00000113520	IL4
GO_bp:go_positive_regulation_of_intracellular_transport	14.6	0.0122065551656676	ENSG00000135423;ENSG00000113520	GLS2;IL4
Canonical_pathway:biocarta_nkt_pathway	92.16	0.0125288396532106	ENSG00000113520	IL4
Canonical_pathway:reactome_adherens_junctions_interactions	92.16	0.0125288396532106	ENSG00000198561	CTNND1
GO_bp:go_positive_regulation_of_activated_t_cell_proliferation	92.16	0.0125288396532106	ENSG00000113520	IL4
GO_bp:go_t_cell_mediated_immunity	92.16	0.0125288396532106	ENSG00000113520	IL4
GO_bp:go_negative_regulation_of_endothelial_cell_apoptotic_process	92.16	0.0125288396532106	ENSG00000113520	IL4
Canonical_pathway:kegg_asthma	89.02	0.0129901789619578	ENSG00000113520	IL4
GO_bp:go_glutamate_secretion	89.02	0.0129901789619578	ENSG00000135423	GLS2
GO_bp:go_glutamate_metabolic_process	89.02	0.0129901789619578	ENSG00000135423	GLS2
GO_bp:go_organ_or_tissue_specific_immune_response	89.02	0.0129901789619578	ENSG00000113520	IL4
