id	or	p	ens.ids	gene.names
GO_mf:go_triglyceride_lipase_activity	584.38	6.77853672734134e-08	ENSG00000203837;ENSG00000175535;ENSG00000187021	PNLIPRP3;PNLIP;PNLIPRP1
GO_mf:go_lipase_activity	85.45	1.68887645421576e-05	ENSG00000203837;ENSG00000175535;ENSG00000187021	PNLIPRP3;PNLIP;PNLIPRP1
GO_mf:go_carboxylic_ester_hydrolase_activity	74.64	2.49513888281947e-05	ENSG00000203837;ENSG00000175535;ENSG00000187021	PNLIPRP3;PNLIP;PNLIPRP1
Canonical_pathway:kegg_glycerolipid_metabolism	118.86	0.000215834000568743	ENSG00000175535;ENSG00000187021	PNLIP;PNLIPRP1
GO_mf:go_hydrolase_activity_acting_on_ester_bonds	12.86	0.00373212014405811	ENSG00000203837;ENSG00000175535;ENSG00000187021	PNLIPRP3;PNLIP;PNLIPRP1
GO_bp:go_positive_regulation_of_triglyceride_lipase_activity	263.72	0.00465668963671817	ENSG00000175535	PNLIP
GO_bp:go_positive_regulation_of_neuron_migration	238.75	0.00512129675213036	ENSG00000187164	SHTN1
GO_bp:go_lipid_catabolic_process	22.45	0.00540948570118793	ENSG00000203837;ENSG00000175535	PNLIPRP3;PNLIP
GO_bp:go_generation_of_precursor_metabolites_and_energy	18.9	0.0075112347353191	ENSG00000188316;ENSG00000113555	ENO4;PCDH12
GO_bp:go_single_organism_catabolic_process	9.72	0.00790423543604587	ENSG00000203837;ENSG00000175535;ENSG00000188316	PNLIPRP3;PNLIP;ENO4
GO_cc:go_axonal_growth_cone	126.04	0.009294093949898	ENSG00000187164	SHTN1
GO_bp:go_lipid_digestion	119.77	0.00975677638224981	ENSG00000175535	PNLIP
GO_bp:go_regulation_of_establishment_or_maintenance_of_cell_polarity	114.11	0.0102192667305896	ENSG00000187164	SHTN1
GO_bp:go_calcium_dependent_cell_cell_adhesion_via_plasma_membrane_cell_adhesion_molecules	95.81	0.0120673086787837	ENSG00000113555	PCDH12
GO_bp:go_intestinal_absorption	95.81	0.0120673086787837	ENSG00000175535	PNLIP
Canonical_pathway:reactome_recycling_pathway_of_l1	92.16	0.0125288396532106	ENSG00000187164	SHTN1
GO_bp:go_substrate_dependent_cell_migration	92.16	0.0125288396532106	ENSG00000187164	SHTN1
GO_bp:go_regulation_of_neuron_migration	89.02	0.0129901789619578	ENSG00000187164	SHTN1
GO_bp:go_lipid_metabolic_process	7.99	0.0131483893014637	ENSG00000203837;ENSG00000175535;ENSG00000187021	PNLIPRP3;PNLIP;PNLIPRP1
GO_bp:go_neuron_recognition	74.85	0.0152940029571439	ENSG00000113555	PCDH12
GO_mf:go_kinesin_binding	74.85	0.0152940029571439	ENSG00000187164	SHTN1
Canonical_pathway:reactome_metabolism_of_steroid_hormones_and_vitamins_a_and_d	72.67	0.0157541937336637	ENSG00000175535	PNLIP
GO_bp:go_positive_regulation_of_axon_extension	68.43	0.0166740018203466	ENSG00000187164	SHTN1
GO_bp:go_atp_generation_from_adp	64.83	0.0175930457485158	ENSG00000188316	ENO4
GO_bp:go_endoplasmic_reticulum_organization	64.83	0.0175930457485158	ENSG00000187164	SHTN1
Canonical_pathway:reactome_lipid_digestion_mobilization_and_transport	55.81	0.0203455981356885	ENSG00000175535	PNLIP
GO_bp:go_labyrinthine_layer_development	55.81	0.0203455981356885	ENSG00000113555	PCDH12
GO_bp:go_adp_metabolic_process	53.34	0.0212615909818115	ENSG00000188316	ENO4
GO_bp:go_actin_filament_bundle_organization	50.99	0.0221768224437461	ENSG00000187164	SHTN1
GO_bp:go_sterol_transport	48.92	0.0230912930752685	ENSG00000175535	PNLIP
GO_bp:go_rho_protein_signal_transduction	48.92	0.0230912930752685	ENSG00000187164	SHTN1
GO_mf:go_hydro_lyase_activity	48.92	0.0230912930752685	ENSG00000188316	ENO4
GO_bp:go_glucan_metabolic_process	42.88	0.0262859567339857	ENSG00000113555	PCDH12
GO_bp:go_nucleotide_phosphorylation	41.37	0.0271970104730518	ENSG00000188316	ENO4
GO_bp:go_digestive_system_process	40.66	0.0276522531366168	ENSG00000175535	PNLIP
GO_bp:go_ribonucleoside_diphosphate_metabolic_process	39.32	0.0285621703966298	ENSG00000188316	ENO4
GO_bp:go_positive_regulation_of_lipase_activity	38.68	0.0290168451309162	ENSG00000175535	PNLIP
GO_bp:go_pyruvate_metabolic_process	38.06	0.0294713306933219	ENSG00000188316	ENO4
GO_bp:go_positive_regulation_of_axonogenesis	35.72	0.0312873826007763	ENSG00000187164	SHTN1
GO_bp:go_energy_reserve_metabolic_process	34.28	0.03264743859867	ENSG00000113555	PCDH12
GO_mf:go_carbon_oxygen_lyase_activity	34.28	0.03264743859867	ENSG00000188316	ENO4
GO_bp:go_actin_mediated_cell_contraction	33.3	0.0335531993749157	ENSG00000187164	SHTN1
GO_bp:go_carbohydrate_metabolic_process	8.2	0.0349735165686076	ENSG00000188316;ENSG00000113555	ENO4;PCDH12
GO_bp:go_polysaccharide_metabolic_process	30.74	0.036265960279576	ENSG00000113555	PCDH12
GO_bp:go_regulation_of_lipase_activity	30.74	0.036265960279576	ENSG00000175535	PNLIP
GO_bp:go_nucleoside_diphosphate_metabolic_process	29.97	0.0371687086026745	ENSG00000188316	ENO4
GO_bp:go_neuron_development	7.83	0.0379955963529365	ENSG00000187164;ENSG00000113555	SHTN1;PCDH12
Canonical_pathway:reactome_l1cam_interactions	29.24	0.0380707051835765	ENSG00000187164	SHTN1
GO_bp:go_embryonic_placenta_development	29.24	0.0380707051835765	ENSG00000113555	PCDH12
GO_mf:go_calcium_ion_binding	7.82	0.0380980833145142	ENSG00000187021;ENSG00000113555	PNLIPRP1;PCDH12
GO_bp:go_catabolic_process	5.03	0.0410918555318099	ENSG00000203837;ENSG00000175535;ENSG00000188316	PNLIPRP3;PNLIP;ENO4
GO_bp:go_actin_filament_based_movement	26.35	0.0421204016692743	ENSG00000187164	SHTN1
GO_cc:go_filopodium	26.35	0.0421204016692743	ENSG00000187164	SHTN1
GO_bp:go_regulation_of_extent_of_cell_growth	23.97	0.0461549362925288	ENSG00000187164	SHTN1
GO_bp:go_terpenoid_metabolic_process	23.24	0.0474964204570334	ENSG00000175535	PNLIP
GO_bp:go_oxidoreduction_coenzyme_metabolic_process	22.8	0.0483898112912615	ENSG00000188316	ENO4
GO_cc:go_perikaryon	22.37	0.0492824572064937	ENSG00000187164	SHTN1
GO_bp:go_carbohydrate_catabolic_process	21.57	0.0510655164532249	ENSG00000188316	ENO4
GO_mf:go_actin_filament_binding	20.83	0.0528456025416822	ENSG00000187164	SHTN1
GO_bp:go_isoprenoid_metabolic_process	19.45	0.0563968725931998	ENSG00000175535	PNLIP
GO_bp:go_cell_recognition	18.99	0.0577255443398256	ENSG00000113555	PCDH12
GO_bp:go_neuron_differentiation	6.08	0.0588793076696763	ENSG00000187164;ENSG00000113555	SHTN1;PCDH12
GO_bp:go_digestion	18.41	0.059494519682498	ENSG00000175535	PNLIP
GO_bp:go_placenta_development	17.45	0.0625831244393148	ENSG00000113555	PCDH12
GO_bp:go_establishment_or_maintenance_of_cell_polarity	17.2	0.0634639253393089	ENSG00000187164	SHTN1
GO_bp:go_ras_protein_signal_transduction	16.96	0.0643439905141139	ENSG00000187164	SHTN1
GO_bp:go_cellular_carbohydrate_metabolic_process	16.96	0.0643439905141139	ENSG00000113555	PCDH12
