id	or	p	ens.ids	gene.names
GO_mf:go_sh3_domain_binding	48.83	0.0012128970702173	ENSG00000159314;ENSG00000186868	ARHGAP27;MAPT
GO_bp:go_intracellular_signal_transduction	9.18	0.00375525699646617	ENSG00000171435;ENSG00000006062;ENSG00000225190;ENSG00000186868	KSR2;MAP3K14;PLEKHM1;MAPT
Canonical_pathway:biocarta_rna_pathway	263.72	0.00465668963671817	ENSG00000006062	MAP3K14
Canonical_pathway:biocarta_p35alzheimers_pathway	238.75	0.00512129675213036	ENSG00000186868	MAPT
Canonical_pathway:pid_p38_gamma_delta_pathway	238.75	0.00512129675213036	ENSG00000186868	MAPT
Canonical_pathway:reactome_caspase_mediated_cleavage_of_cytoskeletal_proteins	217.04	0.00558571108456218	ENSG00000186868	MAPT
GO_cc:go_platelet_alpha_granule_membrane	217.04	0.00558571108456218	ENSG00000005961	ITGA2B
Canonical_pathway:kegg_mapk_signaling_pathway	20.72	0.00630396198807755	ENSG00000006062;ENSG00000186868	MAP3K14;MAPT
Canonical_pathway:biocarta_cd40_pathway	184.68	0.0065139616803267	ENSG00000006062	MAP3K14
Canonical_pathway:biocarta_tall1_pathway	170.89	0.00697779808346566	ENSG00000006062	MAP3K14
Canonical_pathway:reactome_p130cas_linkage_to_mapk_signaling_for_integrins	170.89	0.00697779808346566	ENSG00000005961	ITGA2B
Canonical_pathway:reactome_grb2_sos_provides_linkage_to_mapk_signaling_for_intergrins_	170.89	0.00697779808346566	ENSG00000005961	ITGA2B
GO_mf:go_apolipoprotein_binding	170.89	0.00697779808346566	ENSG00000186868	MAPT
GO_bp:go_establishment_of_mitochondrion_localization	159.55	0.00744144198359076	ENSG00000186868	MAPT
Canonical_pathway:biocarta_tnfr2_pathway	149.37	0.00790489345031542	ENSG00000006062	MAP3K14
GO_bp:go_positive_regulation_of_microtubule_polymerization	149.37	0.00790489345031542	ENSG00000186868	MAPT
GO_bp:go_cell_death_in_response_to_oxidative_stress	140.74	0.00836815255370305	ENSG00000186868	MAPT
GO_bp:go_regulation_of_microtubule_based_movement	132.53	0.00883121936355791	ENSG00000186868	MAPT
Canonical_pathway:reactome_cd28_dependent_pi3k_akt_signaling	119.77	0.00975677638224981	ENSG00000006062	MAP3K14
GO_bp:go_positive_regulation_of_microtubule_polymerization_or_depolymerization	119.77	0.00975677638224981	ENSG00000186868	MAPT
Canonical_pathway:biocarta_nfkb_pathway	114.11	0.0102192667305896	ENSG00000006062	MAP3K14
GO_mf:go_map_kinase_kinase_kinase_activity	114.11	0.0102192667305896	ENSG00000006062	MAP3K14
GO_mf:go_protein_lipid_complex_binding	108.95	0.0106815650646328	ENSG00000186868	MAPT
Canonical_pathway:biocarta_nthi_pathway	104.09	0.0111436714541954	ENSG00000006062	MAP3K14
Canonical_pathway:biocarta_stress_pathway	104.09	0.0111436714541954	ENSG00000006062	MAP3K14
Canonical_pathway:pid_integrin_cs_pathway	95.81	0.0120673086787837	ENSG00000005961	ITGA2B
Canonical_pathway:reactome_integrin_alphaiib_beta3_signaling	92.16	0.0125288396532106	ENSG00000005961	ITGA2B
GO_mf:go_protein_phosphatase_2a_binding	89.02	0.0129901789619578	ENSG00000186868	MAPT
Canonical_pathway:pid_reelin_pathway	85.71	0.0134513266746102	ENSG00000186868	MAPT
Canonical_pathway:pid_ephrinb_rev_pathway	82.71	0.0139122828608524	ENSG00000005961	ITGA2B
GO_bp:go_regulation_of_microtubule_polymerization	82.71	0.0139122828608524	ENSG00000186868	MAPT
GO_cc:go_protein_complex_involved_in_cell_adhesion	82.71	0.0139122828608524	ENSG00000005961	ITGA2B
Canonical_pathway:pid_cd40_pathway	79.94	0.0143730475903435	ENSG00000006062	MAP3K14
Canonical_pathway:pid_avb3_opn_pathway	79.94	0.0143730475903435	ENSG00000006062	MAP3K14
Canonical_pathway:reactome_cd28_co_stimulation	79.94	0.0143730475903435	ENSG00000006062	MAP3K14
GO_bp:go_walking_behavior	79.94	0.0143730475903435	ENSG00000186868	MAPT
Canonical_pathway:biocarta_death_pathway	74.85	0.0152940029571439	ENSG00000006062	MAP3K14
Canonical_pathway:biocarta_il1r_pathway	74.85	0.0152940029571439	ENSG00000006062	MAP3K14
Canonical_pathway:reactome_signal_transduction_by_l1	72.67	0.0157541937336637	ENSG00000005961	ITGA2B
Canonical_pathway:reactome_platelet_aggregation_plug_formation	72.67	0.0157541937336637	ENSG00000005961	ITGA2B
Canonical_pathway:pid_arf6_pathway	70.53	0.0162141933315091	ENSG00000005961	ITGA2B
Canonical_pathway:pid_hiv_nef_pathway	70.53	0.0162141933315091	ENSG00000006062	MAP3K14
GO_bp:go_mitochondrion_localization	70.53	0.0162141933315091	ENSG00000186868	MAPT
Canonical_pathway:biocarta_toll_pathway	68.43	0.0166740018203466	ENSG00000006062	MAP3K14
GO_bp:go_axo_dendritic_transport	68.43	0.0166740018203466	ENSG00000186868	MAPT
GO_bp:go_positive_regulation_of_axon_extension	68.43	0.0166740018203466	ENSG00000186868	MAPT
GO_bp:go_axon_extension	68.43	0.0166740018203466	ENSG00000186868	MAPT
GO_mf:go_protein_serine_threonine_kinase_activity	12.29	0.016804486435666	ENSG00000171435;ENSG00000006062	KSR2;MAP3K14
Canonical_pathway:reactome_apoptotic_cleavage_of_cellular_proteins	66.67	0.0171336192694741	ENSG00000186868	MAPT
GO_bp:go_platelet_aggregation	63.13	0.0180522813267265	ENSG00000005961	ITGA2B
Canonical_pathway:biocarta_biopeptides_pathway	58.52	0.0194288433511374	ENSG00000186868	MAPT
Canonical_pathway:pid_integrin3_pathway	58.52	0.0194288433511374	ENSG00000005961	ITGA2B
Canonical_pathway:kegg_intestinal_immune_network_for_iga_production	53.34	0.0212615909818115	ENSG00000006062	MAP3K14
Canonical_pathway:biocarta_keratinocyte_pathway	53.34	0.0212615909818115	ENSG00000006062	MAP3K14
Canonical_pathway:pid_lkb1_pathway	52.1	0.0217193018512268	ENSG00000186868	MAPT
Canonical_pathway:pid_cd8_tcr_pathway	48.92	0.0230912930752685	ENSG00000006062	MAP3K14
Canonical_pathway:reactome_apoptotic_execution_phase	47.94	0.0235482432526293	ENSG00000186868	MAPT
GO_bp:go_homotypic_cell_cell_adhesion	47.94	0.0235482432526293	ENSG00000005961	ITGA2B
GO_mf:go_extracellular_matrix_binding	47.94	0.0235482432526293	ENSG00000005961	ITGA2B
Canonical_pathway:pid_ptp1b_pathway	47.01	0.0240050034299254	ENSG00000005961	ITGA2B
GO_bp:go_neuron_projection_extension	47.01	0.0240050034299254	ENSG00000186868	MAPT
GO_bp:go_activation_of_mapkk_activity	47.01	0.0240050034299254	ENSG00000006062	MAP3K14
Canonical_pathway:biocarta_hivnef_pathway	42.11	0.0267415783618129	ENSG00000006062	MAP3K14
GO_bp:go_organelle_transport_along_microtubule	41.37	0.0271970104730518	ENSG00000186868	MAPT
Canonical_pathway:reactome_costimulation_by_the_cd28_family	39.98	0.0281073064215189	ENSG00000006062	MAP3K14
Canonical_pathway:pid_tcr_pathway	38.68	0.0290168451309162	ENSG00000006062	MAP3K14
Canonical_pathway:kegg_epithelial_cell_signaling_in_helicobacter_pylori_infection	36.87	0.030379734577816	ENSG00000006062	MAP3K14
Canonical_pathway:pid_lysophospholipid_pathway	36.87	0.030379734577816	ENSG00000186868	MAPT
GO_mf:go_protein_domain_specific_binding	8.86	0.030448144716924	ENSG00000159314;ENSG00000186868	ARHGAP27;MAPT
GO_bp:go_i_kappab_kinase_nf_kappab_signaling	35.72	0.0312873826007763	ENSG00000006062	MAP3K14
GO_bp:go_positive_regulation_of_axonogenesis	35.72	0.0312873826007763	ENSG00000186868	MAPT
GO_cc:go_inclusion_body	34.73	0.0321942753125219	ENSG00000186868	MAPT
GO_bp:go_lymphocyte_costimulation	34.28	0.03264743859867	ENSG00000006062	MAP3K14
GO_mf:go_protein_kinase_activity	8.42	0.0334038989790181	ENSG00000171435;ENSG00000006062	KSR2;MAP3K14
Canonical_pathway:kegg_arrhythmogenic_right_ventricular_cardiomyopathy_arvc	32.84	0.034005797002378	ENSG00000005961	ITGA2B
GO_cc:go_platelet_alpha_granule	32.4	0.0344582062144638	ENSG00000005961	ITGA2B
GO_bp:go_developmental_cell_growth	31.97	0.0349104270795167	ENSG00000186868	MAPT
Canonical_pathway:reactome_integrin_cell_surface_interactions	31.55	0.0353624596664283	ENSG00000005961	ITGA2B
GO_cc:go_secretory_granule_membrane	31.14	0.0358143040436125	ENSG00000005961	ITGA2B
GO_bp:go_cellular_response_to_mechanical_stimulus	30.74	0.036265960279576	ENSG00000006062	MAP3K14
Canonical_pathway:reactome_response_to_elevated_platelet_cytosolic_ca2_	30.35	0.0367174284431468	ENSG00000005961	ITGA2B
GO_bp:go_adult_locomotory_behavior	30.35	0.0367174284431468	ENSG00000186868	MAPT
GO_bp:go_nik_nf_kappab_signaling	29.97	0.0371687086026745	ENSG00000006062	MAP3K14
GO_bp:go_integrin_mediated_signaling_pathway	29.6	0.0376198008266012	ENSG00000005961	ITGA2B
Canonical_pathway:kegg_ecm_receptor_interaction	29.24	0.0380707051835765	ENSG00000005961	ITGA2B
Canonical_pathway:kegg_small_cell_lung_cancer	29.24	0.0380707051835765	ENSG00000005961	ITGA2B
Canonical_pathway:kegg_hypertrophic_cardiomyopathy_hcm	29.24	0.0380707051835765	ENSG00000005961	ITGA2B
Canonical_pathway:reactome_l1cam_interactions	29.24	0.0380707051835765	ENSG00000005961	ITGA2B
GO_cc:go_ciliary_plasm	28.54	0.0389719505702456	ENSG00000186868	MAPT
Canonical_pathway:biocarta_mapk_pathway	28.21	0.0394222917367889	ENSG00000006062	MAP3K14
GO_bp:go_positive_regulation_of_protein_polymerization	28.21	0.0394222917367889	ENSG00000186868	MAPT
Canonical_pathway:kegg_apoptosis	27.88	0.0398724453099623	ENSG00000006062	MAP3K14
Canonical_pathway:kegg_hematopoietic_cell_lineage	27.88	0.0398724453099623	ENSG00000005961	ITGA2B
Canonical_pathway:kegg_dilated_cardiomyopathy	26.94	0.0412217811536634	ENSG00000005961	ITGA2B
GO_mf:go_receptor_signaling_protein_serine_threonine_kinase_activity	26.64	0.041671185037305	ENSG00000006062	MAP3K14
GO_bp:go_establishment_of_localization_by_movement_along_microtubule	25.23	0.043915397046262	ENSG00000186868	MAPT
GO_mf:go_structural_constituent_of_cytoskeleton	24.97	0.0443636784438929	ENSG00000186868	MAPT
GO_bp:go_regulation_of_extent_of_cell_growth	23.97	0.0461549362925288	ENSG00000186868	MAPT
GO_bp:go_developmental_growth_involved_in_morphogenesis	23.97	0.0461549362925288	ENSG00000186868	MAPT
GO_bp:go_regulation_of_cellular_component_movement	6.99	0.0463179824645606	ENSG00000005961;ENSG00000186868	ITGA2B;MAPT
GO_bp:go_platelet_degranulation	23.01	0.0479432090230585	ENSG00000005961	ITGA2B
GO_bp:go_positive_regulation_of_leukocyte_migration	22.8	0.0483898112912615	ENSG00000005961	ITGA2B
Canonical_pathway:kegg_t_cell_receptor_signaling_pathway	22.58	0.0488362273297782	ENSG00000006062	MAP3K14
GO_bp:go_neuron_migration	22.17	0.0497285009892728	ENSG00000186868	MAPT
GO_mf:go_cytoskeletal_protein_binding	6.58	0.0514109493824899	ENSG00000184361;ENSG00000186868	SPATA32;MAPT
GO_bp:go_cytoskeleton_dependent_intracellular_transport	20.99	0.052400859515887	ENSG00000186868	MAPT
GO_cc:go_blood_microparticle	20.99	0.052400859515887	ENSG00000005961	ITGA2B
GO_bp:go_tumor_necrosis_factor_mediated_signaling_pathway	20.64	0.0532901600163708	ENSG00000006062	MAP3K14
GO_bp:go_positive_regulation_of_immune_system_process	6.43	0.0535053048036284	ENSG00000005961;ENSG00000006062	ITGA2B;MAP3K14
GO_bp:go_cell_matrix_adhesion	20.46	0.0537345320076247	ENSG00000005961	ITGA2B
GO_cc:go_nuclear_periphery	20.29	0.0541787185830963	ENSG00000186868	MAPT
GO_mf:go_kinase_activity	6.37	0.0543284053934946	ENSG00000171435;ENSG00000006062	KSR2;MAP3K14
GO_mf:go_protein_phosphatase_binding	20.11	0.0546227198106407	ENSG00000186868	MAPT
GO_bp:go_multi_organism_reproductive_process	6.19	0.0571865820693915	ENSG00000184361;ENSG00000186868	SPATA32;MAPT
GO_bp:go_cell_growth	17.98	0.0608193133114567	ENSG00000186868	MAPT
GO_bp:go_adult_behavior	17.85	0.0612605424277511	ENSG00000186868	MAPT
GO_bp:go_platelet_activation	17.45	0.0625831244393148	ENSG00000005961	ITGA2B
Canonical_pathway:reactome_apoptosis	17.08	0.0639040498587471	ENSG00000186868	MAPT
GO_bp:go_negative_regulation_of_intracellular_transport	16.96	0.0643439905141139	ENSG00000186868	MAPT
GO_bp:go_regulation_of_leukocyte_migration	16.72	0.0652233205017402	ENSG00000005961	ITGA2B
GO_cc:go_ribonucleoprotein_granule	16.72	0.0652233205017402	ENSG00000186868	MAPT
GO_cc:go_microtubule_associated_complex	16.72	0.0652233205017402	ENSG00000186868	MAPT
GO_bp:go_positive_regulation_of_cell_growth	16.6	0.0656627099682252	ENSG00000186868	MAPT
GO_mf:go_protein_complex_binding	5.7	0.0657055043116363	ENSG00000005961;ENSG00000186868	ITGA2B;MAPT
GO_cc:go_site_of_polarized_growth	16.37	0.0665409381824924	ENSG00000186868	MAPT
GO_bp:go_intrinsic_apoptotic_signaling_pathway	16.26	0.0669797770644842	ENSG00000186868	MAPT
GO_bp:go_protein_phosphorylation	5.62	0.0673589226538538	ENSG00000171435;ENSG00000006062	KSR2;MAP3K14
GO_bp:go_positive_regulation_of_developmental_growth	15.52	0.0700465179607815	ENSG00000186868	MAPT
Canonical_pathway:kegg_alzheimers_disease	15.32	0.0709210823162143	ENSG00000186868	MAPT
GO_bp:go_cell_substrate_adhesion	15.03	0.0722315580828076	ENSG00000005961	ITGA2B
GO_mf:go_transferase_activity_transferring_phosphorus_containing_groups	5.39	0.0722765397892136	ENSG00000171435;ENSG00000006062	KSR2;MAP3K14
GO_bp:go_positive_regulation_of_cell_morphogenesis_involved_in_differentiation	14.93	0.0726680180680389	ENSG00000186868	MAPT
GO_mf:go_phosphatase_binding	14.84	0.0731042955295069	ENSG00000186868	MAPT
GO_bp:go_regulation_of_axonogenesis	14.39	0.075282947317028	ENSG00000186868	MAPT
GO_bp:go_regulation_of_protein_polymerization	14.3	0.0757181310376693	ENSG00000186868	MAPT
GO_mf:go_receptor_signaling_protein_activity	14.13	0.0765879523756241	ENSG00000006062	MAP3K14
GO_bp:go_positive_regulation_of_cytoskeleton_organization	14.05	0.0770225901261774	ENSG00000186868	MAPT
GO_bp:go_regulation_of_cell_size	14.05	0.0770225901261774	ENSG00000186868	MAPT
GO_cc:go_plasma_membrane_receptor_complex	13.71	0.0787593232261586	ENSG00000005961	ITGA2B
GO_bp:go_regulation_of_microtubule_polymerization_or_depolymerization	13.63	0.079193052358385	ENSG00000186868	MAPT
GO_bp:go_positive_regulation_of_i_kappab_kinase_nf_kappab_signaling	13.56	0.0796265999664706	ENSG00000006062	MAP3K14
GO_bp:go_locomotory_behavior	13.25	0.0813589764872138	ENSG00000186868	MAPT
GO_bp:go_cellular_response_to_oxidative_stress	13.18	0.0817916174716055	ENSG00000186868	MAPT
GO_bp:go_response_to_nutrient	12.69	0.0848150365615601	ENSG00000186868	MAPT
Canonical_pathway:reactome_platelet_activation_signaling_and_aggregation	12.42	0.0865387286018084	ENSG00000005961	ITGA2B
GO_bp:go_positive_regulation_of_protein_complex_assembly	12.42	0.0865387286018084	ENSG00000186868	MAPT
GO_cc:go_excitatory_synapse	12.36	0.0869692004545405	ENSG00000186868	MAPT
GO_mf:go_microtubule_binding	12.1	0.0886892852194882	ENSG00000186868	MAPT
Canonical_pathway:kegg_focal_adhesion	12.04	0.0891188560796685	ENSG00000005961	ITGA2B
GO_bp:go_microtubule_based_movement	11.74	0.0912640116947708	ENSG00000186868	MAPT
GO_bp:go_response_to_mechanical_stimulus	11.63	0.0921208157852517	ENSG00000006062	MAP3K14
Canonical_pathway:kegg_regulation_of_actin_cytoskeleton	11.46	0.0934046755445562	ENSG00000005961	ITGA2B
GO_cc:go_external_side_of_plasma_membrane	11.4	0.0938322700273165	ENSG00000005961	ITGA2B
GO_bp:go_receptor_mediated_endocytosis	11.35	0.0942596852346022	ENSG00000159314	ARHGAP27
GO_bp:go_multi_multicellular_organism_process	11.24	0.0951139780856363	ENSG00000186868	MAPT
GO_bp:go_response_to_tumor_necrosis_factor	10.82	0.0985239916141339	ENSG00000006062	MAP3K14
GO_bp:go_regulated_exocytosis	10.82	0.0985239916141339	ENSG00000005961	ITGA2B
GO_bp:go_regulation_of_i_kappab_kinase_nf_kappab_signaling	10.4	0.102346599180055	ENSG00000006062	MAP3K14
