id	or	p	ens.ids	gene.names
GO_cc:go_prc1_complex	380.13	0.00341685328128793	ENSG00000156374	PCGF6
GO_bp:go_divalent_inorganic_anion_homeostasis	316.88	0.00403705281351874	ENSG00000143324	XPR1
GO_bp:go_cellular_anion_homeostasis	270.51	0.00465693067374795	ENSG00000143324	XPR1
GO_bp:go_monovalent_inorganic_anion_homeostasis	211.01	0.00589572191243082	ENSG00000143324	XPR1
GO_bp:go_negative_regulation_of_tor_signaling	132.07	0.00929577480034227	ENSG00000185361	TNFAIP8L1
GO_cc:go_small_subunit_processome	119.76	0.0102213781915594	ENSG00000148843	PDCD11
GO_bp:go_anion_homeostasis	96.06	0.0126861313921683	ENSG00000143324	XPR1
GO_cc:go_nuclear_ubiquitin_ligase_complex	96.06	0.0126861313921683	ENSG00000156374	PCGF6
GO_bp:go_intermediate_filament_based_process	93.62	0.0129938655850753	ENSG00000148798	INA
GO_cc:go_pcg_protein_complex	93.62	0.0129938655850753	ENSG00000156374	PCGF6
Canonical_pathway:reactome_activation_of_chaperone_genes_by_xbp1s	87.15	0.0139165886193076	ENSG00000074842	MYDGF
GO_bp:go_substantia_nigra_development	87.15	0.0139165886193076	ENSG00000148798	INA
GO_bp:go_ire1_mediated_unfolded_protein_response	69.72	0.0172937586524086	ENSG00000074842	MYDGF
GO_cc:go_preribosome	67.28	0.0179067527846118	ENSG00000148843	PDCD11
GO_cc:go_ribonucleoprotein_complex	13.27	0.0179933818883475	ENSG00000148798;ENSG00000148843	INA;PDCD11
GO_bp:go_positive_regulation_of_phosphatidylinositol_3_kinase_signaling	63.92	0.0188256465019137	ENSG00000074842	MYDGF
GO_bp:go_neural_nucleus_development	59.01	0.0203555438529721	ENSG00000148798	INA
GO_bp:go_positive_regulation_of_endothelial_cell_proliferation	58.12	0.0206612846455271	ENSG00000074842	MYDGF
GO_bp:go_regulation_of_tor_signaling	57.25	0.0209669459175069	ENSG00000185361	TNFAIP8L1
GO_mf:go_virus_receptor_activity	56.41	0.0212725276853929	ENSG00000143324	XPR1
Canonical_pathway:reactome_unfolded_protein_response	50.42	0.0237143216676404	ENSG00000074842	MYDGF
GO_bp:go_positive_regulation_of_protein_kinase_b_signaling	48.51	0.0246286845950512	ENSG00000074842	MYDGF
GO_bp:go_movement_in_environment_of_other_organism_involved_in_symbiotic_interaction	45.11	0.0264552696416394	ENSG00000143324	XPR1
GO_bp:go_midbrain_development	43.06	0.0276714086531183	ENSG00000148798	INA
GO_bp:go_regulation_of_endothelial_cell_proliferation	39.96	0.0297966056420093	ENSG00000074842	MYDGF
GO_mf:go_structural_constituent_of_cytoskeleton	39.96	0.0297966056420093	ENSG00000148798	INA
GO_cc:go_endoplasmic_reticulum_golgi_intermediate_compartment	37.55	0.0316151208592652	ENSG00000074842	MYDGF
GO_bp:go_regulation_of_protein_kinase_b_signaling	32.17	0.0367521622913957	ENSG00000074842	MYDGF
GO_bp:go_cellular_response_to_topologically_incorrect_protein	31.9	0.0370536325865739	ENSG00000074842	MYDGF
Canonical_pathway:reactome_diabetes_pathways	30.14	0.039161723909476	ENSG00000074842	MYDGF
GO_bp:go_positive_regulation_of_vasculature_development	29.67	0.0397633288265952	ENSG00000074842	MYDGF
GO_bp:go_interaction_with_host	28.78	0.0409655969937652	ENSG00000143324	XPR1
