id	or	p	ens.ids	gene.names
GO_bp:go_nephron_epithelium_development	73.35	0.000578766415309428	ENSG00000118762;ENSG00000187391	PKD2;MAGI2
GO_bp:go_nephron_development	58.48	0.000898177749438701	ENSG00000118762;ENSG00000187391	PKD2;MAGI2
GO_bp:go_kidney_epithelium_development	53.65	0.00106588717547963	ENSG00000118762;ENSG00000187391	PKD2;MAGI2
GO_bp:go_cell_cycle_arrest	41.88	0.00171782667068418	ENSG00000118762;ENSG00000187391	PKD2;MAGI2
GO_bp:go_loop_of_henle_development	271.43	0.00455344361090371	ENSG00000118762	PKD2
GO_bp:go_distal_tubule_development	248.68	0.00496649197453902	ENSG00000118762	PKD2
GO_bp:go_negative_regulation_of_ryanodine_sensitive_calcium_release_channel_activity	248.68	0.00496649197453902	ENSG00000118762	PKD2
GO_bp:go_mitotic_cell_cycle_arrest	227.27	0.00537939036469715	ENSG00000187391	MAGI2
GO_bp:go_nephric_duct_development	227.27	0.00537939036469715	ENSG00000118762	PKD2
GO_bp:go_metanephric_mesenchyme_development	208.99	0.00579213882817153	ENSG00000118762	PKD2
GO_bp:go_urogenital_system_development	21.65	0.00610010129984918	ENSG00000118762;ENSG00000187391	PKD2;MAGI2
GO_mf:go_receptor_serine_threonine_kinase_binding	194.06	0.00620473741134331	ENSG00000187391	MAGI2
GO_bp:go_positive_regulation_of_sequestering_of_calcium_ion	182.53	0.00661718616111329	ENSG00000118762	PKD2
GO_bp:go_positive_regulation_of_phosphoprotein_phosphatase_activity	182.53	0.00661718616111329	ENSG00000187391	MAGI2
GO_cc:go_cell_cortex_region	182.53	0.00661718616111329	ENSG00000118762	PKD2
GO_mf:go_ligand_gated_calcium_channel_activity	182.53	0.00661718616111329	ENSG00000118762	PKD2
GO_bp:go_glomerular_epithelium_development	170.84	0.00702948512410595	ENSG00000187391	MAGI2
GO_bp:go_smooth_muscle_tissue_development	161.16	0.00744163434679812	ENSG00000118762	PKD2
GO_bp:go_renal_system_vasculature_development	161.16	0.00744163434679812	ENSG00000118762	PKD2
GO_bp:go_kidney_mesenchyme_development	161.16	0.00744163434679812	ENSG00000118762	PKD2
GO_bp:go_response_to_water	161.16	0.00744163434679812	ENSG00000118762	PKD2
Canonical_pathway:reactome_nephrin_interactions	151.73	0.00785363387592275	ENSG00000187391	MAGI2
GO_bp:go_cellular_response_to_fluid_shear_stress	151.73	0.00785363387592275	ENSG00000118762	PKD2
GO_bp:go_negative_regulation_of_calcium_ion_transport_into_cytosol	151.73	0.00785363387592275	ENSG00000118762	PKD2
GO_bp:go_cytoplasmic_sequestering_of_transcription_factor	151.73	0.00785363387592275	ENSG00000118762	PKD2
GO_bp:go_negative_regulation_of_calcium_mediated_signaling	151.73	0.00785363387592275	ENSG00000118762	PKD2
GO_mf:go_adrenergic_receptor_binding	151.73	0.00785363387592275	ENSG00000187391	MAGI2
GO_bp:go_metanephric_nephron_morphogenesis	143.92	0.00826548375806635	ENSG00000118762	PKD2
GO_bp:go_metanephric_epithelium_development	143.92	0.00826548375806635	ENSG00000118762	PKD2
GO_cc:go_filamentous_actin	143.92	0.00826548375806635	ENSG00000118762	PKD2
GO_mf:go_voltage_gated_sodium_channel_activity	143.92	0.00826548375806635	ENSG00000118762	PKD2
GO_bp:go_cellular_response_to_osmotic_stress	136.43	0.00867718403993556	ENSG00000118762	PKD2
GO_mf:go_alpha_actinin_binding	136.43	0.00867718403993556	ENSG00000118762	PKD2
GO_bp:go_epithelial_cell_differentiation_involved_in_kidney_development	124.41	0.00950013598855814	ENSG00000187391	MAGI2
GO_bp:go_neurotrophin_signaling_pathway	124.41	0.00950013598855814	ENSG00000187391	MAGI2
GO_mf:go_receptor_signaling_complex_scaffold_activity	124.41	0.00950013598855814	ENSG00000187391	MAGI2
GO_bp:go_positive_regulation_of_receptor_internalization	119.03	0.00991138774853206	ENSG00000187391	MAGI2
GO_cc:go_cell_cell_junction	16.62	0.010068431130749	ENSG00000118762;ENSG00000187391	PKD2;MAGI2
GO_bp:go_membrane_assembly	114.1	0.0103224900944091	ENSG00000187391	MAGI2
GO_bp:go_negative_regulation_of_calcium_ion_import	114.1	0.0103224900944091	ENSG00000118762	PKD2
GO_bp:go_postsynaptic_membrane_organization	114.1	0.0103224900944091	ENSG00000187391	MAGI2
GO_bp:go_regulation_of_activin_receptor_signaling_pathway	114.1	0.0103224900944091	ENSG00000187391	MAGI2
GO_bp:go_regulation_of_ryanodine_sensitive_calcium_release_channel_activity	105.23	0.0111442467299111	ENSG00000118762	PKD2
GO_bp:go_axis_elongation	105.23	0.0111442467299111	ENSG00000187391	MAGI2
GO_bp:go_metanephros_morphogenesis	105.23	0.0111442467299111	ENSG00000118762	PKD2
GO_bp:go_placenta_blood_vessel_development	101.35	0.0115549011125279	ENSG00000118762	PKD2
GO_bp:go_positive_regulation_of_phosphatase_activity	101.35	0.0115549011125279	ENSG00000187391	MAGI2
GO_mf:go_intracellular_ligand_gated_ion_channel_activity	101.35	0.0115549011125279	ENSG00000118762	PKD2
GO_bp:go_negative_regulation_of_receptor_activity	97.76	0.0119654062670294	ENSG00000118762	PKD2
GO_bp:go_eye_photoreceptor_cell_development	97.76	0.0119654062670294	ENSG00000235718	MFRP
GO_bp:go_negative_regulation_of_calcium_ion_transmembrane_transport	97.76	0.0119654062670294	ENSG00000118762	PKD2
GO_mf:go_actinin_binding	97.76	0.0119654062670294	ENSG00000118762	PKD2
GO_bp:go_membrane_biogenesis	94.41	0.0123757622398796	ENSG00000187391	MAGI2
GO_cc:go_lumenal_side_of_membrane	94.41	0.0123757622398796	ENSG00000118762	PKD2
GO_bp:go_negative_regulation_of_cell_cycle	14.64	0.0127547791635059	ENSG00000118762;ENSG00000187391	PKD2;MAGI2
GO_bp:go_positive_regulation_of_calcium_ion_transmembrane_transporter_activity	91.09	0.012785969077665	ENSG00000118762	PKD2
GO_bp:go_metanephric_nephron_development	91.09	0.012785969077665	ENSG00000118762	PKD2
GO_bp:go_centrosome_duplication	91.09	0.012785969077665	ENSG00000118762	PKD2
GO_bp:go_negative_regulation_of_intracellular_signal_transduction	14.57	0.0128681989082596	ENSG00000118762;ENSG00000187391	PKD2;MAGI2
GO_cc:go_basal_plasma_membrane	85.67	0.0136059355335245	ENSG00000118762	PKD2
GO_bp:go_response_to_fluid_shear_stress	83.05	0.0140156952445776	ENSG00000118762	PKD2
GO_bp:go_negative_regulation_of_cation_channel_activity	83.05	0.0140156952445776	ENSG00000118762	PKD2
GO_bp:go_positive_regulation_of_cyclin_dependent_protein_kinase_activity	83.05	0.0140156952445776	ENSG00000118762	PKD2
GO_bp:go_cell_differentiation_involved_in_kidney_development	80.6	0.0144253060063863	ENSG00000187391	MAGI2
GO_bp:go_positive_regulation_of_calcium_mediated_signaling	78.36	0.0148347678650813	ENSG00000118762	PKD2
GO_bp:go_negative_regulation_of_protein_kinase_b_signaling	78.36	0.0148347678650813	ENSG00000187391	MAGI2
GO_bp:go_positive_regulation_of_cation_channel_activity	76.02	0.0152440808673047	ENSG00000118762	PKD2
GO_bp:go_response_to_nerve_growth_factor	76.02	0.0152440808673047	ENSG00000187391	MAGI2
GO_bp:go_regulation_of_receptor_internalization	76.02	0.0152440808673047	ENSG00000187391	MAGI2
GO_bp:go_photoreceptor_cell_development	76.02	0.0152440808673047	ENSG00000235718	MFRP
GO_mf:go_sodium_channel_activity	76.02	0.0152440808673047	ENSG00000118762	PKD2
GO_bp:go_negative_regulation_of_transcription_factor_import_into_nucleus	72.11	0.0160622604875353	ENSG00000118762	PKD2
GO_bp:go_positive_regulation_of_release_of_sequestered_calcium_ion_into_cytosol	72.11	0.0160622604875353	ENSG00000118762	PKD2
GO_bp:go_detection_of_mechanical_stimulus	70.21	0.0164711271982431	ENSG00000118762	PKD2
GO_bp:go_eye_photoreceptor_cell_differentiation	70.21	0.0164711271982431	ENSG00000235718	MFRP
GO_bp:go_cytoplasmic_sequestering_of_protein	70.21	0.0164711271982431	ENSG00000118762	PKD2
GO_bp:go_aorta_development	68.64	0.0168798452380101	ENSG00000118762	PKD2
GO_bp:go_calcium_ion_import_into_cytosol	68.64	0.0168798452380101	ENSG00000118762	PKD2
GO_bp:go_receptor_clustering	68.64	0.0168798452380101	ENSG00000187391	MAGI2
GO_mf:go_voltage_gated_calcium_channel_activity	66.85	0.0172884146530248	ENSG00000118762	PKD2
GO_bp:go_branching_involved_in_ureteric_bud_morphogenesis	65.26	0.0176968354894641	ENSG00000118762	PKD2
GO_bp:go_centrosome_cycle	63.75	0.0181051077940163	ENSG00000118762	PKD2
GO_bp:go_positive_regulation_of_receptor_activity	63.75	0.0181051077940163	ENSG00000118762	PKD2
GO_bp:go_glomerulus_development	60.92	0.0189212069917943	ENSG00000187391	MAGI2
GO_bp:go_positive_regulation_of_reactive_oxygen_species_biosynthetic_process	59.6	0.0193290339776814	ENSG00000118762	PKD2
GO_bp:go_positive_regulation_of_receptor_mediated_endocytosis	59.6	0.0193290339776814	ENSG00000187391	MAGI2
GO_bp:go_positive_regulation_of_dephosphorylation	59.6	0.0193290339776814	ENSG00000187391	MAGI2
GO_bp:go_photoreceptor_cell_differentiation	58.33	0.0197367126166115	ENSG00000235718	MFRP
GO_bp:go_artery_morphogenesis	55.96	0.020551625038655	ENSG00000118762	PKD2
GO_bp:go_stat_cascade	55.96	0.020551625038655	ENSG00000118762	PKD2
GO_bp:go_mesonephric_tubule_morphogenesis	54.84	0.0209588589142025	ENSG00000118762	PKD2
GO_bp:go_negative_regulation_of_calcium_ion_transport	54.84	0.0209588589142025	ENSG00000118762	PKD2
GO_cc:go_basal_part_of_cell	54.84	0.0209588589142025	ENSG00000118762	PKD2
GO_bp:go_regulation_of_nitric_oxide_biosynthetic_process	53.69	0.0213659446277895	ENSG00000118762	PKD2
GO_bp:go_cytosolic_calcium_ion_transport	53.69	0.0213659446277895	ENSG00000118762	PKD2
GO_bp:go_positive_regulation_of_calcium_ion_transport_into_cytosol	53.69	0.0213659446277895	ENSG00000118762	PKD2
GO_bp:go_smad_protein_signal_transduction	52.66	0.021772882225603	ENSG00000187391	MAGI2
GO_bp:go_positive_regulation_of_calcium_ion_import	52.66	0.021772882225603	ENSG00000118762	PKD2
GO_cc:go_mitotic_spindle	51.67	0.0221796717536868	ENSG00000118762	PKD2
GO_bp:go_regulation_of_postsynaptic_membrane_potential	50.72	0.022586313258333	ENSG00000118762	PKD2
GO_bp:go_positive_regulation_of_calcium_ion_transmembrane_transport	47.23	0.0242113999661541	ENSG00000118762	PKD2
GO_bp:go_regulation_of_phosphoprotein_phosphatase_activity	46.44	0.0246173020460182	ENSG00000187391	MAGI2
GO_mf:go_phosphoprotein_binding	46.44	0.0246173020460182	ENSG00000118762	PKD2
GO_bp:go_negative_regulation_of_cation_transmembrane_transport	45.67	0.025023056379295	ENSG00000118762	PKD2
GO_bp:go_response_to_osmotic_stress	44.91	0.025428663012194	ENSG00000118762	PKD2
GO_bp:go_embryonic_heart_tube_morphogenesis	44.91	0.025428663012194	ENSG00000118762	PKD2
GO_bp:go_calcium_ion_import	44.15	0.0258341219905194	ENSG00000118762	PKD2
GO_bp:go_negative_regulation_of_cell_proliferation	9.9	0.0261624872766416	ENSG00000118762;ENSG00000187391	PKD2;MAGI2
GO_bp:go_negative_regulation_of_transporter_activity	43.54	0.0262394333605867	ENSG00000118762	PKD2
GO_bp:go_regulation_of_reactive_oxygen_species_biosynthetic_process	43.54	0.0262394333605867	ENSG00000118762	PKD2
GO_bp:go_synapse_assembly	41.53	0.0274544822815839	ENSG00000187391	MAGI2
GO_mf:go_protein_complex_scaffold	40.9	0.0278592036787779	ENSG00000187391	MAGI2
GO_bp:go_regulation_of_calcium_ion_transmembrane_transporter_activity	39.71	0.0286682043850214	ENSG00000118762	PKD2
GO_cc:go_actin_filament	39.71	0.0286682043850214	ENSG00000118762	PKD2
GO_bp:go_negative_regulation_of_nucleocytoplasmic_transport	39.13	0.0290724837860216	ENSG00000118762	PKD2
GO_mf:go_smad_binding	39.13	0.0290724837860216	ENSG00000187391	MAGI2
GO_bp:go_embryonic_heart_tube_development	38.59	0.0294766159467572	ENSG00000118762	PKD2
GO_bp:go_regulation_of_calcium_mediated_signaling	37.51	0.0302844387315948	ENSG00000118762	PKD2
GO_bp:go_artery_development	37.51	0.0302844387315948	ENSG00000118762	PKD2
GO_bp:go_positive_regulation_of_transporter_activity	37.02	0.0306881294476795	ENSG00000118762	PKD2
GO_bp:go_regulation_of_release_of_sequestered_calcium_ion_into_cytosol	37.02	0.0306881294476795	ENSG00000118762	PKD2
GO_mf:go_atpase_binding	37.02	0.0306881294476795	ENSG00000118762	PKD2
GO_bp:go_renal_tubule_development	36.52	0.0310916731073391	ENSG00000118762	PKD2
GO_cc:go_ciliary_membrane	36.52	0.0310916731073391	ENSG00000118762	PKD2
GO_bp:go_regulation_of_receptor_mediated_endocytosis	35.56	0.0318983194413458	ENSG00000187391	MAGI2
GO_bp:go_metanephros_development	34.69	0.0327043781006467	ENSG00000118762	PKD2
GO_bp:go_kidney_morphogenesis	34.69	0.0327043781006467	ENSG00000118762	PKD2
GO_cc:go_ciliary_basal_body	34.69	0.0327043781006467	ENSG00000118762	PKD2
GO_bp:go_embryonic_placenta_development	33.4	0.0339123650027593	ENSG00000118762	PKD2
GO_bp:go_microtubule_organizing_center_organization	33.4	0.0339123650027593	ENSG00000118762	PKD2
GO_bp:go_positive_regulation_of_reactive_oxygen_species_metabolic_process	32.61	0.0347169560810283	ENSG00000118762	PKD2
GO_bp:go_positive_regulation_of_cell_cycle_arrest	32.61	0.0347169560810283	ENSG00000118762	PKD2
GO_bp:go_negative_regulation_of_transmembrane_transport	31.85	0.0355209607684653	ENSG00000118762	PKD2
GO_bp:go_regulation_of_cation_channel_activity	31.48	0.0359227433301369	ENSG00000118762	PKD2
GO_bp:go_mesonephros_development	31.48	0.0359227433301369	ENSG00000118762	PKD2
GO_cc:go_collagen_trimer	31.48	0.0359227433301369	ENSG00000223953	C1QTNF5
GO_bp:go_sodium_ion_transmembrane_transport	30.77	0.036725869118153	ENSG00000118762	PKD2
GO_bp:go_regulation_of_calcium_ion_transport_into_cytosol	30.09	0.0375284094307824	ENSG00000118762	PKD2
GO_bp:go_maintenance_of_location_in_cell	29.45	0.0383303646340993	ENSG00000118762	PKD2
GO_bp:go_regulation_of_cyclin_dependent_protein_kinase_activity	29.45	0.0383303646340993	ENSG00000118762	PKD2
GO_bp:go_negative_regulation_of_intracellular_protein_transport	29.13	0.038731122933974	ENSG00000118762	PKD2
GO_bp:go_regulation_of_transcription_factor_import_into_nucleus	29.13	0.038731122933974	ENSG00000118762	PKD2
