id	or	p	ens.ids	gene.names
GO_bp:go_hyaluronan_metabolic_process	408.94	2.09269983263453e-07	ENSG00000055957;ENSG00000162267;ENSG00000055955	ITIH1;ITIH3;ITIH4
GO_mf:go_serine_type_endopeptidase_inhibitor_activity	127.18	5.96889411606758e-06	ENSG00000055957;ENSG00000162267;ENSG00000055955	ITIH1;ITIH3;ITIH4
GO_bp:go_mucopolysaccharide_metabolic_process	109.05	9.36321367480914e-06	ENSG00000055957;ENSG00000162267;ENSG00000055955	ITIH1;ITIH3;ITIH4
GO_cc:go_platelet_dense_granule_lumen	518.26	1.36603408226489e-05	ENSG00000162267;ENSG00000055955	ITIH3;ITIH4
GO_cc:go_platelet_dense_granule	351.21	2.84861149831944e-05	ENSG00000162267;ENSG00000055955	ITIH3;ITIH4
GO_bp:go_aminoglycan_metabolic_process	70.09	3.39493126034455e-05	ENSG00000055957;ENSG00000162267;ENSG00000055955	ITIH1;ITIH3;ITIH4
GO_mf:go_peptidase_inhibitor_activity	67.72	3.7745008215561e-05	ENSG00000055957;ENSG00000162267;ENSG00000055955	ITIH1;ITIH3;ITIH4
GO_mf:go_peptidase_regulator_activity	55.51	6.74411385447411e-05	ENSG00000055957;ENSG00000162267;ENSG00000055955	ITIH1;ITIH3;ITIH4
Canonical_pathway:naba_ecm_regulators	49.4	9.43366484271457e-05	ENSG00000055957;ENSG00000162267;ENSG00000055955	ITIH1;ITIH3;ITIH4
GO_bp:go_negative_regulation_of_peptidase_activity	48.32	0.000100442809704619	ENSG00000055957;ENSG00000162267;ENSG00000055955	ITIH1;ITIH3;ITIH4
GO_bp:go_negative_regulation_of_proteolysis	35.62	0.000242461175719627	ENSG00000055957;ENSG00000162267;ENSG00000055955	ITIH1;ITIH3;ITIH4
GO_mf:go_enzyme_inhibitor_activity	30.99	0.000361962779423294	ENSG00000055957;ENSG00000162267;ENSG00000055955	ITIH1;ITIH3;ITIH4
GO_bp:go_regulation_of_peptidase_activity	29.64	0.000409966967869532	ENSG00000055957;ENSG00000162267;ENSG00000055955	ITIH1;ITIH3;ITIH4
GO_bp:go_negative_regulation_of_hydrolase_activity	29.25	0.000425772117873478	ENSG00000055957;ENSG00000162267;ENSG00000055955	ITIH1;ITIH3;ITIH4
GO_cc:go_secretory_granule_lumen	76.93	0.000528067604329716	ENSG00000162267;ENSG00000055955	ITIH3;ITIH4
GO_bp:go_negative_regulation_of_protein_metabolic_process	17.01	0.000558174328768532	ENSG00000055957;ENSG00000162267;ENSG00000055955;ENSG00000009950	ITIH1;ITIH3;ITIH4;MLXIPL
GO_bp:go_platelet_degranulation	61.94	0.000804285828193938	ENSG00000162267;ENSG00000055955	ITIH3;ITIH4
GO_cc:go_vesicle_lumen	61.3	0.000819582645116357	ENSG00000162267;ENSG00000055955	ITIH3;ITIH4
GO_cc:go_blood_microparticle	56.41	0.000963581671197738	ENSG00000055957;ENSG00000055955	ITIH1;ITIH4
GO_bp:go_regulation_of_proteolysis	15.94	0.00234276730099375	ENSG00000055957;ENSG00000162267;ENSG00000055955	ITIH1;ITIH3;ITIH4
Canonical_pathway:naba_matrisome_associated	15.35	0.00259978930296546	ENSG00000055957;ENSG00000162267;ENSG00000055955	ITIH1;ITIH3;ITIH4
GO_bp:go_regulated_exocytosis	28.97	0.00349569298382034	ENSG00000162267;ENSG00000055955	ITIH3;ITIH4
GO_bp:go_negative_regulation_of_catalytic_activity	13.64	0.00358674253878739	ENSG00000055957;ENSG00000162267;ENSG00000055955	ITIH1;ITIH3;ITIH4
Canonical_pathway:reactome_membrane_binding_and_targetting_of_gag_proteins	339.87	0.00372689677636973	ENSG00000176428	VPS37D
GO_bp:go_cellular_response_to_atp	248.68	0.00496649197453902	ENSG00000084112	SSH1
GO_bp:go_fatty_acid_homeostasis	248.68	0.00496649197453902	ENSG00000009950	MLXIPL
GO_mf:go_enzyme_regulator_activity	11.82	0.00527439553252556	ENSG00000055957;ENSG00000162267;ENSG00000055955	ITIH1;ITIH3;ITIH4
Canonical_pathway:naba_matrisome	10.99	0.00640787341413798	ENSG00000055957;ENSG00000162267;ENSG00000055955	ITIH1;ITIH3;ITIH4
GO_bp:go_exocytosis	21	0.00646782153665261	ENSG00000162267;ENSG00000055955	ITIH3;ITIH4
GO_bp:go_regulation_of_oxidative_phosphorylation	182.53	0.00661718616111329	ENSG00000009950	MLXIPL
GO_bp:go_carbohydrate_derivative_metabolic_process	10.68	0.00690365828238156	ENSG00000055957;ENSG00000162267;ENSG00000055955	ITIH1;ITIH3;ITIH4
GO_bp:go_regulation_of_energy_homeostasis	170.84	0.00702948512410595	ENSG00000009950	MLXIPL
GO_bp:go_positive_regulation_of_fatty_acid_biosynthetic_process	170.84	0.00702948512410595	ENSG00000009950	MLXIPL
GO_bp:go_positive_regulation_of_nucleotide_catabolic_process	170.84	0.00702948512410595	ENSG00000009950	MLXIPL
GO_bp:go_negative_regulation_of_molecular_function	10.3	0.00760041038035251	ENSG00000055957;ENSG00000162267;ENSG00000055955	ITIH1;ITIH3;ITIH4
GO_bp:go_negative_regulation_of_nucleoside_metabolic_process	151.73	0.00785363387592275	ENSG00000009950	MLXIPL
GO_bp:go_negative_regulation_of_cell_cycle_arrest	143.92	0.00826548375806635	ENSG00000009950	MLXIPL
GO_cc:go_secretory_granule	18.07	0.00859691668877733	ENSG00000162267;ENSG00000055955	ITIH3;ITIH4
GO_bp:go_positive_regulation_of_nucleoside_metabolic_process	119.03	0.00991138774853206	ENSG00000009950	MLXIPL
GO_bp:go_multi_organism_organelle_organization	119.03	0.00991138774853206	ENSG00000176428	VPS37D
GO_bp:go_negative_regulation_of_peptidyl_serine_phosphorylation	119.03	0.00991138774853206	ENSG00000009950	MLXIPL
GO_bp:go_vesicle_mediated_transport	9.11	0.0104671174268468	ENSG00000162267;ENSG00000055955;ENSG00000176428	ITIH3;ITIH4;VPS37D
Canonical_pathway:reactome_endosomal_sorting_complex_required_for_transport_escrt	109.57	0.010733443072701	ENSG00000176428	VPS37D
GO_cc:go_escrt_complex	109.57	0.010733443072701	ENSG00000176428	VPS37D
GO_cc:go_u12_type_spliceosomal_complex	109.57	0.010733443072701	ENSG00000139168	ZCRB1
GO_bp:go_regulation_of_lamellipodium_assembly	105.23	0.0111442467299111	ENSG00000084112	SSH1
GO_bp:go_acylglycerol_homeostasis	101.35	0.0115549011125279	ENSG00000009950	MLXIPL
GO_bp:go_response_to_atp	94.41	0.0123757622398796	ENSG00000084112	SSH1
GO_bp:go_multivesicular_body_organization	91.09	0.012785969077665	ENSG00000176428	VPS37D
GO_bp:go_multi_organism_membrane_organization	91.09	0.012785969077665	ENSG00000176428	VPS37D
GO_bp:go_regulation_of_hydrolase_activity	8.34	0.0131158230225822	ENSG00000055957;ENSG00000162267;ENSG00000055955	ITIH1;ITIH3;ITIH4
GO_bp:go_positive_regulation_of_fatty_acid_metabolic_process	85.67	0.0136059355335245	ENSG00000009950	MLXIPL
GO_mf:go_molecular_function_regulator	8.14	0.0139926827375376	ENSG00000055957;ENSG00000162267;ENSG00000055955	ITIH1;ITIH3;ITIH4
GO_bp:go_regulation_of_fatty_acid_biosynthetic_process	80.6	0.0144253060063863	ENSG00000009950	MLXIPL
GO_cc:go_secretory_vesicle	13.69	0.0144434663610654	ENSG00000162267;ENSG00000055955	ITIH3;ITIH4
GO_bp:go_regulation_of_nucleotide_catabolic_process	78.36	0.0148347678650813	ENSG00000009950	MLXIPL
GO_bp:go_virion_assembly	76.02	0.0152440808673047	ENSG00000176428	VPS37D
GO_bp:go_regulation_of_lamellipodium_organization	76.02	0.0152440808673047	ENSG00000084112	SSH1
