id	or	p	ens.ids	gene.names
GO_bp:go_cellular_response_to_inorganic_substance	35.67	0.00222525554733327	ENSG00000115414;ENSG00000152422	FN1;XRCC4
Canonical_pathway:reactome_integration_of_provirus	339.87	0.00372689677651039	ENSG00000152422	XRCC4
GO_bp:go_regulation_of_erk1_and_erk2_cascade	24.41	0.00461945545589441	ENSG00000115414;ENSG00000120907	FN1;ADRA1A
GO_bp:go_positive_regulation_of_action_potential	238.75	0.00512129675213036	ENSG00000120907	ADRA1A
GO_bp:go_viral_latency	238.75	0.00512129675213036	ENSG00000152422	XRCC4
GO_bp:go_dna_ligation_involved_in_dna_repair	217.04	0.00558571108456218	ENSG00000152422	XRCC4
GO_bp:go_positive_regulation_of_cardiac_muscle_contraction	217.04	0.00558571108456218	ENSG00000120907	ADRA1A
GO_bp:go_4_hydroxyproline_metabolic_process	217.04	0.00558571108456218	ENSG00000100033	PRODH
GO_bp:go_positive_regulation_of_synaptic_transmission_gabaergic	217.04	0.00558571108456218	ENSG00000120907	ADRA1A
Canonical_pathway:kegg_non_homologous_end_joining	198.23	0.0060499327039506	ENSG00000152422	XRCC4
Canonical_pathway:reactome_early_phase_of_hiv_life_cycle	198.23	0.0060499327039506	ENSG00000152422	XRCC4
GO_bp:go_negative_regulation_of_systemic_arterial_blood_pressure	198.23	0.0060499327039506	ENSG00000120907	ADRA1A
GO_bp:go_adult_heart_development	198.23	0.0060499327039506	ENSG00000120907	ADRA1A
GO_bp:go_negative_regulation_of_rho_protein_signal_transduction	184.68	0.0065139616803267	ENSG00000120907	ADRA1A
GO_bp:go_neurological_system_process_involved_in_regulation_of_systemic_arterial_blood_pressure	184.68	0.0065139616803267	ENSG00000120907	ADRA1A
GO_bp:go_regulation_of_protein_kinase_c_signaling	184.68	0.0065139616803267	ENSG00000120907	ADRA1A
GO_bp:go_response_to_mercury_ion	184.68	0.0065139616803267	ENSG00000115414	FN1
GO_mf:go_fad_binding	184.68	0.0065139616803267	ENSG00000100033	PRODH
Canonical_pathway:reactome_p130cas_linkage_to_mapk_signaling_for_integrins	170.89	0.00697779808346566	ENSG00000115414	FN1
Canonical_pathway:reactome_grb2_sos_provides_linkage_to_mapk_signaling_for_intergrins_	170.89	0.00697779808346566	ENSG00000115414	FN1
GO_bp:go_positive_regulation_of_striated_muscle_contraction	170.89	0.00697779808346566	ENSG00000120907	ADRA1A
GO_mf:go_adrenergic_receptor_activity	170.89	0.00697779808346566	ENSG00000120907	ADRA1A
Canonical_pathway:pid_dna_pk_pathway	159.55	0.00744144198359076	ENSG00000152422	XRCC4
GO_bp:go_dna_ligation	159.55	0.00744144198359076	ENSG00000152422	XRCC4
Canonical_pathway:pid_integrin5_pathway	149.37	0.00790489345031542	ENSG00000115414	FN1
GO_bp:go_cellular_response_to_lithium_ion	149.37	0.00790489345031542	ENSG00000152422	XRCC4
GO_bp:go_cellular_response_to_prostaglandin_e_stimulus	149.37	0.00790489345031542	ENSG00000115414	FN1
GO_bp:go_cellular_modified_amino_acid_catabolic_process	140.74	0.00836815255370305	ENSG00000100033	PRODH
GO_bp:go_cell_death_in_response_to_oxidative_stress	140.74	0.00836815255370305	ENSG00000100033	PRODH
GO_bp:go_response_to_platelet_derived_growth_factor	140.74	0.00836815255370305	ENSG00000115414	FN1
GO_bp:go_reflex	126.04	0.009294093949898	ENSG00000120907	ADRA1A
GO_bp:go_response_to_metal_ion	16.5	0.00970089523730786	ENSG00000115414;ENSG00000152422	FN1;XRCC4
GO_cc:go_basal_lamina	119.77	0.00975677638224981	ENSG00000115414	FN1
Canonical_pathway:reactome_double_strand_break_repair	114.11	0.0102192667305896	ENSG00000152422	XRCC4
GO_bp:go_positive_regulation_of_heart_rate	114.11	0.0102192667305896	ENSG00000120907	ADRA1A
GO_bp:go_negative_regulation_of_heart_contraction	114.11	0.0102192667305896	ENSG00000120907	ADRA1A
GO_bp:go_adrenergic_receptor_signaling_pathway	114.11	0.0102192667305896	ENSG00000120907	ADRA1A
GO_bp:go_cellular_response_to_prostaglandin_stimulus	108.95	0.0106815650646328	ENSG00000115414	FN1
GO_bp:go_response_to_oxidative_stress	15.63	0.0107427168117389	ENSG00000115414;ENSG00000100033	FN1;PRODH
GO_bp:go_response_to_prostaglandin_e	104.09	0.0111436714541954	ENSG00000115414	FN1
GO_bp:go_glutamine_family_amino_acid_catabolic_process	104.09	0.0111436714541954	ENSG00000100033	PRODH
Canonical_pathway:pid_lymph_angiogenesis_pathway	99.78	0.011605585969067	ENSG00000115414	FN1
Canonical_pathway:pid_integrin_a9b1_pathway	95.81	0.0120673086787837	ENSG00000115414	FN1
Canonical_pathway:reactome_integrin_alphaiib_beta3_signaling	92.16	0.0125288396532106	ENSG00000115414	FN1
GO_bp:go_activation_of_phospholipase_c_activity	92.16	0.0125288396532106	ENSG00000120907	ADRA1A
GO_bp:go_response_to_lithium_ion	92.16	0.0125288396532106	ENSG00000152422	XRCC4
GO_mf:go_oxidoreductase_activity_acting_on_the_ch_nh_group_of_donors	92.16	0.0125288396532106	ENSG00000100033	PRODH
GO_bp:go_glutamate_metabolic_process	89.02	0.0129901789619578	ENSG00000100033	PRODH
GO_bp:go_vasoconstriction	89.02	0.0129901789619578	ENSG00000120907	ADRA1A
GO_bp:go_response_to_ischemia	85.71	0.0134513266746102	ENSG00000115414	FN1
GO_bp:go_regulation_of_the_force_of_heart_contraction	85.71	0.0134513266746102	ENSG00000120907	ADRA1A
GO_bp:go_regulation_of_synaptic_transmission_gabaergic	85.71	0.0134513266746102	ENSG00000120907	ADRA1A
GO_bp:go_positive_regulation_of_smooth_muscle_contraction	82.71	0.0139122828608524	ENSG00000120907	ADRA1A
GO_bp:go_response_to_x_ray	82.71	0.0139122828608524	ENSG00000152422	XRCC4
GO_bp:go_cellular_response_to_vascular_endothelial_growth_factor_stimulus	82.71	0.0139122828608524	ENSG00000115414	FN1
Canonical_pathway:pid_syndecan_4_pathway	79.94	0.0143730475903435	ENSG00000115414	FN1
Canonical_pathway:pid_syndecan_2_pathway	74.85	0.0152940029571439	ENSG00000115414	FN1
Canonical_pathway:pid_integrin_a4b1_pathway	74.85	0.0152940029571439	ENSG00000115414	FN1
GO_bp:go_response_to_prostaglandin	74.85	0.0152940029571439	ENSG00000115414	FN1
Canonical_pathway:pid_atm_pathway	72.67	0.0157541937336637	ENSG00000152422	XRCC4
Canonical_pathway:reactome_platelet_aggregation_plug_formation	72.67	0.0157541937336637	ENSG00000115414	FN1
GO_bp:go_positive_regulation_of_vasoconstriction	72.67	0.0157541937336637	ENSG00000120907	ADRA1A
GO_bp:go_glial_cell_migration	72.67	0.0157541937336637	ENSG00000115414	FN1
GO_bp:go_positive_regulation_of_heart_contraction	70.53	0.0162141933315091	ENSG00000120907	ADRA1A
Canonical_pathway:reactome_amine_ligand_binding_receptors	68.43	0.0166740018203466	ENSG00000120907	ADRA1A
GO_bp:go_negative_regulation_of_blood_circulation	68.43	0.0166740018203466	ENSG00000120907	ADRA1A
GO_bp:go_positive_regulation_of_axon_extension	68.43	0.0166740018203466	ENSG00000115414	FN1
GO_bp:go_substrate_adhesion_dependent_cell_spreading	68.43	0.0166740018203466	ENSG00000115414	FN1
GO_bp:go_regulation_of_action_potential	66.67	0.0171336192694741	ENSG00000120907	ADRA1A
GO_bp:go_positive_regulation_of_blood_pressure	66.67	0.0171336192694741	ENSG00000120907	ADRA1A
GO_mf:go_peptidase_activator_activity	64.83	0.0175930457485158	ENSG00000115414	FN1
GO_bp:go_regulation_of_phospholipase_c_activity	63.13	0.0180522813267265	ENSG00000120907	ADRA1A
GO_bp:go_endodermal_cell_differentiation	63.13	0.0180522813267265	ENSG00000115414	FN1
GO_cc:go_dna_repair_complex	63.13	0.0180522813267265	ENSG00000152422	XRCC4
GO_bp:go_regulation_of_anatomical_structure_size	11.66	0.0185057081800744	ENSG00000115414;ENSG00000120907	FN1;ADRA1A
