id	or	p	ens.ids	gene.names
GO_bp:go_regulation_of_establishment_of_protein_localization_to_chromosome	271.43	0.00455344361090371	ENSG00000135624	CCT7
GO_bp:go_beta_amyloid_metabolic_process	227.27	0.00537939036469715	ENSG00000144035	NAT8
GO_bp:go_regulation_of_protein_localization_to_chromosome_telomeric_region	208.99	0.00579213882817153	ENSG00000135624	CCT7
GO_bp:go_regulation_of_telomerase_rna_localization_to_cajal_body	194.06	0.00620473741134331	ENSG00000135624	CCT7
GO_bp:go_notochord_development	161.16	0.00744163434679812	ENSG00000214513	NOTO
Canonical_pathway:reactome_formation_of_tubulin_folding_intermediates_by_cct_tric	136.43	0.00867718403993556	ENSG00000135624	CCT7
Canonical_pathway:reactome_association_of_tric_cct_with_target_proteins_during_biosynthesis	109.57	0.010733443072701	ENSG00000135624	CCT7
Canonical_pathway:reactome_prefoldin_mediated_transfer_of_substrate_to_cct_tric	105.23	0.0111442467299111	ENSG00000135624	CCT7
GO_bp:go_positive_regulation_of_telomere_maintenance_via_telomere_lengthening	85.67	0.0136059355335245	ENSG00000135624	CCT7
GO_bp:go_binding_of_sperm_to_zona_pellucida	85.67	0.0136059355335245	ENSG00000135624	CCT7
GO_bp:go_toxin_transport	78.36	0.0148347678650813	ENSG00000135624	CCT7
Canonical_pathway:st_differentiation_pathway_in_pc12_cells	62.3	0.0185132316125716	ENSG00000135625	EGR4
GO_bp:go_sperm_egg_recognition	62.3	0.0185132316125716	ENSG00000135624	CCT7
Canonical_pathway:pid_nfat_tfpathway	59.6	0.0193290339776814	ENSG00000135625	EGR4
GO_bp:go_positive_regulation_of_telomere_maintenance	59.6	0.0193290339776814	ENSG00000135624	CCT7
GO_bp:go_regulation_of_cilium_assembly	55.96	0.020551625038655	ENSG00000214513	NOTO
GO_bp:go_regulation_of_telomere_maintenance_via_telomere_lengthening	55.96	0.020551625038655	ENSG00000135624	CCT7
Canonical_pathway:reactome_protein_folding	54.84	0.0209588589142025	ENSG00000135624	CCT7
GO_bp:go_glutathione_metabolic_process	49.8	0.0229928067858236	ENSG00000144035	NAT8
GO_bp:go_embryonic_pattern_specification	48.91	0.0233991523821646	ENSG00000214513	NOTO
GO_bp:go_positive_regulation_of_dna_biosynthetic_process	47.23	0.0242113999661541	ENSG00000135624	CCT7
GO_bp:go_cell_cell_recognition	46.44	0.0246173020460182	ENSG00000135624	CCT7
GO_cc:go_endoplasmic_reticulum_golgi_intermediate_compartment_membrane	45.67	0.025023056379295	ENSG00000144035	NAT8
GO_bp:go_embryonic_heart_tube_morphogenesis	44.91	0.025428663012194	ENSG00000214513	NOTO
Canonical_pathway:pid_cd8_tcr_downstream_pathway	42.85	0.0266445971684343	ENSG00000135625	EGR4
GO_bp:go_regulation_of_telomere_maintenance	41.53	0.0274544822815839	ENSG00000135624	CCT7
GO_bp:go_embryonic_heart_tube_development	38.59	0.0294766159467572	ENSG00000214513	NOTO
GO_mf:go_n_acetyltransferase_activity	34.24	0.0331071871671698	ENSG00000144035	NAT8
GO_bp:go_positive_regulation_of_dna_replication	32.22	0.0351190317007262	ENSG00000135624	CCT7
GO_bp:go_dorsal_ventral_pattern_formation	30.77	0.036725869118153	ENSG00000214513	NOTO
GO_bp:go_regulation_of_dna_biosynthetic_process	30.09	0.0375284094307824	ENSG00000135624	CCT7
GO_mf:go_unfolded_protein_binding	29.77	0.0379294601483052	ENSG00000135624	CCT7
GO_mf:go_acetyltransferase_activity	28.53	0.0395322011587586	ENSG00000144035	NAT8
GO_mf:go_n_acyltransferase_activity	28.23	0.0399325211749708	ENSG00000144035	NAT8
GO_cc:go_endoplasmic_reticulum_golgi_intermediate_compartment	26.85	0.0419319321200897	ENSG00000144035	NAT8
GO_bp:go_single_fertilization	25.35	0.0443264151753743	ENSG00000135624	CCT7
GO_bp:go_trna_processing	24.41	0.0459198265689789	ENSG00000144034	TPRKB
GO_bp:go_specification_of_symmetry	23.57	0.0475109128453255	ENSG00000214513	NOTO
GO_bp:go_protein_acetylation	22.79	0.0490996769133335	ENSG00000144035	NAT8
GO_bp:go_cell_recognition	21.69	0.0514784752298766	ENSG00000135624	CCT7
GO_bp:go_positive_regulation_of_protein_localization_to_nucleus	21.35	0.0522702500438392	ENSG00000135624	CCT7
GO_bp:go_protein_stabilization	21.35	0.0522702500438392	ENSG00000135624	CCT7
GO_bp:go_fertilization	19.1	0.0581901504380574	ENSG00000135624	CCT7
GO_bp:go_regulation_of_organelle_assembly	18.84	0.0589770205952611	ENSG00000214513	NOTO
GO_bp:go_positive_regulation_of_chromosome_organization	18.45	0.0601562472513921	ENSG00000135624	CCT7
GO_bp:go_protein_acylation	18.21	0.0609416798280547	ENSG00000144035	NAT8
GO_bp:go_regulation_of_cell_projection_assembly	17.84	0.0621187518028259	ENSG00000214513	NOTO
GO_bp:go_regulation_of_dna_replication	17.28	0.0640776697196608	ENSG00000135624	CCT7
GO_bp:go_trna_metabolic_process	15.68	0.0703221702831278	ENSG00000144034	TPRKB
GO_bp:go_positive_regulation_of_dna_metabolic_process	14.82	0.0742064434633382	ENSG00000135624	CCT7
GO_bp:go_regulation_of_organelle_organization	5.21	0.0796731444220774	ENSG00000214513;ENSG00000135624	NOTO;CCT7
GO_mf:go_transferase_activity_transferring_acyl_groups_other_than_amino_acyl_groups	13.48	0.0811623618775775	ENSG00000144035	NAT8
GO_bp:go_cilium_morphogenesis	13.22	0.0827018962946575	ENSG00000214513	NOTO
GO_bp:go_heart_morphogenesis	12.97	0.0842391731530904	ENSG00000214513	NOTO
GO_bp:go_protein_folding	12.91	0.0846231399568738	ENSG00000135624	CCT7
GO_bp:go_positive_regulation_of_homeostatic_process	12.84	0.0850069658848061	ENSG00000135624	CCT7
GO_bp:go_cellular_modified_amino_acid_metabolic_process	12.84	0.0850069658848061	ENSG00000144035	NAT8
GO_cc:go_cytosolic_part	12.72	0.0857741952909246	ENSG00000135624	CCT7
GO_bp:go_regulation_of_protein_localization_to_nucleus	12.66	0.0861575988576224	ENSG00000135624	CCT7
GO_bp:go_regulation_of_protein_stability	12.49	0.0873069655432159	ENSG00000135624	CCT7
GO_mf:go_transferase_activity_transferring_one_carbon_groups	12.37	0.088072507097525	ENSG00000135632	SMYD5
GO_mf:go_transferase_activity_transferring_acyl_groups	11.47	0.0945569588689242	ENSG00000144035	NAT8
GO_bp:go_regulation_of_chromosome_organization	9.91	0.108530881735415	ENSG00000135624	CCT7
GO_bp:go_embryonic_organ_morphogenesis	9.87	0.108905921330848	ENSG00000214513	NOTO
GO_bp:go_methylation	9.73	0.110404699513193	ENSG00000135632	SMYD5
GO_bp:go_peptidyl_lysine_modification	8.98	0.118979944900041	ENSG00000144035	NAT8
GO_bp:go_regionalization	8.82	0.120834528096269	ENSG00000214513	NOTO
GO_bp:go_tube_morphogenesis	8.52	0.124902591323431	ENSG00000214513	NOTO
GO_bp:go_regulation_of_dna_metabolic_process	8.03	0.131890461536511	ENSG00000135624	CCT7
GO_bp:go_sulfur_compound_metabolic_process	7.7	0.137008128285163	ENSG00000144035	NAT8
GO_bp:go_positive_regulation_of_cellular_protein_localization	7.51	0.140284099291753	ENSG00000135624	CCT7
GO_bp:go_ncrna_processing	7.14	0.146803412876524	ENSG00000144034	TPRKB
GO_bp:go_morphogenesis_of_an_epithelium	6.85	0.152562001569141	ENSG00000214513	NOTO
GO_cc:go_microtubule	6.78	0.153996323626171	ENSG00000135624	CCT7
GO_bp:go_embryonic_organ_development	6.72	0.15507067072625	ENSG00000214513	NOTO
GO_bp:go_pattern_specification_process	6.53	0.159356130781526	ENSG00000214513	NOTO
Canonical_pathway:reactome_metabolism_of_proteins	6.4	0.162202526979624	ENSG00000135624	CCT7
GO_bp:go_response_to_drug	6.4	0.162202526979624	ENSG00000144035	NAT8
GO_bp:go_regulation_of_homeostatic_process	6.1	0.169281653975412	ENSG00000135624	CCT7
GO_bp:go_heart_development	5.82	0.176658353453444	ENSG00000214513	NOTO
GO_cc:go_cell_body	5.49	0.186058421414834	ENSG00000135624	CCT7
GO_bp:go_positive_regulation_of_establishment_of_protein_localization	5.25	0.193648169137393	ENSG00000135624	CCT7
GO_bp:go_ncrna_metabolic_process	5.11	0.198103850611707	ENSG00000144034	TPRKB
GO_bp:go_tissue_morphogenesis	5.1	0.198445701256187	ENSG00000214513	NOTO
GO_bp:go_embryonic_morphogenesis	5.03	0.200835087428339	ENSG00000214513	NOTO
GO_bp:go_regulation_of_cell_morphogenesis	4.91	0.205255988647811	ENSG00000214513	NOTO
GO_bp:go_tube_development	4.9	0.205595169874361	ENSG00000214513	NOTO
GO_bp:go_peptide_metabolic_process	4.86	0.207289176794822	ENSG00000144035	NAT8
GO_bp:go_regulation_of_cellular_protein_localization	4.86	0.207289176794822	ENSG00000135624	CCT7
GO_bp:go_regulation_of_cell_projection_organization	4.84	0.207965894020423	ENSG00000214513	NOTO
GO_bp:go_positive_regulation_of_organelle_organization	4.72	0.212352247949546	ENSG00000135624	CCT7
GO_mf:go_kinase_binding	4.47	0.222726343613224	ENSG00000144034	TPRKB
GO_bp:go_cell_part_morphogenesis	4.24	0.232980684458278	ENSG00000214513	NOTO
GO_cc:go_supramolecular_fiber	4.04	0.24311645736444	ENSG00000135624	CCT7
GO_bp:go_sexual_reproduction	3.84	0.253456071719353	ENSG00000135624	CCT7
GO_bp:go_cellular_amide_metabolic_process	3.77	0.257621104224167	ENSG00000144035	NAT8
GO_bp:go_regulation_of_cellular_component_biogenesis	3.5	0.274391955041887	ENSG00000214513	NOTO
GO_bp:go_circulatory_system_development	3.38	0.281876604596029	ENSG00000214513	NOTO
GO_bp:go_positive_regulation_of_cell_proliferation	3.28	0.288985914784634	ENSG00000135625	EGR4
GO_bp:go_rna_processing	3.24	0.292057659912903	ENSG00000144034	TPRKB
GO_bp:go_peptidyl_amino_acid_modification	3.2	0.294812295983019	ENSG00000144035	NAT8
GO_bp:go_organ_morphogenesis	3.17	0.297557548874333	ENSG00000214513	NOTO
GO_bp:go_multi_organism_reproductive_process	3.09	0.303624654768585	ENSG00000135624	CCT7
GO_bp:go_negative_regulation_of_cell_death	3.07	0.305435822090783	ENSG00000144035	NAT8
GO_bp:go_embryo_development	2.97	0.313535167846159	ENSG00000214513	NOTO
GO_bp:go_cellular_component_morphogenesis	2.94	0.316216522302877	ENSG00000214513	NOTO
GO_bp:go_cell_projection_organization	2.93	0.316811132761542	ENSG00000214513	NOTO
GO_bp:go_epithelium_development	2.81	0.327730119600522	ENSG00000214513	NOTO
GO_bp:go_regulation_of_protein_localization	2.78	0.330654855581471	ENSG00000135624	CCT7
GO_cc:go_nuclear_outer_membrane_endoplasmic_reticulum_membrane_network	2.64	0.344539163820497	ENSG00000144035	NAT8
GO_bp:go_regulation_of_anatomical_structure_morphogenesis	2.6	0.348826008418174	ENSG00000214513	NOTO
GO_cc:go_microtubule_cytoskeleton	2.47	0.362379513404262	ENSG00000135624	CCT7
GO_bp:go_positive_regulation_of_cellular_component_organization	2.27	0.386587637209005	ENSG00000135624	CCT7
GO_cc:go_endoplasmic_reticulum_part	2.26	0.387938616458449	ENSG00000144035	NAT8
GO_mf:go_nucleic_acid_binding_transcription_factor_activity	2.22	0.393048624016169	ENSG00000135625	EGR4
GO_mf:go_identical_protein_binding	2.17	0.399184446990331	ENSG00000135624	CCT7
GO_bp:go_reproduction	2.07	0.414417010699138	ENSG00000135624	CCT7
GO_bp:go_regulation_of_cellular_localization	2.03	0.419332955637765	ENSG00000135624	CCT7
GO_cc:go_cytoskeletal_part	1.8	0.456648929405851	ENSG00000135624	CCT7
GO_bp:go_regulation_of_cell_death	1.76	0.464623696261614	ENSG00000144035	NAT8
GO_bp:go_regulation_of_cell_proliferation	1.73	0.470121122740208	ENSG00000135625	EGR4
GO_mf:go_adenyl_nucleotide_binding	1.71	0.473443143691319	ENSG00000135624	CCT7
GO_bp:go_tissue_development	1.7	0.476040504196134	ENSG00000214513	NOTO
GO_cc:go_endoplasmic_reticulum	1.57	0.501854988407225	ENSG00000144035	NAT8
GO_cc:go_mitochondrion	1.57	0.502530859212373	ENSG00000135624	CCT7
GO_bp:go_positive_regulation_of_gene_expression	1.49	0.519605858432052	ENSG00000144035	NAT8
GO_mf:go_enzyme_binding	1.47	0.524822020163755	ENSG00000144034	TPRKB
GO_bp:go_organonitrogen_compound_metabolic_process	1.42	0.535954002126144	ENSG00000144035	NAT8
GO_bp:go_positive_regulation_of_biosynthetic_process	1.41	0.53891180190894	ENSG00000135624	CCT7
GO_mf:go_ribonucleotide_binding	1.37	0.548100631776094	ENSG00000135624	CCT7
GO_cc:go_cytoskeleton	1.28	0.571562057432693	ENSG00000135624	CCT7
