id	or	p	ens.ids	gene.names
GO_bp:go_cellular_response_to_zinc_ion	4670.17	3.91450563951227e-21	ENSG00000169715;ENSG00000205364;ENSG00000205362;ENSG00000169688;ENSG00000198417;ENSG00000125144;ENSG00000205358	MT1E;MT1M;MT1A;MT1B;MT1F;MT1G;MT1H
GO_bp:go_response_to_zinc_ion	914.93	1.07161757005558e-16	ENSG00000169715;ENSG00000205364;ENSG00000205362;ENSG00000169688;ENSG00000198417;ENSG00000125144;ENSG00000205358	MT1E;MT1M;MT1A;MT1B;MT1F;MT1G;MT1H
GO_bp:go_cellular_response_to_cadmium_ion	1787.03	3.39351692651406e-14	ENSG00000169715;ENSG00000205362;ENSG00000198417;ENSG00000125144;ENSG00000205358	MT1E;MT1A;MT1F;MT1G;MT1H
GO_bp:go_response_to_transition_metal_nanoparticle	319.21	1.44871464346759e-13	ENSG00000169715;ENSG00000205364;ENSG00000205362;ENSG00000169688;ENSG00000198417;ENSG00000125144;ENSG00000205358	MT1E;MT1M;MT1A;MT1B;MT1F;MT1G;MT1H
GO_bp:go_cellular_response_to_inorganic_substance	299.92	2.21837225292028e-13	ENSG00000169715;ENSG00000205364;ENSG00000205362;ENSG00000169688;ENSG00000198417;ENSG00000125144;ENSG00000205358	MT1E;MT1M;MT1A;MT1B;MT1F;MT1G;MT1H
GO_bp:go_negative_regulation_of_growth	194.75	4.2357120597124e-12	ENSG00000169715;ENSG00000205364;ENSG00000205362;ENSG00000169688;ENSG00000198417;ENSG00000125144;ENSG00000205358	MT1E;MT1M;MT1A;MT1B;MT1F;MT1G;MT1H
GO_bp:go_response_to_cadmium_ion	534	7.39567706890609e-12	ENSG00000169715;ENSG00000205362;ENSG00000198417;ENSG00000125144;ENSG00000205358	MT1E;MT1A;MT1F;MT1G;MT1H
GO_bp:go_response_to_metal_ion	136.19	4.62078426813869e-11	ENSG00000169715;ENSG00000205364;ENSG00000205362;ENSG00000169688;ENSG00000198417;ENSG00000125144;ENSG00000205358	MT1E;MT1M;MT1A;MT1B;MT1F;MT1G;MT1H
GO_bp:go_response_to_inorganic_substance	93.97	5.7410657937718e-10	ENSG00000169715;ENSG00000205364;ENSG00000205362;ENSG00000169688;ENSG00000198417;ENSG00000125144;ENSG00000205358	MT1E;MT1M;MT1A;MT1B;MT1F;MT1G;MT1H
GO_bp:go_regulation_of_growth	70.4	4.0408210211173e-09	ENSG00000169715;ENSG00000205364;ENSG00000205362;ENSG00000169688;ENSG00000198417;ENSG00000125144;ENSG00000205358	MT1E;MT1M;MT1A;MT1B;MT1F;MT1G;MT1H
