id	or	p	ens.ids	gene.names
GO_mf:go_receptor_signaling_protein_activity	32.47	0.00266860780042151	ENSG00000107779;ENSG00000159788	BMPR1A;RGS12
GO_bp:go_cell_cycle_checkpoint	28.36	0.00345766103354352	ENSG00000138764;ENSG00000138767	CCNG2;CNOT6L
GO_mf:go_protein_homodimerization_activity	13.01	0.00361646652612559	ENSG00000116161;ENSG00000042781;ENSG00000107779	CACYBP;USH2A;BMPR1A
GO_bp:go_lateral_mesoderm_development	238.75	0.00512129675213036	ENSG00000107779	BMPR1A
GO_mf:go_anion_transmembrane_transporting_atpase_activity	238.75	0.00512129675213036	ENSG00000103222	ABCC1
GO_bp:go_anatomical_structure_regression	217.04	0.00558571108456218	ENSG00000107779	BMPR1A
GO_bp:go_heart_formation	217.04	0.00558571108456218	ENSG00000107779	BMPR1A
GO_bp:go_positive_regulation_of_smad_protein_import_into_nucleus	217.04	0.00558571108456218	ENSG00000107779	BMPR1A
GO_bp:go_regulation_of_cell_fate_specification	217.04	0.00558571108456218	ENSG00000107779	BMPR1A
GO_mf:go_poly_a_specific_ribonuclease_activity	217.04	0.00558571108456218	ENSG00000138767	CNOT6L
GO_cc:go_cell_projection	7.94	0.00608925122145516	ENSG00000042781;ENSG00000122367;ENSG00000107779;ENSG00000159788	USH2A;LDB3;BMPR1A;RGS12
GO_cc:go_beta_catenin_destruction_complex	184.68	0.0065139616803267	ENSG00000116161	CACYBP
GO_bp:go_endocardial_cushion_formation	170.89	0.00697779808346566	ENSG00000107779	BMPR1A
GO_bp:go_regulation_of_mesoderm_development	170.89	0.00697779808346566	ENSG00000107779	BMPR1A
GO_cc:go_ccr4_not_complex	170.89	0.00697779808346566	ENSG00000138767	CNOT6L
GO_cc:go_apical_dendrite	170.89	0.00697779808346566	ENSG00000159788	RGS12
GO_cc:go_plasma_membrane_region	10.03	0.00727071874842007	ENSG00000042781;ENSG00000107779;ENSG00000103222	USH2A;BMPR1A;ABCC1
GO_bp:go_regulation_of_smad_protein_import_into_nucleus	159.55	0.00744144198359076	ENSG00000107779	BMPR1A
GO_bp:go_rna_destabilization	159.55	0.00744144198359076	ENSG00000138767	CNOT6L
GO_bp:go_paraxial_mesoderm_development	159.55	0.00744144198359076	ENSG00000107779	BMPR1A
GO_bp:go_anatomical_structure_arrangement	149.37	0.00790489345031542	ENSG00000107779	BMPR1A
GO_mf:go_transmembrane_receptor_protein_serine_threonine_kinase_activity	149.37	0.00790489345031542	ENSG00000107779	BMPR1A
GO_cc:go_pseudopodium	140.74	0.00836815255370305	ENSG00000122367	LDB3
GO_bp:go_ectoderm_development	126.04	0.009294093949898	ENSG00000107779	BMPR1A
GO_bp:go_dorsal_ventral_axis_specification	126.04	0.009294093949898	ENSG00000107779	BMPR1A
Canonical_pathway:pid_s1p_s1p1_pathway	119.77	0.00975677638224981	ENSG00000103222	ABCC1
Canonical_pathway:pid_s1p_meta_pathway	119.77	0.00975677638224981	ENSG00000103222	ABCC1
GO_bp:go_cobalamin_metabolic_process	119.77	0.00975677638224981	ENSG00000103222	ABCC1
GO_mf:go_alpha_actinin_binding	119.77	0.00975677638224981	ENSG00000122367	LDB3
Canonical_pathway:reactome_signaling_by_bmp	114.11	0.0102192667305896	ENSG00000107779	BMPR1A
GO_bp:go_endocardial_cushion_morphogenesis	114.11	0.0102192667305896	ENSG00000107779	BMPR1A
GO_mf:go_g_protein_alpha_subunit_binding	114.11	0.0102192667305896	ENSG00000159788	RGS12
GO_cc:go_organellar_small_ribosomal_subunit	104.09	0.0111436714541954	ENSG00000120333	MRPS14
GO_mf:go_vitamin_transporter_activity	104.09	0.0111436714541954	ENSG00000103222	ABCC1
GO_bp:go_nuclear_transcribed_mrna_poly_a_tail_shortening	99.78	0.011605585969067	ENSG00000138767	CNOT6L
GO_bp:go_regulation_of_cell_fate_commitment	99.78	0.011605585969067	ENSG00000107779	BMPR1A
GO_mf:go_protein_dimerization_activity	8.29	0.0119824256556736	ENSG00000116161;ENSG00000042781;ENSG00000107779	CACYBP;USH2A;BMPR1A
GO_bp:go_regulation_of_cellular_senescence	95.81	0.0120673086787837	ENSG00000107779	BMPR1A
GO_bp:go_sarcomere_organization	92.16	0.0125288396532106	ENSG00000122367	LDB3
GO_bp:go_positive_regulation_of_mesenchymal_cell_proliferation	92.16	0.0125288396532106	ENSG00000107779	BMPR1A
GO_cc:go_membrane_region	8.12	0.012618783443704	ENSG00000042781;ENSG00000107779;ENSG00000103222	USH2A;BMPR1A;ABCC1
GO_bp:go_leukotriene_metabolic_process	85.71	0.0134513266746102	ENSG00000103222	ABCC1
GO_mf:go_actinin_binding	85.71	0.0134513266746102	ENSG00000122367	LDB3
GO_cc:go_photoreceptor_connecting_cilium	79.94	0.0143730475903435	ENSG00000042781	USH2A
GO_cc:go_nuclear_envelope	13.21	0.0146952872996066	ENSG00000116161;ENSG00000120333	CACYBP;MRPS14
GO_bp:go_endocardial_cushion_development	77.38	0.0148336209326079	ENSG00000107779	BMPR1A
GO_bp:go_regulation_of_gastrulation	77.38	0.0148336209326079	ENSG00000107779	BMPR1A
GO_mf:go_identical_protein_binding	7.62	0.0148494764135949	ENSG00000116161;ENSG00000042781;ENSG00000107779	CACYBP;USH2A;BMPR1A
Canonical_pathway:reactome_abc_family_proteins_mediated_transport	74.85	0.0152940029571439	ENSG00000103222	ABCC1
GO_bp:go_regulation_of_cell_aging	74.85	0.0152940029571439	ENSG00000107779	BMPR1A
GO_bp:go_organ_formation	72.67	0.0157541937336637	ENSG00000107779	BMPR1A
GO_bp:go_regulation_of_mesenchymal_cell_proliferation	72.67	0.0157541937336637	ENSG00000107779	BMPR1A
GO_bp:go_vitamin_transport	72.67	0.0157541937336637	ENSG00000103222	ABCC1
GO_bp:go_photoreceptor_cell_maintenance	70.53	0.0162141933315091	ENSG00000042781	USH2A
GO_bp:go_hair_cell_differentiation	70.53	0.0162141933315091	ENSG00000042781	USH2A
GO_bp:go_rna_phosphodiester_bond_hydrolysis_exonucleolytic	70.53	0.0162141933315091	ENSG00000138767	CNOT6L
GO_cc:go_photoreceptor_inner_segment	70.53	0.0162141933315091	ENSG00000042781	USH2A
GO_cc:go_neuron_part	7.22	0.017039607465131	ENSG00000042781;ENSG00000107779;ENSG00000159788	USH2A;BMPR1A;RGS12
Canonical_pathway:biocarta_alk_pathway	66.67	0.0171336192694741	ENSG00000107779	BMPR1A
GO_bp:go_hindlimb_morphogenesis	66.67	0.0171336192694741	ENSG00000107779	BMPR1A
GO_cc:go_dendrite	12.12	0.0172413102017277	ENSG00000107779;ENSG00000159788	BMPR1A;RGS12
GO_bp:go_positive_regulation_of_biomineral_tissue_development	64.83	0.0175930457485158	ENSG00000107779	BMPR1A
GO_bp:go_mesenchyme_morphogenesis	64.83	0.0175930457485158	ENSG00000107779	BMPR1A
Canonical_pathway:naba_basement_membranes	61.51	0.018511326073686	ENSG00000042781	USH2A
GO_bp:go_negative_regulation_of_g_protein_coupled_receptor_protein_signaling_pathway	61.51	0.018511326073686	ENSG00000159788	RGS12
Canonical_pathway:pid_bmp_pathway	58.52	0.0194288433511374	ENSG00000107779	BMPR1A
GO_bp:go_pituitary_gland_development	58.52	0.0194288433511374	ENSG00000107779	BMPR1A
GO_cc:go_stereocilium_bundle	58.52	0.0194288433511374	ENSG00000042781	USH2A
Canonical_pathway:kegg_abc_transporters	55.81	0.0203455981356885	ENSG00000103222	ABCC1
GO_cc:go_cell_body	11	0.020593971482164	ENSG00000107779;ENSG00000159788	BMPR1A;RGS12
GO_bp:go_positive_regulation_of_pathway_restricted_smad_protein_phosphorylation	54.55	0.0208036897664418	ENSG00000107779	BMPR1A
GO_bp:go_positive_regulation_of_organelle_assembly	53.34	0.0212615909818115	ENSG00000138767	CNOT6L
