id	or	p	ens.ids	gene.names
GO_mf:go_triglyceride_lipase_activity	584.38	6.77853672734134e-08	ENSG00000203837;ENSG00000175535;ENSG00000187021	PNLIPRP3;PNLIP;PNLIPRP1
GO_mf:go_lipase_activity	85.45	1.68887645421576e-05	ENSG00000203837;ENSG00000175535;ENSG00000187021	PNLIPRP3;PNLIP;PNLIPRP1
GO_mf:go_carboxylic_ester_hydrolase_activity	74.64	2.49513888281947e-05	ENSG00000203837;ENSG00000175535;ENSG00000187021	PNLIPRP3;PNLIP;PNLIPRP1
Canonical_pathway:kegg_glycerolipid_metabolism	118.86	0.000215834000568743	ENSG00000175535;ENSG00000187021	PNLIP;PNLIPRP1
GO_bp:go_lipid_metabolic_process	12.8	0.00119448422686758	ENSG00000203837;ENSG00000175535;ENSG00000187021;ENSG00000085871	PNLIPRP3;PNLIP;PNLIPRP1;MGST2
GO_mf:go_rna_directed_dna_polymerase_activity	397.51	0.00326171089173322	ENSG00000147601	TERF1
GO_mf:go_hydrolase_activity_acting_on_ester_bonds	12.86	0.00373212014405811	ENSG00000203837;ENSG00000175535;ENSG00000187021	PNLIPRP3;PNLIP;PNLIPRP1
GO_bp:go_positive_regulation_of_triglyceride_lipase_activity	263.72	0.00465668963671817	ENSG00000175535	PNLIP
GO_bp:go_regulation_of_nuclear_cell_cycle_dna_replication	263.72	0.00465668963671817	ENSG00000147601	TERF1
GO_mf:go_carbon_sulfur_lyase_activity	263.72	0.00465668963671817	ENSG00000085871	MGST2
GO_bp:go_chromosome_localization_to_nuclear_envelope_involved_in_homologous_chromosome_segregation	238.75	0.00512129675213036	ENSG00000147601	TERF1
GO_bp:go_regulation_of_establishment_of_protein_localization_to_chromosome	238.75	0.00512129675213036	ENSG00000147601	TERF1
GO_bp:go_telomere_localization	238.75	0.00512129675213036	ENSG00000147601	TERF1
GO_bp:go_lipid_catabolic_process	22.45	0.00540948570118793	ENSG00000203837;ENSG00000175535	PNLIPRP3;PNLIP
GO_bp:go_negative_regulation_of_telomere_maintenance_via_telomerase	217.04	0.00558571108456218	ENSG00000147601	TERF1
GO_cc:go_telomere_cap_complex	198.23	0.0060499327039506	ENSG00000147601	TERF1
GO_bp:go_regulation_of_protein_localization_to_chromosome_telomeric_region	184.68	0.0065139616803267	ENSG00000147601	TERF1
GO_bp:go_negative_regulation_of_telomerase_activity	170.89	0.00697779808346566	ENSG00000147601	TERF1
GO_bp:go_negative_regulation_of_dna_dependent_dna_replication	159.55	0.00744144198359076	ENSG00000147601	TERF1
GO_bp:go_nonribosomal_peptide_biosynthetic_process	159.55	0.00744144198359076	ENSG00000085871	MGST2
GO_mf:go_glutathione_peroxidase_activity	159.55	0.00744144198359076	ENSG00000085871	MGST2
GO_bp:go_negative_regulation_of_telomere_maintenance_via_telomere_lengthening	149.37	0.00790489345031542	ENSG00000147601	TERF1
GO_bp:go_telomere_maintenance_via_telomerase	149.37	0.00790489345031542	ENSG00000147601	TERF1
GO_bp:go_positive_regulation_of_microtubule_polymerization	149.37	0.00790489345031542	ENSG00000147601	TERF1
Canonical_pathway:biocarta_tel_pathway	140.74	0.00836815255370305	ENSG00000147601	TERF1
GO_bp:go_telomere_capping	132.53	0.00883121936355791	ENSG00000147601	TERF1
GO_bp:go_leukotriene_biosynthetic_process	132.53	0.00883121936355791	ENSG00000085871	MGST2
GO_mf:go_dna_binding_bending	132.53	0.00883121936355791	ENSG00000147601	TERF1
GO_bp:go_rna_dependent_dna_biosynthetic_process	119.77	0.00975677638224981	ENSG00000147601	TERF1
GO_bp:go_lipid_digestion	119.77	0.00975677638224981	ENSG00000175535	PNLIP
GO_bp:go_glutathione_derivative_metabolic_process	119.77	0.00975677638224981	ENSG00000085871	MGST2
GO_bp:go_positive_regulation_of_microtubule_polymerization_or_depolymerization	119.77	0.00975677638224981	ENSG00000147601	TERF1
GO_mf:go_polysaccharide_binding	114.11	0.0102192667305896	ENSG00000164764	SBSPON
Canonical_pathway:reactome_glutathione_conjugation	108.95	0.0106815650646328	ENSG00000085871	MGST2
GO_bp:go_spindle_checkpoint	99.78	0.011605585969067	ENSG00000147601	TERF1
Canonical_pathway:reactome_packaging_of_telomere_ends	95.81	0.0120673086787837	ENSG00000147601	TERF1
GO_bp:go_telomere_maintenance_via_telomere_lengthening	95.81	0.0120673086787837	ENSG00000147601	TERF1
GO_bp:go_negative_regulation_of_telomere_maintenance	95.81	0.0120673086787837	ENSG00000147601	TERF1
GO_bp:go_intestinal_absorption	95.81	0.0120673086787837	ENSG00000175535	PNLIP
GO_bp:go_negative_regulation_of_chromosome_segregation	92.16	0.0125288396532106	ENSG00000147601	TERF1
GO_bp:go_leukotriene_metabolic_process	85.71	0.0134513266746102	ENSG00000085871	MGST2
GO_bp:go_negative_regulation_of_dna_biosynthetic_process	82.71	0.0139122828608524	ENSG00000147601	TERF1
GO_bp:go_regulation_of_microtubule_polymerization	82.71	0.0139122828608524	ENSG00000147601	TERF1
GO_mf:go_telomeric_dna_binding	82.71	0.0139122828608524	ENSG00000147601	TERF1
GO_mf:go_glutathione_transferase_activity	79.94	0.0143730475903435	ENSG00000085871	MGST2
GO_bp:go_negative_regulation_of_mitotic_nuclear_division	74.85	0.0152940029571439	ENSG00000147601	TERF1
Canonical_pathway:reactome_metabolism_of_steroid_hormones_and_vitamins_a_and_d	72.67	0.0157541937336637	ENSG00000175535	PNLIP
GO_mf:go_dna_polymerase_activity	72.67	0.0157541937336637	ENSG00000147601	TERF1
GO_bp:go_regulation_of_dna_dependent_dna_replication	61.51	0.018511326073686	ENSG00000147601	TERF1
GO_mf:go_oxidoreductase_activity_acting_on_peroxide_as_acceptor	61.51	0.018511326073686	ENSG00000085871	MGST2
GO_bp:go_fatty_acid_derivative_biosynthetic_process	58.52	0.0194288433511374	ENSG00000085871	MGST2
GO_bp:go_regulation_of_telomerase_activity	57.13	0.0198873160203337	ENSG00000147601	TERF1
Canonical_pathway:reactome_lipid_digestion_mobilization_and_transport	55.81	0.0203455981356885	ENSG00000175535	PNLIP
GO_bp:go_negative_regulation_of_nuclear_division	54.55	0.0208036897664418	ENSG00000147601	TERF1
GO_mf:go_scavenger_receptor_activity	54.55	0.0208036897664418	ENSG00000164764	SBSPON
GO_bp:go_homologous_chromosome_segregation	52.1	0.0217193018512268	ENSG00000147601	TERF1
Canonical_pathway:kegg_glutathione_metabolism	50.99	0.0221768224437461	ENSG00000085871	MGST2
Canonical_pathway:reactome_meiotic_synapsis	49.93	0.0226341528287546	ENSG00000147601	TERF1
GO_bp:go_cellular_modified_amino_acid_biosynthetic_process	48.92	0.0230912930752685	ENSG00000085871	MGST2
GO_bp:go_sterol_transport	48.92	0.0230912930752685	ENSG00000175535	PNLIP
GO_bp:go_regulation_of_telomere_maintenance_via_telomere_lengthening	48.92	0.0230912930752685	ENSG00000147601	TERF1
GO_bp:go_positive_regulation_of_mitotic_nuclear_division	47.94	0.0235482432526293	ENSG00000147601	TERF1
GO_bp:go_chromosome_organization_involved_in_meiotic_cell_cycle	47.94	0.0235482432526293	ENSG00000147601	TERF1
Canonical_pathway:reactome_telomere_maintenance	46.11	0.024461573676224	ENSG00000147601	TERF1
GO_bp:go_unsaturated_fatty_acid_biosynthetic_process	46.11	0.024461573676224	ENSG00000085871	MGST2
GO_bp:go_negative_regulation_of_dna_replication	45.25	0.0249179540608011	ENSG00000147601	TERF1
