id	or	p	ens.ids	gene.names
Canonical_pathway:reactome_influenza_life_cycle	48.24	0.00130475292742267	ENSG00000114030;ENSG00000148303	KPNA1;RPL7A
GO_bp:go_establishment_of_protein_localization	12.76	0.00154550678942812	ENSG00000042781;ENSG00000114030;ENSG00000121542;ENSG00000148303	USH2A;KPNA1;SEC22A;RPL7A
GO_bp:go_protein_localization	9.84	0.00374613314476738	ENSG00000042781;ENSG00000114030;ENSG00000121542;ENSG00000148303	USH2A;KPNA1;SEC22A;RPL7A
Canonical_pathway:reactome_apoptosis_induced_dna_fragmentation	227.27	0.00537939036469715	ENSG00000114030	KPNA1
GO_bp:go_viral_life_cycle	22.2	0.00582106965081511	ENSG00000114030;ENSG00000148303	KPNA1;RPL7A
GO_bp:go_apoptotic_dna_fragmentation	194.06	0.00620473741134331	ENSG00000114030	KPNA1
GO_bp:go_ribosome_biogenesis	21.36	0.00626229039721135	ENSG00000148296;ENSG00000148303	SURF6;RPL7A
GO_bp:go_dna_catabolic_process_endonucleolytic	151.73	0.00785363387592275	ENSG00000114030	KPNA1
GO_mf:go_nuclear_localization_sequence_binding	136.43	0.00867718403993556	ENSG00000114030	KPNA1
GO_bp:go_establishment_of_protein_localization_to_organelle	17.71	0.00893070088633903	ENSG00000114030;ENSG00000148303	KPNA1;RPL7A
GO_bp:go_nls_bearing_protein_import_into_nucleus	130.47	0.00908873476782712	ENSG00000114030	KPNA1
GO_bp:go_regulation_of_response_to_interferon_gamma	130.47	0.00908873476782712	ENSG00000138496	PARP9
GO_bp:go_apoptotic_nuclear_changes	114.1	0.0103224900944091	ENSG00000114030	KPNA1
GO_mf:go_nad_adp_ribosyltransferase_activity	109.57	0.010733443072701	ENSG00000138496	PARP9
Canonical_pathway:reactome_transport_of_ribonucleoproteins_into_the_host_nucleus	105.23	0.0111442467299111	ENSG00000114030	KPNA1
GO_bp:go_positive_regulation_of_release_of_cytochrome_c_from_mitochondria	105.23	0.0111442467299111	ENSG00000114023	FAM162A
GO_bp:go_dna_catabolic_process	105.23	0.0111442467299111	ENSG00000114030	KPNA1
GO_bp:go_protein_targeting	15.69	0.0112148433693887	ENSG00000114030;ENSG00000148303	KPNA1;RPL7A
GO_bp:go_modulation_by_symbiont_of_host_cellular_process	97.76	0.0119654062670294	ENSG00000114030	KPNA1
GO_bp:go_organic_cyclic_compound_catabolic_process	14.96	0.0122500156385353	ENSG00000114030;ENSG00000148303	KPNA1;RPL7A
GO_bp:go_ribonucleoprotein_complex_biogenesis	14.71	0.0126418132536321	ENSG00000148296;ENSG00000148303	SURF6;RPL7A
GO_cc:go_photoreceptor_connecting_cilium	91.09	0.012785969077665	ENSG00000042781	USH2A
Canonical_pathway:reactome_interactions_of_vpr_with_host_cellular_proteins	85.67	0.0136059355335245	ENSG00000114030	KPNA1
GO_bp:go_neuron_apoptotic_process	83.05	0.0140156952445776	ENSG00000114023	FAM162A
GO_cc:go_mediator_complex	83.05	0.0140156952445776	ENSG00000148297	MED22
Canonical_pathway:pid_pi3kci_akt_pathway	80.6	0.0144253060063863	ENSG00000114030	KPNA1
GO_bp:go_photoreceptor_cell_maintenance	80.6	0.0144253060063863	ENSG00000042781	USH2A
GO_bp:go_hair_cell_differentiation	80.6	0.0144253060063863	ENSG00000042781	USH2A
GO_cc:go_photoreceptor_inner_segment	80.6	0.0144253060063863	ENSG00000042781	USH2A
GO_bp:go_modulation_by_virus_of_host_morphology_or_physiology	74.06	0.0156532450592936	ENSG00000114030	KPNA1
GO_mf:go_snap_receptor_activity	74.06	0.0156532450592936	ENSG00000121542	SEC22A
GO_mf:go_signal_sequence_binding	72.11	0.0160622604875353	ENSG00000114030	KPNA1
Canonical_pathway:naba_basement_membranes	70.21	0.0164711271982431	ENSG00000042781	USH2A
GO_cc:go_stereocilium_bundle	66.85	0.0172884146530248	ENSG00000042781	USH2A
GO_cc:go_polysome	66.85	0.0172884146530248	ENSG00000148303	RPL7A
GO_bp:go_regulation_of_release_of_cytochrome_c_from_mitochondria	65.26	0.0176968354894641	ENSG00000114023	FAM162A
GO_bp:go_cellular_component_disassembly_involved_in_execution_phase_of_apoptosis	65.26	0.0176968354894641	ENSG00000114030	KPNA1
GO_bp:go_modification_by_symbiont_of_host_morphology_or_physiology	60.92	0.0189212069917943	ENSG00000114030	KPNA1
GO_bp:go_neuron_death	60.92	0.0189212069917943	ENSG00000114023	FAM162A
GO_bp:go_protein_localization_to_organelle	11.35	0.0204105202032217	ENSG00000114030;ENSG00000148303	KPNA1;RPL7A
Canonical_pathway:reactome_apoptotic_execution_phase	54.84	0.0209588589142025	ENSG00000114030	KPNA1
GO_bp:go_mechanoreceptor_differentiation	54.84	0.0209588589142025	ENSG00000042781	USH2A
GO_cc:go_snare_complex	52.66	0.021772882225603	ENSG00000121542	SEC22A
GO_bp:go_execution_phase_of_apoptosis	51.67	0.0221796717536868	ENSG00000114030	KPNA1
