id	or	p	ens.ids	gene.names
GO_mf:go_cytokine_activity	31.3	0.00301680554583766	ENSG00000145824;ENSG00000145839	CXCL14;IL9
Canonical_pathway:kegg_cytokine_cytokine_receptor_interaction	24.85	0.00469503912031428	ENSG00000145824;ENSG00000145839	CXCL14;IL9
GO_mf:go_cytokine_receptor_binding	24.85	0.00469503912031428	ENSG00000145824;ENSG00000145839	CXCL14;IL9
Canonical_pathway:biocarta_akap95_pathway	248.68	0.00496649197453902	ENSG00000108654	DDX5
GO_bp:go_positive_regulation_of_intracellular_steroid_hormone_receptor_signaling_pathway	248.68	0.00496649197453902	ENSG00000108654	DDX5
GO_bp:go_cellular_response_to_cholesterol	248.68	0.00496649197453902	ENSG00000157193	LRP8
GO_bp:go_positive_regulation_of_dna_damage_response_signal_transduction_by_p53_class_mediator	227.27	0.00537939036469715	ENSG00000108654	DDX5
GO_bp:go_positive_regulation_of_dendritic_spine_morphogenesis	227.27	0.00537939036469715	ENSG00000157193	LRP8
GO_mf:go_low_density_lipoprotein_receptor_activity	227.27	0.00537939036469715	ENSG00000157193	LRP8
Canonical_pathway:biocarta_eryth_pathway	208.99	0.00579213882817153	ENSG00000145839	IL9
GO_bp:go_positive_regulation_of_creb_transcription_factor_activity	208.99	0.00579213882817153	ENSG00000157193	LRP8
Canonical_pathway:biocarta_stem_pathway	194.06	0.00620473741134331	ENSG00000145839	IL9
Canonical_pathway:reactome_platelet_sensitization_by_ldl	194.06	0.00620473741134331	ENSG00000157193	LRP8
GO_bp:go_cellular_response_to_sterol	194.06	0.00620473741134331	ENSG00000157193	LRP8
GO_mf:go_apolipoprotein_binding	194.06	0.00620473741134331	ENSG00000157193	LRP8
GO_bp:go_regulation_of_lymphocyte_chemotaxis	182.53	0.00661718616111329	ENSG00000145824	CXCL14
GO_mf:go_lipoprotein_particle_receptor_activity	182.53	0.00661718616111329	ENSG00000157193	LRP8
GO_bp:go_regulation_of_skeletal_muscle_cell_differentiation	170.84	0.00702948512410595	ENSG00000108654	DDX5
GO_bp:go_positive_regulation_of_signal_transduction_by_p53_class_mediator	170.84	0.00702948512410595	ENSG00000108654	DDX5
Canonical_pathway:naba_secreted_factors	19.31	0.00758625065560733	ENSG00000145824;ENSG00000145839	CXCL14;IL9
GO_bp:go_regulation_of_interleukin_5_production	151.73	0.00785363387592275	ENSG00000145839	IL9
Canonical_pathway:biocarta_cytokine_pathway	136.43	0.00867718403993556	ENSG00000145839	IL9
GO_bp:go_mrna_transcription	136.43	0.00867718403993556	ENSG00000108654	DDX5
GO_bp:go_regulation_of_androgen_receptor_signaling_pathway	130.47	0.00908873476782712	ENSG00000108654	DDX5
GO_bp:go_response_to_sterol	130.47	0.00908873476782712	ENSG00000157193	LRP8
GO_bp:go_positive_regulation_of_lymphocyte_migration	124.41	0.00950013598855814	ENSG00000145824	CXCL14
GO_mf:go_protein_lipid_complex_binding	124.41	0.00950013598855814	ENSG00000157193	LRP8
GO_bp:go_negative_regulation_of_myoblast_differentiation	119.03	0.00991138774853206	ENSG00000145824	CXCL14
GO_mf:go_pre_mrna_binding	119.03	0.00991138774853206	ENSG00000108654	DDX5
GO_bp:go_regulation_of_intracellular_estrogen_receptor_signaling_pathway	105.23	0.0111442467299111	ENSG00000108654	DDX5
Canonical_pathway:kegg_asthma	101.35	0.0115549011125279	ENSG00000145839	IL9
Canonical_pathway:pid_lis1_pathway	101.35	0.0115549011125279	ENSG00000157193	LRP8
GO_bp:go_regulation_of_dna_damage_response_signal_transduction_by_p53_class_mediator	101.35	0.0115549011125279	ENSG00000108654	DDX5
GO_bp:go_regulation_of_dendritic_spine_morphogenesis	101.35	0.0115549011125279	ENSG00000157193	LRP8
Canonical_pathway:pid_reelin_pathway	97.76	0.0119654062670294	ENSG00000157193	LRP8
GO_bp:go_regulation_of_alternative_mrna_splicing_via_spliceosome	88.5	0.0131960268266922	ENSG00000108654	DDX5
GO_bp:go_positive_regulation_of_dendrite_morphogenesis	88.5	0.0131960268266922	ENSG00000157193	LRP8
GO_bp:go_positive_regulation_of_protein_tyrosine_kinase_activity	85.67	0.0136059355335245	ENSG00000157193	LRP8
GO_mf:go_kinesin_binding	85.67	0.0136059355335245	ENSG00000157193	LRP8
GO_bp:go_positive_regulation_of_dendritic_spine_development	83.05	0.0140156952445776	ENSG00000157193	LRP8
GO_bp:go_regulation_of_lymphocyte_migration	83.05	0.0140156952445776	ENSG00000145824	CXCL14
GO_mf:go_chemokine_activity	76.02	0.0152440808673047	ENSG00000145824	CXCL14
GO_mf:go_androgen_receptor_binding	74.06	0.0156532450592936	ENSG00000108654	DDX5
GO_mf:go_estrogen_receptor_binding	72.11	0.0160622604875353	ENSG00000108654	DDX5
GO_mf:go_receptor_binding	7.54	0.0169579041711799	ENSG00000108654;ENSG00000145824;ENSG00000145839	DDX5;CXCL14;IL9
GO_bp:go_rna_secondary_structure_unwinding	66.85	0.0172884146530248	ENSG00000108654	DDX5
GO_bp:go_regulation_of_cell_differentiation	7.32	0.0182461167665039	ENSG00000157193;ENSG00000108654;ENSG00000145824	LRP8;DDX5;CXCL14
GO_mf:go_chemokine_receptor_binding	60.92	0.0189212069917943	ENSG00000145824	CXCL14
GO_bp:go_regulation_of_myoblast_differentiation	58.33	0.0197367126166115	ENSG00000145824	CXCL14
GO_bp:go_regulation_of_skeletal_muscle_tissue_development	55.96	0.020551625038655	ENSG00000108654	DDX5
GO_bp:go_intrinsic_apoptotic_signaling_pathway_by_p53_class_mediator	52.66	0.021772882225603	ENSG00000108654	DDX5
GO_bp:go_regulation_of_dendritic_spine_development	51.67	0.0221796717536868	ENSG00000157193	LRP8
GO_bp:go_negative_regulation_of_muscle_cell_differentiation	50.72	0.022586313258333	ENSG00000145824	CXCL14
GO_bp:go_regulation_of_protein_tyrosine_kinase_activity	48.91	0.0233991523821646	ENSG00000157193	LRP8
