id	or	p	ens.ids	gene.names
GO_bp:go_negative_regulation_of_protein_activation_cascade	316.27	0.00398529583318885	ENSG00000143502	SUSD4
GO_bp:go_3_utr_mediated_mrna_stabilization	288.32	0.00434691942906884	ENSG00000174606	ANGEL2
GO_bp:go_negative_regulation_of_erad_pathway	288.32	0.00434691942906884	ENSG00000068912	ERLEC1
GO_bp:go_negative_regulation_of_humoral_immune_response	262.99	0.00470843048064251	ENSG00000143502	SUSD4
GO_bp:go_regulation_of_retrograde_protein_transport_er_to_cytosol	262.99	0.00470843048064251	ENSG00000068912	ERLEC1
GO_cc:go_endoplasmic_reticulum_quality_control_compartment	262.99	0.00470843048064251	ENSG00000068912	ERLEC1
GO_bp:go_nonribosomal_peptide_biosynthetic_process	211.19	0.0057922886616355	ENSG00000143942	CHAC2
GO_mf:go_interleukin_1_receptor_binding	211.19	0.0057922886616355	ENSG00000187554	TLR5
GO_bp:go_regulation_of_innate_immune_response	21.75	0.00648975826506103	ENSG00000187554;ENSG00000143502	TLR5;SUSD4
GO_bp:go_positive_regulation_of_toll_like_receptor_signaling_pathway	177.16	0.00687513499423997	ENSG00000187554	TLR5
GO_bp:go_regulation_of_protein_exit_from_endoplasmic_reticulum	177.16	0.00687513499423997	ENSG00000068912	ERLEC1
GO_bp:go_activation_of_immune_response	19.62	0.00788567640104105	ENSG00000187554;ENSG00000143502	TLR5;SUSD4
GO_mf:go_transferase_activity_transferring_amino_acyl_groups	144.95	0.00831735747905504	ENSG00000143942	CHAC2
GO_bp:go_regulation_of_erad_pathway	118.3	0.0101176107735111	ENSG00000068912	ERLEC1
GO_bp:go_rna_stabilization	106.4	0.0111964175814048	ENSG00000174606	ANGEL2
GO_bp:go_regulation_of_response_to_stress	9.33	0.0115160849302398	ENSG00000187554;ENSG00000143502;ENSG00000068912	TLR5;SUSD4;ERLEC1
GO_bp:go_myd88_dependent_toll_like_receptor_signaling_pathway	102.98	0.0115557958304661	ENSG00000187554	TLR5
GO_bp:go_regulation_of_protein_activation_cascade	93.75	0.012633258923915	ENSG00000143502	SUSD4
GO_bp:go_negative_regulation_of_protein_maturation	93.75	0.012633258923915	ENSG00000143502	SUSD4
GO_bp:go_negative_regulation_of_lymphocyte_mediated_immunity	91.45	0.0129921895007203	ENSG00000143502	SUSD4
GO_bp:go_negative_regulation_of_adaptive_immune_response	88.84	0.0133510082321227	ENSG00000143502	SUSD4
GO_bp:go_humoral_immune_response_mediated_by_circulating_immunoglobulin	88.84	0.0133510082321227	ENSG00000143502	SUSD4
GO_bp:go_negative_regulation_of_innate_immune_response	86.4	0.0137097151472031	ENSG00000143502	SUSD4
