id	or	p	ens.ids	gene.names
GO_bp:go_reactive_nitrogen_species_metabolic_process	371.26	2.5642822259221e-05	ENSG00000117791;ENSG00000186205	MARC2;MARC1
GO_mf:go_pyridoxal_phosphate_binding	130.23	0.000189931260663101	ENSG00000117791;ENSG00000186205	MARC2;MARC1
GO_bp:go_detoxification	87.4	0.000411325744704645	ENSG00000117791;ENSG00000186205	MARC2;MARC1
GO_mf:go_coenzyme_binding	36.56	0.00223528172886072	ENSG00000117791;ENSG00000186205	MARC2;MARC1
GO_cc:go_outer_membrane	34.56	0.00249208861815379	ENSG00000117791;ENSG00000186205	MARC2;MARC1
GO_bp:go_response_to_toxic_substance	27.34	0.00390945182926401	ENSG00000117791;ENSG00000186205	MARC2;MARC1
GO_mf:go_cofactor_binding	24.85	0.00469503912031428	ENSG00000117791;ENSG00000186205	MARC2;MARC1
GO_mf:go_tau_protein_kinase_activity	248.68	0.00496649197453902	ENSG00000116141	MARK1
GO_bp:go_mitotic_cell_cycle_arrest	227.27	0.00537939036469715	ENSG00000179271	GADD45GIP1
GO_mf:go_phosphatidic_acid_binding	227.27	0.00537939036469715	ENSG00000116141	MARK1
GO_cc:go_mitochondrial_part	11.73	0.00538647213688909	ENSG00000117791;ENSG00000186205;ENSG00000179271	MARC2;MARC1;GADD45GIP1
GO_bp:go_regulation_of_oxidative_phosphorylation	182.53	0.00661718616111329	ENSG00000179271	GADD45GIP1
GO_bp:go_synaptonemal_complex_organization	136.43	0.00867718403993556	ENSG00000161860	SYCE2
GO_bp:go_positive_regulation_of_nucleoside_metabolic_process	119.03	0.00991138774853206	ENSG00000179271	GADD45GIP1
GO_mf:go_phosphatidylserine_binding	88.5	0.0131960268266922	ENSG00000116141	MARK1
GO_cc:go_synaptonemal_complex	83.05	0.0140156952445776	ENSG00000161860	SYCE2
GO_bp:go_synapsis	76.02	0.0152440808673047	ENSG00000161860	SYCE2
GO_cc:go_organelle_inner_membrane	12.12	0.0180994750171735	ENSG00000117791;ENSG00000186205	MARC2;MARC1
GO_bp:go_homologous_chromosome_segregation	59.6	0.0193290339776814	ENSG00000161860	SYCE2
GO_bp:go_regulation_of_nucleoside_metabolic_process	57.12	0.0201442429549485	ENSG00000179271	GADD45GIP1
GO_mf:go_phosphatidylinositol_4_5_bisphosphate_binding	55.96	0.020551625038655	ENSG00000116141	MARK1
GO_bp:go_chromosome_organization_involved_in_meiotic_cell_cycle	54.84	0.0209588589142025	ENSG00000161860	SYCE2
GO_cc:go_mitochondrion	6.59	0.0236853605632221	ENSG00000117791;ENSG00000186205;ENSG00000179271	MARC2;MARC1;GADD45GIP1
GO_mf:go_modified_amino_acid_binding	44.15	0.0258341219905194	ENSG00000116141	MARK1
GO_bp:go_meiotic_chromosome_segregation	43.54	0.0262394333605867	ENSG00000161860	SYCE2
GO_cc:go_organellar_ribosome	39.13	0.0290724837860216	ENSG00000179271	GADD45GIP1
GO_mf:go_phosphatidylinositol_bisphosphate_binding	38.59	0.0294766159467572	ENSG00000116141	MARK1
GO_cc:go_mitochondrial_envelope	9.16	0.0300842559015653	ENSG00000117791;ENSG00000186205	MARC2;MARC1
GO_mf:go_oxidoreductase_activity	8.9	0.0316666863832349	ENSG00000117791;ENSG00000186205	MARC2;MARC1
GO_cc:go_condensed_nuclear_chromosome	33	0.0343147338635925	ENSG00000161860	SYCE2
GO_bp:go_meiosis_i	32.22	0.0351190317007262	ENSG00000161860	SYCE2
GO_bp:go_regulation_of_generation_of_precursor_metabolites_and_energy	31.12	0.0363243794313668	ENSG00000179271	GADD45GIP1
GO_bp:go_translational_termination	30.77	0.036725869118153	ENSG00000179271	GADD45GIP1
GO_bp:go_mitochondrial_translation	26.33	0.0427306757529172	ENSG00000179271	GADD45GIP1
GO_mf:go_amino_acid_binding	26.08	0.0431298290206145	ENSG00000116141	MARK1
GO_bp:go_translational_elongation	25.59	0.0439276986863854	ENSG00000179271	GADD45GIP1
GO_bp:go_neuron_migration	25.35	0.0443264151753743	ENSG00000116141	MARK1
GO_bp:go_response_to_nitrogen_compound	7.24	0.0455014625681728	ENSG00000117791;ENSG00000186205	MARC2;MARC1
GO_mf:go_phosphatidylinositol_phosphate_binding	23.98	0.0467156601650254	ENSG00000116141	MARK1
GO_bp:go_oxidation_reduction_process	7	0.0482664618034299	ENSG00000117791;ENSG00000186205	MARC2;MARC1
GO_bp:go_cellular_protein_complex_disassembly	22.98	0.0487027034444582	ENSG00000179271	GADD45GIP1
GO_bp:go_positive_regulation_of_nucleotide_metabolic_process	20.71	0.053852064908655	ENSG00000179271	GADD45GIP1
GO_cc:go_microbody	20.55	0.054247157479931	ENSG00000117791	MARC2
GO_bp:go_organic_acid_metabolic_process	6.52	0.0545089242571197	ENSG00000117791;ENSG00000186205	MARC2;MARC1
GO_bp:go_meiotic_cell_cycle_process	18.45	0.0601562472513921	ENSG00000161860	SYCE2
GO_bp:go_cell_cycle_arrest	17.84	0.0621187518028259	ENSG00000179271	GADD45GIP1
GO_cc:go_envelope	5.68	0.0689836853287693	ENSG00000117791;ENSG00000186205	MARC2;MARC1
GO_bp:go_cell_cycle_process	5.66	0.0694418406457189	ENSG00000161860;ENSG00000179271	SYCE2;GADD45GIP1
GO_bp:go_macromolecular_complex_disassembly	15.24	0.0722660856187703	ENSG00000179271	GADD45GIP1
GO_bp:go_meiotic_cell_cycle	14.99	0.0734307268670996	ENSG00000161860	SYCE2
GO_cc:go_condensed_chromosome	14.13	0.077690140518717	ENSG00000161860	SYCE2
GO_mf:go_phosphatidylinositol_binding	13.98	0.078462735849496	ENSG00000116141	MARK1
GO_mf:go_magnesium_ion_binding	13.91	0.0788488211133798	ENSG00000116141	MARK1
